content,category
"aInstitute of Organic Chemistry II & Advanced Materials,Ulm University, 89081 Ulm, Germany.",affiliation
"E-mail: michael.mastalerz@uni-ulm.de; Fax: +49 731-50-22840;Tel: +49 731-50-22855bRUBiospek, Ruhr-University of Bochum, 44780 Bochum, GermanywElectronic supplementary information (ESI) available: Syntheticdetails and analytical data of cage compound 5and model compound6as well as gas sorption experiments. See DOI: 10.1039/c2cc35002eChemCommDynamic Article Linkswww.rsc.org/chemcomm COMMUNICATIONDownloaded by University of Memphis on 19 September 2012Published on 03 August 2012 on http://pubs.rsc.org | doi:10.1039/C2CC35002EView Online / Journal Homepage / Table of Contents for this issue9862 Chem. Commun., 2012, 48, 9861每9863 This journal is cThe Royal Society of Chemistry 2012Here, we will present a new type of exo-functionalized [4 + 6]cage compound ( 5, Scheme 1), with a very high speci?c surfacearea in its amorphous state.",affiliation
"S1 Supporting Information to:  A shape-persistent exo-functiona lized [4+6] imine cage compound with a very high specific surface area Markus W. Schneider,a Hans-Jochen Siegfried Hauswald,b Raphael Stoll,b Michael Mastalerz*a    a Institute of Organic Chemistry II & Adv anced Materials, Ulm University, 89081 Ulm,  Germany. Fax: +49( 731-50-22840); Tel: +49(7 31-50-22855); E-mail: michael.mastalerz@uni-ulm.de b RUBiospek, Ruhr-University of Bochum, 44780 Bochum, Germany.",affiliation
"Electronic Supplementary Material (ESI) for Chemical CommunicationsThis journal is ? The Royal Society of Chemistry 2012 S3 2. Synthesis and Characterisation  Synthesis of 4,6-bis((3,4-dimethylphenylim ino)methyl)-2-methylbenzene-1,3-diol (6): 4,6-Dihydroxy-5-methyl-1,3-diformyl benzene (80 .6 mg, 0.45 mmol) was dissolved under argon in dry ethanol (5 mL) and glacial acetic  acid (0.02 mL) and stirred at 50 ～C. 3,4-Dimethylaniline (120.9 mg, 1.00 mmo l) dissolved in dry ethanol (4 mL) was added over a period of 5 min. After addition, the yellow so lution was refluxed for 6 h. The solution was cooled to room temperature and the precipitate  was collected by suction filtration and washed twice with 4 mL ethanol. After drying in vacuum, 150 mg (86%) of 6 were obtained as orange solid. M.p. 170-171 ～C; 1H NMR (400 MHz, DMSO- d6) 汛 = 14.96 (s, 2H), 8.88 (s, 2H), 7.69 (s, 1H), 7.41 - 7.01 (m, 6H), 2.26 (s, 6H ), 2.24 (s, 6H), 2.07 (s, 3H) ppm. 13C NMR (101 MHz, DMSO- d6) 汛 = 164.3 (s), 161.1 (d), 144.3 (s), 137.5 (s), 136.4 (d), 135.1 (s), 130.4 (d), 122.2 (d), 118.2 (d), 112.1 (s), 110.9 (s), 19.5 (q), 19.0 (q), 7.4 (q) ppm. IR (KBr): ? = 3437 (m), 2965 (w), 2918 (m), 2855 (w), 2730 (w), 1626 (s), 1587 (s), 1501 (m), 1455 (w), 1400 (m), 1368 (s), 1282 (w), 1175 (s), 1153 (m), 1114 (w), 1017 (w), 968 (w), 875 (w), 865 (w), 818 (w), 764 (w), 669 (w), 464 (w), 439 (w) cm-1. MS (CI-MS): m/z (%) = 415 (8) [M+C 2H6]+, 388 (17), 387 (100) [M+H]+, 386 (20) [M]+, 385 (8). Elemental analysis calcd.",comprehensive synthesis
"Synthesis of cage compound 5: 2,7,14-Triaminotriptycene (109.8 mg, 0.37 mmol) and 4,6-Dihydroxy-5-methyl-1,3-diformyl benzene (98.8 mg, 0.55 mmol) were dissolved in dimethylformamide (52 mL) under argon and TFA (4.4 米L, 2 mol%) was added. The solution was refluxed for 4 d at 110 oC. Af ter cooling the reaction mixtur e to room temperature, the solid was collected by filtration, washed with DMF (3 x 5 mL) and immersed in THF (10 mL, three times for 8 h). After removing of the solvent and drying under vacuum, 120 mg (63%) of cage compound 5 were obtained as orange solid. M.p. > 410 ～C; 13C MAS NMR: 汛 = 164.7, 158.2, 145.4, 135.9, 130.0, 124.3, 113.1, 97.5, 54.1, 7.4 ppm. IR (KBr): ? = 3435 (m), 2955 (w), 2968 (w), 1624 (s), 1583 (s), 1470 (s), 1423 (w), 1369 (m), 1288 (w), 1169 (s), 1132 (m), 1088 (w), 1062 (w), 954 (m), 856 (m), 766 (w), 670 (w), 597 (w), 500 (w), 471 (w) cm-1; HRMS (MALDI, dithranol): m/z = 2061.70370 (calc. for C 134H92N12O12: 2061.70304).",comprehensive synthesis
"In recent years, the interest in porous materials from discreteorganic molecules substantially increased because it wasdemonstrated that speci?c surface areas for such systems canreach 3000 m2g/C01.1,2Those compounds can be distinguishedinto extrinsic and intrinsic porous materials.1,3Extrinsicporous materials derive from molecules that do not containany prede?ned pores or voids.",surface area
"2In contrast, intrinsic porous materials contain voids orcavities in the molecular precursor itself, which essentiallycontribute to the porosity of the materials. This portion ofintrinsic porosity diminishes the chances of losing the propertyof porosity or surface area while the crystalline self-assembledarrangement collapses during removal of enclathrated solventmolecules. Therefore, such mol ecules can form porous materialsalso in the amorphous state, as long as the molecular structureis shape-persistent and does not pack e?ciently (frustratedpacking). This has been demonstrated for example for triptycenetris(nickel salphenes), which have a Brunauer每Emmett每Tellersurface area (SABET) of 499 m2g/C01.5Furthermore,cucurbit[7]uril, which is a shape-persistent torus-like molecule,showed in the amorphous state a SABETof 293 m2g/C01.6In thisrespect, materials derived from shape-persistent cage compoundsare superior. The ?rst example in the literature was given byAtwood and co-workers, who re-in vestigated the noria molecule,originally introduced by Nishikubo et al.7They showed that thismolecule forms an amorphous porous material with SA BET=280每350 m2g/C01.8We introduced the synthesis of shape-persistent endo-functionalized [4 + 6] cage compounds 3a每e by the iminecondensation of triptycene triamine 19and salicyldialdehydes2a每e (Scheme 1).10,11Although those materials showed thehighest surface areas (up to SA BET= 2071 m2g/C01) in thecrystalline state,11,12they have reasonable surface areas ofapprox. 700 m2g/C01in the amorphous state too.12Cooper et al. demonstrated that the technique of solventremoval for activation of the material is crucial to the morphologyand as a consequence to the gas-accessible speci?c surface area.13For instance, the so-called CC3has in its ( R)-enantiomeric crystal-line form a SA BETof 624 m2g/C01,14whereas the surface area wassubstantially increased to SA BET= 859 m2g/C01when desolvatedby freeze-drying.13Investigations of the m aterials morphologyrevealed mainly an amorphous character. This was till date thehighest reported speci?c surf ace area of an amorphous porouscompound consisting of one molecular structurally de?ned,discrete organic compound, exclusively.",surface area
"The sorption isotherm (Fig. 4) can be classi?ed as a type-Iform, which is characteristic of microporous materials.17Theadsorbed amount of nitrogen is Vmax= 391 cm3g/C01atP/P0=0.95. The speci?c surface areas are SA BET=9 1 9m2g/C01and1037 m2g/C01if the Langmuir-model is considered. These are, tothe best of our knowledge, the highest surface areas of aporous amorphous material, consisting of discrete organicmolecules exclusively.",surface area
"To conclude, we introduced a new type of exo-functionalized[4+6] cage compound, which was synthesized in 68% yield. Theamorphous material derived from this compound has a surfacearea of 1037 m2g/C01, which is the highest reported speci?c surfacearea among amorphous materials consisting of discrete organicmolecules exclusively. Furthermore, the material adsorbs14.8 wt% CO2with a high selectivity against CH 4(1.06 wt%).20Furthermore, the exo-directing functional groups o?er the oppor-tunity to synthesize a new type of cage-MOF21viathe complexationof metal ions by the salicylimine subunits.",surface area
"Electronic Supplementary Material (ESI) for Chemical CommunicationsThis journal is ? The Royal Society of Chemistry 2012This journal is cThe Royal Society of Chemistry 2012 Chem. Commun., 2012, 48, 9861每9863 9861Cite this: Chem. Commun ., 2012, 48, 9861每9863A shape-persistent exo-functionalized [4 + 6] imine cage compound witha very high speci?c surface area wMarkus W. Schneider,aHans-Jochen Siegfried Hauswald,bRaphael StollbandMichael Mastalerz*aReceived 12th July 2012, Accepted 1st August 2012DOI: 10.1039/c2cc35002eThe one-pot synthesis of an exo-functionalized [4 + 6] imine cagecompound is introduced. The material derived from this compoundis highly porous in its amorphous state with a speci?c surface areaof 1037 m2g/C01as determined by nitrogen sorption at 77 K.",this paper's author
"Scheme 1 Comparison of the syntheses and structures of endo-functionalised [4 + 6] cage compounds 3a每3e (previous work)10,11andthe ?rst exo-functionalised [4 + 6] cage compound 5(this work). R = CH 3(2a/3a);tBu (2b/3b),nBu (2c/3c); 每C(Et) 3(2d/3d); 每C(Ph) 3(2e/3e).",topology
  Figure S6:  BET-plot for [4+6] cage compound 5. 01020304050607080901000 100 200 300 400 500 600 700 800 900 1000 1100temperature [～C]mass [%]y = 3.785x + 0.0035R2 = 10.000.050.100.150.200.250.300.350.00 0.01 0.02 0.03 0.04 0.05 0.06 0.07 0.08 0.09relative pressure [ P/P0]1/[W((P0/P)-1)]Electronic Supplementary Material (ESI) for Chemical CommunicationsThis journal is ? The Royal Society of Chemistry 2012 S7  Figure S7:  Langmuir-plot for [4+6] cage compound 5.,topology
"  y = 3.424x + 0.0091R2 = 0.99960.000.050.100.150.200.250.300.00 0.01 0.02 0.03 0.04 0.05 0.06 0.07 0.08 0.09relative pressure [P/P 0](P/P0)/W0123450 0,2 0,4 0,6 0,8 1quantity adsorbed [mmol g-1]pressure [bar]Electronic Supplementary Material (ESI) for Chemical CommunicationsThis journal is ? The Royal Society of Chemistry 2012 S8 3. Several reasons against the form ation of polymeric by-products i) If the reaction did not run to completion, e.g. at lower reaction temperature, we observed the formation of condensation pr oducts, which can be assigned to smaller intermediates of the final cage compound [4+6]-12 H 2O (cage compound 5) with [n(T)+m(D)]-x(H 2O) (with T = triptycene triamine and D = dialdehyde). These intermediates are al ready insoluble as is the title compound 5 and cannot be removed from the product mixture by further purification methods.",topology
