content,category
"aDepartment of Chemistry and Biochemistry, University of Colorado Boulder, CO 80309, USA   bNational Renewable Energy Laboratory, Golden, Colorado 80401, USA  c National Institute of Standards and Technology, Boulder, Colorado 80305, USA dDepartment of Electrical, Computer and Energy Engineering, University of Colorado, Boulder, CO 80309, USA  Supplementary Information   Table of contents                                                                           1. Materials and General Methods                                                                                         S2        2. Experimental Procedures                                                                                                   S3-S7 3. GPC Graph of Cage 1                                                                                                        S8 4. Gold Nanoparticle Assembly                                                                                                  S8-S9 5. Computational methods                                                                                                           S9-S10 6. Transmission Electron Microscopy (TEM)                                                                             S10-S11 7.  Diffusion NMR experiment  S12-S13                                                                                  8. Thermal gravimetric analyses                                                                                          S13 9. NMR spectra of compounds                                                                                               S14-S21 10. References                                                                                                                           S22       S2  1. Materials and General Methods  All commercially available reagents and solvent s were use as received, unless noted otherwise .",affiliation
"S3   2. Experimental P rocedures     5-(hexadecyloxy) -1,3-diiodo -2-methylbenzene : To a Schlenk tube were added 3,5 -iodo-p-cresol (1 .0 g, 2.78 mmol), 1 -bromohexadecane (0.93  g, 3.06 mmol), NaOH ( 120 m g, 3.06 mmol) , and ethanol  (35 mL)  under N 2.  After refluxing for 18  h, the reaction mixture was cooled to room temperature and poured into water  (50 mL) .  The product was extracted with diethyl ether (3  x 75  mL).  The organic extracts were combined, dried over  anhydrous Na 2SO 4, and concentrated.   The crude product was purified by flash column chromat ography using hexanes to afford the product as a white solid (1.5  g, 94  %): 1H NMR (500 MHz, CHCl 3): ¦Ä 7.58 ( s, 2H), ¦Ä 3.93 (t, J = 6.6  Hz, 2H), ¦Ä 2.24 (s, 3H), ¦Ä 1.94-1.86 (m, 2H), ¦Ä 1.59-1.49 (m, 2H), 1.27 (m, 24 H), ¦Ä 0.89 (t,  J = 7.0 Hz,  3H); 13C NMR (75 MHz, CDCl 3): ¦Ä 155.79, 140.24, 137.46, 90.56, 73.43, 31.94, 30.04, 29.73, 29.70, 29.68, 29.66, 29.62, 29.55, 29.38, 25.99, 22.71, 19.63, 14.15 ; HR-MS (ESI): Cal¡¯d for C 23H38I2O [2M+Li+] 1175.2180; Found 1175.2173 .",comprehensive synthesis
"Compound 6 :  The general procedure for Sonogashira cross coupling was followed.[2]  Using  5-(hexadecyloxy) -1,3-diiodo -2-methylbenzene  (625 mg, 1.07 mmol), trimethylsilyacetylene (1.8 mL, 12.84 mmol), Pd(PPh 3)2Cl2 (45 mg, 0.064 mmol) , CuI (4 mg, 0.021 mmol) , and diethylamine  (35 mL), the product was obtained as a light yellow oil (542 mg, 96%) : 1H NMR (500 MHz, CDCl 3) ¦Ä 7 .20 (s, 2 H), 4.15 (t, J = 6.6 Hz, 2H), 2.22 (s, 3H), 1.84 ¨C 1.76 (m, 2H), S4  1.55 ¨C 1.47 (m, 2H), 1.39 ¨C 1.21 (m, 24H), 0.89 (t, J = 7.0 Hz, 3H), 0.25 (s, 18H); 13C NMR (75 MHz, CDCl 3) ¦Ä 160.09, 134.47, 132.52, 117.21, 101.02, 98.43, 74.27, 31.94, 30.46, 29.71, 29.69, 29.67, 29.63, 29.37, 26.17, 22.70, 20.26, 14.13, -0.08; HR-MS (ESI): Cal¡¯d for C33H56OSi 2 [M+Li+] 531.4025; Found 531.4027.",comprehensive synthesis
"Compound 7 , Step 1:  To a Sc hlenk tube were added compound 6 (513 mg, 0.98 mmol) , N-Bromosuccinimide (452 mg, 2.54 mmol) , dibenz oyl peroxide (43  mg, 0.18 mmol)  and CCl 4 (15 mL) under nitrogen atmosphere and the solution was refluxed for 20  h.  The dark red solution was cooled to rt, filtered and rinsed with CCl 4.  Due to the instability of the benzylic bromide the crude material was used in the following step without  further purifi cation. The physical data for the product : 1H NMR (500 MHz, C DCl 3) ¦Ä 7.41 (s, 2 H), 4.36 (s, 2H), 4.21 (t, J = 6.6 Hz, 2H), 1.85 ¨C 1.76 (m,  2H), 1.59 ¨C 1.45 (m, 2H), 1.26 (s, 24H), 0.89 (t, J = 7.0 Hz, 3H), 0.25 (s, 18H).",comprehensive synthesis
"Step 2:   To a schlenk tube w ere added sodium ethanethiolate (984 mg, 1.17  mmol)  and a solution of the above crude product  (304 mg ) in DMA  (10 mL) .  The solution was stirred at rt for 18 h and poured into H 2O (50 mL) .  After extraction with CH 2Cl2 (3 x 25 mL), the combined organic solution was dried  over anhydrous Na 2SO 4, and concentrated . The residue was  purified by flash column chromatography  using 5 % ethyl acetate /hexane   to afford the product as an orange oil (2 33 mg, 41 % over 2 steps): 1H NMR (500 MHz, CDCl 3) ¦Ä 7.34  (s, 2H), 4.19  (t, J = 6.5 Hz, 2H), 3.58  (s, 2H), 2.41  (q, J = 7.4  Hz, 2H), 1.82  (dt, J = 6.6 Hz, 2H), 1.5 2 (m, 2H),  1.29  (m, 29H) , 0.89  (t, J = 7.0 Hz, 3H), 0.26  (s, 18H);  13C NMR (75 MHz, CDCl 3) ¦Ä 161.15, 134.16, 133.43, 128.52, 127.12, 117.51, 100.75, 98.90, 74.24, 70.79, 66.02, 34.77, 31.94, 30.46, 29.71, S5  29.69, 29.67, 29.64, 29.62, 29.38, 26.15, 25 .18, 22.70, 14.30, 14.13, -0.12; HR-MS (ESI): Cal¡¯d for C 35H60OSSi 2 [M+H+] 586.0942; Found 586.2675 .",comprehensive synthesis
"(2,6-Diethynyl -4-(hexadecyloxy)benzyl)(ethyl)sulfane:  To a schlenk tube were added compound 7 (525 mg, 0.9 mmol) and THF  (15 mL)  under nitrogen atmosphere. T he solution was cooled to  0 oC using an ice bath.   A solution of TBAF (1  M in THF, 1.8 mL,  1.8 mmol) was added dropwise at  0 oC.  The darkened solution was warmed to rt  and stirred for 10 min.   The solvent was removed by rotary evaporation , and the crude product was passed through a short column of silica gel using 25  % ethyl acetate /hexane to yield the product as a slightly yellow   oil (395 mg, 100  %): 1H NMR (500 MHz, CDCl 3) ¦Ä 7.40 (s, 2H), 4.20 (t, J = 6.6 Hz, 2H), 3.61 (s, 2H), 3.26 (s, 2H), 2.43 (q, J = 7.4 Hz, 2H), 1.85 ¨C 1.77 (m, 2H), 1.49 (dq, J = 14.5, 7.0 Hz, 2H), 1.38 - 1.25 (m , 24H), 1.24 (t, J = 7.4 Hz, 3H), 0.89 (t, J = 7.0 Hz, 3H);  13C NMR (75 MHz, CDCl 3) ¦Ä 161.42, 134.88, 133.70, 116.67, 81.69, 79.45, 74.58, 34.69, 31.93, 30.25, 29.70, 29.66, 29.64, 29.46, 29.37, 25.89, 25.28, 22.70, 14.30, 14.13 ; HR-MS (ESI): Cal¡¯d for C 29H44OS [2M+H+] 881.6299; Found 881.6292.",comprehensive synthesis
"Compound 4: The general procedure  for Sonogashira cross coupling  was followed.  Using (2,6-diethynyl -4-(hexadecyloxy)benzyl)(ethyl)sulfane (200 mg, 0.45 mmol),  3-bromo -5-iodo-benzaldyhyde (310  mg, 1.00  mmol), Pd(PPh 3)2Cl2 (19 mg, 0.027 mmol) , CuI ( 2.0 mg, 0.009 S6  mmol ), triethylamine ( 5 mL), and THF (5  ml), the compound  4 was obtained as a pale yellow solid (320  mg, 88  %): 1H NMR (500 MHz, CDCl 3) ¦Ä 9.98 (s, 2H), 8.03 -7.86 (m , 6H), 7.49 (s , 2H), 4.32 (t , J = 6.3, 2H), 3.69 (s, 2H), 2.50 (q,  J = 7.4  Hz, 2H), 1.95 -1.82 (m , 2H), 1.64 -1.54 (m, 2H), 1.41 -1.14 (m , 29H), 0.89 ( t, J = 6.9 Hz, 2H); 13C NMR (75 MHz, CDCl 3) ¦Ä 189.83, 160.57, 139.35, 137.84, 134.60, 134.19, 131.82, 131.34, 126.18, 123.23, 116.84, 90.88, 88.24, 75.02, 34.80, 31.93, 30.61, 29.69, 29.66, 29.37, 26.46, 25.43, 22.70,  14.36, 14.14;  HR-MS (ESI): Cal¡¯d for C43H50Br2O3S [M+H+] 807.7459; Found 807.6611.",comprehensive synthesis
"Cage 1: To a s chlenk tube was added compound 3 (30 mg, 50  ¦Ìmol) and  compound 4 (60 mg, 74 ¦Ìmol)  in CHCl 3 (17 mL) under nitrogen atmosphere.  TFA (0.57  ¦ÌL, 7.43  ¦Ìmol) was then added drop  wise and the reaction  was stirred at rt  for 18  h.  The reaction mixture was cooled at 0 ¡ãC, and DIBAL  (1.50  mL, 1.0 M solution in CH 2Cl2, 1.50 mmol) was added. The clear solution was stirred at 0 ¡ãC for 1  h. Saturated NaHCO 3 was added and  the mixture was stirred at rt  for 30 min.  The product was extracted with CHCl 3 (3 x 10 mL) . The combined organic extracts were  dried  over anhydrous Na 2SO 4, and conce ntrate d. The residue was  purified by flash column chromatography using dichloromethane  as the eluent to afford the product as a  white solid (20 mg, 23  %): 1H NMR (500 MHz, C 6D6) ¦Ä 7.60 (s, 6H), 7.46 (s, 6H), 7.36 -7.17 (m, 24H),  (d, J = 8.5 Hz, 12H), 4.40 (t, J = 6.0 Hz, 6H), 3.70 (d, J = 5.3 Hz, 12H), 3.29 (m, 12H), 2.52 (s, 12H), 2.14 (q, J = 7.4 Hz, 6H), 1.93 (m, 6H), 1.65 (m, 8H), 1.51 (m, 16H), 1.31 (m, 74H), 1.11 -0.86 (m, 80H), 0.79 (t, J = 7.1 Hz, 18H); 13C NMR (101 MHz, C 6D6) ¦Ä 161.03, 145.75, 142.72, S7  140.00, 139.48, 134.32, 134.08, 132.62, 131.33, 131.10, 130.08, 128.67, 125.33, 122.69, 117.61, 113.10, 111.54, 92.50, 87.15, 74.63, 46.89, 34.56, 32.04, 31.05, 30.77, 29.93, 29.85, 29.66, 29.54, 26.57, 24.96, 22.83, 22.31, 14.1 2, 14.07; MS (MALDI) calc¡¯d for  C213H264Br6N6O3S3 ([M+]) 3531.5 0, found 3530.78.",comprehensive synthesis
"S8   3. GPC G raph of Cage 1  4. Gold Nanoparticle Assembly  All reactions were carried out on a 5 -10 mg scale with respect to cage 1.  A solution of HAuCl 4 (6 mg, 0.014  mmol) in deionized  H2O (0.5 mL) was stirred and TOAB  (39 mg, 0.0 71 mmol)  in CH 2Cl2 (0.5 mL) was added and stirred until Au( III) was transferred into organic phase ( ~25 min).  A solution of cage 1 (5 mg, 0.0014  mmol)  in CH 2Cl2 (0.5 mL) and subsequently reduced with an aqueous solution of NaBH 4 (10 mg, 0.26 mmol ) in deionized H 2O (0.5 mL).  The resulting organic layer was dark in color and contained no precipitate.  After separation, the aqueous layer was washed with CH 2Cl2 (2 x 1 mL), the organic fractions were combined and concentrated to ca. 0.2 mL without the application of heat.  Ethanol (1.5 mL) was then added and the solution was centrifu ged to precipitate the AuNP@ 1 complexes.  This centrifugation 0123456781112131415161718Detector Response (mV)  Retention Volume (mL)  S9  procedure was repeated  until the supe rnatant was no longer colored ( ~3 times ).  The resulting complexes are soluble in all organic solvents and stable in solutions, ev en over periods of several months .",comprehensive synthesis
"Template Synthesis of Gold Nanoparticles with an Organic MolecularCageRyan McCa ?rey,?Hai Long,?Yinghua Jin,?Aric Sanders,¡ìWounjhang Park,¡Íand Wei Zhang *,??Department of Chemistry and Biochemistry, and¡ÍDepartment of Electrical, Computer and Energy Engineering, University ofColorado, Boulder, Colorado 80309, United States?National Renewable Energy Laboratory, Golden, Colorado 80401, United States¡ìNational Institute of Standards and Technology, Boulder, Colorado 80305, United States*SSupporting InformationABSTRACT: We report a novel strategy for thecontrolled synthesis of gold nanoparticles (AuNPs) withnarrow size distribution (1.9 ¡À0.4 nm) through NPnucleation and growth inside the cavity of a well-de ?nedthree-dimensional, shape-persistent organic molecularcage. Our results show that both a well-de ?ned cagestructure and pendant thioether groups pointing inside thecavity are essential for the AuNP synthesis.",this paper's author
