content,category
"demonstrated restriction ofthe rotation ofTPE inanintermolecular network toafford emissive conjugated micro-porous polymers .[34]Dinca ?etal.reported theimmobilizationofTPE units inarigid metal每organic framework (MOF)through coordination polymerization inwhich TPE fluores-cence was switched on.[35]Allthese efforts ,however ,arefocused onthepolymer orsupramolecular systems .Althoughsimple TPE molecular models based onasingle-moleculeplatform arebetter toinvestigate structure每property relation-ships and tounderstand the AIE/RIR mechanism, the[*]Dr.C.Zhang, Z.Wang,T.-L.Zhai, Dr.S.Wang, Prof. X.-L. Yang,Prof. H.-B. XuCollege ofLifeScience andTechnologyNationa lEngineering Research Center forNanomedicin eHuazho ngUniversi tyofScience andTechnology1037 Luoyu Road, Wuhan, 430074 (China)E-mail :chunzhang@ hust.edu.cnshengwang@ hust.edu.cnL.Tan,Prof. B.Tan,Prof. Y.-S.ZhengSchoo lofChemistr yandChemical Engineeri ngHuazho ngUniversi tyofScience andTechnology1037 Luoyu Road, Wuhan, 430074 (China)E-mail :bien.tan@ hust.edu.cnzyansong@h otmail.com[**] This work issupported bytheNational Natural Science FoundationofChina (20902031 andJ1103514), theNational Basic ResearchProgram (2012CB9 32500), andtheFundamenta lResearch FundsfortheCentral Universities (HUST 2015TS086). Wethank theAnalyt icalandTesting CenteroftheHuazhong Universi tyofScienceandTechnolog yforrelated analysis. Wealso thank Dr.Anthony F.",affiliation
[42] CCDC 1043021 (1)contains thesupplement arycrystallograph icdata forthispaper .These data areprovided free ofcharge byTheCambridge Crystallog raphic Data Centre .,CCDC
"X-Ray Crystallography  analysis . The X -ray intensity data for  cage 1 were  collected on a standard Bruker SMART -1000 CCD Area Detector  System equipped with a normal -focus molybdenum -target X -ray tube  (竹 = 0.71073 ?) operated at 2.0 kW (50 kV , 40 mA) and a graphite monochromator.  The structures were solved by using direct  methods and were refined by employing full -matrix least -squares cycles  on F2 (Bruker, SHELXTL -97).43 Crystallographic data for  cage 1?3(DMSO): Mr = 1527.59 , Orthorhombic , Space group  Pna2 1, a = 23.404(2), b = 22.517(2), c = 19.1441(18) ?, 汐 =  90～, 汕 = 90～, 污 = 90～, V = 10088.8(16) ?3, Z = 4, 老calcd. = 1. 006 g/cm3, 米 = 0.127 mm每1, reflections collected 16796,  data/restraints  /parameters  16796 / 25 / 1026, GOF on F2 0.944, final R 1 = 0.0702, wR2 = 0.1705, R indices (all data): R1 = 0.1131, wR2 = 0.1917, largest diff. peak and  hole:  0.531 and - 0.296 e/?3, CCDC -1043021 .",CCDC
"Synthesis of cage 1.  Tetrahydroxyl TPE  2 (300 mg, 0.75  mmol), 2,  6-dichloropyridine -3, 5-dicarbonitrile 3 (270 mg, 1.5  mmol) and Cs 2CO 3 (1.0 g, 3.0 mmol) were added in a 50 -mL flask. DMSO (20 mL) was added, a nd the rea ction mixture was stirred at room temperature for 4  h. The reaction mixture was precipitat ed by adding H2O (50 mL). The precipitation  was recrystallized in hot DMSO and afforded the target ing product as transparent crystals (100mg, 2 1%). IR (KBr) : 2236, 1614, 1560, 1504, 1433, 1338, 1215, 1163 cm-1. 1H NMR  (600 MHz,  d6 -DMSO ): 汛 9.03 (s, 4H), 7.23 (s, 12H), 6.99 (s, 8H), 6.86 (s, 4H), 6.76 (s, 4H), 6.60 (s,  2 4H). 13C NMR  (150MHz,  d6 -DMSO ): 汛 91.1, 106.3, 107.4, 107.5, 114.0, 121.5, 132.7, 133.3, 1 39.1, 140.4, 140.8, 149.6, 150.1, 151.8, 163.8. MALDI -TOF-MS: m/z  1292.2  (M+). Anal. Calcd for C 80H36N12O8: C, 74.30 ; H, 2.81; N, 13.00; Found: C,  74.53 ; H, 2.96; N, 13.32.",comprehensive synthesis
"Given the internal grid-likeporous structure ofcage 1inthesolid state,thegasadsorption anddesorption properties ofthestructurewere investigated (Figure 3).Inprep-aration forthese experiments ,cage1was desolvated at200 88Cfor8hunder vacuum until allDMSO hadbeen removed (Figure S11). Fromtheresults ofnitrogen sorption analysis ,theBET surface area is432m2g/C01(the Langmuir surface area is507m2g/C01)andthetotal volume is0.23cm3g/C01.A steep nitrogen gasuptake atlowrelative pressure intheFigure 2.DFT-calcul ated structures ofcage 1with onephenyl ringfixed relative toother rings at46.5 88(a)and18.6 88(b).Forclarity ,somehydrogen atoms were omitted. Atom colors :N=blue;O=red;C=green. Thepurple-colo redcarbon atoms define thedihedral anglesused tomodel thePESs. c)PES fortheflipping ofonephenyl ring incage 1.",surface area
"Given themicroporous structure andthepolar functionalgroups ofthe pyridine rings and cyano groups ,itwasenvisaged that cage 1might also besuitable toadsorb H2andCO2.Asshown inFigure 3c,cage1canabsorb 0.75wt%ofH2at1.0bar,which issimilar tothat found forTTEB at10bar.[5]TheCO2sorption properties ofcage 1were mea-sured at273K.Asshown inFigure 3d,cage1canabsorb12.5wt%(2.8mmol g/C01)ofCO2at1.0bar.Withthemoderatesurface area, thegood CO2uptake capacity ofcage 1issimilartothehigh CO2uptake reported bySchro ’deretal.forSOF-7(12.54 wt%).[40]Theuptake isalso similar that reported byCooper etal.forporous cages CC2 (3.0mmol g/C01)andCC3(2.5mmol g/C01),[14]respectively ,andishigher than thereportedtriptycene-based cages (11.0 wt%or2.1mmol g/C01)withhighBET surface area of1566 or1700 m2g/C01,respectively .[15,18c]Theexcellent CO2adsorption ability ofcage 1may resultfrom theperfect match ofthemicroporous structure with thesizeofCO2andtheelectron-rich properties ofnitrogen andoxygen atoms inthecage skeleton thatfacilitate local-dipole/quadrupole interactions with CO2.Theisosteric enthalpy(Qst)ofcage1toward CO2with avalue of24kJmol/C01wascalculated from theadsorption isotherms at273Kand298Kusing theClausius每Clapeyron equation (Figure S14).[41]Theselectivity ofcage 1toward CO2over N2wasinvestigated bysingle-component gassorption experiments at273K.ACO2/N2selectivity of80wascalculated from analysis oftheinitialslopes oftheadsorption isotherms forcage 1(Figure S15).",surface area
"Chun Zhang ,*Zhen Wang,Liangxiao Tan,Tian-Long Zhai, Sheng Wang,*Bien Tan,*",this paper's author
"Yan-Song Zheng ,*Xiang-Liang Yang,andHui-Bi XuAbstract :Aquadrangular prismatic tricycloo xacalixarenecage 1based ontetraphenylethylene (TPE) wasefficientlysynthesized byaone-pot SNArcondensation reaction. Asaresult oftheporous internal structure inthesolid state,cage1exhibited agoodCO2uptake capacity of12.5wt%andahighselectivity forCO2over N2adsorption of80(273K,1bar)with aBETsurface area of432m2g/C01.Formation ofcage 1ledtothefluorescence ofTPE being switched oninsolution. The system was emplo yedasasingle-moleculeplatform tostudy themech anism ofaggregation-inducedemission (AIE) byexamining therestriction ofintramolecularrotation (RIR).",this paper's author
"Chun Zhang,* Zhen Wang, Liangxiao Tan, Tian-Long Zhai, Sheng Wang,* Bien Tan,*",this paper's author
"Yan-Song Zheng,* Xiang-Liang Yang, and Hui-Bi Xuange_201502912_sm_miscellaneous_information.pdf 1  1. General information ----------- ------------------ ------------------------------ --1 2. IR spectr um of cage 1----------- ------------------ ---------- ------------------ --3 3. Crystal structures of cage 1 --------------- -------------------------------------4 4. 1H NMR spectr um of cage 1 ----------- ------------------ ---------- ------------4 5. 13C NMR spectr um of cage 1 ----------- ------------------ ---------- ------- ----5 6. VT 1H NMR spectr a of cage 1--------------- ----------------------------------5 7. UV absorption spectrum of ca ge 1 ----------- ---------------- --------------- --6 8. Fluorescent spectra of cage 1 ----------- -------------------- ---------------- ---6 9. PES for the flipping of one phenyl ring in a model of TPE ------------- ---7 10. Hydrogen coupling analysis  in cage 1---------------------- ----------------- --7 11. CAr?CAr?C=C dihedral angle  in crystal structures of cage 1-------- -------8 12. TGA of cage 1----------- ------------------ -------------------------------- -------8 13. Powder X -ray diffraction patters for cage  1---------------------- ---------- --9 14. 13C CP -MAS NMR spectr a of cage 1------- -------------------------- --------9 15. Isosteric enthalpies of adsorption for CO 2 of cage 1---------- ----------- --10 16. Initial gas uptake slopes of cage 1 at 273K ---------------- -------------- ----10  1. General information  Materials obtained co mmercially were used without further purification . 1H NMR and 13C NMR spectra were recorded on a DMX 600 NMR . MALDI -TOF mass spectra were obtained on a BIFLEXIII mass spectrometer.  UV spectra were recorded on SHIMADZU UV -2041PC  spectrometer. Emission spectr a were obtained on HITACHI F-4500 spectrometer.",this paper's author
