content,category
"?Department of Chemistry, Imperial College London, Molecular Sciences Research Hub, White City Campus, Wood Lane, LondonW12 0BZ, U.K.",affiliation
"?Department of Chemistry, Imperial College London, Molecular Sciences Research Hub, White City Campus, Wood Lane, W12 0BZ, U.K.2Electronic Supporting InformationMaterials: 2-Hydroxy-1,3,5-benzenetricarbaldehyde and cis-1,3-cyclohexanediamine were purchased from TCI, 1,3,5-triformylbenzene was purchased from Manchester Organics. Solvents were reagent or HPLC grade and were purchased from Fisher Scientific. All chemicals were used as received.",affiliation
"Full synthetic and experimental details and character-ization data, crystallographic details, and computationaldetails ( PDF)Accession CodesCCDC 1881384 ?1881387 contain the supplementary crys-tallographic data for this paper. These data can be obtainedfree of charge via www.ccdc.cam.ac.uk/data_request/cif ,o rb yemailing data_request@ccdc.cam.ac.uk , or by contacting TheCambridge Crystallographic Data Centre, 12 Union Road,Cambridge CB2 1EZ, UK; fax: +44 1223 336033.",CCDC
"Sample Reference 2(CC20)?46(CH 2Cl2)?46(CH 4O)[a](CC20)?32(C 5H12)[a]Collection Temperature 100 K 100 K竹 [?] Cu-K汐 0.6889Formula C380H612Cl92N48O62 C304H528N24O8Mr 10106.54 4647.47Crystal Size (mm) 0.15 x 0.15 x 0.12 0.15 x 0.15 x 0.11Crystal System Cubic CubicSpace Group Pm3 Im3a [?] 24.880(5) 24.829(7)V [?3] 15402(9) 15306(13)Z 1 2Dcalcd [g cm-3] 1.071 1.008米 [mm-1] 4.002 0.056F(000) 5198 51682牟 range [～] 2.511每33.361 1.124每15.348Reflections collected 4605 10577Independent reflections, R int 1116, 0.0295 687, 0.0435Obs. Data [I > 2考] 745 491Data /restraints /parameters1116 / 98 / 152 687 / 53 / 76Final R1 values (I > 2考(I)) 0.1462 0.1350Final R1 values (all data) 0.1631 0.1464Final wR(F2) values (all data) 0.3675 0.4338Goodness-of-fit on F22.617 3.281Largest diff. peak and hole [e.A-3] 0.257 / -0.426 0.195 / -0.331CCDC 1881384 1881385[a] The SQUEEZE routine was used to mask disordered solvent molecules during the final refinement cycles.5Table S1 continued. Refinement details for 2(CC20)?26(CHCl 3)?23(C 2H3N) and 2(CC20)?17.5(C 5H12).",CCDC
"Sample Reference 2(CC20)?26(CHCl 3)?23(C 2H3N)[a]2(CC20)?17.5(C 5H12)[a]Collection Temperature 100 K 100 K竹 [?] 0.6889 0.7749Formula C360H407Cl78N71O16 C375.50H546N48O16Mr 8749.64 5988.57Crystal Size (mm) 0.21 x 0.14 x 0.09 0.14 x 0.09 x 0.08Crystal System Triclinic TriclinicSpace Group P1 P1a [?] 19.050(5) 19.0938(7)b [?] 22.376(6) 22.1025(8)c [?] 33.050(9) 29.1723(11)汐 [～] 79.525(3) 84.794(2)汕 [～] 86.993(3) 85.553(2)污 [～] 66.012(2) 67.059(2)V [?3] 12653(6) 11278.9(7)Z 1 1Dcalcd [g cm-3] 1.148 0.882米 [mm-1] 0.423 0.064F(000) 4518 32632牟 range [～] 0.981每18.248 2.061每20.623Reflections collected 74249 47395Independent reflections, R int 19877, 0.0479 17700, 0.0499Obs. Data [I > 2考] 14921 10887Data /restraints /parameters19877 / 1545 / 1822 17700 / 1562 / 1681Final R1 values (I > 2考(I)) 0.1311 0.0979Final R1 values (all data) 0.1478 0.1319Final wR(F2) values (all data) 0.3680 0.2925Goodness-of-fit on F22.387 1.639Largest diff. peak and hole [e.A-3] 0.500 / -0.433 0.464 / -0.267CCDC 1881386 1881387[a] The SQUEEZE routine was used to mask disordered solvent molecules during the final refinement cycles.6Synthesis of CC20A solution of methanol/dichloromethane (1:1 v/v, 350 mL) was slowly added onto solid 2-hydroxy-1,3,5-triformylbenzene (449 mg, 2.52 mmol) without stirring at room temperature. Trifluoroacetic acid (10 米L) was added directly to this suspension followed by a solution of cis-1,3-cyclohexanediamine (432 mg, 3.78 mmol) dissolved in methanol/dichloromethane (1:1 v/v, 50 mL). The unstirred reaction was sealed and left to stand. Over a period of 14 days all of the solid 2-hydroxy-1,3,5-triformylbenzene was consumed, and crystals grew on the inner sides of the round bottom flask. The yellow solution was gradually exchanged with n-pentane then the crystals were soaked in n-pentane for a further 7 days. The solvent was carefully decanted and the crystals were dried under a flow of nitrogen gas for 7 days then under vacuum for a further 7 days at ambient temperature to afford an orange solid (435 mg, 58%). 1H NMR (CDCl 3): 汛 14.70每14.20 (m, OH, 8H), 8.79 (s, CH=N, 8H), 8.41 (m, CH=N, 8H), 8.24 (s, CH=N, 8H), 8.06 (m, ArH, 16H), 3.44每3.18 (m, CHN, 24H), 2.1每1.36 (m, CH 2, 96H); 13C NMR (CDCl 3): 162.8, 158.0, 153.70, 132.2, 131.2, 127.0, 123.7, 119.6, 69.6, 68.0, 42.6, 33.3, 22.9, 22.6; MS (HRMS)+ calcd for C 144H168N24O8 [M+2H]2+: 1181.6811; found 1181.6881.",comprehensive synthesis
"*SSupporting InformationABSTRACT: Porous organic cages have emerged over thelast 10 years as a subclass of functional microporous materials.However, among all of the organic cages reported, largemulticomponent organic cages with 20 components or moreare still rare. Here, we present an [8 + 12] porous organicimine cage, CC20 , which has an apparent surface area up to1752 m2g?1, depending on the crystallization and activationconditions. The cage is solvatomorphic and displays distinctgeometrical cage structures, caused by crystal-packing e ?ects,in its crystal structures. This indicates that larger cages candisplay a certain range of shape ?exibility in the solid state, while remaining shape persistent and porous.",surface area
"In comparison with the [4 + 6] cage synthesized by Petryket al., the larger CC20 must be desolvated more carefullybefore gas sorption. The as-synthesized Pm3 structure is poorlycrystalline after the reaction solvent is removed from the pores,and this phase was found to be nonporous to N2afterdesolvation under vacuum at 90 ～C(Figure 2 andFigures S8 ?S10). However, careful desolvation of the n-pentane activatedIm3 phase under a ?ow of nitrogen followed by vacuum atambient temperature a ?orded a porous phase ( Figure 2 andFigures S11 and S12 ). In contrast, drying the pentane solvatein air for 2 days results in loss of crystallinity ( Figure S13 ). Thecarefully desolvated sample was found to be porous with anSABETvalue of 829 m2/g. However, after activation and postgas sorption, PXRD patterns indicate that this materialtransforms after the n-pentane is removed from the crystalstructure ( Figure S11 ).",surface area
"The as-crystallized P1 CHCl3/MeCN phase was carefullyactivated by initially exchanging the crystallization solvent withn-pentane and then by heating this P1n-pentane solvate at 30～C under vacuum. After activation using these conditions, wefound that this phase performed better in terms of structuralstability and it remained crystalline after gas-sorption analysis,according to PXRD measurements ( Figure S14 ). Thermogra-vimetric analysis (TGA) also indicates that the CC20 material,crystallized and activated using the same conditions, is stableand crystalline up to 300 ～C, when it is heated under N2Figure 1. Single-crystal structure and crystal packing of di ?erent CC20 solvates recorded at 100 K: (a, b) two distinct CC20 conformers in Pm3DCM/MeOH solvate, which pack window to window in the crystal structure; (c, d) window to windows packing in the Im3n-pentane phase; (e)window to vertex packing of CC20 in the CHCl3/MeCN P1 solvate, which reduces the size of extrinsic voids between cages in the crystal structure;(f, g) crystal packing in the n-pentane P1 solvate. Cage conformers with pronounced elliptical shapes are highlighted in green, and disordered OHgroups and all H atoms are omitted for clarity.Crystal Growth & Design ArticleDOI: 10.1021/acs.cgd.8b01761Cryst. Growth Des. 2019, 19, 3647 ?36513649(Figures S15 and S16 ). The SA BETvalue for this phase was1752 m2/g, which is one of the higher values reported so far forPOCs ( Figure 2 andFigure S17 ); the current record is 3758m2/g,7but the vast majority of POCs have SABETvalues <1000m2/g.6The desolvated P1 phase also shows a large xenonuptake of 3.44 mmol/g at 1 bar and 273 K; by comparison, thesmaller [4 + 6] CC3 has a Xe uptake of 2.69 mmol/g at 1 barand 298 K ( Figures S17 and S18 ), but unlike CC3,CC20 doesnot appear to be saturated at 1 bar Xe pressure.8Di?erences were observed between the simulated PXRDpatterns of the Im n -pentane solvate and the P1 solvates, incomparison to the PXRD patterns recorded after desolvationand gas sorption analysis, indicating that the cage structurestransform further during these processes ( Figures S19 andS20). This is likely due to changes in the shape of CC20 upondesolvation and/or reorientation of the cages in the crystallattice. We ascribe this to the ※shape ?exibility §exhibited byCC20 and the spherical nature of this cage. We have previouslyfound that smaller spherical cages can be highly solvatomor-phic37and di ?cult to desolvate without pronounced structuraltransformations.",surface area
"13←SUMMARYIn conclusion, by increasing the bond angle between thereactive functionality on one of the starting materials, we havesuccessfully synthesized a new [8 + 12] cage, CC20 , by iminecondensation. CC20 was observed to form several solvato-morphs by SCXRD, which contain a number of distinctlyshaped cages due to crystal-packing e ?ects. To the best of ourknowledge, this is the ?rst time that a ※shape-persistent §POChas displayed ?exibility in the solid state. The formation of thelarge CC20 was found to be more sensitive to the synthesisconditions than its smaller analogue, and the stabilizing e ?ectsof hydroxyl groups were required to form the cage. CC20exhibits a very high SABETvalue of 1752 m2/g, which is amongthe highest reported for an organic molecular solid.←ASSOCIATED CONTENT*SSupporting InformationThe Supporting Information is available free of charge on theACS Publications website at DOI: 10.1021/acs.cgd.8b01761 .",surface area
"SA BET(m2g-1, N 2 at 77 K)Uptake of Gases at 1 bar (mmol g-1)N2(at 77 K)H2(at 77 K)CO 2(273 K)Xe(273 K)Kr(273 K)CC20DCM/MeOH phase5a0.35 2.10 - - -CC20n-Pentane phase829a15.79 - 1.69 1.81 0.43CC20CHCl 3/MeCN phase1752a26.06 - - 3.44 0.6923Figure S19. Comparison between PXRD patterns recorded after activating the n-pentane solvated Im 3phase and recording gas sorption isotherms (top), and after activating n-pentane solvated P phase and 1recording gas sorption isotherms (bottom).24Figure S20. Le Bail fit for PCC20 phase, recorded after activation and measuring gas sorption 1 isotherms; final observed (red), calculated (black) and difference (blue) PXRD profiles for Le Bail refinement (R wp = 2.97%, R p = 1.93%, ?2 = 2.48, a = 18.552(1) ?, b = 18.894(1) ?, c = 19.339(1) ?; 汐 = 103.196(3)～, 汕 = 119.007(6)～, 污 = 103.6444(4)～; V = 5806.9(7) ?3). This measurement was performed using a sample loaded in a borosilicate glass capillary. The volume of this Le Bail fitted unit cell is ~50% of the unit cell volume of the n-pentane solvated P phase (V = 11278.9(7) ?3). 125Figure S21. Fluorescence emission spectra of CC20 in CHCl 3 at 357 (top) and 497 nm (bottom). Both excitation wavelengths give emission at 534 nm (yellow-green colour).",surface area
