content,category
"Registered charity number: 207890rsc.li/chemcomm  Showcasing research from Yu-Bin Dong¡¯s laboratory, Department of Chemistry, Shandong Normal University, Jinan, China.",affiliation
"College of Chemistry,  Chemical Engineering  and Materials Science,  Collaborative  Innovation Center of Functionalized Probes for Chemical  Imaging in Universities of Shandong,  Key Laboratory of Molecular and Nano Probes, Ministry of Education, Shandong Normal University,  Jinan 250014, P. R. China. E-mail: gongjchen@126.com,  yubindong@sdnu.edu.cn.",affiliation
"The molecular structure of 1was finally confirmed by X-raysingle-crystal analysis.91crystallized in the chiral cubic spacegroup F4132, as indicated in Fig. 1a (CCDC 1515347, Fig. S1 andTables S1, S2, ESI ?).1consists of six cyclohexyl and fourhydroxyphenyl moieties interlinked viaimine groups. Notably,it featured a high symmetry that resulted in the appearance ofdisorder in certain parts. For example, the substituted hydroxylgroup was split over three positi ons and occupied three symmetricsites on the central phenyl ring. On the other hand, 1wasnanosized and possessed a ca.2 nm outer diameter and four ca.",CCDC
"Its phase purity was well demonstrated by the PXRD andSEM. All the obtained crystals of 1featured octahedral shape(Fig. S2, ESI ?) and its measured PXRD pattern is identical to thesimulated one (Fig. 1b), indicating that 1was obtained in a purephase. In addition, we examined the stability of 1in alkalinemedium. As is shown, there was no structural integrity loss afterScheme 1 Synthesis of 1andAg@1 .College of Chemistry, Chemical Engineering and Materials Science, CollaborativeInnovation Centre of Functionalized Probes for Chemical Imaging in Universities ofShandong, Key Laboratory of Molecular and Nano Probes, Ministry of Education,Shandong Normal University, China. E-mail: gongjchen@126.com,yubindong@sdnu.edu.cn?Electronic supplementary information (ESI) available: Synthesis and additionalcharacterization of 1and Ag@1 , single-crystal data of 1, general procedure for thereaction catalysed by Ag@1 , recycling of Ag@1 , the reaction of substitutednitrobenzene by Ag@1 and the reaction mechanism analysis. CCDC 1515347.",CCDC
"9 After 1(CCDC 1515347 ?) was synthesized, the same organic cagewas reported using a di?erent method: M. Petryk, J. Szymkowiak,B. Gierczyk, G. Spo ¡älnik, ?. Popenda, A. Janiak and M. Kwit, Org.",CCDC
"Crystallographic data  (excluding  structure factors) for the structure reported in this paper  have been deposited with  the Cambridge Crystallographic Data  Center  as supplementary publication no CCDC 1515347. Copies of the data can be obtained free of charge on application to CCDC, 12 Union  Road, Cambridge  CB2 1EZ, UK (fax: (+44)1223-336-033; e-mail: deposit@ccdc.cam.ac.uk).",CCDC
"11We initially optimized the Ag@1 -catalyzed reaction condi-tions based on the nitrobenzene to azobenzene model reaction,in which alcohol was chosen as the reducing reagent with theaid of alkali. As shown in Table 1, the best result was obtainedwhen the reaction was carried out in the presence of Ag@1(8 mg, 1% mol Ag equiv.) and NaOH (3 mmol) in ethanol uponillumination with visible light (435 nm) for 9 h, and no moreyield change at a prolonged reaction time (Fig. 3a, Fig. S8,ESI?). The corresponding azobenzene product was generated inFig. 1 (a) Di?erent views of the molecular structure of 1, and schematicillustration of Ag@1 . (b) Simulated and measured PXRD patterns of 1,1inEtOH solution of NaOH (3 mmol mL/C01) for 72 h, and Ag@1 . (c) UV-visspectra of 1andAg@1 .",comprehensive synthesis
"1.2 Synthesis  of 1A DMF  (2 mL) solution  of trans -(1R,2R)-diaminocyclohexane  (6.8 mg, 0.06  mmol)  and 2-hydroxy-1,3,5-triformylbenzene  (7.1 mg, 0.04  mmol)  was heated  at 90¡ãC  for 3 days  in a Teflon-lined  stainless  steel  autoclave  (10 mL).  After  slowly  cooling  to room  temperature,  yellow  block  crystals  were  generated.  The crystalline  solids  were  then  filtered  off, washed  with  acetone . Yield,  85%.  IR 3380,  3366,  2924,  2855,  1669,  1635,  1601,  1532,  1450,  1376,  1290,  1258,  1160,  1142,  1091,  1010,  947,  937,  866,  797,  766,  643 cm-1. 1H NMR (400  MHz, CDCl 3) ¦Ä 14.76-113.69  (4H, -OH), 8.66-8.37(4H, ortho-CH=N,  Z isomers), 8.33-8.10 (4H, ortho-CH=N, E isomers), 8.10-7.91 (4H, para-CH=N), 7.91-7.67 (8H, Ar-H), 3.45-3.02 (12H, Cy, CH-N=), 1.88-1.25 (48H, Cy, -CH 2); 13C NMR  (400 MHz, CDCl 3) ¦Ä 164.26-160.12 (Ar, C-OH),  159.88-155.96  (para-CH=N), 155.28-152.02  (ortho-CH=N), 133.24-128.05  (Ar, C-H), 126.90-124.10 (para, Ar, C-C=N), 123.23-121.12  (Ar, C-(E)C=N), 118.80-117.42(Ar, C-(Z)C=N), 74.78-70.87 (Cy, CH-N),  32.90-31.17 (3-Cy, CH 2), 24.03-22.22 (4-Cy,  CH 2); ESI-HR-MS calcd  for C72H85N12O4 [M+H]+ : 1181.6817 found 1181.6656.",comprehensive synthesis
"1.3 Synthesis  of Ag@ 11 (10 mg) in CH 2Cl2 (25mL)  and AgNO 3 (22.5  mg) in MeOH  (15 mL) were  mixed  and stirred  vigorously  for 10 h at room  temperature.  After  removal  of the solvent  in vacuum,  the obtained  solids  were  washed  several  times  with  MeOH  and CH 2Cl2 (9.8 mg, 85%).  The obtained  Ag(I)@1  (10 mg) was then  stirred  in MeOH  (50 mL) at 80oC for 10 h to generate  Ag@1  as an orange  solid  (9.8 mg).  ICP measurement  indicated  that  the encapsulated  amount  of Ag NPs in POC  is 15.0  wt%.  IR 3380,  3366,  2924,  2855,  1669,  1635,  1601,  1532,  1450,  1376,  1290,  1258,  1160,  1142,  1091,  1010,  947,  937,  866,  797,  766,  643 cm-1.",comprehensive synthesis
"1.4 Reduction  nitrobenzene  to azobenzene  A mixture  of nitrobenzene  (120 ¦ÌL, 1.18 mmol), NaOH (120mg, 3mmol) and Ag@1 (8 mg, 1.0 mol % Ag equiv)  in EtOH (1 mL) was stirred  at room temperature under visible light irradiation (¦Ë = S3435nm, 300 W xenon  with  a power density of 2.5 W/cm2) for 12 h in air (monitored by GC) to afford the corresponding product.",comprehensive synthesis
