content,category
"[a]Dr.R.L.Greenaway ,Dr.M.J.Benni son,Dr.M.A.Little, A.Marsh,Prof. A.I.CooperDepar tment ofChem istry and Materi alsInnov ation Factor yUniversi tyofLiver pool51Oxford Street, Liverpoo l,L73NY (UK)E-mail :rebecca.gr eenaway @liverpoo l.ac.uk[b]Dr.V.Santo lini,Dr.F.T.Szczypin∩ski,Dr.K.E.JelfsDepar tment ofChem istryImperial College Lond onMolecular Sciences Research Hub, White City Camp usWood Lane, Lond on,W12 0BZ (UK)[**] Aprevious versio nofthismanuscript has been deposit edonapreprintserver (https ://doi.o rg/10.2643 4/chem rxiv.1010707 4.v2).",affiliation
"Single crystal X -ray Diffract ion: Single crystal X -ray data for OCD1 , crystallised from CHCl 3/MeCN, was measured  at beamline I19, Diamond Light Source, Didcot, UK using silicon double crystal monochromated synchrotron radiation (竹 = 0.6889 ?, Dectris Pilatus 2M detector). The crystals  were unstable out of the crystallisation solvent and the X -ray data was recorded after flash freezing a crystal at 100 K. D ata reduction and empirical absorption corrections were performed with xia2.4 The s tructures were solved with SHELXT5 and refined by full -matrix least squares on | F|2 by SHELX L,6 interfaced through the programme OLEX2 .7 All non -H-atoms of OCD1  were refined anisotropically . All H-atoms were fixed in geometrically estimated positions and refined using the riding model. A Supplementary  CIF, that i nclude structure factor  data , is available free of charge from the Cambridge Crystallographic Data Centre (CCDC) via www.ccdc.cam.ac.uk/data_request/cif  (deposition number : 1952665 ).",CCDC
"OCD1 ?2.5(CHCl 3)?9.5(H2O)[a] Wavelength [?]  0.6889  Collection Temperature  100 K  Formula  C106H98N12, 2(CHCl 3), 11.4(O)  Mr 1961.09  Crystal Size (mm)  0.14 x 0.07 x 0.06  Crystal System  Triclinic  Space Group  P1? a [?] 12.7043(2)  b [?] 12.7528(2)  c [?] 19.5212(5)  汐 [～] 88.718(2)  汕 [～] 79.806(3)  污 [～] 62.334(2)  V [?3] 2750.42(10)  Z 1 Dcalcd [g cm-3] 1.184  米 [mm-1] 0.198  F(000)  1025  2? range [～]  4.18 每 49.68  Independent reflections  6921  Obs. Data [ I > 2考] 4189  Data /  restraints /  parameters  6921/ 539 / 666  Final R1 values ( I > 2考(I)) 0.1225  Final R1 values (all data)  0.1586  Final w R(F2) values (all data)  0.2898  Goodness -of-fit on F2 2.818  Largest difference peak and hole [ e.A-3] 0.427 / -0.355  CCDC  1952665  [a] X-ray data for, OCD1 ?2(CHCl 3)?11.4(H 2O), was poor quality, despite using synchrotron radiation, and the crystal suffered severe radiation damage during the data collection. Due to radiation damage, only one  scan was used to generate the reflection file . As a result, d ata completeness is poor (71%). In addition, due to twinning, t he reflection file was detwinned using TwinRotMat function in Platon,8 and refined as a 2 -component twin (HKLF 5) with BASF refined to 0.390(4) . Due to severe disord er, all aromatic rings were refined with constrained geometries (AFIX 66 in SHELX), and the structure was refined with a rigid -bond restraint (RIGU in SHEL). The disorder and poor sample quality account for the high R-values. Addition solvent molecules, wh ich could not be modelled as CHCl 3, were refined as disordered O -atoms. Disordered solvent also accounts for the high R -values. For a displacement ellipsoid plot, see Figure S12 . S19    Figure S 14: (a, b) Displacement ellipsoid plots from the single crystal structure, OCD1 ?2(CHCl 3)?11.4(H 2O), crystallised from CHCl 3/MeCN. Ellipsoid displayed at 20% probability level; and solvent omitted for clarity. (c) Crystal packing in the X -ray structure of, OCD1 ?2(CHCl 3)?11.4(H 2O). Ordered and disordered solvent molecules, which fill the voids in the structure between the OCD1  axels, are omitted for clarity.",CCDC
"General Procedure for Screening other OCD  Formation s: A solution of (2,4,6 -trimethylbenzene -1,3,5 -triyl) trimethanamine  (125 mg, 0.603 mmol, 6.0 eq.), isophthalaldehyde (54 mg, 0.402 mmol, 4.0 eq.), and one of either  5'-(1,4-phenylenebis(ethyne -2,1-diyl))diisophthalaldehyde 1, [1,1':4',1'' -terphenyl] -3,3'',5,5'' -tetracarbaldehyde 2, or 5,5'-(ethyne -1,2-diyl)diisophthal -aldehyde 3 (0.10 mmol, 1.0 eq.) was dissolved in DCM (130 mL).  For quantities in each reaction see Table S 2. The resulting solutions were  heated to 40 ～C for 3 days, before being allowed to cool to room temperature. The s uspensions were filtered to remove insoluble precipitates before crude aliquots were taken for analysis by LCMS  to determine the ratio of B1 to OCD  formed  每 see Table S2  and Figure S2.  S5   Table S1: Optimisation screen for formation of OCD1  每 different  equiv alents  of tri-topic amine  (entries 1 -3), di-topic  aldehyde  (entries 3 -5), and t etra-topic aldehyde  (entry 3, and entries 6 -7) were screened , alongside a different solvent (entry 8) .",comprehensive synthesis
"S11   1.3 Scale -up, Purification  and Characterisation of Organic Cage Dumbbell  OCD1   A solution of (2,4,6 -trimethylbenzene -1,3,5 -triyl)trimethanamine  (1.06 g, 5.123 mmol, 5.0 eq.), isophthalaldehyde (550 mg, 4.098 mmol, 4.0 eq.), and 5'-(1,4-phenylenebis( ethyne -2,1-diyl))diisophthalaldehyde 1 (400 mg, 1.024 mmol, 1.0 eq.) was dissolved in DCM ( 1100  mL). The resulting solution were heated to reflux  for 2 days, before being allowed to cool to room temperature. The reaction was filtered to remove insoluble pr ecipitate s (513 mg isolated, 28% based on mass recovery)  before  the addition of hexane (500 mL). The DCM was carefully removed in vacuo  (no heat on rotary evaporator water bath), and the resulting pale yellow  precipitate collected by filtration. The isolated pale yellow solid was dried further in vacuo  and analysed (885 mg isolated, 50% based on mass recovery).",comprehensive synthesis
"S20   1.4 Study of Polymer Side -Product Formation and Composition  Synthesis of polymer from OCD1:B1  formation : A solution of (2,4,6 -trimethylbenzene -1,3,5 -triyl)trimethanamine (265 mg, 1.281 mmol, 5.0 eq.), isophthalaldehyde (137.5 mg, 1.025 mmol, 4.0 eq.), and 5'-(1,4-phenylenebis(ethyne -2,1-diyl))diisophthalaldehyde 1 (100 mg, 0.256 mmol, 1.0 eq.) was dissolved i n DCM (275 mL). The resulting solution w as heated to reflux for 2 days, before being allowed to cool to room temperature. The reaction was filtered to remove insoluble precipitates (178 mg isolated, 36% based on mass recovery) which were retained  for decom position studies. Hexane (500 mL) was added to the filtrate, and DCM was carefully removed in vacuo  (no heat on rotary evaporator water bath), and the resulting off white  precipitate collected by filtration. The isolated off white  solid was dried further in vacuo  and analysed to check purity compared to the earlier OCD1  scale -up (211 mg isolated, 42% based on mass recovery).  Analytical HPLC  74:26 ratio B1:OCD1  (% a/a) 每 Figure S15 .",comprehensive synthesis
"S21   Synthesis of polymer from di -topic aldehyde : A solution of (2,4,6 -trimethylbenzene -1,3,5 -triyl)trimethanamine (265 mg, 1.281 mmol, 5.0 eq.) and isophthalaldehyde (137.5 mg, 1.025 mmol, 4.0 eq.) were  dissolved in DCM (275 mL). The resulting solution w as heated to reflux for 2 days, before being allowed to cool to room temperature. The reaction was filtered to remove insoluble precipitates (21.1 mg isolated, 5% based on mass recovery , Figure S16 ) which were retained for decomposition  studies. An aliquot of the filtrate was analysed by HPLC to confirm the formation of B1 (Figure  S17).",comprehensive synthesis
"Synthesis of polymer from tetra -topic aldehyde : A solution of (2,4,6 -trimethylbenzene -1,3,5 -triyl)trimethanamine (265 mg, 1.281 mmol, 5.0 eq.) and 5'-(1,4-phenylenebis(ethyne -2,1-diyl))diisophth -alaldehyde 1 (100 mg, 0.256 mmol, 1.0 eq.)  was dissolved in DCM (275 mL). The resulting solutions was heated to reflux for 2 days, before being allowed to cool to room temperature. The reaction was filtered t o remove insoluble precipitates (55.1 mg isolated, 15% based on mass recovery , Figure S16 ) which were retained for decomposition studies.  An aliquot of the filtrate was analysed by HPLC to confirm the lack of formation of any small oligomeric species ( Figu re S17 ).",comprehensive synthesis
"Rebe ccaL.Green away ,*[a]Valentin aSantolini,[b]FilipT.Szczypin ∩ski,[b]Michael J.Bennison,[a]Marc A.Little,[a]Andr ewMarsh ,[a]KimE.Jelfs,[b]and Andre wI.Coope r[a]Abstract :Molecular dumb bells with organic cage cappingunits were synthesised viaamulti-c omponent imine con-densation between atri-top icamine and di-and tetra-topic aldehy des.Thisisanexample ofself-so rting, whichcanberationalis edbycompu tational modelling.",this paper's author
"Rebecca L. Greenaway,*[a]Valentina Santolini,[b]Filip T. Szczypin ∩ski,[b]Michael J. Bennison,[a]Marc A. Little,[a]Andrew Marsh,[a]Kim E. Jelfs,[b]and Andrew I. Cooper[a]chem_201905623_sm_miscellaneous_information.pdfS1   Supporting Information  Organic Cage Dumbbells  Rebecca L. Greenaway , *[a] Valentina Santolini,[b] Filip T. Szczypi 里ski,[b] Michael J. Bennison,[a] Marc A. Little,[a] Andrew Marsh,[a] Kim E. Jelfs[b] and Andrew I. Cooper[a]  aDepartment of Chemistry and Materials Innovation Factory, University of Liverpool, 51 Oxford Street, Liverpool, L7 3NY, UK; bDepartment of Chemistry, Imperial College London, Molecular Sciences Research Hub, White Cit y Campus, Wood Lane, London, W12 0BZ, UK  Email: rebecca.greenaway@liverpool.ac.uk   Contents  1. Experimental Details ＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃.  2 2. Computational Details  ＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃.  24 3. References ＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃＃..  27   S2   1. Experimental Details  1.1 General Synthetic and Analytical Methods  Materials:  Chemicals were purchased from TCI UK, Fluorochem , or Sigma -Aldrich. Solvents were reagent or HPLC grade p urchased from Fisher Scientific . All chemicals and solvents were used as received unless specified.",this paper's author
