content,category
"[19] Deposition Numbers 2053680 (for PTM-P ), 2053682 (for PTM-TC,C2/cspace group), and 2053683 (forPTM-TC ,P/C221 spacegroup) contain the supplementary crystallographic data for thispaper. These data are provided free of charge by the jointCambridge Crystallographic Data Centre and Fachinforma-tionszentrum Karlsruhe Access Structures service www.ccdc.cam.ac.uk/structures.",CCDC
Data completeness : 0.964 . CCDC number: 2053680 .,CCDC
"2.2.1) Crystal data and structure refinements  of PTM -TC(I) Formula : C184H108Cl48N16. Formula weight : 4244.46 g/mol . Crystal size max/min/mim / mm: 0.06/0.06/0.05. Temperature : 170.0 K. Radiation type: Ga -K¦Á. Wavelength / ? : 1.34139. Bond precision: 0.0278 ?. Crystal color: red. Crystal description: block . Crystal system : monoclinic . Space group : C2/c. Unit cell dimensions : a = 38.229(13)  ?, b = 18.442(6)  ?, c = 38.078(13)  ?, ¦Á = ¦Ã = 90¡ã, ¦Â = 109.060(6)¡ã . Volume(?3): 25374(15) . Z: 4. ¦Ñ (g.cm-3): 1.111. F (000): 8560 . ¦Ì (mm-1): 3.288. ¦È for data collection (o): 2.713 to 48.175. Limiting indices: -42¡Üh¡Ü 42, -20¡Ük¡Ü1 6, -42¡Ül¡Ü 42. Reflection collected : 95695 [R(int) = 0.1793 ]. Data / restraints / parameters: 18016/ 273/1094. Goodness -of fit S20  on F2: 1.300.  R1(wR 2) [I> 2 ¦Ò(I)]: 0.1390( 0.3108) . R1(wR 2)(all data) : 0.2574( 0.3504) . Data completeness: 0.988.  CCDC number: 2053682.",CCDC
"Data completeness: 0.9 75. SQUEEZE function in the PLATON program was used to account for the highly disordered solvents (chlorobenzene) which cannot be successfully resolved. (Solvent Accessible Volume = 3774, Electrons Found in S.A.V. = 873).  CCDC number: 2053683.",CCDC
"2. Synthetic procedures   Scheme S1. Synthesis of  PTM -P Tris(2,3,5,6 -tetrachlorophenyl)methane  was prepared according to literature procedures.1 Tris(2,3,5,6 -tetrachloro- 4-iodophenyl)methane : Under nitrogen  atmosphere, a solution of tris(2,3,5,6 -tetrachlorophenyl)methane  (1.50 g, 2.3 mmol) in dry THF ( 85 mL) placed in a 250 ml flask,  was cooled to - 78 ¡ãC . Then n-BuLi (2.5 M in n -hexane, 4.60  mL, 1 1.5 mmol) was added slowly  in 1 hour . The dark red solution was stirred at -78 ¡ãC for 2 .5 h and then I 2 (5.85  g, 23.0  mmol  in 10 mL dry THF) was added. The mixture was slowly warmed to room temperature and stirred  overnight.  The reaction was quenched by adding saturated Na 2S2O3 solution ( 40 mL) and then THF was evaporated.",comprehensive synthesis
"The color of the reaction mixture changed from dark red to light pink. After filtration, the solid was Cl ClCl ClCHCl3+1) AlCl 32) H+/H2OClClClCl ClClClClClClClClHH HHClClClCl ClClClClClClClClHI IInBuLi, I2THF, -78oC - r.t.",comprehensive synthesis
"2) p-chloranil, r.t.tris(2,3,5,6-tetrachloro-4-iodophenyl)methane tris(2,3,5,6-tetrachlorophenyl)methanePTM-H PTM-P~90% 89%65%85%S4  washed with DCM (3 5 mL), then  excess amount of petroleum ether . Tris(2,3,5,6 -tetrachloro- 4-iodophenyl)methane  was obtained  as a white powder in 89% yield ( 2.10 g ). 1H NMR (5 00 MHz, THF -d8, ¦Ä ppm): 6.9 8 (s, 1H).  The 1H NMR spectrum matches that in the  literature.2   PTM -H: Tris(2,3,5,6 -tetrachloro- 4-iodophenyl)methane  (1.15 g, 1. 11 mmol) and  4-formylboronic acid ( 0.78 g, 5.20  mmol) were dis persed  in a mixture solvent consisting of toluene  120 mL, H 2O 20 mL and ethanol  15 mL . The reaction mixture  was degassed for 30 min, before Pd(PPh 3)4 (0.16 g, 0.13 mmol) and K 2CO 3 (0.73 mg, 5.29 mmol) were added. The reaction mixture was stirred at 9 0 ¡ãC under an N 2 atmosphere for 36 h. After cooling to room temperature, the solvent was removed under  vacuum . Residue was poured into water and then extracted with CH 2Cl2. The resulting organic extra ct was washed with water (1 x 50 mL) and brine ( 2 x 50 mL), dried  over anhydrous Na 2SO4, and then concentrated to give the crude product.  Purification by column chromatography (petroleum ether/ethyl acetate/dichloromethane ( 8:1:1); silica gel) yielded the pure PTM -H as a light yellow solid ( 0.71g, 65% ). 1H NMR (5 00 MHz, CD 2Cl2, ¦Ä ppm) 10.10 (s, 3H), 8.03 (d, J = 8. 5 Hz, 6H), 7.48 (d, J =8. 5 Hz, 6H), 7.28 (s, 1H).  The 1H NMR spectrum match es that in the  literature.3 PTM -P: PTM -H (51.5 mg, 0.053 mmol) was dissolved in dry THF (40 mL).  The mixture was degassed for 30 min,  before  tetrabutylammonium hydroxide (40% in water)  (69 mg, 0.106 mmol, 2.0 equiv.) was added. The resulting mixture was stirred at room  temperature  under N 2 atmosphere in dark  for 12 h. The reaction mixture changed from colorless to dark blue.  p-Chloranil ( 31.3  mg, 0. 127 mmol, 2.4 equiv .) was added, after which  the mixture was stirred for  another  8 h. The reaction mixture changed from dark blue to dark red.  The solvent was removed under reduced  pressure at room temperature. The resulting residue was dissolved in 3 mL CH 2Cl2, then purified by  column chromatography  (petroleum ether/ethyl acetate/dichloromethane ( 10:1:1); silica gel) . Pure PTM -P was obtained as red crystals ( 43.7 mg, 85% ). 1H NMR (5 00 MHz, CD 2Cl2, ¦Ä ppm): Owing to the paramagnetic property  of PTM -P, only one broad peak at 9.97  (s, 3H, CHO ) was observed. Both PTM -P in solid -state and solution phase are very sensitive to light, even decompose in several hours under the daylight.  We also found that PTM -P undergoes fast transformation  to PTM -H in CDCl 3 due to the existence of a little amount of HCl and reductive COCl 2 produced by decomposition of CDCl 3. HRMS (MALDI -TOF, m/z): [M]+ calcd for C 40H15Cl12O3, 968.720; found 968.752.  S5   Scheme S2 . Synthesis of  PTM -TC  PTM -TC: PTM -P (13.5 mg, 0.0 14 mmol)  was dissolved in a mixture solvent consisting of C 6H5Cl 3 mL and CH 2Cl2 150 ¦ÌL.  A solution of tris(2 -aminoethyl)amine (71.3 ¦ÌL, 0.205 mM)  in C 6H5Cl was then added. The red transparent reaction solution was sealed and stirred at 60 oC in dark  under the protection of nitrogen atmosphere  for 6 h. After cooling to room temperature, the reaction mixture  was passed through a 0.22 ¦Ìm filter into nine 1 mL clean glass tube s. The tubes were placed in three 20 mL vials containing 1 mL of n -hexane , and the vials were capped and kept at 25 oC. Slow vapor diffusion of n -hexane into the reaction mixture solution over the course of 1 week yielded red block single crystals of PTM -TC. Finally, the red crystals  were dried under  vacuum  at room temperature , giving the racemate PTM -TC (11.0 mg, 75% ) as a red crystalline solid.  1H NMR spectrum recorded  (Figure S 5) was significantly broadened due to its paramagnetic nature.  HRMS (ESI -TOF, m/z): [M+2H]2+ calcd for C 184H110Cl48N16, 2123.7074 ; found 212 3.7022; [M+ 3H]3+ calcd for C 184H111Cl48N16, 1416 .1403; found 1416. 1350;  [M+4H]4+ calcd for C 184H112Cl48N16, 106 2.3576 ; found 1062. 3533.",comprehensive synthesis
"The synthesis of PTM -TC can be  performed in a reaction scale up to  at least 300 mg in one pot . The self-assembly synthetic reaction  can be carried out successfully in a variety of organic solvents . The feasible solvents for self -assembly have two features, including  i) the solvent should provide enough S6  solubility for PTM -P (at least around 1 mg/mL) , ii) the solvent molecule should have a complementary size  to occupy the cavity of  PTM -TC so that the former acts as a template for the cage formation.  Our experiments demonstrated that the feasible solvents include  chlorobenzene, benzene, toluene, tetrahydrofuran, pyridine, and mesitylene  (for ESI -MS and EPR characterizations, see the Figure S 16 and S17).  It¡¯s noteworthy that the self -assembly of PTM -TC should be performed within no longer than  12 hours  at 60 oC and reaction temperature  higher than  90 oC should be avoided. This is because PTM radical might undergo  decomposition/hydrogenation at elevated temperature ( i.e., 90 oC) or if the reaction time is too long . In fact, in the case of  reaction temperature higher than 90 oC, the condensation of PTM -P and TREN  led to light red precipitates which cannot be dissolve in all of the common ly used  solvents , indicating the generation of oligomers or polymers (Figure S 7 b). We recorded the h igh-resolution MS  of the solution phase of the reaction mixture, which  demonstrated the formation of the analogues of PTM -TC, whose four PTM radical units are   all or partially hydrogenated (Figure S7  d).",comprehensive synthesis
"AngewandteChemi eOrganic Cages Hot PaperA Self-Assembled Homochiral Radical Cage withParamagnetic BehaviorsTianyu Jiao,* Hang Qu, Lu Tong, Xiaoyu Cao,* and Hao Li*",this paper's author
"[*] Dr. T. Jiao, L. Tong, Prof. H. LiDepartment of Chemistry, Zhejiang UniversityHangzhou 310027 (P. R. China)E-mail: tianyul@zju.edu.cnlihao2015@zju.edu.cnH. Qu, Prof. X. CaoState Key Laboratory of Physical Chemistry of Solid Surfaces, iChEMand College of Chemistry and Chemical Engineering, XiamenUniversityXiamen 361005 (China)E-mail: xcao@xmu.edu.cnSupporting information and the ORCID identification number(s) forthe author(s) of this article can be found under:https://doi.org/10.1002/anie.202100655.",this paper's author
