content,category
"7©yThreealdehydeprecursors, namely 11©{Br,321©{2Br,and531©{3Br,whichcontainone,two,andthreeformylunitsrespectively, aswellasthecorresponding hydrazidepartners21©{Br,421©{2Br,and631©{3Br,whichcontainone,two,andthreeacetone-protected hydrazideunits,respectively, wereallpreparedbyanSN2reaction.Allofthesesixprecursors[*] Y.Wu,+C. Zhang,+S. Fang,+D. Zhu, Y.Chen, C. Ge, H. Tang,Prof. H. LiDepartment of Chemistry ,Zhejiang UniversityHangzhou 310027 (P. R. China)E-mail: fangshuai123@zju.edu.cnlihao2015@zju.edu.cnProf. H. LiZJU-Hangzhou Global Scientific and Technological InnovationCenter ,Zhejiang UniversityHangzhou 311215 (P. R. China)[1]These authors contributed equally to this work.",affiliation
"13©y2) Crystal parameters    [C54H52F24N12P4], M = 1448.95, monoclinic, space group P1 21/c1, a = 8.2911(5) ?, b = 28.5890(18) ?, c = 28.0267(19) ?, Ï« = 90¡« , ÉÇ = 90.912(3)¡« , ÎÛ = 90¡« , V = 6642.4(7) ?3, Z = 4, T = 193 K, ÀÏcalc = 1.449 mg/m3, Ã×(GaK Ï«) = 1.337 mm-1. A total of 87775 reflections were collected, of which 12715 were unique ( Rint = 0.1176). Final R1 (I > 2¿¼(I)) = 0.1350 and wR 2 = 0.3022. The structure was solved by direct method and different Fourier syntheses. Using Olex2, the structure was solved with the ShelXT structure solution program using Intrinsic Phasing and refined with the ShelXL refinement package using Least Squares minimizat ion. CCDC number: 2125354.",CCDC
"3©y32+?2Br? : A solution of pyridin -4-ylhydrazine (546 mg, 5 mmol) in 100 mL of acetone was heated to reflux overnight. 1,4 -bis(bromomethyl)benzene (264 mg, 1 mmol) was then added to the reaction mixture. The reaction was heated at reflux for 24 h. The precipitate wa s collected via filtration and washed with hot acetone (3 ¨G  20 mL), yielding pure 32+?2Br? (449 mg, 80 %) as a yellow powder. 32+?2Br? was characterized by recording its 1H NMR spectrum (Figure S1 , S5), 13C NMR spectrum (Figure S2 , S6), HSQC spectrum (Figure S3 , S7), HMBC spectrum (Figure S4 , S8), as well as by means of mass spectrometry (Figure S9). 1H NMR  (500 MHz, DMSO -d6): Ñ´ (ppm):  11.04 (s, 2H), 8.50 (d, J = 7 Hz, 2H), 8.43 (d, J = 7 Hz, 2H), 7.46 (s, 4H), 7.39 (d, J = 9 Hz, 2H), 7.32 (d, J = 2 Hz, 2H), 5.47 (s, 4H), 2.04 (s, 13H). 13C NMR  (125 MHz, DMSO -d6): Ñ´ (ppm): 158.0, 154.7, 144.4, 143. 2, 136.5, 129. 3, 109.5, 107.4, 59.9, 25.7, 18. 7. HRMS : m/z calculated for C24H30N62+ ([3]2+): 201.1260; found: 201.1273.",comprehensive synthesis
"5©y42+?2Br?: Isoquinoline -5-carbaldehyde (786 mg, 5 mmol) and 1,4 -bis(bromomethyl)benzene (264 mg, 1 mmol) were dissolved in 100 mL of acetonitrile and heated at reflux for 24 hours. The resulting precipitate was collected via filtration and washed with hot acetonitrile (3 ¨G 20 mL) to give the product 42+?2Br? (484 mg, 84%) as a white powder. 22+?2Br? was characterized by recording its 1H NMR spectrum (Figure S 10, S15), 13C NMR spectrum (Figure S 11, S 16), 1H-1H COSY spectrum (Figure S 12, S 17), 1H-1H NOESY spectrum  (Figure S18), HSQC spectrum (Figure S 13, S19), HMBC spectrum (Figure S 14, S20 ), as well as by means of mass spectrometry (Figure S 21). 1H NMR  (500 MHz, DMSO -d6): Ñ´ (ppm): 10.35 (s, 1H), 9.93 (s, 1H), 9.49 (d, J = 7 Hz, 1H), 8.77 (d, J = 7 Hz, 1H), 8.73 (d, J = 6 Hz, 1H), 8.65 (d, J = 8 Hz, 1H), 8.20 (t, J = 7 Hz, 1H), 7.63 (s, 2H), 6.04 (s, 2H). 13C NMR  (125 MHz, DMSO -d6): Ñ´ (ppm): 193.6, 151.4, 144.7, 137.6, 137. 1, 135.6, 13 5.0, 131. 6, 130. 6, 130.2, 128. 5, 123.5, 63.4 . HRMS : m/z calculated for C 28H22N2O22+ ([4]2+): 209.0835 ; found: 209.0832 ; calculated for C 28H24N2O32+ ([4+H2O]2+): 218.0888; found: 218.0888; calculated for C 28H22BrN 2O2+ ([4+Br]+): 497.0859; found: 497.0864.",comprehensive synthesis
"7©yM4+?4PF 6?: The p recursors 32+?2Br? (112 mg, 0.2 mmol) and 42+?2Br?(115 mg, 0.2 mmol) were combined in 80 mL of water. Concentrated HCl (0.8 mL) was then added.",comprehensive synthesis
"8©yThe reaction mixture was heated at 70 ¡Í for 12 h. After cooling, excess of NH 4+?PF6? was added until no further precipitation was observed. The solid obtained in this way was filtrated and washed with water (3 ¨G  10 mL) to give the product of  M4+?4PF 6? (179 mg, 70%). M4+?4PF 6? was fully characterized by recording its 1H NMR spectrum (Figure S 22), 13C NMR spectrum (Figure S 23), 1H-1H COSY spectrum (Figure S 24), 1H-1H NOESY spectrum (Figure S 25), HSQC spectrum (Figure S 26), HMBC spectrum (Figure S 27), as well as via mass spectrometry (Figure S 28) and single crystal X-ray diffraction analysis (Figure S139). 1H NMR (500 MHz, CD 3CN) Ñ´ (ppm):  9.88 (s, 1H), 9.57 (d, J = 7 Hz, 1H), 8.52 -8.47 (m, 2H), 8.40 (ddd, J = 11, 7, 1 Hz, 2H), 8.34 (d, J = 7 Hz, 1H), 8.14 -8.09 (m, 1H), 8.01 -7.97 (m, 1H), 7.60 (dd, J = 8, 2 Hz, 1H), 7.50 (s, 2H), 7.43 (s, 2H), 7.13 (dd, J = 7, 3 Hz, 1H), 5.91 (s, 2H), 5.44 (s, 2H).  13C NMR (125 MHz, CD 3CN) Ñ´ 155.3, 151.6, 149.4, 145.0, 144.3, 142.8, 136.4, 136.2, 135.5, 133.8, 132.4, 130.5, 130.3, 130.0, 129.9 , 126.4, 118.4, 110.2, 109.8, 64.8, 61.9. HRMS : m/z calculated for C 46H39N83+ ([M-H]3+): 234.4427 ; found: 234.4427 ; calculated for C46H40F6N8P3+ ([M+PF6]3+): 283.1000 ; found: 2 83.1019 ; calculated for C 46H39F6N8P2+ ([M-H+ PF 6] 2+): 424.1464 ; found: 424.1509; calculated for C 46H40F12N8P22+ ([M+2 PF6]2+): 497.1324 ; found: 497.1347 .",comprehensive synthesis
"9©yComplex M4+?4NO 3? was obtained via counterion exchange by adding an excess of TBA+NO 3? into a solution of M4+?4PF 6? in acetonitrile , followed by filtration to collect the corresponding precipitates . M4+?4NO 3? was characterized by recording its 1H NMR S6  spectrum (Figure S 29), 1H-1H COSY spectrum (Figure S 30), 1H-1H NOESY spectrum (Figure S 31), and mass spectrometry (Figure S 32).",comprehensive synthesis
"11©y53+?3Br?: A solution of pyridin -4-ylhydrazine ( 873 mg, 8 mmol) in 150 mL of acetone was heated to reflux overnight. 1,3,5 -tris(bromomethyl)benzene  (357 mg, 1 mmol) was then added to the reaction mixture. The reaction was heated at reflux for 24 h. The precipitate was collected via filtration and washed with hot acetone (3 ¨G  20 mL), yielding pure 33+?3Br? (587 mg, 73 %) as a yellow powder. 33+?3Br? was characterized by recording its 1H NMR spectrum (Figure S 33, S37 ), 13C NMR spectrum (Figure S 34, S38), HSQC spectrum (Figure S 35, S39), HMBC spectrum (Figure S 36, S40), as well as by means of mass spectrometry (Figure S 41). 1H NMR  (500 MHz, DMSO -d6) Ñ´ (ppm):  11.47 (s, 3H), 8.46 (dd, J = 7, 2 Hz, 3H), 8.40 (dd, J = 7, 2 Hz, 3H), 7.48 (dd, J = 7, 3 Hz, 3H), 7.39 (d,  J = 9 Hz, 6H), 5.46 (s, 6H), 2.07 (d, J = 22 Hz, 18H).13C NMR  (125 MHz, DMSO -d6): Ñ´ (ppm): 157.6, 154.3, 143.9, 142.5, 137.2, 127.6, 109.0, 106.8, 59.1, 25.1, 18.4.  HRMS : m/z calculated for C 33H42N93+ ([5]3+): 188.1182 ; found: 188.1183 ; calculated for C 33H41N92+ ([5-H]2+): 281.6737 ; found: 2 81.6764 .",comprehensive synthesis
"1©y63+?3Br?: Isoquinoline -5-carbaldehyde (1257 mg, 8 mmol) and 1,3,5 -tris(bromomethyl)benzene (357mg, 1 mmol) were dissolved in 100 mL of acetonitrile and heated at reflux for 24 hours. The resulting precipitate was collected via filtration and washed with hot acetonitrile (3 ¨G 20 mL) to give the product 63+?3Br? (658 mg, 79%) as a white powder. 63+?3Br? was characterized by recording its 1H NMR spectrum (Figure S 42, S48 ), 13C NMR spectrum (Figure S 43, S49 ), 1H-1H COSY spectrum (Figure S 44, S50 ), 1H-1H NOESY spectrum (Figure S 45, S51 ), HSQC spectrum (Figure S46, S52 ), HMBC spectrum (Figure S 47, S53 ), as well as by means of mass spectrometry (Figure S 54). 1H NMR  (500 MHz, DMSO -d6): Ñ´ (ppm):  10.60 (s, 3H), 10.50 (s, 3H), 9.41 (d, J = 7 Hz, 3H), 9.05 (d, J = 7 Hz, 3H), 8.90 Ã¿8.84 (m, 6H), 8.33 -8.28 (m, 3H), 7.93 (s, 3H), 6.07 (s, 6H).  13C NMR  (125 MHz, DMSO -d6): Ñ´ (ppm):  193.1, 151.0, 144.3, 137.4, 136.6, 135.6, 134.4, 130.9, 130.4, 129.9, 127. 9, 122.7, 62.5 .",comprehensive synthesis
"4©yC6+?6PF 6?: The p recursors 53+?3Br?(81 mg, 0. 1 mmol) and 63+?3Br?(83 mg, 0. 1 mmol) were combined in 100 mL of water. Concentrated HCl ( 1 mL) was then added. The reaction mixture was heated at 70 ¡Í for 24 h. After cooling, excess of NH 4+?PF6? was added until no further precipitation was observed. The solid obtained in this way was filtrated and washed with water (3 ¨G  10 mL) to give the product of C6+?6PF 6? (116 mg, 63%). C6+?6PF 6? was fully characterized by recording its 1H NMR spectrum (Figure S55), 13C NMR spectrum (Figure S 56), 1H-1H COSY spectrum (Figure S 57), 1H-1H NOESY spectrum (Figure S 58), HSQC spectrum (Figure S 59), HMBC spectrum (Figure S 60), and mass spectrometry (Figure S 61). 1H NMR  (500 MHz, CD3CN): Ñ´ (ppm):  9.60 (s, 3H), 9.41 (d, J = 7 Hz, 3H), 8.62 (s, 3H), 8.31 -8.20 (m, 9H), 7.99 (d, J = 7 Hz, 3H), 7.93 (t, J = 8 Hz, 3H), 7.58 (d, J = 7 Hz, 3H), 7.41 (d, J = 7 Hz, 3H), 7.23 (d, J = 7 Hz, 3H), 7.02 (s, 3H), 6.80 (s, 3H), 5.77 (s, 6H), 5.31 (s, 6H).  13C NMR  (125 MHz, CD 3CN): Ñ´ (ppm):  154.2, 151.2, 148.9, 144.2, 143.  6, 142.4, 136.8, 135.7, 135. 6, 133.8, 132.8, 131. 4, 128.5, 128.0, 12 8.0, 127.0, 125. 2, 109.0, 108. 9, 63.1, 60. 4. HRMS : m/z calculated for C 63H51N124+ ([C-2H]4+): 244.1093; found: 2 44.1097 ; calculated for C63H52F6N12P4+ ([M-H+PF 6]4+): 280 .6023 ; found: 28 0.6029 ; calculated for C63H51F6N12P3+ ([M-2H+PF 6]3+): 373.8032 ; found: 373.8006 ; calculated for C63H52F12N12P23+ ([M-H+2PF6]3+): 422.4580 ; found: 4 22.4613 .",comprehensive synthesis
