content,category
"11¡¢uk,orbycontacting TheCambridge Crystallographic DataCentre,12UnionRoad,Cambridge CB21EZ,UK;fax:+441223336033.¡öAUTHOR INFORMATIONCorresponding AuthorsM.MustafaCetin ?DepartmentofMolecularBiologyandGenetics,FacultyofEngineeringandNaturalSciences,KadirHasUniversity,Istanbul34083,Turkey; orcid.org/0000-0002-6443-0232; Email:mustafamcetin@yahoo.comHaoLi?DepartmentofChemistry,ZhejiangUniversity,Hangzhou310027,P.R.China;ZJU-Hangzhou GlobalScientificandTechnologicalInnovationCenter,Hangzhou31200,P.R.China; orcid.org/0000-0002-6959-3233;Email:lihao2015@zju.edu.cnAuthorsDingsheng Zhu ?DepartmentofChemistry,ZhejiangUniversity,Hangzhou310027,P.R.ChinaBinSun?DepartmentofChemistry,ZhejiangUniversity,Hangzhou310027,P.R.China;ZJU-Hangzhou GlobalScientificandTechnologicalInnovationCenter,Hangzhou31200,P.R.ChinaLuTong ?DepartmentofChemistry,ZhejiangUniversity,Hangzhou310027,P.R.ChinaYatingWu?DepartmentofChemistry,ZhejiangUniversity,Hangzhou310027,P.R.ChinaComplete contactinformation isavailable at:https://pubs.acs.org/10.1021/acs.orglett.2c03560Author Contributions¡ÎD.Z.,B.S.,andL.T.contributed equallytothiswork.",affiliation
"2¡¢aDepartment of Chemistry, Zhejiang University, Hangzhou 310027, P. R. ChinabDepartment of Molecular Biology and Genetics, Faculty of Engineering and Natural Sciences, Kadir Has University, Cibali Campus, Fatih, Istanbul 34083, TurkeycZJU-Hangzhou Global Scientific and Technological Innovation Center, Hangzhou 311200, P.",affiliation
"6¡¢1H NMR (600 MHz, CDCl 3): ¦Ä 7.49 (s, 6H), 6.85 (s, 12H), 6.53 (d, J = 3.2 Hz, 6H), 6.25 (d, J = 3.3 Hz, 6H), 1.67 (s, 36H). 13C NMR (CDCl 3, 150 MHz): ¦Ä 162.0 (C), 152.7 (C), 146.4 (C), 132.2 (C), 125.6 (CH), 118.7 (CH), 107.3 (CH), 106.3 (CH), 40.5 (CH3), 28.5 (C). HRMS (ESI-TOF) m/z: [M+H]+ Calcd for C 72H67O6 1027.4938; Found 1027.4940; [M+Na]+ Calcd for C72H66O6Na 1049.4757; Found 1049.4777.S43. CharacterizationFigure S2. 1H NMR spectrum of 1 (CDCl 3, 600 MHz, 298 K).",affiliation
"10¡¢Experimental procedures, fullcharacterization ofprod-ucts,NMRspectra,andX-raycrystallographic analysis(PDF)Accession CodesCCDC2121981, 2121983, and2121986 contain thesupplementary crystallographic dataforthispaper.Thesedatacanbeobtained freeofchargeviawww.ccdc.cam.ac.uk/data_request/cif, orbyemailing data_request@ccdc.cam.ac.",CCDC
"16¡¢Crystal parameters[C72H66O6], colorless block, hexagonal, space group P 63/m, a = 13.706(3) ?, b = 13.706(3) ?, c = 21.677(6) ?, ¦Á = 90 ¡ã, ¦Â = 90 ¡ã, ¦Ã = 120 ¡ã, V = 3526.56 ?3, Z = 3, T = 193 K, ¦Ì(GaK¦Á) = 1.394 mm-1. A total of 2260 reflections were collected, of which 1459 were unique. Final R 1(I > 2¦Ò(I)) = 0.1284 and wR 2 = 0.2888 (all data). The structure was solved by direct method and different Fourier syntheses. Using Olex2, the structure was solved with the ShelXT structure solution program using Intrinsic Phasing and refined with the ShelXL refinement package using Least Squares minimization. CCDC number: 2121981.",CCDC
"18¡¢Crystal parameters[C90H88F12N3O6P2], red block, monoclinic, space group P 1 21/c 1, a = 15.5630(6) ?, b = 25.9415(11) ?, c = 20.2308(8) ?, ¦Á = 90 ¡ã, ¦Â = 108.499(2) ¡ã, ¦Ã = 90 ¡ã, V = 7745.7(5) ?3, Z = 4, T = 213 K, ¦Ì(GaK¦Á) = 0.794 mm-1. A total of 14744 reflections were collected, of which 8346 were unique. Final R 1(I > 2¦Ò(I)) = 0.0946 and wR 2 = 0.2958 (all data). The structure was solved by direct method and different Fourier syntheses. Using Olex2, the structure was solved with the ShelXT structure solution program using Intrinsic Phasing and refined with the ShelXL refinement package using Least Squares minimization. CCDC number: 2121986.",CCDC
"2¡¢Crystal parameters[C82H76F6NO 6P], yellow prism, hexagonal, space group P 63/m, a = 15.4504(4) ?, b= 20.5736(5) ?, c = 27.7314(7) ?, ¦Á = 90 ¡ã, ¦Â = 90.362(2), ¦Ã = 90 ¡ã, V = 8814.8(4) ?3, Z= 4, T = 210 K, ¦Ì(GaK¦Á) = 1.044 mm-1. A total of 16765 reflections were collected, of which 8926 were unique. Final R 1 (I > 2¦Ò(I)) = 0.1008 and wR 2 = 0.2787 (all data). The structure was solved by direct method and different Fourier syntheses. Using Olex2, the structure was solved with the ShelXT structure solution program using Intrinsic Phasing and refined with the ShelXL refinement package using Least Squares minimization. CCDC number: 2121983.",CCDC
"5¡¢Synthesis of cage 11,3,5-tri(furan-2-yl) benzene (2) (200 mg, 0.72 mmol) and 1,4-diisopropenylbenzene (3) (178 mg, 1.125 mmol) were dissolved in 1,2-dichloroethane (DCE) (50 mL). Ca(NTf 2)2 (108.07 mg, 0.18 mmol) and NBu 4PF6 (69.74 mg, 0.18 mmol) was added to the solution. The reaction mixture was stirred under reflux at 85 ?C in an oil bath. The reaction progress was monitored by TLC. After the reaction reached its equilibrium after 16 h, the reaction mixture was poured into water (50 mL), which was extracted with 40 mL DCM three times. The organic layer was collected and then washed with brine (50 mL). After dried with Na 2SO 4, the solvent was removed under vacuum. The crude product was further purified by column chromatography on silica gel (DCM/petroleum ether = 1:3) to yield cage 1 as an off-white powder (148 mg, 40%).",comprehensive synthesis
"1¡¢A¦Ð?Electron Rich Cage viathe Friedel?Crafts ReactionDingsheng Zhu,¡ÎBinSun,¡ÎLuTong,¡ÎYatingWu,M.MustafaCetin,*andHaoLi*",this paper's author
"1¡¢? The Author(s) 2022NATURE COMMUNICATIONS | https://doi.org/10.1038/s41467-022-31289-1 ARTICLENATURE COMMUNICATIONS |         (2022) 13:3557 | https://doi.org/10.1038/s41467-022-31289-1 | www.nature.com/naturecommunications 7S1Electronic Supplementary InformationA ¦Ð-Electron Rich Cage via the Friedel-Crafts Reaction Dingsheng Zhu,a,# Bin Sun,a,c,# Lu Tong,a,# Yating Wu,a M. Mustafa Cetin,b,* and Hao Li,a,c,*",this paper's author
