content,category
"Characterization methods,experimental details,theoreti-calcalculation details,andcharacterization ofcom-pounds(PDF)¡öAUTHORINFORMATIONCorresponding AuthorsChihayaAdachi ?CenterforOrganicPhotonics andElectronics Research(OPERA), KyushuUniversity, Fukuoka819-0395, Japan;International InstituteforCarbonNeutralEnergyResearch(WPI-I2CNER), Fukuoka819-0395,Figure4.Transient PLcharacteristics ofcageDA-1inthesolidstate.(a)StreakimageofthePLdecayofDA-1(neatfilm)at300Kwiththeemission spectraoftheprompt (blackline)anddelayed (redline)components. (b)Temperature-dependent transient PLdecaycurvesoftheDA-1filmdispersed inDPEPO host(6wt%).ACSMaterialsLetters www.acsmaterialsletters.org Letterhttps://doi.org/10.1021/acsmaterialslett.3c00310ACSMaterials Lett.2023,5,1450?14551453Japan;orcid.org/0000-0001-6117-9604;Email:adachi@cstf.kyushu-u.ac.jpFabriceMathevet ?CenterforOrganicPhotonics andElectronics Research(OPERA), KyushuUniversity, Fukuoka819-0395, Japan;Sorbonne Universit¨¦, CNRS,InstitutParisiendeChimieMol¨¦culaire, Paris75005,France;Email:fabrice.mathevet@sorbonne-universite.frShaodongZhang ?SchoolofChemistry andChemicalEngineering, Shanghai JiaoTongUniversity, Shanghai200240,P.R.China;orcid.org/0000-0001-7923-8457;Email:sdzhang@sjtu.edu.cnAuthorsLihuaChen ?SchoolofChemistry andChemical Engineering,Shanghai JiaoTongUniversity, Shanghai 200240,P.R.",affiliation
"ChinaChuanlongLi?SchoolofChemistry andChemicalEngineering, Shanghai JiaoTongUniversity, Shanghai200240,P.R.ChinaEnguangFu?SchoolofChemistry andChemical Engineering,Shanghai JiaoTongUniversity, Shanghai 200240,P.R.",affiliation
"ChinaMengyangLi?SchoolofChemistry andChemicalEngineering, Shanghai JiaoTongUniversity, Shanghai200240,P.R.ChinaYoshiakiKuboi ?SchoolofChemistry andChemicalEngineering, Shanghai JiaoTongUniversity, Shanghai200240,P.R.ChinaZi-YingLi?SchoolofChemistry andChemical Engineering,Shanghai JiaoTongUniversity, Shanghai 200240,P.R.",affiliation
"ChinaZhenghong Chen ?SchoolofChemistry andChemicalEngineering, Shanghai JiaoTongUniversity, Shanghai200240,P.R.ChinaJiaolongChen ?SchoolofChemistry andChemicalEngineering, Shanghai JiaoTongUniversity, Shanghai200240,P.R.ChinaXuelongLiu?CenterforOrganicPhotonics andElectronicsResearch(OPERA), KyushuUniversity, Fukuoka819-0395,JapanXunTang ?CenterforOrganicPhotonics andElectronicsResearch(OPERA), KyushuUniversity, Fukuoka819-0395,JapanLucasFr¨¦d¨¦ric ?Sorbonne Universit¨¦, CNRS,InstitutParisiendeChimieMol¨¦culaire, Paris75005,FranceFranc ?oisMaurel ?Universit¨¦ ParisCit¨¦,CNRS,ITODYS,ParisF-75013, France;orcid.org/0000-0002-4768-1902Completecontactinformation isavailableat:https://pubs.acs.org/10.1021/acsmaterialslett.3c00310AuthorContributionsL.C.,C.A.,F.M.,andS.Z.conceived theproject.L.C.,C.L.,E.F.,M.L.,Y.K.,Z.-Y.L.,J.C.,X.L.,andX.T.,andL.F.",affiliation
PLQYConditionsO2 Air N2Toluene < 1% 3% 35%Neat film - 6% 7%6% wt in DPEPO - 8% 13%6. X-Ray CrystallographyFigure S11. Crystal structure of DA-1 in packing mode when viewed along (a) b-axis and (b) c-axis. The distance was calculated as the distance between the centroids of A fragments (in pink color). The hydrogen atoms and alkyl chains were omitted for clarity.S11CCDC deposition number 2170360.,CCDC
"NNNBrBrBrNNNNH2NH2H2NNNNNNNPhPhPhPhPhPhNHPd(dba) 2,BINAP, t-BuOKToluene, N2,110oC1.HCl, THF, N2,25¡ãC2.TEA, H2O,25¡ãCP4P5 P6R=n-C4H9RRRRR RRRRSynthesis of 2,7,12- triamino-5,10,15-tributyltriindole (P6): According to the literature[S1] with a modified alkyl chain, BINAP (140 mg, 0.23 mmol) and Pd(dba) 2 (130 mg, 0.23 mmol) were charged into a 50 mL two-neck bottle under nitrogen S4atmosphere, and 30 mL anhydrous toluene was then added by syringe. The reaction was kept at 110 ¡ãC for 0.5 h and cooled to 25 oC. P4 (500 mg, 0.754 mmol), t-BuOK (495 mg 4.4 mmol) and diphenylmethanimine (740 ¦ÌL, 4.4 mmol) were added under nitrogen atmosphere, and the mixture was warmed to reflux for another 36 hours. After the reaction was completed, it was cooled to 25 oC. and filtered by diatomite. The solvent was removed under vacuum, and the residue was purified by column chromatography with PE/EA = 6/1 as the eluent to yield the compound P5 as a dark red-brown powder (500 mg, 80%) after drying under vacuum. 1H NMR (400 MHz, CDCl 3): ¦Ä 7.94 (d, J = 8.0 Hz, 3H), 7.82 (d, J = 4.0 Hz, 6H), 7.42¨C7.50 (m, 9H), 7.21¨C7.25 (m, 15H), 6.89 (s, 3H), 6.77 (d, J = 8 Hz, 3H), 4.60 (t, J = 8 Hz, 6H), 1.55¨C1.62 (m, 6H), 1.05¨C1.14 (m, 6H), 0.76 (t, J = 4 Hz, 9H). 13C NMR (125 MHz, CDCl 3): ¦Ä 167.98, 146.89, 141.69, 140.26, 138.45, 136.91, 130.70, 129.85, 129.46, 128.60, 128.34, 128.11, 121.49, 119.84, 114.78, 103.44, 46.72, 31.45, 20.00, 13.86. MALDI-TOF: Calcd for C 75H66N6 [M]+ 1050.534; Found, 1050.443. Secondly, compound P5 (105 mg, 0.1 mmol) was dissolved in THF (10 mL) under N 2 at 25 oC, followed with the dropwise addition of 2M HCl (0.5 mL) with syringe. After stirring for 30 min, the precipitate formed was filtered and washed with THF. After drying under vacuum, the precipitate was evenly dispersed in deionized water by sonication and TEA was slowly added dropwise with stirring at 25 oC. Gray precipitate formed was collected and washed with deionized water to yield the compound P6 (50 mg, 90%) after drying under vacuum. 1H NMR (400 MHz, DMSO-d 6): ¦Ä 7.82 (d, J = 8.0 Hz, 3H), 6.83 (s, 3H), 6.57 (d, J = 12.0 Hz, 3H), 5.12 (s, 6H), 4.66 (t, J = 8.0 Hz, 6H), 1.77¨C1.70 (m, 6H), 1.18¨C1.09 (m, 6H), 0.78 (t, J = 8.0 Hz, 9H). 13C NMR (125 MHz, DMSO-d 6): ¦Ä 145.41, 142.99, 135.10, 121.78, 113.56, 108.52, 103.46, 95.11, 45.72, 31.10, 19.43, 13.67.",comprehensive synthesis
"NNNOHHO OHNNNCl ROCl+NNNOO ONNNNNNNNNORClRO ClORClDIPEA/THF0to30oCP1 P11 P9R=n-C4H9Synthesis of 2,4,6-tri(4-butyloxy-6-chloro-1,3,5-triazin-2-yloxyphenyl triazine (P11): According to the literature with a modified procedure,[S2] to a solution S5of P9 (1120 mg, 5.1 mmol) in 20 mL THF was slowly added 10 mL THF solution of P1 (402 mg, 1.13 mmol) and DIPEA (730 mg, 5.65 mmol) in an ice bath. After stirring for 1 hour, the mixture was allowed to reaction at 30 oC for 15 hours. The mixture was filtered to removed the solid, and the crude product was purified by column chromatography with THF/PE =1/3 as the eluent to yield the product as white powder (710 mg, 69%). 1H NMR (400 MHz, CDCl 3): ¦Ä 8.84 (d, J = 8.0 Hz, 6H), 7.39 (d, J = 8.0 Hz, 6H), 4.40 (t, J = 8.0 Hz, 6H), 1.79¨C1.72 (m, 6H), 1.49¨C1.39 (m, 6H), 0.94 (t, J = 8 Hz, 9H). 13C NMR (125 MHz, CDCl 3): ¦Ä 173.32, 172.50, 171.95, 170.69, 154.89, 134.04, 130.71, 121.74, 69.75, 30.43, 18.98, 13.73. MALDI-TOF: Calcd for C42H39Cl3N12O6 [M+H]+ 915.223; Found, 915.212.",comprehensive synthesis
"N NNOO ON NNNNNNN NORClRO ClORCl+THF, refluxK2CO3P11 P6 DA-1HNNNNONNNOONNNNNNNHN NNHNORRORONNNNH2NH2H2NRRRRRRR=n-C4H9Synthesis of cage DA-1: Compound P11 (457 mg, 0.5 mmol), P6 (279 mg, 0.5 mmol) and finely grounded K 2CO 3 (414 mg, 3mmol) were dissolved in THF (100 mL).",comprehensive synthesis
"The reaction mixture was refluxed for 48 hours. After the reaction, the mixture was filtered to remove the insoluble solid, and the filtrate was collected and concentrated.",comprehensive synthesis
"The cage product DA-1 was obtained by recrystallization from THF/MeOH as light green powder (68 mg, 12%). 1H NMR (400 MHz, DMSO-d 6): ¦Ä 1.02 (s, 3H), 8.17 (d, J = 8.0 Hz, 6H), 7.88 (d, J = 8.0 Hz, 3H), 7.22 (s, 3H), 7.13 (d, J = 8.0 Hz, 6H), 6.90 (d, J = 8 Hz, 3H), 4.69¨C4.45 (m, 6H), 4.40 (t, J = 4 Hz, 6H), 1.80¨C1.73 (m, 6H), 1.68¨C1.43 (m, 12H), 1.29¨C1.20 (m, 6H), 0.99 (t, J = 8 Hz, 9H), 0.85 (t, J = 4 Hz, 9H). 13C NMR (175 MHz, CDCl 3): ¦Ä 172.87, 172.40, 170.01, 167.95, 155.15, 140.26, 138.07, 132.70, 132.37, 129.64, 122.92, 120.70, 120.51, 118.48, 109.43, 101.76, 67.26, 46.08, 40.46, 39.97, 31.42, 30.83, 19.79, 19.14, 14.14. MALDI-TOF: Calcd for C 78H78N18O6 [M]+ 1362.635; Found, 1362.627. S64. Quantum Chemical CalculationsFigure S1. Calculated frontiers orbitals of DA-1.",comprehensive synthesis
