content,category
"With the synergetic rotation of the three benzyl linkers, eachDA-2 cage displays a propeller-like shape. The enantiomers areaSchool of Chemistry and Chemical Engineering, Shanghai Jiao Tong University,800 Dongchuan Road, Shanghai 200240, China. E-mail: sdzhang@sjtu.edu.cnbCenter for Organic Photonics and Electronics Research (OPERA), KyushuUniversity, 744 Motooka, Nishi-ku, Fukuoka 819-0395, Japan.E-mail: adachi@cstf.kyushu-u.ac.jp, fabrice.mathevet@sorbonne-universite.frcSorbonne Universite ∩, CNRS, Institut Parisien de Chimie Mole ∩culaire, IPCM 4 placeJussieu, Paris 75005, FrancedKey Laboratory of Radiopharmaceuticals, Ministry of Education, College ofChemistry, Beijing Normal University, Beijing 100875, China?Electronic supplementary information (ESI) available: Experimental details andcharacterization data. CCDC 2308211. For ESI and crystallographic data in CIF orother electronic format see DOI: https://doi.org/10.1039/d3cc05136fReceived 20th October 2023,Accepted 8th January 2024DOI: 10.1039/d3cc05136frsc.li/chemcommChemCommCOMMUNICATIONPublished on 09 January 2024. Downloaded by Zhejiang University on 5/11/2024 11:50:51 AM.",affiliation
"View Article OnlineS1 Classified - Confidential    Electronic Supplementary Information  for A donor -acceptor cage for circularly polarized TADF emission  Lihua Chen,a Chenfei Li,a Zheng -Fei Liu,d Yoshiaki Kuboi,a Enguang Fu,a Lydia Sosa Vargas,c Chihaya  Adachi,*b Fabrice Mathevet*b,c and Shaodong Zhang*a  a  School of Chemistry and Chemical Engineering, Shanghai Jiao Tong University, 800 Dongchuan Road, Shanghai 200240, China. E -mail: sdzhang@sjtu.edu.cn  b  Center for Organic Photonics and Electronics Research (OPERA), Kyushu University, 744 Motooka, Nishi -ku, Fukuoka 819 -0395, Japan. E-mail: adachi@cstf.kyushu -u.ac.jp ; fabrice.mathevet@sorbonne -universite.fr  c  Sorbonne Universit谷, CNRS, Institut Parisien de Chimie Mol谷culaire, IPCM 4 place Jussieu, Paris 75005, France.",affiliation
"d  Key Laboratory of Radiopharmaceuticals, Ministry of Education, College of Chemistry, Beijing Normal University, Beijing 100875, China.",affiliation
S16 Classified - Confidential  6. X-Ray Crystallography  CCDC deposition number  2308211 .,CCDC
"Synthesis of compound 2   Compound 1 (2664  mg, 4 mmol) , 2-(Hydroxymethyl)phenylboronic acid  (2432  mg, 16 mmol) , Pd( PPh 3)4 (462 mg, 0.4 mmol) and K2CO 3 (3312  mg, 24 mmol) were added into a schrenk flask which was evacuated and backfilled with N  2 for three times.",comprehensive synthesis
Dioxane  (96 mL) and H2O (24 mL) were bubbled with N 2 for 15 minutes and then added into the flask under N 2. The reaction was kept at 85 oC with stirring for 24 hours .,comprehensive synthesis
"After the reaction, the  solvents were removed  by rot ary evaporation  and the residue was extracted with DCM  and brine . The organic phase was collected and dried over S4 Classified - Confidential  anhydrous MgSO 4 to get the crude product  which was purified by column chromatography with EA/ PE (1/2) as the eluents  to yield  the compound 2 (2141  mg, 72%) as yellow powder . 1H NMR (400 MHz, CDCl 3): 汛 8.41 (d, J = 8.0 Hz, 3H), 7.69?7.65 (m, 3H), 7.56?7.52  (m, 3H), 7.51?7.46 (m, 6H), 5.11 (q, J = 8.0 Hz, 6H), 4.83 ( s, 6H), 1.72 (t, J = 8.0 Hz, 9 H). 13C NMR (125 MHz, CDCl 3): 汛 142.22, 140.83, 139.16, 138.47, 135.58, 130.71, 128.84, 127.90, 127.70, 122.64, 121.35, 121.30, 111.16, 103.23, 63.71, 41.89, 15.82 .",comprehensive synthesis
"Synthesis of compound 3   Compound 2 (2141  mg, 2.86 mmol) was charged into a 200 mL Schrenk flask which was evacuated and backfilled with N 2 for 3 times . Then THF ( 80 mL) was added by syring e to form a yellow solution . Phosphorus tribromide ( PBr 3, 1.1 mL, 1 1.5 mmol ) was diluted in THF (5 mL) and added drop by drop into the THF solution of compound 2 under ice bath. Then the reaction wa s slowly warmed to 25 oC and further reacted for 8 hours with stirring. After the reaction, 2 mL deionized water  was added to quench the residual PBr 3. THF was removed by rotary evaporation  and the residue  was was dissolved in DCM to get a concentrated solution . Then the solution  was added into MeOH drop by drop. The precipitat ion in MeOH  was collected by centrifugation  to get  the pure product as light-green  powder ( 2341  mg, 87%). 1H NMR (400 MHz, CDCl 3): 汛 8.42 (d, J = 8.0 Hz, 3H), 7.90 (d, J = 4.0 Hz, 3H), 7.64?7.61 (m, 3H) , 7.52?7.4 9 (m, 3 H), 7.46?7.41 (m, 9 H), 5.13 (q, J = 8.0 Hz, 6H), 4.65 (s, 6 H), 1.73  (t, J = 8 Hz, 9H).",comprehensive synthesis
"S5 Classified - Confidential  Synthesis of cage DA -2  Compound P1 (229 mg, 0.64 mmol)  and cesium carbonate  (1252  mg, 3.84 mmol)  were dissolved in DMF (256 mL) in  a round flask . The reaction mixture was stirred at 60 oC for 0.5 hour. Then the powder of compo und 3 (600 mg, 0.64 mmol ) was added  into the solution  and the mixture was reacted for further 24 hours . After the reaction, the mixture was extracted with DCM and brine.  The organic phase was washed with brine for 3 times  and then drived over anhydrous Na 2SO 4. The concentrated DCM solution was added into MeOH and the precipitate was collected by centrigugation to get the crude product . Pure product DA-2 (400 mg, 59%) was obtained by column chromatography with  DCM/PE 2/1  as the eluents . 1H NMR (400 MHz, CDCl 3): 汛 8.25?8.01 (m, 9H), 7. 58?7.42  (m, 12H), 7. 14?7.00 (m, 6H), 6.75 (d, J = 4.0 Hz, 4 H), 6.43?6.13 (m, 4 H), 5.22?5.00  (m, 6H), 4.65 (s, 3 H), 1. 99 (s, 9H). 13C NMR (125 MHz, CDCl 3): 汛 168.95 , 163.48 , 144.41 , 139.75 , 138.46 , 136.40 , 135.51 , 131.42 , 130.80 , 130.25 , 128.97 , 128.60 , 127.97 , 127.67 , 121.84 , 121.09 , 120.63, 119.24, 118.20, 112.75, 111.80, 101.48, 71.34, 41.00, 17.41 . MALDI -TOF: Calcd . for C 72H54N6O3 [M]+ 1050.425 ; Found, 1050.289 .",comprehensive synthesis
"Chem. Commun., 2024, 60, 1758每1761 This journal is ? The Royal Society of Chemistry 2024Cite this: Chem. Commun., 202 4,60, 1758A donor每acceptor cage for circularly polarizedTADF emission ?Lihua Chen,aChenfei Li,aZheng-Fei Liu,dYoshiaki Kuboi,aEnguang Fu,aLydia Sosa Vargas,cChihaya Adachi,*bFabrice Mathevet*bcandShaodong Zhang *aHerein, we report the first example of chiral donor每acceptor cageDA-2 displaying efficient circularly polarized thermally activateddelayed fluorescence (CP-TADF) with | glum| values up to 2.1 /C210/C03and PLQY of 32%. A small DESTof 0.051 eV and quasi-parallel ( h=6 8)transition electric and magnetic dipole moments were realizedfrom the through-space charge transfer interaction between theparallelly aligned donor and acceptor in DA-2. This D每A cageconfiguration has provided a novel design strategy for discoveringpotential efficient CP-TADF emitters.",this paper's author
