content,category
"Additional details, including descriptions ofthesynthesismethods ofHCs, instrument types, and other exper-imental data (PDF)Accession CodesCCDC 2292243?2292245 contain the supplementary crys-tallographic data forthis paper. These data can beobtainedfree ofcharge viawww.ccdc.cam.ac.uk/data_request/cif, orbyemailing data_request@ccdc.cam.ac.uk, orbycontacting TheCambridge Crystallographic Data Centre, 12Union Road,Cambridge CB2 1EZ, UK; fax: +44 1223 336033.¡öAUTHOR INFORMATIONCorresponding AuthorsMinghua Liu?Beijing National Laboratory forMolecularScience (BNLMS), KeyLaboratory ofColloid, Interface andChemical Thermodynamics, Institute ofChemistry, ChineseAcademy ofSciences (CAS), Beijing 100190, China;University ofChinese Academy ofSciences (UCAS), Beijing100049, China; orcid.org/0000-0002-6603-1251;Email: liumh@iccas.ac.cnXuefengZhu ?Beijing National Laboratory forMolecularScience (BNLMS), KeyLaboratory ofColloid, Interface andChemical Thermodynamics, Institute ofChemistry, ChineseAcademy ofSciences (CAS), Beijing 100190, China;Email: zhuxf06@iccas.ac.cnAuthorsWeiliShang ?Beijing National Laboratory forMolecularScience (BNLMS), KeyLaboratory ofColloid, Interface andChemical Thermodynamics, Institute ofChemistry, ChineseAcademy ofSciences (CAS), Beijing 100190, ChinaYuanWang ?Beijing National Laboratory forMolecularScience (BNLMS), KeyLaboratory ofColloid, Interface andChemical Thermodynamics, Institute ofChemistry, ChineseAcademy ofSciences (CAS), Beijing 100190, ChinaTongling Liang ?BNLMS, Center forPhysicochemicalAnalysis andMeasurement, Institute ofChemistry, CAS,Beijing 100190, ChinaCongDu?Beijing National Laboratory forMolecular Science(BNLMS), KeyLaboratory ofColloid, Interface andChemical Thermodynamics, Institute ofChemistry, ChineseAcademy ofSciences (CAS), Beijing 100190, ChinaJunfengXiang ?BNLMS, Center forPhysicochemical AnalysisandMeasurement, Institute ofChemistry, CAS,Beijing100190, ChinaComplete contact information isavailable at:https://pubs.acs.org/10.1021/jacs.3c09461NotesThe authors declare nocompeting financial interest.¡öACKNOWLEDGMENTSThis work was supported by National Natural ScienceFoundation ofChina (21890734, 21890730, 22172176) andthe National Key Research and Development Program ofChina (2022YFA1204402).¡öREFERENCES(1) Mendes, A.C.; Baran, E.T.;Reis, R.L.;Azevedo, H.S.Self-assembly innature: using the principles ofnature tocreate complexnanobiomaterials. WIREs Nanomed. Nanobiotechnol. 2013, 5,582?612.",affiliation
"? Beijing National Laboratory for Molecular Science (BNLMS), Key Laboratory of Colloid, Interface and Chemical Thermodynamics, Institute of Chemistry, Chinese Academy of Sciences (CAS), ZhongGuanCun North First Street 2, Beijing, 100190, China  ? BNLMS, Center for Physicochemical Analysis and Measurement, Institute of Chemistry, CAS, ZhongGuanCun North First Street 2, Beijing, 100190, China  ¡ìUniversity of Chinese Academy of Sciences (UCAS), Beijing, 100049, China   * Correspondence Author:  liumh@iccas.ac.cn , zhuxf06@iccas.ac.cn     Table of Contents  1. Experimental Section  ............................................................................................. S1 1.1 Chemicals  ..........................................................................................................................S 1 1.2 Syntheses  ...........................................................................................................................S 1 1.2.1 Syntheses of BDI- Boc ............................................................................................S 1 1.2.2 Syntheses of BDI¡¤TFA ...........................................................................................S 2 1.2.3 Syntheses of HC  .....................................................................................................S 3 1.2.4 Syntheses of  TPA-cHex  .........................................................................................S 5 1.3 Methods  .....................................................................................................................S 5 1.3.1  Procedures of Sample Preparation  .........................................................................S 5 1.3.2 Characterization  .....................................................................................................S 8 1.3.3 Evaluation of LD Contribution  ..............................................................................S 9 1.4 Instruments  ...................................................................................................................... S10 2. Figures and Tables  ............................................................................................... S11 3. References ............................................................................................................. S58   S1 1. Experimental  Section  1.1 Chemicals   All chemicals and solvents were used without further purification. (1 R,2R)-Boc-1,2-diaminocyclohexane (RcHDAm -Boc, 98%, DAICEL), (1 S,2S)-Boc- 1,2-diaminocyclohexane (ScHDAm -Boc, 98%, DAICEL), Pyromellitic dianhydride (BDA, 98%, Innochem),  Tris(4 -formylphenyl)amine (TPA, 98%, TENSUS BIOTECH), Cyclohexylamine (cHex -Am, Enerey Chemical), Tris(pentafluorophenyl)borane ( TFPB, 98%, Enerey Chemical), Sodium chloride (NaCl, 99.5%, Innochem), trifluoroacetic acid (TFA, 99%, Innochem), Dichloromethane (  DCM, AR, Innochem), Milli- Q water (H 2O, 18.2 M ¦¸¡¤cm), n-Hexane (Hex, AR, Innochem) 1,2-Dichloroethane( DCE, AR, Enerey Chemical),  N,N-Dimethylformamide (DMF, AR, Innochem), Ethyl acetate (EA, AR, Concord Technology), Toluene (Tol, AR, Concord Technology), Methanol (MeOH, AR, Concord Technology).",affiliation
"S2 RBDI-Boc:  Pyromellitic dianhydride ( BDA , 20 mmol , 4.36 g)  and ( 1R,2R)-Boc- 1,2-cyclohexanediamine (RcHDAm -Boc, 42 mmol , 9 g ) were dissolved in 100 mL  N,N- dimethyl-formamide (DMF) in a 250 mL flask , which was exchanged by dry nitrogen gas for three times  and allowed react ion at 100¡ãC under the nitrogen atmosphere for about 12 h. After cooling to the room temperature , the reaction solution was slowly poured into sodium chloride saturated acid ic water  (pH = 5-6). Then, the generated  precipitates  were  filter ed with suction  and wash ed with ionized water for 3 times till the filtate turn to  neutral , which were further dried to obtain white powder as the target product RBDI-Boc (68%).",comprehensive synthesis
"S3 RBDI¡¤TFA: As shown in Scheme S2, RBDI-Boc was dissolved in 100 mL  DCM in a 250 mL flask,  which  was stirred at room temperature for 20  mim. During this process, a n excess amount of trifluoroacetic acid  (~ 20 mL) was slowly added to make the solution clear , which  was further stirred at room temperature for 12 h. The n, DCM  was removed under reduced pressure  and a small amount of methanol (~ 5 mL) was added to the mixture, which was treated by ultrasonica tion. After that, dispersion  was filtered and washed with about  5 mL methanol to obtain  white powder  (75%) .",comprehensive synthesis
"RHC: As shown in Scheme S 3, TPA (0.658 g, 2 mmol) and RBDI¡¤TFA (3.63 g, 6 mmol) were dissolved in 10 0 mL  DCM in a 250 mL flask . The mixture was stirred at room temperature for 3  days. After the reaction, the dichloromethane was removed by rotating evaporation . The residuals S4 were filtered and  washed several times with the mixed solvents of DCM and methanol. Then, the solids were recrystallized in DCM and methanol to get light yellow powders as the target product RHC (60%) .",comprehensive synthesis
"TPA -cHex : As shown in Scheme S4, TPA (658 mg, 2 mmol) and cHex -Am (793 mg, 8 mmol) were dissolved in 60 mL  tetrahydrofuran (THF) in a 100 mL flask. The mixture was stirred at room temperature for 24h. After the reaction, tetrahydrofuran  was removed by rotating evaporation. Then, the solids were recrystallized in DCM and methanol.  Finally, faint yellow powders was obtained (66%).",comprehensive synthesis
"2. Preparation of Aggregat ion Sample s  HC & TFPB/ HC: 17.82 mg of RHC (or SHC) powder was  dissolved in 2 mL of toluene  (Tol, solvent)  under heating and ultrasonication  as solution A . 51.1 mg of TFPB was dissolved  in 5 mL of toluene under heating and ultrasonication as solution B. The slution A and B were cooled naturally down to room temperature and mixed to form TFPB/HC  complex solutions with different molar ratios ( 0, 1, 2, 3, 4 , the total volume is kept at 400 ¦ÌL). For the samples of TFPB/HC  = 5, 6, 8, 10, the required amount s of TFPB were disscolved into  200 uL toluene, which were added into  200 ¦ÌL of solution A to prepare TFPB/HC  complex solutions. The total volume is also kept at 400 ¦Ì L. After that, a volume of  1600 uL n- hexane  (Hex, antisolvent) was added into each solution and shake d quickly , which were left s tand overnight for test s. All samples were stored away from light.",comprehensive synthesis
"3. Preparation of Single Crystal s  RHC: 17.82 mg RHC powder was dissolved into 2 mL dichloromethane  (DCM), which was  filtered using 0.22 ¦Ì m filters to give a clear solution  (1¡Á10-4 M). Then , 1 mL N, N -dimethylformamide (DMF) was injected slowly with a syringe and a small amount of DCM was added  to prevent rapid precipitation. After slow evaporation, the light yellow flake crystals RHC were  obtained.",comprehensive synthesis
"TFPB/SHC: The 1, 2 -dichloroethane (DCE) solution of TFPB/SHC with a molar ratio of 4 was prepared  and filtered using 0.22 ¦Ì m filters to give a clear solution  (1¡Á10-4 M). Then, a small amount of DCM was added  to prevent rapid precipitation. After slow evaporation  for 3 ~ 5 days , light yellow flake crystals  were obtained.   S7 4. Preparation of NMR Samples  (1) Temperature -dependent 1H NMR : RHC was dissolved into  chloroform -d (CDCl 3) with the concentration of 1¡Á10-4 M. Then, the temperature- dependent 1H NMR  was performed from 323 K to 223 K with an interval of 25 K .",comprehensive synthesis
"Helical Cage Rotors Switched onbyBrake Molecule with VariableFluorescence and Circularly Polarized LuminescenceWeiliShang,YuanWang,XuefengZhu,*TonglingLiang,CongDu,JunfengXiang,andMinghuaLiu*",this paper's author
