content,category
"Department of Chemistry and Centre for Materials Discovery, University of Liverpool, Crown Street, Liverpool L69 7ZD, U.K.",affiliation
"Department of  Chemistry and Centre for Materials Discovery, University of Liverpool, Crow n Street, Liverpool L69 7ZD, UK.   S2 Experimental Section   Materials.  1,3,5 -Triformylbenzene was purchased from Manchester Organics, UK. (1R,2R)-1,2-Bis(4 -fluorophenyl) -1,2-ethanediam ine dihydrochloride  was purchased from Alfa Aesar, UK. All other chemicals were purchased from Sigma -Aldrich and used as received, unless otherwise stated.",affiliation
"Synthesis of CC 9. Trifluoroacetic acid (26.9 mg, 0.236 mmol, 0.05 equiv.) was charged to a mixture of the (1R,2R) -(+)-1,2-diphenylethylenediamine (1.50 g, 7.06 mmol, 1.5 equiv.) and 1,3,5 -triformylbenzene (0.764 g, 4.71 mmol, 1.0 equiv.) in dichloromethane  (60 ml) and the mixture was stirred at 15 oC for 50 h. The reaction was quenched by the addition o f excess sodium bicarbonate, the suspen sion was diluted with dichloromethane  (60 mL ) and filtered. The flask was rinsed with dichloromethane  (60 mL ) and the rinse charged to the filter cake. The filtrate was c oncentrated to a volume of 40 mL  on a r otary ev aporator, acetone (50 mL ) was charged and the suspension was filtered.",comprehensive synthesis
"The filter cake was washed with acetone (50 m L) and dried under suction to afford a white solid (740 mg containing 6 % w/w acetone, corrected yield = 35 %).  1H NMR (CDCl 3) ¦Ä 8.43 (s, (R) 3-Ar-H, 12H ), 8.19 (s , CH=N, 12H ), 7.12  - 7.07 ( m, Ar -H, 60H ), 4.75 (s, (R) 2-CHN, 12H) ppm. 13C NMR (CDCl 3) ¦Ä 160.1, 141.5, 136.9, 130.6, 128.3, 128.1, 127.1, 82.6  ppm.  MALDI -TOF MS  (ES +) 1707 ([M+H] +). Accurate  mass calculated for C 120H96N12: 1706.1. Elem. Anal.: C, 83.03; H, 5.56; N, 9.85 (C, 84.48; H, 5.67; N, 9.85 calculated for C 120H96N12).",comprehensive synthesis
"S3 Synthesis of  (1R,2 R)-1,2-bis(4 -fluorophenyl)ethane -1,2-diamine.  (1R,2R)-1,2-Bis(4 -fluorophenyl) -1,2-ethanediamine dihydrochloride (1008.5 mg, 3.14 mmol) was dissolved in distilled  water ( 50 mL ), stirred and sonificated for 15 min. Triethylamine (0.878 ml, 6.30 mmol) was add ed. The mixture was stirred, and sonificated for 15 min. Dichloromethane (10  mL) was added, and the solution was stirred for  30 min. The two phases were allowed to settle and were separated. The organic phase was retained and evaporated to dryness under re duced pressure. The product was subsequently dried under  vacuum  at 100 ¡ãC, and (1R,2R) -1,2-bis(4 -fluorophenyl)ethane -1,2-diamine (655.7 mg, 2.64 mmol, 84 % yield) was recovered as a yellow oil.  1H NMR (CDCl 3) ¦Ä 7.14 (dt, o-Ar-H, 4H) , 6.92 (dt, m-Ar-H, 4H) , 3.98 (br, (R) 2-CHN, 2H), ppm. 13C NMR (CDCl 3) ¦Ä 163.3, 160.9, 13 9.1, 128.6, 115.1, 61.9 ppm.",comprehensive synthesis
"Synthesis of CC10.  (1R,2R) -1,2-bis(4 -fluorophenyl)ethane -1,2-diamine (648.7 mg, 2.61 mmol) and 1,3,5 -triformylbenzene  (282.1 mg, 1.740 mmol) was dissolved in dry d ichloromethane (1 0 mL) and dried molecular s ieves (498.2 mg)  were added . Trifluoroacetic acid (11.1 mg, 0.097 mmol) was added  drop-wise in 5 mL of dry dichloromethane. The mixture was f lushed with argon and stirred at 20 ¡ãC for 96 h. The reaction mixture was filtered, and added drop wise  to 150 mL o f acetonit rile. Excess dichloromethane was evaporated off and the white precipitate was obtained via centrifugation.  The powder was washed with chloroform in a Soxhlet extractor and the solution was retained and evaporated to dryness.  CC10 (311.7 mg, 0.162  mmol, 37  % yield) was obtained as a white powder after drying under vacuum.  1H NMR (CDCl 3) ¦Ä 8.44 (s, (R) 3-Ar-H, 12H) , 8.24 (s, C H=N, 12H) , 7.02 (br, o-Ar-H, 24H), 6.73 (br, m-Ar-H, 24H), 4.66 (s, (R) 2-CHN, 12H) ppm. 13C NMR (CDCl 3) ¦Ä 163.2, 160.8, 160.2, 136.8,  S4 130.8, 129.5, 115.1, 114.9, 81.9 ppm.  MALDI -TOF MS (ES +) 1923  ([M+H] +), 1945 ([M+Na] ). Accurate mass calculated for C 120H84N12F12: 1922 .0. Elem. Anal.: C, 73.87; H, 4.38; N, 8.72 (C, 74.99; H, 4.41; N, 8.75 calculated for C 120H84N12F12).",comprehensive synthesis
"bSSupporting Information¡¯INTRODUCTIONMicroporous materials ¡ªthat is, materials with pores smallerthan 2 nm ¡ªhave generated much recent interest.1/C05Recently,porous solids of entirely organic composition have extendedthe range of possible properties and applications. Microporousand mesoporous organic polymers6/C011and covalent organicframeworks (COFs),12,13in particular, have scope for targetedapplications because their constituent building blocks can bereadily diversi ?ed using organic synthesis.14The surface area insuch networks is generated typically via templating or sca ?oldingapproaches;15/C018as such, the porosity is a consequence of thesolid state packing of the building blocks and is ¡®extrinsic ¡¯innature. Other organic materials can exhibit ¡®intrinsic ¡¯porositythat results from the shape of the isolated molecular buildingblocks themselves, for example in the form of syntheticallyprefabricated pores, cavities, or windows. Examples of such ¡®porousmolecules,19,20include calixarenes21,22and a range of other smallorganic molecules with shape-persistent covalent cavities.23/C025C a g e - l i k em o l e c u l e sa r ea p p e a l i n ga sp o r o u ss o l i d s .27/C029Re-cently, a family of porous organic cage compounds has beenshown to demonstrate either extrinsic or intrinsic porosity, depend-ing on the packing mode of the cages.30/C034The cavities andwindows in these molecules are created by a reversible [4 + 6]Schi?-base condensation29,35of amine and aldehyde compo-nents. Notably, packing of these cages ¡ªand hence the porosityof the resulting crystalline solids ¡ªis in?uenced by the bulkinessof the cage vertices.30The materials have permanent microporestructures and exhibit Brunauer /C0Emmett /C0Teller surface areas(SA BET)o fu pt o6 2 4m2g/C01for smaller cages30and >1300 m2g/C01for a larger [4 + 6] imine cage.32,33In principle, intrinsically porousorganic cages may have advantages over networks and frameworksbecause they are solution processable and can be combined in amodular fashion to generate porous cocrystals comprising morethan one molecular building block.33In general, porous molecular crystals may be expected to havegreater scope for structural rearrangement and polymorphismthan crystalline porous frameworks, such as zeolites, MOFs, andCOFs. This is because molecular organic crystals are assembledvia weaker and less directional noncovalent forces in comparisonwith covalent and coordination frameworks. This can be anadvantage or a disadvantage, depending on the context. Forexample, we have exploited the ¡®soft¡¯5nature of porous molecularcrystals in the preparation of materials with ¡®on/o?¡¯porosityswitching behavior.31Such structural ?exibility, however, mightalso prove undesirable in other cases and lead to irreversible lossof porosity. Moreover, even with the prospect of methods forpredicting molecular crystal structures,33,36the modular andpredictable assembly of multicomponent porous organic crystalsassembled via noncovalent forces remains a major challenge.Hence, to achieve programmed assembly in porous molecularcrystals, as demonstrated in isoreticular MOFs,37it is desirable touse the established tools of crystal engineering and supramole-cular chemistry to direct molecular assembly.38For example,Received: July 1, 2011ABSTRACT: Control over pore size, shape, and connectivity in synthetic porousmaterials is important in applications su ch as separation, storage, and catalysis.",surface area
"Typically, porosity is either ¡®intrinsic ¡¯(within the molecules) or ¡®extrinsic ¡¯(betweenthe molecules) ¡ªbut not both. We report a supramolecular approach to the assemblyof porous organic cages which involves bulky di recting groups that frustrate the crystalpacking. This generates, in a synthetically designed fashion, additional ¡®extrinsic ¡¯porosity between the intrinsically porous cage units. One of the molecular crystalsexhibits an apparent Brunauer /C0Emmett/C0Teller surface area of 854 m2g/C01,w h i c hi shigher than that of unfunctionalized ca ges of the same dimensions. Moreover,connectivity between pores, and hence guest uptakes, can be modulated by theintroduction of halogen bonding motifs in the cage modules. This suggests a broaderapproach to the supramolecular engineering o f porosity in molecular organic crystals.",surface area
"Nitrogen and hydrogen sorption isotherms were collected at 77 K; carbon dioxide adsorption isotherms at 273 K. The derived Langmuir surface areafrom the adsorption isotherm for CC9 (R3),CC9 (P3) and CC10 is 575 m2g/C01(SA BET= 501 m2g/C01), 952 m2g/C01(SA BET= 854 m2g/C01) and 533 m2g/C01(SA BET= 460 m2g/C01), respectively. Comparison of micropore size distributions for CC9 (R3) ()),CC9 (P3) (0), and CC10 (O) as calculatedusing nonlocal density functional theory (D).",surface area
"The desolvated molecular solids for CC9 (both polymorphs)andCC10 adsorb large quantities of gases. The Langmuir surfaceareas calculated from the Type I nitrogen sorption isothermswere 952 m2g/C01(SA BET= 854 m2g/C01) for CC9 (P3), 575 m2g/C01(SA BET= 501 m2g/C01) for CC9 (R3), and 533 m2g/C01(SA BET= 460 m2g/C01)f o r CC10 (Figure 5). Pore size distribu-tions calculated by nonlocal density functional theory from theadsorption branches show two main peaks in the microporeregion for each of these materials. The set of smaller pore sizes iscomparable with the static diameters of the windows of indivi-dual cage molecules of approximately 6 ?. All materials werereanalyzed after gas-sorption analysis by powder X-ray di ?rac-tion, and the obtained data was re ?ned against the crystalstructures of the desolvated materials to ensure that no chemi-cal decomposition or permanent structural rearrangement hadaccompanied the degassing or sorption processes. The nitrogenuptake at 77 K for both CC9 (R3) and CC10 amounts to7.5 mmol g/C01, while the P3 polymorph of CC9 adsorbs almosttwice as much gas (14.3 mmol g/C01). Both of the CC9 poly-morphs show classical Type I nitrogen sorption behavior, whilethe isotherm for CC10 is hysteretic almost over the entirepressure range. Similarly, CC9 (R3) and CC10 absorb 3.5 mmolg/C01(0.70 wt %) and 3.6 mmol g/C01(0.73 wt %) of hydrogen at77 K, while CC9 (P3) shows a larger uptake of 4.8 mmol g/C01(0.96 wt %). At higher temperatures (273 K), the three cagestructures adsorb more similar quantities of CO 2: 1.9 mmol g/C01forCC9 (R3), 2.0 mmol g/C01forCC9 (P3), and 1.6 mmol g/C01forCC10 . To put these results into perspective, the crystallineporous solid CC9 (P3) has a higher apparent surface area andadsorbs more N 2than any of the comparably sized cages that wereported initially,30although it is surpassed by two larger cagesreported recently, one by Mastalerz32and one by our own group.33As such, our strategy of producing additional, extrinsic pore volumevia the introduction of bulkier vertices is successful, at least for CC9(P3), as evidenced both by crystallography and gas sorptionanalysis. It should be noted here that gas sorption in solids suchas this cannot always be justi ?ed by crystal structures alone. Forexample, crystalline defects and surface barriers may in ?uencesorption, and these are not captured by X-ray crystallography.54,55Moreover, any amorphized impurities, which might be ¡®invisible ¡¯toX-ray methods, could contribute to, rather than reduce, the porevolume in these solids.56As outlined above, only a minor rotation of the relevant arylgroups about a C /C0C bond is ¡®gating ¡¯the pore connectivitybetween the intrinsic and extrinsic porosity in CC9. Thus,it is possible that low-energy cooperative dynamic processesmay occur at more elevated temperatures involving transientrotation of these groups, perhaps explaining the smaller di ?er-ence in CO 2sorption observed between the two CC9 poly-morphs (Figure 5).30,57¡¯CONCLUSIONSTo conclude, the vertex functionality in these new cageswas chosen to enhance porosity with respect to our previousmaterials30by creating additional, extrinsic porosity to augmentthe intrinsic porosity within the cages. For the P3 polymorph ofCC9, which can be crystallized reproducibly from chloroform,this strategy has succeeded. We have therefore demonstrated apathway toward rational, synthetic design of additional extrinsicporosity within this class of intrinsically porous organic cagemolecules. The vertex groups in CC9 andCC10 were chosen todirect molecular assembly in ways that are familiar in the ?elds ofcrystal engineering and supramolecular chemistry. The porousmolecular crystals obtained show exceptionally high gas uptakeswithin this class of material resulting from a combination ofintrinsic and extrinsic pore volumes. These observations raise thequestion of how we might enhance porosity further in suchmaterials. One design principle would be to develop cage tectonsthat show anisotropic ordering to minimize the potential surfacearea in each molecule that is lost in the form of intermolecularcontacts. That is, we propose to search for tectons that formporous solids comprising, as nearly as possible, ¡®point contacts ¡¯between molecules such that the guest-accessible surface ismaximized. In this respect, hydrogen bonding at ¡®sticky ¡¯func-tionalized vertices is a promising tool.",surface area
