content,category
"The overall geometry of the proposed prismatic structurewas confirmed by single-crystal X-ray analysis. Single crystalswere obtained from a solution of 6in a 1:1:4 mixture ofdichloromethane, ethyl acetate, and hexane. X-ray diffractionanalysis showed that 6had the expected trigonal-prismaticstructure, with six amine bonds and a large central cavity(Figure 1). The two trigonal panels are twisted about 228withrespect to each other; thus, the phenyl arms are not eclipsedbut rotated toward a staggered geometry to minimize stericinteractions. The distance between the top and bottom panelsin this prism structure is about 5.6 /C138, and the diameter at thewidest point is 2.4 nm. To our knowledge, these dimensionsdetermined by X-ray crystallography place compound 6among the largest prismatic molecules constructed from[*] Dr. Y . Jin, Prof. Dr. W. ZhangDepartment of Chemistry and BiochemistryUniversity of Colorado, Boulder, CO 80309 (USA)Fax : (+1)303-492-5894E-mail: wei.zhang@colorado.eduB. A. Voss, Prof. Dr. R. D. NobleDepartment of Chemical and Biological EngineeringUniversity of Colorado, Boulder, CO 80309 (USA)[**] We thank Dr. Bruce Noll from Bruker AXS Inc. for single-crystal X-raydata collection, Robert Kerr for powder XRD analysis, and Prof. D. L.",affiliation
"Experimental SectionA solution of Sc(OTf)3(32 mg, 0.087 mmol) in CH3CN (10 mL) wasadded dropwise to a solution of 1,3,5-trihexyl-2,4,6-tris(4-amino-phenyl)benzene ( 3; 350 mg, 0.58 mmol) and 1,8-diformylanthracene(4; 204 mg, 0.87 mmol) in chloroform (193 mL). The yellow solutionwas stirred at room temperature for 16 h, and the resulting redsolution was concentrated to give 5. Fresh chloroform (50 mL) wasadded, followed by NaBH(OAc)3(3.69 g, 17.4 mmol), and theresulting yellow suspension was stirred at room temperature for 5 h.",comprehensive synthesis
"The reaction was quenched by the addition of saturated NaHCO3(50 mL), and the mixture was extracted with CHCl3(3 /C148 75 mL). Thecombined organic extracts were dried over Na2SO4and concentratedto give the crude product. Purification by flash column chromato-graphy (with CH2Cl2as the eluent) yielded the molecular cage 6(387 mg, 74%) as a yellow solid.",comprehensive synthesis
"2 Guilard, R.; Lopez, M. A.; Tabard, A.; Richard, P.; Lecomte, C.; Brands, S.; Hutchison, J. E.; Collman, J. P. J. Am. Chem. Soc.  1992 , 114, 9877. S3??2. Procedures for Compounds 2-6 ?1,3,5-Trihexyl-2,4,6-tris(4-nitrophenyl)benzene (2):  In a Schlenk tube, Pd(PPh 3)4 (321 mg, 0.28 mmol) and Na2CO 3 (1.18 g, 11.1 mmol) were added. The reaction apparatus was then evacuated and refilled with nitrogen.",comprehensive synthesis
"Toluene (15 mL), THF (15 mL) and H 2O (7 mL) were added and the mixture was degassed three times before heating at 85 oC for 18 h. TLC indicated starting material 1 was all consumed.  Water (50 mL) was added, and the mixture was extracted with ethyl acetate (3 x 70 mL). The organic extracts were washed with water (2 x 80 mL), and brine (80 mL), dried over Na2SO 4, and concentrated to give the crude product. Purification by flash column chromatography using 8% ethyl acetate in hexane (v/v) yielded product 2 as a light yellow solid (982 mg, 77 %): 1H NMR (CDCl 3, 400 MHz) 汛 8.32 (d, J = 8.2 Hz, 6H), 7.48 (d, J = 8.2 Hz, 6H), 2.02 每 1.86 (m, 6H), 1.13 每 1.00 (m, 6H), 1.01 每 0.88 (m, 6H), 0.80 每 0.60 (m, 21H);  13C NMR (101 MHz, CDCl 3) 汛 147.75, 147.17, 138.73, 137.78, 131.26, 123.48, 31.77, 30.86, 30.55, 29.37, 22.31, 14.04.  HR-MS (ESI): Calcd for C42H51N3O6  [M+NH 4+] 711.4119; Found, 711.4116.",comprehensive synthesis
"1,3,5-Trihexyl-2,4,6-tris(4-aminophenyl)benzene (3):  To a solution of 1,3,5-trihexyl-2,4,6-tris(4-nitrophenyl)benzene (982 mg, 1.42 mmol) in EtOH (40 mL) and EtOAc (10 mL) was added Pd/C (5% on carbon, 226 mg, 0.10 mmol). The black mixture was stirred under H 2 (balloon) for 20 hr at room temperature.",comprehensive synthesis
"TLC showed no more starting material 2 was left. The solid was filtered, an d the filtrate was concentrated to give the crude product. Purification by flash column chromatography using 30% EtOAc in hexane with 1% Et3N as eluent provided the product 3 as a light yellow solid (790 mg, 92%): 1H NMR (CDCl 3, 400 MHz) ?汛 S4??7.02 (d, J = 8.3 Hz, 6H), 6.71 (d, J = 8.3 Hz, 6H), 3.63 (s, 6H), 2.07 每 2.01 (m, 6H), 1.16 每 1.07 (m, 6H), 1.07 每 0.97 (m, 6H), 0.88 每 0.79 (m, 6H), 0.79 每 0.70 (m, 15H); 13C NMR (CDCl 3, 101 MHz) 汛 144.47, 139.87, 139.06, 132.15, 131.08, 114.77, 31.99, 31.20, 30.92, 29.74, 22.49, 14.27.  HR-MS (ESI): Calcd for C 42H57N3 [M+H+] 604.4634; Found, 604.4625.",comprehensive synthesis
"Molecular cages (5 and 6):  To a solution of 1,3,5-trihexyl-2,4,6-tris(4-aminophenyl)benzene 3 (350 mg, 0.58 mmol) and 1,8-diformylanthracene 4 (204 mg, 0.87 mmol) in chloroform (193 mL) was added Sc(OTf) 3 (32 mg, 0.087 mmol) in CH 3CN (10 mL) dropwise. The yellow solution was stirred at rt for 16 hr, and the resulting red solution was concentrated to give cage molecule 5: Crude product 1H NMR (500 MHz, CDCl 3) 汛 11.67 (s, 3H), 9.65 (s, 6H), 8.59 (s, 3H), 8.26 (d, J = 6.9 Hz, 6H), 8.19 (d, J = 8.3 Hz, 6H), 7.81 (d, J = 7.1 Hz, 6H), 7.66 (app t, J = 7.7 Hz, 6H), 7.59 (d, J = 8.0 Hz, 6H), 7.53 (d, J = 8.7 Hz, 6H), 7.30 (d, J = 8.0 Hz, 6H), 2.30 每 2.22 (m, 12H), 1.26 每 1.17 (m, 12H), 0.95 每 0.87 (m, 12H), 0.84 每 0.76 (m, 24H), 0.57 (t, J = 7.2 Hz, 18H). Fresh chloroform (50 mL) wa s added.  NaBH(OAc) 3 (3.69 g, 17.4 mmol) was added, and the yellow suspension was stirred at rt for 5 hr. The mixture was quenched by the addition of saturated NaHCO 3 (50 mL), and extracted with CHCl 3 (3 x 75 mL). The combined organic extracts were dried over Na 2SO 4 and concentrated to give crude product.  Purification by flash column chromatography (CH 2Cl2 as eluent) yielded the molecular cage 6 (387 mg, 74 %) as a yellow solid: 1H NMR (400 MHz, CDCl 3) 汛 9.07 (s, 3H), 8.51 (s, 3H), 8.01 (d, J = 8.5 Hz, 6H), 7.56 (d, J = 6.6 Hz, 6H), 7.46 (dd, J = 8.5, 6.7 Hz, 6H), 7.19 (dd, J = 8.2, 1.7 Hz, 6H), 6.94 每 6.86 (m, 10H), 6.66 (dd, J = 8.1, 2.2 Hz, 6H), 4.82 (br s, 12H), 3.80 (s, 6H), 2.26 (m, 12H), 1.25 (m, 12H), 1.07 每 0.99 (m, 12H), 0.94 每 0.85 (m, 24H), 0.68 (t, J = 7.2 Hz, 18H); 13C NMR (CDCl 3, 101 MHz) 汛 146.6, 139.7, 135.6, S5??132.2, 131.9, 130.4, 119.4, 114.5, 111.3, 47.3, 32.3, 31.4, 31.3, 29.9, 22.7, 14.4; MS (MALDI) calc＊d for C132H134N6  ([M+]) 1814.15, found 1814.74.",comprehensive synthesis
"C6H13C6H13C6H13NH2H2N NH2+CHOSc(OTf) 3CHCl 3,M SNaBH(OAc) 3NH NHNHC6H13 C6H13C6H137 Compound 7 : To a solution of 1,3,5-trihexyl-2,4,6-tris(4-aminophenyl)benzene 3 (184 mg, 0.30 mmol) and 1-naphthaldehyde (143 mg, 0.91 mmol) in chloroform (5 mL) was added Sc(OTf) 3 (22 mg, 0.045 mmol) in CH 3CN (250 米L) dropwise. The yellow solution was st irred at rt for 16 h, and NaBH(OAc) 3 (1.91 g, 9.0 mmol) was added, and the yellow suspension was stirred at rt for 5 h. The mixture was quenched by the addition of satd. NaHCO 3 (30 mL), and extracted with CHCl 3 (3 x 50 mL). The combined organic extracts were dried over Na2SO 4 and concentrated to give the crude product.  Purification by flash column chromatography (5% EtOAc in hexane ↙ 8% EtOAc in hexane) yielded compound 7 (254 mg, 83%) as a yellow solid: 1H NMR (400 MHz, CDCl 3) 1H NMR (400 MHz, CDCl3) 汛 8.14 (d, J = 7.4 Hz, 3H), 7.92 (dd, J = 7.7, 1.7 Hz, 3H), 7.84 (d, J = 8.2 Hz, 3H), 7.63 每 7.52 (m, 9H), 7.46 (dd, J = 8.2, 7.1 Hz, 3H), 7.12 (d, J = 8.5 Hz, 6H), 6.74 (d, J = 8.5 Hz, 6H), 4.80 (br s, 6H), 3.98 (br s, 3H), 2.13 (m, 6H), 1.25 每 1.14 (m, 6H), 1.14 每 1.03 (m, 6H), 1.00 每 0.74 (m, 21H); 13C NMR (CDCl 3, 101 MHz) 汛 146.7, 140.1, 139.2, 134.9, 134.0, 131.8, 131.21, 131.15, 129.0, 128.3, 126.5, 126.3, 126.0, 125.7, 123.9, 112.4, 47.0, 32.1, 31.2, 30.9, 29.8, 22.6, 14.4.",comprehensive synthesis
"Yinghua Jin, Bret A. Voss, Richard D. Noble, and Wei Zhang*",this paper's author
