content,category
"[8]Up to date, there are only a few permanentporous systems derived from discrete molecules. One of thefirst permanent porous crystalline systems of defined organ-ic compounds was tris( o-phenylenedioxy)cyclotriphospha-zene (TPP), described already in 1964 by Allcock and co-workers:[9]This system was reinvestigated recently by Sozza-ni et al.,[10]and later by several other groups.[11]Their studiesshowed that the enclathrated solvent molecules can be re-Abstract: The synthesis of various pe-riphery-substituted shape-persistentcage compounds by twelve-fold con-densation reactions of four triptycenetriamines and six salicyldialdehydes isdescribed, where the substituents sys-tematically vary in bulkiness. The re-sulting cage compounds were studiedas permanent porous material by nitro-gen sorption measurements. When thematerial is amorphous, the stericdemand of the cages exterior does notstrongly influence the gas uptake, re-sulting in BET surface areas of approx-imately 700 m2g/C01for all cage com-pounds 3c每e, independently of the sub-stituents bulkiness. In the crystallinestate, materials of the same compoundsshow a strong interconnection betweensteric demand of the peripheral sub-stituent and the resulting BET surfacearea. With increasing bulkiness, theoverall BET surface area decreases, forexample 1291 m2g/C01(for cage com-pound 3cwith methyl substituents),309 m2g/C01(for cage compound 3dwith2-(2-ethyl-pentyl) substituents) and22 m2g/C01(for cage compound 3ewithtrityl substituents). Furthermore, wefound that two different crystallinepolymorphs of the cage compound 3a(with tert-butyl substituents) differ alsoin nitrogen sorption, resulting in aBET surface area of 1377 m2g/C01, whensynthesized from THF and 2071 m2g/C01,when recrystallized from DMSO.Keywords: cage compounds ﹞gassorption ﹞porosity ﹞salicyldialde-hydes ﹞Schiff base[a] Dipl.-Chem. M. W. Schneider, Dr. M. MastalerzInstitute of Organic Chemistry II and Advanced MaterialsUlm University, Albert-Einstein-Allee 11, 89081 Ulm (Germany)Fax : (+49)731-50-22840E-mail: Michael.mastalerz@uni-ulm.de[b] Prof. Dr. I. M. OppelDepartment of Inorganic Chemistry, RWTH AachenLandoltweg 1, 52074 Aachen (Germany)[c] Dr. H. OttBruker AXS GmbH/C214stliche Rheinbr/C252ckenstra?e 49, 76187 Karlsruhe (Germany)[d] Dr. L. G. LechnerCentral Facility of Electron MicroscopyElectron Microscopy Group of Materials ScienceUlm University (Germany)Albert-Einstein-Allee 11, 89069 Ulm (Germany)[e] H.-J. S. Hauswald, Prof. Dr. R. StollRUBiospek, Ruhr-University of Bochum44780 Bochum (Germany)Supporting information for this article is available on the WWWunder http://dx.doi.org/10.1002/chem.201102857.",affiliation
"Hauswald,# Raphael Stoll,# Michael Mastalerz*,ㄓ ㄓInstitute  of Organic Chemistry II & Advanced Materials, Ulm University, Albert -Einstein -Allee 11, D-8908 1 Ulm, Germany; ∫Central Facility of Electron Microscopy , Electron Microscopy Group  of Materials Science , Ulm University, Albert -Einstein -Allee 11 , D-89069 Ulm, Germany; # RUBiospek, Ruhr -University of Bochum, D -44780 Bochum, Germany ; ? Department of Inorganic Chemistry, RWTH Aachen , Landoltweg 1, 52074 Aachen , Germany; ? Bruker AXS GmbH, Karlsruhe, Germany.",affiliation
"[40]All non-hydrogen atomswere refined using anisotropic thermal parameters. CCDC-847448contains the supplementary crystallographic data for this paper.These data can be obtained free of charge from The CambridgeCrystallographic Data Centre via www.ccdc.cam.ac.uk/data_request/cif. Crystal Data for 3c:T=100(2) K; C134H92N12O6﹞18.5THF; M=3300.12; triclinic space group P1‘;a=19.6680(10), b=21.6239(11),c=22.8285(13) /C138; a=89.766(3), b=71.390(2), g=84.828(2) 8;V=9160.68 /C1383;Z=2;1calcd=1.196 gcm/C03;m=0.620 mm/C01; 2.868<V<66.008; reflections collected/unique 30505/23307 [ R ACHTUNGTRENNUNG(int)=0.1071];www.chemeurj.org /C23 2012 Wiley-VCH Verlag GmbH & Co. KGaA, Weinheim Chem. Eur. J. 2012,18, 836 每 847 846M. Mastalerz et al.",CCDC
"Results and DiscussionSynthesis of cage compounds : The [4 +6] cage compounds3a每eof this series were synthesized by a twelve-fold con-densation reaction of salicyldialdehydes 2a每eand triamine 1(Scheme 2). Salicyldialdehyde 2bwas synthesized by amethod by Feringa et al.,[29]and salicyldialdehydes 2c每ewere synthesized by a two-fold Duff formylation of the cor-responding 4-substituted phenols ( 4c每e)[30]with hexameth-ACHTUNGTRENNUNGylenetetramine (HMTA) and trifluoroacetic acid (TFA), ac-cording to a procedure of Svenstrup et al. (Scheme 3).[31]Be-sides the desired salicyldialdehydes 2c每e, substantialamounts of the corresponding monosalicylaldehydes 5a每e[32]were obtained, which were separated by column chromatog-raphy. In contrast to the synthesis of cage compound 3art,b yusing triamine 1with the commercial available salicyldialde-hyde 2a,[25]it turned out that for the synthesis of cage com-pounds 3a每ewith the salicylaldehydes 2a每e, synthesized inour laboratory, a catalytic amount (2 mol%) of trifluoroace-tic acid accelerates the reaction. By the addition of 2 mol%TFA, cage compound 3artwas synthesized in 60% yieldfrom salicylaldehyde 2awith 1, precipitating as orange solidfrom THF at room temperature.[25]In the reaction of salicyl-dialdehyde 2bwith 1, we were not able to separate the cor-responding cage compound 3bfrom reaction intermediates,although the formation of the desired product can be detect-ed by a basis peak at m/z1882 in the MALDI-TOF MS ofthe crude product (see Figure S14 in the Supporting Infor-mation), suggesting that precipitated reaction intermediatesare already very insoluble. Even at reflux temperature andhigh dilution, the reaction did not run to completion. Ac-cordingly, under the same conditions, 2cand1were reactedto cage compound 3crt, which precipitates from the reactionmedium and was isolated in 71% yield. For the reactions ofsalicyldialdehyde 2dand 2e, with bulkier substituents, wedeveloped another method, because the products ( 3dandScheme 2. Synthesis of cage compounds 3a每e. 1) For reaction conditions and yields see Table 1.",comprehensive synthesis
"2,6-Diformyl-4-(3-ethylpentan-3-yl)phenol (2d) and 2-formyl-4-(3-ethyl-pentan-3-yl)phenol (5d) : Following GP1 4-(3-ethylpentan-3-yl)-phenol(4.5 g, 23 mmol), HMTA (7.55 g, 53.9 mmol) and TFA (43 mL) were re-acted for 24 h. After workup 5.47 g of a red oil remained. Purification bycolumn chromatography (SiO2, ethyl acetate/light petrol ether 1:3 to 1:1)gave after drying in vacuo: 1st fraction ( Rf=0.11): 0.96 g (18%) of mono-aldehyde 5das a pale yellow liquid. Refraction index: nD20=1.539;1H NMR (CDCl3, 400 MHz): d=10.83 (s, 1H, -O H), 9.89 (s, 1H, -C HO),7.49 (dd,3J=8.8,4J=2.5 Hz, 1H, Ar- H-6), 7.42 (d,4J=2.5 Hz, 1H, Ar- H-3), 6.95 (d,3J=8.8 Hz, 1H, Ar- H-5), 1.67 (q,3J=7.4 Hz, 6H,-C H2),0.67 ppm (t,3J=7.4 Hz, 9H, -C H3);13C NMR (CDCl3, 100MHz ):d=197.0 (s, Ar- CHO), 159.4 (s, Ar- COH), 138.9 (s, Ar-4- C), 135.8 (d, Ar-5-C), 131.9 (d, Ar-3- C), 120.1 (s, Ar-2- C), 117.2 (d, Ar-6- C), 43.2 (s, C-ACHTUNGTRENNUNG(CH2CH3)3, 28.6 (t, - CH2), 7.9 ppm (q, - CH3); FT-IR (NaCl): n?=3190(w), 2965 (s), 2936 (s), 2878 (s), 2736 (w), 1654 (s), 1621 (m), 1590 (s),1486 (s), 1375 (s), 1318 (m), 1282 (s), 1238 (s), 1210 (s), 1167 (s), 1137(m), 1101 (m), 1074 (w), 1037 (w), 1011 (m), 935 (m), 884 (m), 864 (m),834 (s), 776 (s), 741 (s), 715 (s), 649 (m), 610 (m) cm/C01; MS (EI-MS): m/z(%): 221 (22) [ M+H]+, 192 (13), 191 (100) [ M/C0CHO]+, 190 (8), 149(52), 136 (6), 135 (72), 133 (9), 121 (7), 105 (5); elemental analysis calcd(%) for C14H20O2: C 76.33, H 9.15; found: C 76.24, H 9.24.",comprehensive synthesis
"(3,5-Diformyl-4-hydroxyphenyl)triphenylmethane (2e) and (3-formyl-4-hydroxyphenyl) triphenylmethane (5e) : Following GP1 (4-hydroxyphe-nyl)triphenylmethane (5.00 g, 14.8 mmol), HMTA (6.66 g, 47.5 mmol)and TFA (55 mL) were refluxed for 5 d. After extraction the solvent wasremoved by rotary evaporation to give 5.9 g of a yellow residue. Purifica-tion by column chromatography (CH2Cl2/light petroleum ether 1:3) gaveafter drying in vacuo: 1st fraction ( Rf=0.15): monoaldehyde 5cas awhite solid (0.41 g, 8%); m.p. 184.5每185.5 8C;1H NMR (CDCl3,400 MHz): d=11.02 (s, 1H, Ar-O H), 9.72 (s, 1H, ArC HO), 7.43 (d, J=2.4 Hz, 1H, Ar-2- H), 7.35 (dd, J=8.8, 2.2 Hz, 1H, Ar-4- H), 7.18每7.30 (m,15H, Ar ＊-H), 6.90 ppm (d, J=8.8 Hz, 1H, Ar-3- H). The analytical dataare in accordance to those published before.[32a]2nd Fraction ( Rf=0.04): dialdehyde 2cas a pale yellow solid (1.44 g,25%); m.p. 217每219 8C;1H NMR ([D6]DMSO, 400 MHz): d=11.62 (s,1H, -O H), 10.18 (s, 2H, -C HO), 7.82 (s, 2H, Ar ＊-ortho -H), 7.33 (※t§, 6H,3J=7.6 Hz, Ar-3,5- H), 7.24 (※t§, 3H,3J=7.3 Hz, Ar-4- H), 7.15 ppm (※d§,6H,3J=7.3 Hz, Ar-2,6- H);13C NMR ([D6]DMSO, 100 MHz ):d=192.0(d, -CHO), 160.7 (s, Ar ＊-COH), 145.7 (s, Ar- C-1), 138.3 (s, Ar ＊-C-1), 137.9(d, Ar ＊-C-2,6), 130.3 (d, Ar- C-2,6), 128.1 (d, Ar- C-3,5), 126.4 (d, Ar- C-4),123.1 (s, Ar ＊-CCHO), 63.7 ppm (s, Ar3Ar＊-C); FT-IR (KBr): n?=3435 (m),3056 (m), 3029 (m), 2925 (w), 2871 (w), 1963 (w), 1687 (s), 1655 (s), 1618(s), 1596 (s), 1492 (s), 1456 (s), 1422 (m), 1396 (m), 1366 (m), 1305 (s),1272 (w), 1227 (s), 1156 (w), 1133 (m), 1086 (w), 1034 (w), 995 (s), 984(s), 929 (w), 884 (w), 851 (w), 773 (m), 748 (s), 708 (s), 664 (m), 636 (m),605 (s), 526 (m) cm/C01; MS (CI): m/z(%): 421 (16) [ M+C2H6]+, 394 (30),393 (100) [ M+H]+, 392 (13) [ M]+, 316 (10), 315 (44) [ M/C0C6H5]+; ele-mental analysis calcd (%) for C27H20O3: C 82.63, H 5.14; found: C 82.38,H 5.16.",comprehensive synthesis
"General procedure for synthesis of cage compounds (GP2): Method A :Triamine 1(4 equiv) and salicylbisaldehyde (6 equiv) were dissolvedunder argon in dry THF, TFA (2 mol% in THF) was added. The solutionwas stirred for 6每11 days at room temperature and the resulting precipi-tate was collected by suction filtration, washed with a NEt3/THF solution(50mL of NEt3in 5 mL THF), dry THF (2/C1485 mL) and pentane (2/C1485 mL) and dried in vacuum to give the desired product.",comprehensive synthesis
"Method B : Triamine 1(4 equiv) and salicylbisaldehyde (6 equiv) weredissolved under argon in dry THF and a solution of TFA in THF (2mol%) was added. The solution was refluxed, in an apparatus connectedwith a dropping funnel with molecular sieves 4 /C138. After two days the so-lution was cooled to room temperature and n-pentane (100 mL) andNEt3(50mL) were added. The resulting precipitate was centrifuged (4000Umin/C01, 20 min), washed with a mixture of dry THF/pentane (8:100) andfinally with n-pentane (80 mL). The precipitate was collected and driedin vacuum to give the desired product.",comprehensive synthesis
"Cage compound 3art: Following GP2A, triamine 1(151 mg, 0.504 mmol)and salicyldialdehyde 2a(157 mg, 0.762 mmol) were dissolved in dryTHF (20 mL) and TFA (74.5 mL). After 7 d, 3artwas obtained as yellowsolid (168 mg, 60%).1H NMR ([D6]DMSO, 400 MHz, 360 K): d=13.71(s, 6H, -O H), 9.16 (s, 12H, -N =CH-), 8.03 (s, 12H, salicyl- H), 7.70 (d,12H,4J=1.7 Hz, triptycenyl- H-1), 7.58 (d, 12H,3J=7.9 Hz, triptycenyl-H-4), 7.27 (dd, 12H,4J=1.8,3J=7.8 Hz triptycenyl- H-3), 6.00 (s, 4H,bridgehead- H), 5.77 (s, 4H, bridgehead- H), 1.34 ppm (s, 54H, -C ACHTUNGTRENNUNG(CH3)3);13C MAS NMR: d=162.9, 161.0, 159.7, 158.3, 157.6, 152.8, 150.8, 149.0,147.5, 147.1, 146.3, 145.8, 145.0, 144.7, 144.3, 144.0, 142.5, 142.2, 141.6,141.1, 140.4, 140.2, 139.6, 133.5, 131.8, 129.9, 129.2, 127.8, 127.1, 124.6,124.2, 122.5, 122.2, 121.2, 119.8, 119.2, 118.7, 118.0, 115.7, 113.6, 112.8,112.0, 109.8, 109.3, 108.5, 55.6, 55.1, 54.2, 53.9, 53.3, 34.9, 34.7, 34.5, 33.2,32.5, 31.8, 31.6, 29.4 ppm; further analytical data are in accordance tothose published before.",comprehensive synthesis
"[25]Cage compound 3aD: Following GP2B, triamine 1(135 mg, 0.452 mmol)and salicyldialdehyde 2a(141 mg, 0.682 mmol) were dissolved in dryTHF (36 mL) and TFA (31.3 mL). After three days, 76 mg (30%) of 3aDwas obtained as yellow solid. Analytical data are in accordance to thosedescribed above.",comprehensive synthesis
