content,category
"aDepartment of Chemistry and Biochemistry, University of Colorado, Boulder, CO 80309, USA, bNational Renewable Energy Laboratory, Golden, CO 80401, USA  SUPPORTING INFORMATION List of Contents 1. Materials and general synthetic methods   S2 2. GPC graphs of entries 1-18  S3-S4 3. Computational method S5-S6 4.",affiliation
"¡öEXPERIMENTAL SECTIONCompound 1. Compound 10(33.8 mg, 0.135 mmol), 4-iodo-benzaldehyde (126 mg, 0.54 mmol), CuI (0.52 mg, 0.003 mmol), andPd(PPh3)2Cl2(5.7 mg, 0.008 mmol) were placed in a 25-mL Schlenktube. The mixture was degassed by evacuating and re ?lling withnitrogen three times. THF (3.4 mL) and piperidine (0.05 mL) wereadded, and the mixture was stirred at rt for 18 h. The crude reactionmixture was then concentrated, and the residue was puri ?ed by ?ashcolumn chromatography (CH2Cl2) to provide compound 1as a yellowsolid (73 mg, 100%):1H NMR (400 MHz, CDCl 3)¦Ä10.08 (s, 2H),8.79 (s, 2H), 8.26 (d, J= 8.0 Hz, 2H), 8.20 (d, J= 8.0 Hz, 2H), 8.12(s, 2H), 8.01 ?7.93 (m, 4H), 7.92 ?7.83 (m, 4H);13C NMR (75 MHz,CDCl3)¦Ä191.6, 135.8, 132.4, 132.3, 132.1, 130.5, 130.0, 129.9, 128.6,126.8, 125.7, 124.4, 118.1, 95.1, 92.7; HR-MS (ESI) calcd forC34H18O2[M + Li+] 465.1468, found 465.1470.",comprehensive synthesis
"Compound 2a. The general procedure for Sonogashira couplingdescribed above was followed. Compound 10(57 mg, 0.23 mmol) wasconverted to dialdehyde 2ausing CuI (0.86 mg, 0.005 mmol),Pd(PPh3)2Cl2(10 mg, 0.014 mmol), 3-bromo-5-iodo-benzaldehyde(282 mg, 0.91 mmol), THF (6 mL), and piperidine (0.1 mL). Thecrude product was puri ?ed by ?ash column chromatography (CH 2Cl2)to give compound 2aas an orange solid (34 mg, 24%):1H NMR (500MHz, CDCl3)¦Ä10.04 (s, 2H), 8.78 (s, 2H), 8.29 ?8.24 (m, 2H),8.24?8.18 (m, 2H), 8.15 (s, 2H), 8.14 (s, 2H), 8.12 (s, 2H), 8.04 (s,2H);13C NMR (75 MHz, CDCl3)¦Ä190.3, 139.7, 138.1, 132.2,132.11, 132.07, 131.6, 130.4, 128.6, 126.72, 126.65, 125.7, 124.3,123.5, 117.7, 92.9, 91.5; HR-MS (ESI) calcd for C34H16Br2O2[M +Li+] 622.9660, found 622.9673.",comprehensive synthesis
"3-Bromo-5-(1-dodecyn-1-yl)-benzaldehyde. The general pro-cedure for Sonogashira coupling described above was followed. 3-Bromo-5-iodo-benzaldehyde (1.0 g, 3.2 mmol) was converted to 3-bromo-5-(1-dodecyn-1-yl)-benzaldehyde using CuI (6 mg, 0.032mmol), Pd(PPh3)2Cl2(68 mg, 0.097 mmol), 1-decyen (2.32 mL,12.9 mmol), THF (38 mL), and piperidine (4 mL). The crude productwas puri ?ed by ?ash column chromatography (hexanes ¡úEtOAc) toprovide the pure product as a brown liquid (1.05 g, 100%):1H NMR(500 MHz, CDCl 3)¦Ä9.92 (s, 1H), 7.90 (t, J= 1.7 Hz, 1H), 7.80 (t, J=1.4 Hz, 1H), 7.77 (t, J= 1.6 Hz, 1H), 2.45 ?2.39 (m, 3H), 1.65 ?1.57(m, 3H), 1.48 ?1.41 (m, 3H), 1.36 ?1.25 (m, 13H), 0.90 (t, J= 7.0 Hz,5H).13C NMR (75 MHz, CDCl3)¦Ä190.2, 139.6, 137.6, 131.6, 130.8,127.2, 122.9, 94.1, 78.1, 31.8, 29.2, 29.1, 28.9, 28.5, 22.7, 19.4, 14.1;HR-MS (ESI) calcd for C 17H21BrO [M + H+] 321.0849, found321.0849.",comprehensive synthesis
"Compound 2b. The general procedure for Sonogashira couplingdescribed above was followed. Compound 10(513 mg, 1.6 mmol) wasconverted to dialdehyde 2busing CuI (1.5 mg, 0.008 mmol),Pd(PPh3)2Cl2(17 mg, 0.024 mmol), 3-bromo-5-(1-dodecyn-1-yl)-benzaldehyde (100 mg, 0.40 mmol), and triethylamine (5.5 mL). Thecrude product was puri ?ed by ?ash column chromatography (50%CHCl3in hexane ¡ú75% CHCl3in hexane) to give compound 2basan orange solid (173 mg, 59%):1H NMR (500 MHz, CDCl3)¦Ä10.05(s, 2H), 8.81 (s, 2H), 8.28 ?8.22 (m, 2H), 8.22 ?8.17 (m, 2H), 8.14 ?8.09 (m, 4H), 7.99 (t, J= 4.6, 3.1 Hz, 2H), 7.90 (t, 2H), 2.46 (t, 4H),1.71?1.60 (m, 4H), 1.53 ?1.44 (m, 4H), 1.38 ?1.28 (m, 16H), 0.89 (t,J= 7.1 Hz, 6H);13C NMR (75 MHz, CDCl3)¦Ä191.2, 139.7, 136.7,132.4, 131.9, 131.7, 131.3, 130.2, 128.3, 126.5, 126.0, 125.3, 124.9,124.0, 117.9, 93.8, 93.5, 90.5, 78.9, 32.1, 29.44, 29.36, 29.2, 28.8, 22.9,The Journal of Organic Chemistry Articledx.doi.org/10.1021/jo3011683 |J. Org. Chem. 2012, 77, 7392 ?7400 739719.7, 14.4; HR-MS (ESI) calcd for C54H50O2[M+] 730.3806, found730.3825.",comprehensive synthesis
"Compound 12. To a solution of the acid 11(719 mg, 1.25 mmol)in MeOH (60 mL) was added concentrated H2SO4(0.7 mL). Thesolution was re ?uxed for 15 h and cooled to rt. The solvent wasevaporated, and water (50 mL) was added. The product was extractedwith CH2Cl2(3¡Á50 mL). The combined organic extracts were driedover anhydrous Na2SO4and concentrated to give crude product.",comprehensive synthesis
"Puri?cation by ?ash column chromatography (10% CH2Cl2,8 %EtOAc in hexane) provided the methyl ester 12(600 mg, 77%):1HNMR (400 MHz, CDCl3)¦Ä8.09?7.80 (m, 6H), 7.72 ?7.49 (m, 2H),7.31?7.25 (m, 6H), 7.06 ?6.83 (m, 2H), 3.92 (s, 9H);13C NMR (101MHz, CDCl3)¦Ä166.8, 150.3, 145.0, 137.4, 132.9, 130.9, 129.5, 128.7,92.9, 65.4, 52.4. The NMR data were consistent with the literaturereport by Anderson.59Compound 13. A solution of 1-tetradecene (485 mg, 2.47 mmol)in THF (2 mL) was stirred and cooled to 0 ¡ãC. 9-BBN (4.94 mL, 0.5M solution in THF) was added dropwise, and the solution was slowlywarmed to rt. After stirring at rt for 6 h, Pd(PPh3)4(95 mg, 0.08mmol) and K2CO3(453 mg, 3.28 mmol) were added followed bycompound 12(1.02 g, 1.64 mmol) in DMF (5 mL). The mixture washeated at 50 ¡ãC for 16 h and then cooled to rt. Water (60 mL) wasadded, and the reaction mixture was extracted with EtOAc (3 ¡Á60mL). The combined organic extracts were washed with water (3 ¡Á60mL) and brine (60 mL), dried over anhydrous Na2SO4,a n dconcentrated to give the crude product. The residue was puri ?ed by?ash column chromatography (10% EtOAc, 10% CH2Cl2in hexane)to give the product 13as a yellow solid (840 mg, 74%):1H NMR (400MHz, CDCl 3)¦Ä7.97?7.89 (m, 6H), 7.33 ?7.28 (m, 6H), 7.09 ?7.03(m, 4H), 3.91 (s, 9H), 2.62 ?2.52 (m, 2H), 1.65 ?1.59 (m, 2H), 1.36 ?1.21 (m, 23H), 0.88 (t, 3H);13C NMR (75 MHz, CDCl 3)¦Ä166.8,150.9, 142.0, 141.4, 130.8, 130.6, 129.1, 128.2, 128.0, 65.2, 52.1, 35.4,31.9, 31.3, 29.7, 29.6, 29.49, 29.45, 29.36, 22.7, 14.1; HR-MS (ESI)calcd for C45H54O6[M + H+] 691.3993, found 691.3986.",comprehensive synthesis
"Compound 14. To a suspension of compound 13(2.57 g, 3.72mmol) in EtOH (40 mL) was added a solution of KOH (3.12 g, 55.8mmol) in H2O (12 mL). The mixture was re ?uxed for 16 h, andcooled to rt. It was then acidi ?ed with HCl (1 N, ¡«100 mL) andextracted with EtOAc (3 ¡Á100 mL). The combined organic extractswere dried over anhydrous Na 2SO4, and concentrated to givecompound 14as a colorless solid (2.37 g, 98%):1H NMR (500MHz, DMSO) ¦Ä7.92 (d, J= 8.4 Hz, 6H), 7.35 (d, J= 8.5 Hz, 6H),7.19 (d, J= 8.4 Hz, 2H), 7.11 (d, J= 8.4 Hz, 2H), 1.61 ?1.51 (m, 2H),1.28?1.23 (m, 24H), 0.87 (t, J= 6.6 Hz, 3H);13C NMR (101 MHz,CD 3OD) ¦Ä169.4, 152.4, 143.7, 142.6, 132.0, 131.9, 130.3, 130.0,129.2, 66.4, 36.4, 33.2, 33.1, 32.5, 30.81, 30.79, 30.7, 30.6, 30.5, 30.4,27.5, 23.8, 23.1, 14.5; HR-MS (ESI) calcd for C42H48O6[M?H?]647.3378, found 647.3380.",comprehensive synthesis
"Compound 9. Step 1 : A solution of compound 14(2.37 g, 3.65mmol) in CH2Cl2(20 mL) and THF (5 mL) was stirred and cooled at0¡ãC. Oxalyl chloride (4.17 g, 32.9 mmol) was added dropwise,followed by DMF (3 drops) at 0 ¡ãC. The mixture was allowed to warmto rt and stirred for 1 h. TLC showed all the compound 14wasconsumed. The volatiles were evaporated to give light yellow solid(2.71 g), which was used in the following step without furtherpuri?cation.",comprehensive synthesis
"Step 2 : A solution of the above acyl chloride (2.71 g) in acetone(100 mL) was stirred and cooled to 0 ¡ãC, as a solution of NaN3(2.14g, 32.9 mmol) in H2O (10 mL) was added dropwise. The mixture wasstirred at 0 ¡ãC for 1 h. The solvent was evaporated and water (50 mL)was added. The organic was separated, and the aqueous layer wasextracted with Et 2O( 5 ¡Á50 mL). The combined organic extracts weredried over anhydrous Na2SO4and concentrated to give the crudeproduct (3.05 g), which was used in the following step without furtherpuri?cationStep 3 : To the solution of the above acyl azide (3.05 g) in toluene(40 mL) was added benzyl alcohol (3.55 g, 32.9 mmol). The solutionwas re ?uxed for 2 h, at which point TLC showed complete conversionof the acyl azide to carbamate. Ethyl acetate (150 mL) was added, andthe solution was washed with saturated NaHCO3(2¡Á100 mL) andbrine (100 mL), dried over anhydrous Na2SO4, and concentrated togive the crude product, which contained excess benzyl alcohol. It wasdirectly hydrolyzed without further puri ?cation.",comprehensive synthesis
