content,category
"[*] Dipl.-Chem. M. W. Schneider, Dr. M. MastalerzUlm UniversityInstitute of Organic Chemistry II &Advanced MaterialsAlbert-Einstein-Allee 11, 89081 Ulm (Germany)E-mail: michael.mastalerz@uni-ulm.deProf. Dr. I. M. OppelInorganic Chemistry Department, RWTH AachenLandoltweg 1, 52056 Aachen (Germany)Dr. A. GriffinOxford Diffraction (Agilent Technologies) Yarnton (UK)[**] We thank the German Research Foundation (Deutsche For-schungsgemeinschaft) for funding (project MA4061/5-1) and the¡°Fonds der Chemischen Industrie¡± for the generous financialsupport. We thank C. Egger (Ulm University) for measuring thenitrogen sorption isotherms, and S. Blessing (Ulm University) forrecording the PXRD data.",affiliation
[26]All non-hydrogen atoms were refined usinganisotropic thermal parameters. X-ray data have been depositedat the Cambridge Crystallographic Data Centre (CCDC 904717contains the supplementary crystallographic data for this paper.,CCDC
"2. Synthesis and Characterisation  General procedure (GP1) for the synthesis of O-substituted 4- tert-butyl-2,6 -diformylphenols: 4-tert-butyl-2,6-diformylphenol (1 equiv) and potassium carbonate (6 eqiv) were suspended in dimethylformamide and alkyl iodide (1 equ iv) was added. After addition, the yellow solution was stirred for 16 h at 70 ¡ãC. The solution was cooled to room temperature, water (30-40 mL) and dichloromethane (30-40 mL) were added and the layers separated. The organic layer was washed with water (2 ¡Á 30-40 mL), 1N ammonium chloride solution (2 ¡Á 70-80 mL) and brine (40 mL) and dried over sodium sulphate.",comprehensive synthesis
"Synthesis of 5-( tert-butyl)-2-propoxyisophthalaldehyde (4b): According to GP1, 4- tert-butyl-2,6-diformylphenol (302 mg, 1.46 mmol) and potassium carbonate (1.18 g, 8.54 mmol) were suspended in dimethylformamide (15 mL) and n-propyl iodide (0.14 mL, 1.44 mmol) was added and the reaction mixture stirred at 70 ¡ãC. After workup, the oily yellow residue was purified by flash chromatography (dichloromethane) to give after drying in vacuum 320 mg (88%) of 4b as a white solid. M.p. 39-40 ¡ãC; 1H NMR (400 MHz, CDCl 3) ¦Ä = 10.41 (s, 2H, -CHO), 8.13 (s, 2H, Ar -H), 4.06 (t, J = 6.6 Hz, 2H, -OCH2), 1.92 (sext , J = 7.3 Hz, 2H, -OCH2CH2CH3), 1.35 (s, 9H, -CCH3), 1.09 (t, J = 7.4 Hz, 3H, -OCH2CH2CH3) ppm; 13C NMR (100 MHz, CDCl 3) ¦Ä = 189.1 (d, Ar -CHO), 163.1 (s, ArC -O), 148.2 (s, ArC -5), 131.9 (d, ArC-4,6), 129.7 (s, Ar C-1,3), 82.2 (t, -OCH2), 35.0 (s, -CCH3), 31.2 (q, -CCH3), 23.4 (t, -OCH2CH2), 10.5 (q, -OCH2CH2CH3) ppm; IR (NaCl): ? = 3070 (w), 2966 (s), 2873 (s), 2750 (w), 1688 (s), 1578 (s), 1479 (s), 1459 (s), 1412 (m), 1401 (m), 1383 (s), 1366 (m), 1291 (w), 1242 (s), 1212 (s), 1123 (w), 1108 (m), 1059 (m), 1038 (w), 988 (m), 957 (s), 909 (m), 826 (w), 80 5 (w), 745 (w), 722 (m), 648 (m), 623 (m), 553 (m) cm-1; MS (CI-MS): m/z (%) = 293 (8), 290 (11), 298 (50), 278 (21) [M+C 2H6]+, 277 (67), 266 (10), 265 (56), 264 (9), 263 (15), 251 (9), 250 (52), 249 (83) [M+H]+, 248 (55) [M]+, 247 (59), 237 (5), 235 (14),  234 (6), 233 (37), 232 (5), 231 (25), 224 (5), 223 (38), 221 (14), 209 (14), 208 (63), 207 (100) [M-C3H7]+, 206 (22), 205 (60), 193 (11), 192 (5), 191 (35), 179 (10), 178 (12), 165 (7), 151 (15), 150 (22), 87 (25 ); Elemental analysis calcd. (%) for C 15H20O3: C 72.55, H 8.12; found: C 72.56, H 8.11.",comprehensive synthesis
"Synthesis of 2-(allyloxy)-5 -(tert-butyl)isophthalaldehyde (4c): According to GP1, 4 -tert-butyl-2,6-diformylphenol (300 mg, 1.46 mmol) and potassium carbonate (1.24 g, 8.97 mmol) were suspended in dimethylformamide (16 mL) and allyl iodide (0.14 mL, 1.53 mmol) was added and the reaction mixture stirred at 70 ¡ãC. After workup, the yellow resin was dried in vacuum to give 280 mg (78%) of 4c. 1H NMR (400 MHz, CDCl 3) ¦Ä = 10.40 (s, 2H, Ar -CHO), 8.14 (s, 2H, Ar-H), 6.10 (ddt, J = 16.4, 10.4, 6.0 Hz, 1H, -OCH2CHCH2), 5.43 (dd, J = 17.1, 1.4 Hz, 1H, -OCH2CHCH2), 5.37 (dd, J = 10.4, 1.1 Hz, 1H, -OCH2CHCH2), 4.63 (dt, J = 6.0, 1.1 Hz, 2H, - OCH2), 1.36 (s, 9H, -C H3) ppm; 13C NMR (100 MHz, CDCl3) ¦Ä = 189.2 (d, Ar-CHO), 162.2 (s, ArC -O), 148.5 (s, ArC -5), 132.0 (d, Ar C-4,6), 131.7 (d, -OCH2CH), 129.9 (s, Ar C-1,3), 120.4 (t, -OCH2CHCH2), 80.4 (t, -OCH2), 35.0 (s, -CCH3), 31.2 (q, -CCH3) ppm; IR (NaCl): ? = 3083 (w), 2965 (s), 2908 (m), 2869 (s), 2753 (w), 1686 (s), 1578 (s), 1478 (s), 1397 (s), 1366 (s), 1291 (m), 1242 (s), 1210 (s), 1108 (m), 978 (s), 828 (w), 805 (w), 757 (w), 722 (m), 662 (w), 637 (m), 606 (w), 553 (m) cm-1; MS (CI-MS): m/z (%) = 523 ( 16), 507 (13), 506 (10), 491 (15), 483 (24), 476 (9), 475 (22), 467 (22), 465 (10), 452 (19), 451 (47), 435 (9), 303 (12), 291 (21), 290 (11), 289 (18), 288 (17), 287 (56), 279 (15), 277 (11), 276 (36) , 275 (74) [M+C 2H6]+, 264 (16), 263 (58), 262 (17), 26 1 (43), 249 (24), 248 (60), 247 (100) [M+H]+, 246 (50) [M]+, 245 (60), 244 (9), 235 (17), 233 (15), 232 (13), 231 (52), 229 (18), 228 (35), 221 (9), 220 (15), 219 (59), 217 (13), 208 (10), 207 (53) [M -C3H5]+, 206 (46), 205 (13), 203 (18), 191 (48), 189 (10 ), 164 (13), 163 (64), 149 (8), 85 (48); Elemental analysis calcd. (%) for C 15H18O3: C 73.15, H 7.37; found: C 73.10, H 7.37.",comprehensive synthesis
"Synthesis of 2-(benzyloxy)-5 -(tert-butyl)isophthalaldehyde (4d): According to GP1, 4 -tert-butyl-2,6-diformyl-phenol (310 mg, 1.50 mmol) and potassium carbonate (1.22 g, 8.83 mmol) were suspended in dimethylformamide (17 mL) and benzyl iodide (0.19 mL, 1.51 mmol) was added and the reaction mixture stirred at 70 ¡ãC. After workup, the oily yellow residue was purified by flash chromatography (petroleum ether/dichloromethane 1:1, Rf =0.24) to give after drying in vaccum 342 mg (76%) of 4d as a white solid.",comprehensive synthesis
"General procedure (GP2) for the reaction of triamine 1 and salicyldialdehyde ethers 4a-4d by ¡®Method A ¡¯: Triptycene triamine 1 (4 equiv) and dialdehyde 4a-4d (6 equiv) were dissolved under argon in dry THF and TFA (2 mol% in THF) was added. The solution was refluxed, in an apparatus connected with a dropping funnel with molecular sieves 4?. After two days, half of the solvent was distilled off and the solution was cooled to room temperature and n-pentane (30-50 mL) was added. The precipitate was collected by suction filtration and washed with n-pentane (5 mL). After drying under vacuum, a defined amount of the crude product (3.104-3.669 mg) was dissolved together with a defined amount of mesitylene (0.452-0.639 mg), which was used as internal standard in 1H NMR spectroscopy, to calculate the yield of the formed products, by integration of characteristic signals of the pure compounds, known from method B (see below).",comprehensive synthesis
"Attempted synthesis of cage compound 5a by method A : According to GP2, triptycene triamine 1 (47 mg, 0.16 mmol) and 5-tert-butyl-2-methoxyisophthalaldehyde ( 4a) (52 mg, 0.23 mmol) were dissolved in dry THF (42  mL) and TFA (3.5 ¦ÌL). After two days, a yellow solid (62 mg) was obtained, which contains cage compound 5a (17%, calculated by 1H NMR spectroscopy).",comprehensive synthesis
"Attempted synthesis of cage compound 5b by method A : According to GP2, triptycene triamine 1 (35 mg, 0.12 mmol) and 5 -(tert-butyl)-2-propoxyisophthalaldehyde ( 4b) (42 mg, 0.17 mmol) were dissolved in dry THF (40 mL) and TFA (2.5 ¦ÌL). After two days, a yellow solid (56 mg) was obtained, which contains cage compound 5b (24%, calculated by 1H NMR spectroscopy).",comprehensive synthesis
"Attempted synthesis of cage compound 5c by method A: According to GP2, triptycene triamine 1 (54 mg, 0.18 mmol) and 2-(allyloxy)-5 -(tert-butyl)isophthalaldehyde  (4c) (67 mg, 0.27 mmol) were dissolved in dry THF (40 mL) and TFA (3.0 ¦ÌL). After two days, a y ellow solid (79 mg) was obtained, which contains cage compound 5c (23%, calculated by 1H NMR spectroscopy).",comprehensive synthesis
