content,category
"The dynamic covalent bond, namely the imine bond, allowsthe removal of errors during formation, which leads to a ther-modynamically most stable combination in the majority ofcases.[8a]Does this dynamic nature of the imine bond allowself-sorting in 3D organic cage formation? Indeed it does. Inour recent publication,[14]we were successfully able to showhow the dynamic nature of the imine bond maneuvered theefficient formation of 3D self-sorted architectures. Additionally,we also showed an example of a cage-to-cage transformation,depending on the preference for a partner over another ina complex reaction mixture. Therein, our main focus was tolook into the self-sorting behavior of two randomly selected al-dehydes, irrespective of their geometrical background. Afterhaving such unusual self-sorting behavior in the formation ofpurely covalent cages from randomly chosen components, thequestion that we asked is whether chemists can direct/controlsuch self-sorting. If so, what strategy can help chemists to con-trol the outcome?It is a well-accepted fact that most of the self-sorting sys-tems operate on the basis of difference in geometric shapes/[a]K. Acharyya, Prof. Dr. P . S. MukherjeeDepartment of Inorganic & Physical ChemistryIndian Institution of ScienceBangalore 560 012 (India)Fax: (+91) 8023601552E-mail: psm@ipc.iisc.ernet.inSupporting information for this article is available on the WWW underhttp://dx.doi.org/10.1002/chem.201303397.",affiliation
"Synthesis of aldehyde AIn a 100 mL flame-dried double-neck round-bottomed flask, 3-ethy-nylbenzaldehyde (200 mg, 1.54 /C148 10/C03mol), 3-bromobenzaldehyde(570 mg, 3.08 /C148 10/C03mol), Pd(PPh3)2Cl2(50 mg, 7.04 /C148 10/C05mol), CuI(10 mg, 5.26 /C148 10/C05mol), and PPh3(10 mg, 3.82 /C148 10/C05mol) weredissolved in triethylamine (30 mL). The reaction mixture was thenstirred under a nitrogen atmosphere at 75 8C for 24 h. After com-pletion of the reaction, the solvent was completely removed. Theresulting solid mass was purified by silica gel column chromatogra-phy in hexane/dichloromethane (1:3) to give a pale yellow solid.Yield of isolated product: 152 mg (42 %).",comprehensive synthesis
"Chem. Eur. J. 2014 ,20, 1646 每 1657 www.chemeurj.org /C23 2014 Wiley-VCH Verlag GmbH & Co. KGaA, Weinheim 1653Full Paper 15213765, 2014, 6, Downloaded from https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/chem.201303397 by Zhejiang University, Wiley Online Library on [24/11/2023]. See the Terms and Conditions (https://onlinelibrary.wiley.com/terms-and-conditions) on Wiley Online Library for rules of use; OA articles are governed by the applicable Creative Commons LicenseSynthesis of aldehyde BIn a 100 mL flame-dried double-neck round-bottomed flask, 5-ethy-nylsalicylaldehyde (400 mg, 2.74 /C148 10/C03mol), 5-bromosalicylalde-hyde (830 mg, 4.13 /C148 10/C03mol), Pd(PPh3)2Cl2(100 mg, 1.40 /C14810/C04mol), CuI (20 mg, 1.05 /C148 10/C04mol), and PPh3(20 mg, 7.63 /C14810/C05mol) were dissolved in triethylamine (50 mL). The reactionmixture was then stirred under a nitrogen atmosphere at 80 8C for36 h. The solvent was completely removed after the completion ofthe reaction and the resulting solid mass was purified by silica gelcolumn chromatography in hexane/dichloromethane (1:3) to iso-late the pale yellow solid. Yield of isolated product: 255 mg (35 %).",comprehensive synthesis
"Synthesis of aldehyde CIn a 100 mL flame-dried double-neck round-bottomed flask, 5-eth-ynyl-2-methoxybenzaldehyde (320 mg, 2.00 /C148 10/C03mol), 5-bromo-2-methoxybenzaldehyde (650 mg, 3.00 /C148 10/C03mol), Pd(PPh3)2Cl2(70 mg, 9.85 /C148 10/C05mmol), CuI (15 mg, 7.8 /C148 10/C05mol), and PPh3(15 mg, 5.72 /C148 10/C05mol) were dissolved in triethylamine (40 mL).",comprehensive synthesis
The reaction mixture was then stirred under a nitrogen atmos-phere at 80 8C for 48 h. The solid product was isolated after remov-al of the solvent and the product was purified by silica gel columnchromatography in dichloromethane to isolate pure product asa yellow powder. Yield of isolated product: 224 mg (38 %).,comprehensive synthesis
"Synthesis of aldehyde DIn a 100 mL flame-dried double-neck round-bottomed flask, 3-bro-mobenzaldehyde (740 mg, 4.00 /C148 10/C03mol) and 3-formylphenylbor-onic acid (900 mg, 6.00 /C148 10/C03mol) were taken in THF (50 mL) andan aqueous solution (20 mL) of K2CO3(1 g, 7.25 /C148 10/C03mol) wasadded. The resulting solution mixture was stirred under a nitrogenatmosphere at room temperature for 10 min followed by additionof Pd(PPh3)4(100 mg, 8.65 /C148 10/C05mol) and heating to 80 8C for48 h. After completion of the reaction THF was completely re-moved and the aqueous part was extracted with dichloromethane(50 mL /C1483). The organic part was dried over sodium sulfate andthe solvent was completely removed to obtain a pale yellow solid.The resulting solid mass was purified by silica gel column chroma-tography in dichloromethane to give a white powder. Yield of iso-lated product: 824 mg (98 %).",comprehensive synthesis
"Synthesis of cage A3X2In an 8 mL glass vial, a chloroform solution (4 mL) of amine X(2.9 mg, 1.98 /C148 10/C05mol) was added slowly to a stirred solution ofaldehyde A(7 mg, 2.99 /C148 10/C05mol) in chloroform (3 mL). The result-ing solution mixture was stirred at room temperature for an addi-tional 24 h. After completion of the reaction, the solvent was com-pletely removed and the obtained white solid mass was washedwith ethanol to remove unreacted starting materials. Yield of iso-lated product: 7.5 mg (85 %).",comprehensive synthesis
"Synthesis of cage B3X2In an 8 mL glass vial, a chloroform solution (4 mL) of amine X(2.9 mg, 1.98 /C148 10/C05mol) was added dropwise slowly to a stirred so-lution of aldehyde B(7.9 mg, 2.99 /C148 10/C05mol) in chloroform (3 mL).",comprehensive synthesis
"The resulting solution mixture was stirred at room temperature foran additional 24 h. After completion of the reaction, the solventwas reduced in volume and a yellow solid product was precipitat-ed out by adding n-pentane. Yield of isolated product: 7.9 mg(80 %).",comprehensive synthesis
"Synthesis of cage D3X2In an 8 mL glass vial, amine X(2.9 mg, 1.98 /C148 10/C05mol) was dis-solved in acetonitrile (4 mL). This solution was added dropwise toa stirred solution of aldehyde D(6.3 mg, 3.00 /C148 10/C05mol) in aceto-nitrile (3 mL). The resulting solution mixture was stirred at roomtemperature for an additional 24 h. After completion of the reac-tion, the solvent was completely removed followed by addition ofa few drops of ethanol and then the product was precipitated outby adding n-pentane. Yield of isolated product: 6.4 mg (78 %).",comprehensive synthesis
