content,category
"K. A. gratefully acknowledges the CSIR, New Delhi, for the awardof Research Fellowship. We are thankful to Mr Samya Banerjee formass spectral analysis and Mr Shubhadip Chakraborty for hisgenerous help on theoretical calculations. P.S.M. thanks the DSTfor research grant (Swarnajayanti Fellowship) and ESI-MS facility inthe Inorganic and Physical Chemistry Department.",affiliation
"Department of Inorganic and Physical Chemistry, Indian Institute of Science, Bangalore 560012, India.  Fax: 91 -80-2360 -1552; Tel; 91 -80-2293 -3352  E-mail: psm@ipc.iisc.ernet.in   Materials and methods: All chemicals and solvents were purchased from commercially available sources and were used without further purification.  Aldehyde C was synthesized following  the reported procedure.1 NMR spectra  for the characterization of the products were  recorded on a Bruker 400 MHz spectrometer. In 1H NMR spectra chemical shift (¦Ä) values are reported  in ppm relative to the TMS (0.00 ppm) , as an internal standard in CDCl 3. Bruker ALPHA FTI R spectrometer was used for recording IR spectra. High resolution mass spectra were recorded on a Q -TOF instrument by electrospray ionization (ESI) technique.",affiliation
"In this text, we have used Roman numeral Ifor the stereo isomer inFig. 1 Aldehydes and amine used in the present study.Department of Inorganic and Physical Chemistry, Indian Institute of Science,Bangalore-560012, India. E-mail: psm@ipc.iisc.ernet.in; Fax: +91-80-2360-1552;Tel:+91-80-2293-3352?Electronic supplementary information (ESI) available: For experimental proce-dures and spectroscopic and crystallographic data. CCDC 1042072¨C1042075. ForESI and crystallographic data in CIF or other electronic format see DOI: 10.1039/c5cc00075kReceived 5th January 2015,Accepted 22nd January 2015DOI: 10.1039/c5cc00075kwww.rsc.org/chemcommChemCommCOMMUNICATIONPublished on 26 January 2015. Downloaded by Zhejiang University on 11/24/2023 12:58:28 PM.",CCDC
Aldehyde A:  In a 100 mL flame dried double -neck round bottom flask 500 mg of 4 -bromobenzaldehyde (2.70 ¡Á 10-3 mol) and 920 mg (6.1 4 ¡Á 10-3 mol) of 3 -formylphenylboronic acid were taken in 50 mL THF and onto that 20 mL aqu eous solution of 700 mg (5.10  ¡Á 10-3 mol) K 2CO 3 was added. The resulting solution mixture was stirred under nitrogen atmosphere at room temperature for 10 minutes followed by addition of 80  mg ( 6. 92  ¡Á 10-5 mol) of Pd(PPh 3)4 and heated to 80 ¡ãC for 48h. After completion of the reaction THF was completely removed and the aqueous part was extracted with dichloromethane (50 mL ¡Á 3). Organ ic part was then dried over sodium sulphate and completely removed . The resulting  solid mass was purified by silica ElectronicSupplementaryMaterial(ESI)forChemComm.,comprehensive synthesis
"This journal is ? The Royal Society of Chemistry 2015 gel column chromatography  in dich loromethane to get w hite powder. Isolated yield: 90 % (510 mg, 2.43¡Á 10-3 mol). 1H NMR (CDCl 3, 400MHz):  ¦Ä 7.66 (t, 1H), 7.78 (d, 2H), 7.92 (t , 2H), 7.99 (d, 2H), 8.15 (s, 1H), 10.08  (s, 1H), 10.10  (s, 1H) ; 13C NMR (100 MHz, CDCl 3): ¦Ä 128.3, 128.6, 130.3, 130.4, 130.9, 133.6, 136.2, 137.5, 141.2, 146.0, 192.2, 192.4.",comprehensive synthesis
"Aldehyde B:  Aldehyde B was pre pared as pale yellow solid from 402 mg (2.00 ¡Á 10-3 mol) of 5 - bromosalicylaldehyde and 440 mg (2.93¡Á 10-3 mol) of 3 -formylphenylboronic acid, following the same synthetic protocol employed for aldehyde A. Isolated yield:  65 % ( 293 mg, 1.30¡Á 10-3 mol).  1H NMR (CDCl 3, 400MHz):  ¦Ä 7.14 (d, 1 H), 7.73 (dd, 2 H), 7.82 (m, 1H),  7.84 (s, 1 H), 7.96 (d, 2 H); 13C NMR (100 MHz, CDCl 3): ¦Ä 119.1, 121.3, 127.5, 130.9, 132.2, 132.8 , 135 .7, 136.2 , 145.6, 162.3, 192. 2, 196.9 .",comprehensive synthesis
"Cage A3X2II:  In a 8 mL glass vial 4 mL chloroform solutio n of 2.9 mg (2.00 ¡Á 10-5 mol) of amine X was added drop -wise slowly to the stirring solution of 6.3 mg (3.00 ¡Á 10-5 mol) of aldehyde A in 3 mL chloroform. The resulting solution mixture was kept for stirring at room temperature for an additional 24 h. Afte r completion of the reaction, solvent was reduced in volume and the product was predicated out  as white solid  by adding n-pentane.  Isolated yield = 92 %  (7.5 mg,  9.21 ¡Á 10-6 mol) . 1H NMR (CDCl 3, 400MHz): ¦Ä 2.78 -2.88 (m, 12H), 3.48 -3.68 (m,12H), 6.70 (br, 2H), 6.76 (d, 4H), 6.95 (d, 2H), 7.00 (s, 1H), 7.09 (d, 4H), 7.43 (d, 2H), 7.51 - 7.60 (m, 4H), 7.61 (s, 2H), 7.80 (d, 2H), 7.93 (d,1H), 7.93 (d, 3H), 8.13 (d, 2H), 8.21 (d,1H) ; 13C NMR (100 MHz , CDCl 3): 56.1, 56.3, 56.8, 57.1, 59.6, 60.1, 60.3, 60.6, 125.4, 125.6, 126.5, 126.7, 128.5, 128.8, 129.0, 129.5, 129.7, 129.9, 130.2, 135.7, 135.9, 137.9  (two peaks) , 140.3, 140.4, 141.4, 161.1, 161.3, 161.8, 162.4; ESI -HRMS (CHCl 3/CH 3CN, 1:1 ), m/z [M+H]+ 815.4729 (calculated 815. 4549);  FTIR (cm-1) ¦Í: 2890, 2820, 2802, 1641, 1606, 1441, 1329, 1287, 1064, 1034, 910, 833, 793, 692.  Cage B3X2II: This cage was synthesized as yellow solid, from 6.8 mg (3.00 ¡Á 10-5 mol) of aldehyde B and 2.9 mg  (2.00 ¡Á 10-5 mol) of amine X following the same procedure as  employed for the cage A3X2II. Obtained solid sample was re -dissolved in chloroform and crystallized by slow vapor diffusion of n -pentane to get pure cage B3X2II. Isolated yield = 7 5 % (6.5 mg,  7.50 ¡Á 10-6 mol) . 1H NMR (CDCl 3, 400MHz): ¦Ä 2.80 -2.89 (m,  12H) , 3.51 -3.69 (m, 12H), 6.68 - 6.72 (m, 5H), 6.95 (d, 2H), 7.05 -7.07 (m, 6H ), 7.13 (d, 2H), 7.33 (d, 2H), 7.51 (s, 1H), 7.59(s, 2H), 7.64 (dd, 2H), 7.72 (dd, 1H) , 7.89 (s , 2H), 7.98 (br, 2H) ; 13C NMR (100 MHz, CDCl 3): 55.8, 56.2 (two peaks), 56.8 ,  57.9, 58. 1, 59.5, 60.0, 118.2, 118.5, 119.0, 125.5, 125.7, 128.2, 128.7,129.8, 129.9, 130.0, 130.7, 131.0,134.2, 134.3, 140.8, 141.0, 161.8, 162.1, 162.3, 162.6, 165.5, 165.6.",comprehensive synthesis
"This journal is ?The Royal Society of Chemistry 2015 Chem. Commun., 2015, 51, 4241--4244 | 4241Cite this: Chem. Commun., 2015,51,4 2 4 1Shape and size directed self-selection in organiccage formation ?Koushik Acharyya and Partha Sarathi Mukherjee*",this paper's author
"Received: February 16, 2015Published Online: April 8, 2015 10990690, 2015, 15, Downloaded from https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/ejoc.201500228 by Zhejiang University, Wiley Online Library on [24/07/2023]. See the Terms and Conditions (https://onlinelibrary.wiley.com/terms-and-conditions) on Wiley Online Library for rules of use; OA articles are governed by the applicable Creative Commons LicenseSupporting information  Shape and size directed self -selection in organic cage formation  Koushik Acharyya and Partha Sarathi Mukherjee*",this paper's author
"The selective formation of a single isomer of a [3+2] self-assembledorganic cage from a reaction mixture of an unsymmetrical aldehydeand a flexible amine is discussed. The experimental and theoreticalfindings suggest that in such a process, the geometric features ofthe aldehyde play a key role.",topology
