content,category
"Experimental SectionFor synthetic procedures and full characterization of all newcompounds, see the Supporting Information. CCDC 1511860 [ rac-3]contains the supplementary crystallographic data for this paper.These data can be obtained free of charge from The CambridgeCrystallographic Data Centre via www.ccdc.cam.ac.uk/data_request/cif.",CCDC
Crystal structure analysis was accompli shed on a Stoe Stadivari diffractometer with a copper source (¶ÀCuK¶¡= 1.54178 ?). The crystallographic information file  for rac-3 (CCDC 1511860 ) has been deposited in the Cambridge Crystallographic Data Centre and can be downloaded free of charge via www.ccdc.camac.uk/data_request/cif .,CCDC
"S3  2 SYNTHESIS AND CHARACTERIZATION    [2+3] Cage compound s rac-3. Triamine (°¿) -1 (93.1  mg, 200 ¶Ãmol ) and bis(salicylaldehyde) 2 (72.7  mg, 300 ¶Ãmol ) were suspended  in 1,4-dioxane  (20 mL), and a 0.10 M solution of TFA in 1,4-dioxane  (120 ¶ÃL, 12.0 ¶Ãmol ) was added. The resulting bright yellow solution was stirred under argon in a screw -capped vial at 70?°„C for 24 h. The mixture was c ooled to room temperature, 40 mL of pentane  was added, and the mixture was stirred  for 5 h at room temperature. The suspension was filtered, and the solid was washed with pentane  (2 °¡ 10 mL). The solid was dried in vacuo  at 80 °„C , giving  cage compound rac-3 (127 mg, 82%) as a pale yellow solid.",comprehensive synthesis
"S4    [2+3] Cage compound (M,M)-3. Triamine (+) -(M)-1 (93.1  mg, 200 ¶Ãmol) and bis(salicylaldehyde) 2 (72.7  mg, 300 ¶Ãmol) were suspended  in 1,4-dioxane  (20 mL), and a 0.10 M solution of TFA in 1,4-dioxane  (120 ¶ÃL, 12.0 ¶Ãmol) was added. The resulting yellow  solution was stirred under argon in a screw -capped vial at 70?°„C for 24 h. The mixture  was cooled to room temperature, 70 mL of pentane  was added, and the mixture was stirred for 24 h at room temperature. The suspension was  filtered, and the solid was washed with pentane  (2 °¡ 10 mL). The solid was dried in vacuo  at 80 °„C , giving cage compound (M,M)-3 (92 mg, 79%) as a pale yellow solid.",comprehensive synthesis
"S5    [2+3] Cage compound (M,P)-4. Triamine ( °¿)-1 (93.1  mg, 200 ¶Ãmol) and bis(salicylaldehyde) 2 (72.7 mg, 300 ¶Ãmol) were suspended in EtOAc ( 65 mL), and a 0.10 M solution of TFA in EtOAc ( 120 ¶ÃL, 12.0 ¶Ãmol) was added.",comprehensive synthesis
"The resulting yellow solution was stirred under argon in a screw -capped vial at room temperature  for 14 d. The suspension was filtered, and the sol id was washed with EtOAc (2 °¡ 10 mL) and pentane  (2 °¡ 10 mL). The collected solid was suspended in 5 mL THF, stirred at reflux for 5 min, filtered while hot, washed with THF ( 5 mL), and pentane  (2 °¡ 5 mL). The solid was dried in vacuo  at 80 °„C , giving  cage  compound ( M,P)-4 (95 mg, 61%) as a pale yellow solid.",comprehensive synthesis
"[8a,f]Nonetheless, the prepara-tion of a racemic mixture of a homochiral [4 +6] imine cagecompound has been reported by Cooper et al. by mixingequimolar amounts of the enantiopure cage compounds CC3-Rand CC3-S, which were obtained by the condensationbetween 1,3,5-triformyl benzene and ( R,R)-1,2-diamino-cyclohexane or ( S,S)-1,2-diaminocyclohexane.[10]Interest-ingly, this racemic mixture ( CC3-R,S) behaves differentlythan its enantiopure counterpart in gas sorption: the enantio-pure [4 +6] imine cage CC3-Rwas reported with a specificsurface area of 624 m2g/C01(Brunauer-Emmett-Teller model,BET) while the racemic mixture of cages CC3-R,Shasa specific surface area between 507®C873 m2g/C01, depending onits crystallization conditions.[10,11]Recently it was reportedthat CC3-related [4 +6] imine cages constructed by usingracemic trans -1,2-cyclohexanediamine showed improvedchemical stability against SO2and water.[8a]However, theexact composition of this cage mixture is not known and itwould be beneficial to synthesize homochiral organic cages ina more controlled fashion.",surface area
"[15]The derived BET surface areas were found to be918 m2g/C01for (M,M)-3, 550 m2g/C01for (M,P)-4, and 211 m2g/C01forrac-3. The difference between ( M,M)-3andrac-3is farlarger than the one between CC3-Rand CC3-R,Smeasuredby Cooper et al. and illustrates how even small structuralchanges can lead to large differences in the surface area ofmicroporous materials. Despite the large difference in surfaceareas, the calculated Henry selectivities were in a similarrange for all three cage compounds (e.g. CO2/CH4=3.75®C4.93; CO2/N2=17.5®C25.3; CH4/N2=4.32®C5.52) and appear toFigure 2. Comparison of the1H NMR spectra ([D8]THF) of A) thecrude reaction mixture formed during the reaction of ( /C6)-1(1.0 equiv),2(1.0 equiv), and TFA (6 mol%) in EtOAc after 24 h; B) the precipitateformed after 4 days at RT; and C) the precipitate formed after 14 d atRT. D) ( M,P)-4isolated from the above experiment after triturationwith boiling THF.",surface area
"Internationale Ausgabe: DOI: 10.1002/anie.201610782Cage CompoundsDeutsche Ausgabe: DOI: 10.1002/ange.201610782Chiral Self-Sorting of [2 +3] Salicylimine Cage CompoundsDaniel Beaudoin, Frank Rominger, and Michael Mastalerz*",this paper's author
"The reaction between triamine ( +)-(M)-1and 2was firstcarried out in [D8]THF with a catalytic amount of TFA. The1H NMR spectrum of the reaction mixture showed theformation of sharp signals expected for the formation of thecage compound ( M,M)-3along with broad signals likelyarising from ill-defined oligomeric products (Figure 1A).(M,M)-3was purified from this mixture by precipitation withn-pentane (Figure 1B). When ( /C6)-1was used instead, twoimine-derived signals at d=8.35 and 8.39 ppm in a 76:24 ratiowere observed in the1H NMR spectrum of the reactionmixture (Figure 1C). The major isomer was also purified byprecipitation with n-pentane, and was found to be spectro-scopically identical to ( M,M)-3(Figure 1D). This findinginferred that narcissistic self-sorting leading to a racemicmixture of the homochiral cage compounds ( M,M)-3and(P,P)-3was favored, which was further confirmed by theresolution of its crystal structure (see Figure 3; see discussionbelow). Mass spectrometry analysis (MALDI-TOF) of thecrude reaction mixture suggested that the minor isomer wasthe heterochiral cage compound ( M,P)-4and not a larger[*] Dr. D. Beaudoin, Dr. F. Rominger, Prof. Dr. M. MastalerzOrganisch-Chemisches InstitutRuprecht-Karls-Universit/C228t Heidelberg69120 Heidelberg (Germany)E-mail: michael.mastalerz@oci.uni-heidelberg.deSupporting information for this article can be found under:http://dx.doi.org/10.1002/anie.201610782.",this paper's author
