content,category,
"1Department of Chemistry, University of Wroc?aw , 14 F. Joliot -Curie, 50 -383 Wroc?aw, Poland.",affiliation,
"2Institute of Low Temperature and Structure Research, Polish Academy of Sciences, P. O. Box 1410, 50 -950, Wroc?aw, Poland.",affiliation,
"1,3,5 -triformylphloroglucinol 3 has been prepared according to the literature procedure.1 R-8?CHCl 3 42 mg (0.2 mmol) of 1,3,5 -triformylglucinol and 34 mg (0.3mmol) of (1R, 2R)-1,2-diaminocyclohexane were refluxed for 48h in 40 mL of chloroform. The slightly opaque mixture was cooled down, filtered and evaporated to dryness. The crude R-8 was recrystallized twice from chloroform and dried under vacuum. Yield 21 mg (27%). Anal. C alc. (found) for C 37H43Cl3N6O6:  C, 57.41 ( 57.04 ); H, 5.60 ( 5.92 ); N, 10.86 ( 10.98 ). ESI MS m/z: [M+H]+Calcd for C36H43N6O6 655.3239;Found 655.3247. 1H NMR (CDCl 3) ? 10.4 8 (dd, J = 13.2, 9.7 Hz, 6H, N H); 7.64 (d, J = 13.2 Hz, 6H,  C=CH-NH); 2.88 (m, 6H, cyclohexane Hc); 2.27 (m, 6H, cyclohexane Hd); 1.91 (m, 6H, cyclohexane  He); 1.54 (m, 6H, cyclohexane d¡¯), 1.42 (m, 6H, cyclohexane  He¡¯); 13C NMR (125 MHz, CDCl 3): ??184.9  (C=O) , 156.1  (C=CH-NH), 106.9  (C=CH) , 68.2  (cyclohexane C c), 31.7  (cyclohexane C d),24.8 (cyclohexane C e).",comprehensive synthesis,
"R-9?3.5H 2O 42 mg (0.2 mmol) of 1,3,5 -triformylglucinol and 64 mg (0.3mmol) of (1 R, 2R)-1,2-diphenyl -ethylenediamine were refluxed for 24h in 30 mL of ethanol. The mixture was cooled down, filtered and the creamy residue dried under vacuum. Yield 32 mg (34%). Anal. Calc. (found) for C 60H55N6O9.5: C, 71.20 (71.27); H, 5.48 (5.41); N, 8.30 (8.37).  [M+H]+Calcd for C60H49N6O6 949.3708;Found 949.37 32.1H NMR ( CDCl 3) ? 11.71 ( m, 6H, N H), 8.0 3 (d, J = 12.6  Hz, 6H, C=CH-NH), 7.2 9 (m, 1 8H, m+p -phenyl), 7. 10 (m, 1 2H, o-phenyl), 4. 39 (m, 6H, NH -CH) ; 13C NMR (125 MHz, CDCl 3): ??185.1  (C=O) , 155. 7 (C=CH-NH), 135.6 (C=CH) , 129.0  (phenyl) , 128.6  (phenyl) , 127.1 (phenyl),  107.4  (phenyl) , 73.3  (NH-CH).",comprehensive synthesis,
"R-10?5.5H 2O?2.5C 6H5N 43 mg (0.205 mmol) of 1,3,5 -triformylglucinol and 85 mg (0.3mmol) of  (R)-2,2¡¯-diamino -1,1¡¯-binaphthyl were refluxed for 2h  in 30 mL of pyridine. The dark orange mixture was filtered, the filtrate evaporated to dryness and the residue dried under vacuum. Yield 87 mg (65%).",comprehensive synthesis,
"The pyridine adduct can be further purified by crystallization from acetonitrile  to give form of R-10 free                                                              1Chong, J. H.; Sauer, M.; Patrick, B. O.; MacLachlan, M. J. Org. Lett. 2003 , 5, 3823 -3825.  from pyridine .Anal. Calc. (found) for C90.5H71.5N8.5O11.5: C, 74.34 (74.20); H, 4.94 (4.55);  N, 8.14 (8.14). ESI MS m/z: [M+H]+Calcd for C 78H48N6O6 1165.3708;Found 1165.3708.",comprehensive synthesis,
"Mixture of  (R-11 and R-12)?0.5CHCl 3?0.5H 2O. 200 mg (0.95 mmol) of 1,3,5 -triformylglucinol and 870 mg (7.63mmol) of (1R, 2R)-1,2-diaminocyclohexane were refluxed for 24 h in 35 mL of chloroform. The yellowish solution was evaporated to dryness and the obtained orange oil was solidified with 100 mL of diethyl ether. After stirring for 30 min. the suspension was filtered and the obtained cream precipitate was washed with diethyl ether  and dried. This product was  suspended in  50 mL water and extracted 3 ?20 mL of chloroform; the organic phase was separated, evaporated to dryness  and dried under vac uum. Yield 333 mg (71%).  Anal. Calc. (found) for C 27.5H43.5Cl1.5N6O3.5: C, 58.22 (58.28); H, 7.73 (7.83); N, 14.81 (14.60). ESI MS m/z: [M+H]+Calcd for C 27H43N6O3 499.3 391;Found 499.3 387.1H NMR (CDCl 3, 500 MHz): ¦Ä 11.51 (m, 3H); 11.03 (m, 3H); 8.34 (d,  J = 8.8 Hz, 3H); 8.34 (d,  J = 8.8 Hz, 3H); 8.25 (d, J = 13.6 Hz, 3H); 8.21 (d,  J = 13.6 Hz, 3H); 2.86 (m, 3H); 2.61 (m, 3H); 2.01 (m, 6H); 1.78 (m, 6H); 13C NMR (CDCl 3, 125 MHz): ¦Ä185.3, 185.2, 157.0, 156.4, 156.0, 155.2, 116.3, 104.7, 104.5,  104,4 , 67.0, 55.7, 55.1, 50. 7, 34.7, 34.6, 32.6, 32.5, 32.4, 32.3, 31,9, 29.6, 25.5, 24.9, 24.8    X-ray crystallography  Single crystals of R-8 and S-8 were obtained by slow evaporation chloroform solutions of the respective enantiomers. Data collection was performed using graphite mon ochromatic MoK ? radiation on a four -circle ? geometry KUMA KM -4 diffractometer with a two -dimensional area CCD detector at 100(2)K.",comprehensive synthesis,
"Chiral 2 + 3 Keto-Enamine Pseudocyclophanes Derived from 1,3,5-TriformylphloroglucinolPrzemys ?aw Kieryk,?Jan Janczak,?Jaros ?aw Panek,?Marcin Miklitz,?and Jerzy Lisowski *,??Department of Chemistry, University of Wroc ?aw, 14 F. Joliot-Curie, 50-383 Wroc ?aw, Poland?Institute of Low Temperature and Structure Research, Polish Academy of Sciences, P.O. Box 1410, 50-950, Wroc ?aw, Poland*SSupporting InformationABSTRACT: The reactions of 1,3,5-triformylphloroglucinol with (1 R,2R)-1,2-diaminocyclohexane, (1 R,2R)-1,2-diphenyl-ethylenediamine, or ( R)-2,2 ¡ä-diamino-1,1 ¡ä-binaphthyl result in the formation of enantiopure [2 + 3] keto-enamine condensationproducts, in contrast to analogous reactions of 1,3,5-triformylbenzene, where [4 + 6] Schi ?base cages are formed. The X-raycrystal structure of the diaminocyclohexane 2 + 3 derivative as well as modeled structures of other compounds of this type showcyclophane-like molecules with close contact between the phloroglucinol rings. Density Functional Theory (DFT) calculationscon?rm that there is a sizable ¦Ð?¦Ðinteraction between these rings in ?uencing the conformation of these molecules.",this paper's author,
"Przemys?aw Kieryk,1 Jan Janczak,2 Jaros?aw Panek1, Marcin Miklitz,1 and Jerzy Lisowski1*",this paper's author,
"The condensation of 1,3,5-triformylbenzene with (1 R,2R)-1,2-diaminocyclohexane or other chiral diamines results ininteresting [4 + 6] cage imines,1?3such as compound 1(Figure1), that exhibit unique guest binding and gas sorption properties,as demonstrated by Cooper et al.2,3On the other hand, thecondensation of aromatic dialdehydes with the same chiraldiamines often leads to [3 + 3] imine macrocycles, which,together with their amine counterparts, act as hosts for metal ionsas well as organic molecules.",topology,
"4,5In particular the condensation of2,6-diformylphenols with chiral diamines results in the formationof [3 + 3] Schi ?bases such as 2. These macrocycles and theiramine counterparts form interesting trinuclear metal complexes.5In contrast, the [4 + 6] cage 1seems to be a relatively poor ligandfor polychelate binding of metal ions. To date, no metalcomplexes of these imine cages have been reported, while areduced amine-type [4 + 6] cage derived from 1,3,5-triformyl-benzene and ethylenediamine forms a metal ?organic framework(MOF) coordination polymer with zinc(II) clusters.",topology,
"6Inspired by the elegance of the [4 + 6] cages derived from1,3,5-triformylbenzene, we have envisaged that the introductionof additional coordinating groups to 1will create an organicmolecule that will allow for ¡°three-dimensional ¡±extension of¡°two-dimensional ¡±coordination chemistry of [3 + 3] macro-cycles ( Figures 1 ,2). For this purpose we have chosen 1,3,5-triformylphloroglucinol 3as the starting carbonyl compound forthe synthesis of a hypothetical compound 4and similar cages. Inthese new molecules, each face of the tetrahedral cage wouldcorrespond to a [3 + 3] triphenolic macrocycle. In particular, themodeled structure of the [4 + 6] condensation product 4basedon3and (1 R,2R)-1,2-diaminocyclohexane 5shows a tetrahedralcage, where each face very closely corresponds to a [3 + 3]Received: October 15, 2015Published: December 14, 2015Figure 1. Structures of the [4 + 6] cage 1, a putative [4 + 6] cage 4andthe [3 + 3] macrocycle 2.",topology,
"macrocycle 2previously studied by us ( Figure 2 , Figure S25,Supporting Information (SI)).7Trialdehyde 3is an interesting substrate for the formation of [1+ 3] condensation products with various amines, which havebeen studied in the context of proton tautomerism, metalbinding, liquid crystal properties, and helicity inversion;83hasbeen also condensed with aromatic diamines in a 2:3 ratio to give2-D planar covalent polymers.9In this report we present the characterization of condensationproducts of 3with (1 R,2R)-1,2-diaminocyclohexane R-5,(1S,2S)-1,2-diaminocyclohexane S-5,( 1 R,2R)-1,2-diphenyl-ethylenediamine R-6,( 1S,2S)-1,2-diphenylethylenediamine S-6,(R)-2,2 ¡ä-diamino-1,1 ¡ä-binaphthyl R-7, and ( S)-2,2 ¡ä-diamino-1,1¡ä-binaphthyl S-7. We show that the [2 + 3] condensationproducts are formed instead of the expected [4 + 6] cages(Scheme 1 ). This result is in contrast to the recent ?nding of theodd?even alteration between [2 + 3] and [4 + 6] imine cagesformed from 1,3,5-triformylbenzene and diamines of variouschain length.10Thus, in the case of condensation of 1,3,5-triformylbenzene and diamines with an even number of carbonatoms (including 5and6) [4 + 6] products were formed, while inthe case of diamines with an odd number of carbon atoms [2 + 3]products were observed.",topology,
The role of ¦Ð?¦Ðinteractions was modeled by a series ofDensity Functional Theory (DFT) calculations for a keto-enamine tautomer of 8(seeSIfor computational details and theScheme 1. Formation of the [2 + 3] Keto-enamines 8 ?9Figure 3. Structures of the two extreme tautomers of 8.,topology,
"Figure 5. X-ray molecular structure of R-8.Organic Letters LetterDOI: 10.1021/acs.orglett.5b02989Org. Lett. 2016, 18, 12 ?1513discussion of stability preferences for the keto-enamine vs enol-imine and [2 + 3] vs [4 + 6] cages). Two DFT functionals,B3LYP and TPSS, and empirical dispersion correction schemeD3, were used.",topology,
"The reaction of 3with excess R-5results in a [1 + 3]condensation product. The NMR spectra of this product againindicate formation of a keto-enamine tautomer (Figures S13 ?S18, SI). Unlike the case of R-8, this time the formation of twoisomers8R-11andR-12(di?ering in the orientation of the C ¬­NH?C arms, Figure 7 ) is observed.",topology,
Some of the [2 + 3] products obtained from the condensationof trialdehydes with diamines are large enough to be regarded ascages.,topology,
"Although the pure products 8?10were isolated in moderate27?65% yields, the1H NMR spectra of crude reaction mixturesindicate that they are formed in ca. 70 ?90% yields (Figure S19,SI) so they are the preferred thermodynamic products. Theformation of [2 + 3] products 8and 9from 1,3,5-triformyl-phloroglucinol contrasts strongly with the formation of [4 + 6]products from 1,3,5-triformylbenzene and the same diamines.",topology,
"Similarly, formation of [2 + 3] product 10contrasts with theformation of [4 + 6] product from 1,3,5-triformylbenzene and1,4-diaminobutane, which has the same number of carbon atomsconnecting the two amine groups as diamine 7. Thus, theoutcome of the reaction not only is dependent on the length ofthe carbon chain but also is in ?uenced by the additionalsubstitution of the benzene ring by oxygen and formation ofFigure 6. Results of the DFT modeling without dispersion (blue,B3LYP) and dispersion-corrected (red, B3LYP-D3): (a) molecules of 8(hydrogens not shown for clarity); (b) dimers formed by centralunconnected fragments of 8.",topology,
"Figure 7. Clockwise and anticlockwise arrangement of the C ¬­C?NH?C fragments in S-8andR-8and the structures of the geometricisomers R-11andR-12.Organic Letters LetterDOI: 10.1021/acs.orglett.5b02989Org. Lett. 2016, 18, 12 ?1514keto-enamine instead of imine derivatives. The di ?erentpreference for [2 + 3] vs [4 + 6] type of products in thereactions of 1,3,5-triformylphloroglucinol and 1,3,5-triformyl-benzene may originate from di ?erent energies of ¦Ð?¦Ðinteractions of the respective six-membered rings, but otherfactors, such as the entropic contribution related to di ?erentreaction conditions, insu ?cient ¡°error correction, ¡±and incom-plete reversibility of keto-enamine formation, may also play a role(seeSIfor Figures S19, S20 and a more detailed discussion thatfollows).",topology,
"In summary we have demonstrated that the introduction ofthree hydroxyl substituents to the 1,3,5-triformylbenzenedrastically changes the course of the condensation reactionwith chiral diamines. Instead of [4 + 6] imine condensationproducts, [2 + 3] keto-enamines are obtained. The X-ray crystalstructures of these products as well as theoretical calculationsindicate formation of [ n.n.n] cyclophane-type products with thetwo phloroglucinol derived fragments interacting via ¦Ð?¦Ðinteractions. The binding of small aromatic guests by 10andsimilar more extended [2 + 3] cyclophanes, as well as thecoordinating properties of these compounds, will be the subjectof further studies.",topology,
