content,category
"We started our investigation with the triethyl -substituted triamine 1-Et[23] and trisaldehyde  2-H[24]. 1-Et is known to be [a] J. C. Lauer, Dr. F. Rominger, Prof. Dr. M. Mastalerz  Organisch -Chemisches Institut  Ruprecht -Karls -Universit?t Heidelberg  Im Neuenheimer Feld 270  69120 Heidelberg, Germany  E-mail: michael.mastalerz@oci.uni -heidelberg.de  [b] Dr. Wen -Shan Zhang, Prof. Dr. Rasmus R. Schr?der  Centre  for Advanced Materials  Ruprecht -Karls -Universit?t Heidelberg  Im Neuenheimer Feld 225  69120 Heidelberg, Germany   Supporting information for this article is given via a link at the end of the document.",affiliation
Crystal structure of  compound  1-Et CCDC -number  : 1588271  Solvent    : CHCl 3  Table 1 : Crystal data a nd structure refinement for .,CCDC
Crystal structure of  compound  3-Et-Et-¦Á CCDC -number  : 1588270  Solvent    : CHCl 3  Table 2:  Crystal data and  structure refinement .,CCDC
Crystal structure of compound 3-Et-Et-¦Â CCDC -number  : 1588272  Solvent    : Toluene   Table 2:  Crystal data and  structure refinement .,CCDC
S51   Crystal structure of compound 3-Et-H CCDC -number  : 1588273  Solvent    : CH 2Cl2  Table 2:  Crystal data and structure refinement for jol8.,CCDC
"S3   2 Synthesis and characterization    Synthesis of 1,3,5 -tris(brom omethyl) -2,4,6 -triethylbenzene  (S1): At room temperature, hydrobromic acid (100  mL, 33% in AcOH) was added to 1,3,5 -triethyl benzene  (10 mL, 53.1 mmol)  and parafo rmaldehyde (17  g, 560  mmol). The suspension was stirred and ZnBr 2 (19.7  g, 88  mmol) was added slowly. After complete addition, the mixture  was stirred vigorous ly at 90  ¡ãC for 16  hours. The reaction mixture was cooled to room temperature  and the white solid was filtered off, washed wit h water (300  mL), and dried under vacuum overnight to give 23.2  g (2 mmol, 98%) of 1,3,5 -tris(bromomethyl) -2,4,6 -triethylbenzene  as a colorless  solid. M.p.:  173 ¡ãC. 1H NMR (300 MHz, CDCl 3): ¦Ä = 4.58 (s, 6H, -CH2Br), 2.95 (q, J = 7.6 Hz, 6H, -CH2CH 3), 1.34 (t, J = 7.6 Hz, 9 H, -CH 2CH3) ppm. The analytic al data are consistent  with those from literature .[S1] Synthesis of  trimethyl -1,3,5 -benzenetricarboxylate  (S2): 1,3,5 -Benzenetricarboxylic acid  (42 g, 200  mmol) was suspended in a solution of methanol (530  mL) and sulfuric acid (13  mL, 97%). The suspension was refluxed for 24  hours and subsequently cooled to room temperature. A saturated solution of NaHCO 3 (500 mL, in water) was added slowly and the  S4   mixtu re was filtered. The residue  was washed with water (1000  mL) and the filtrate extracted with diethyl ether (500  mL). The residue  and the organic layer were combined and the solvent removed under reduced pressure to give  49 g (97%) of trimethyl -1,3,5-benzenetricarboxylate  as a colorless  solid.  M.p.: 144  ¡ãC. 1H NMR (300 MHz, CDCl 3): ¦Ä = 8.86 (s, 3H, A rH), 3.98  (s, 9H, -COOC H3) ppm. The analytic al data are consistent  with those from literature .[S2] Synthesis of  1,3,5 -tris(hydroxymethyl)benzene  (S3): Under  nitrogen atmosphere , a solution of  trimet hyl-1,3,5 -benzenetricarboxylate  (5.04  g, 20  mmol) in dry THF (90  mL) was added dropwise through a pressure -equalized addition funnel to LiAlH 4 (3.05  g, mmol) in dry THF (22  mL) at 0  ¡ãC. After complete addition,  the reaction mixture was refluxed for 24  hours and cooled to room temperature. The reaction was quenched by slow addition of water (50 mL). The reaction mixture was filtered and the residue was extracted  first with MeOH (50 mL) then with  THF (50  mL). The solvent was rem oved under reduced pressure  to give 3.3 g (95 %) of 1,3,5 -tris(hydroxymethyl)benzene  as a pale  yellow solid.  M.p.: 76  ¡ãC. 1H NMR (300 MHz, D 2O): ¦Ä = 7.3 5 (s, 3H, Ar H), 4.69 (s, 6H, -CH2OH) ppm.  The analytic al data are consistent with those from literature.[S2] Synthesis of 1,3,5 -tris(bromomethyl) benzene  (S4): 1,3,5 -tris(hydroxymethyl)benzene  (10 g, 60  mmol) was suspended in a mixture of toluene (150  mL) and HBr  (100 mL, 48% in H2O) and refluxed for 24  hours. The reaction mixture was cooled to room temperature and  the organic layer was separated. T he aq ueous layer was extracted with d iethylether (2 x 100  mL).",comprehensive synthesis
"The organic layers were combined and the solvent was removed  under reduced pressure . The crude product was filtered through a s hort silica pad (eluent: light petroleum ether/toluene  1:1) to give  21.3 g (98%) of 1,3,5 -tris(bromomethyl)benzene  as a colorless  solid. M.p.: 95  ¡ãC. 1H NMR (300 MHz, CDCl 3): ¦Ä = 7.35 (s, 3H, Ar H), 4.46 (s, 6H, -CH2Br) ppm.  The analytic al data are consistent  with those from literature.[S3] Synthesis  of 1,3,5 -triformylbenzene  (2-H): 1,3,5 -Tris(hydroxymethyl)benzene  (1.6 g, 10 mmol) was suspended in DCM (100  mL). P yridinium chlorochromate (PCC, 6.5  g, 30  mmol) and Celite (3  g) were added  and the mixture stirred for 6  hours at room temperature.",comprehensive synthesis
"Subsequently t he reaction mixture was diluted with ether (80  mL) and was allowed to stir for  further  30 minutes. The reaction mixture was filtered and the residue  extracted  with DCM (200 mL). The extract  was concentrated to dryness under reduced pressure a nd the crude product  obtained was  purified by column chromatography (DCM , Rf = 0.17) to give  1.05 g (62%)  of 2-H as a colorless  solid.  M.p.: 92  ¡ãC. 1H NMR ( 300 MHz, CDCl 3): ¦Ä = 10.21  (s, 3H, ArH), 8.64  (s, 3H, -CHO) ppm.  The analytic al data are consistent  with those from literature.[S2] Synthesis of 2,4,6 -triethy lbenzene -1,3,5 -tricarbaldehyde  (2-Et): Potassium d ichromate (6.6 g, 22 .5 mmol) was dissolved  in dry DMSO (5 0 mL). 1,3,5 -Tris(bromo methyl) -2,4,6 -triethylbenzene  (2.2 g, 5 mmol) was add ed and the reaction mixture heated to 110  ¡ãC for 2 hours. The reaction was poured into 200 mL of 10 M NaOH  and extracted with DCM  (3 x 100 mL). The combined organic layer was  washed wi th brine (100  mL) and water (2 x 100 mL), and dried over Mg SO 4. The crude product was purified by column chromatography ( toluene/ ethyl acetate  10:1, Rf = 0.5) to give 450 mg (36%) of 2-Et as a colorless waxy solid. M.p.: 50  ¡ãC.  1H NMR (300 MHz, CDCl 3): ¦Ä = 10.60  (s, 3H , -CHO), 2.99  (q, J = 7.5 Hz, 6H, -CH2CH 3), 1.25  (t, J = 7.5 Hz , 9H, -CH 2CH3) ppm.  The analytic al data are consistent with those from literature .[S4] Synthesis of 2,4,6 -triethylbenzene -1,3,5 -tricarbaldehyde  (2-Et): Under an argon atmosphere a solution of NaOEt (0.9 g, 13.3  mmol ) in absolute ethanol (31  mL) was prepared .",comprehensive synthesis
"To this solution was added 2 -nitropropane (1.2  mL, 13.3  mmol) and the mixture was stirred for 5 minutes , followed by the addition of 1,3,5 -tris(bromomethyl) -2,4,6 -triethylbenzene  (1.7 g, 3.9 mmol). The reaction mixture was stirred  for 24  hours at room temperature. T he solvent was removed in vac cuo, the residue was dissolved in tolu ene (1 00 mL) and washed with water (75 mL), NaOH aq (1 M, 75  mL) and again water (75  mL). The organic layer wa s dried over Na2SO 4 and filtered. The solvent was removed in vacuo and the crude product purified by  column chromatography (toluene/ethyl acetate  10:1, Rf = 0.5) to give  850 mg (85 %) of 2-Et as a colorless  waxy  solid.[5] M.p.: 50  ¡ãC. 1H NMR (300 MHz, CDCl 3): ¦Ä = 10.60 (s, 3H, -CHO),  S5   2.99 (q,  J = 7.5 Hz, 6H, -CH2CH 3), 1.25 (t,  J = 7.5 Hz , 9H, -CH 2CH3) ppm.  The analytic al data are consistent with those from literature .[S4] Synthesis of 1,3,5 -tris(phthalimidomethyl) -2,4,6 -triethylbenzene  (S5): A mixture of 1,3,5 -tris(bromomethyl) -2,4,6 -triethyl benzene  (5 g, 11.3  mmol) and potassium phthalimide  (8.4 g, 45 mmol) was suspend ed in dry DMSO  (75 mL) and stirred under nitrogen at 85  ¡ãC for 8 h ours.",comprehensive synthesis
"After the mixture was cool ed to room temperature , water (10 0 mL) was added and the formed precipitate was filtered. The pr ecipitate was suspended in chloroform (200  mL) and the suspension washed with brine (1 00 mL) and water (1 00 mL), and dried over Na2SO 4. The crude product was purified by column chromatography ( toluene/ethyl acetate  8:1, Rf = 0.28) to yield 4.2  g (59 %) of 1,3,5 -tris(phthalimidomethyl) -2,4,6 -triethylben zene  as a white  solid.",comprehensive synthesis
