content,category
"Department of Chemistry, Zhejiang University, Hangzhou 310027, People ¡¯s Republic of China*SSupporting InformationABSTRACT: By condensing a trisamino linker with one of the two analogous bisaldehydeligands, pills and tetrahedrons could be self-assembled. The self-assembled preference couldbe controlled by tuning the reaction conditions, including the size of side chain,concentration, and temperature. Coordination of silver cation quenches the ?uorescence ofthe?uorene moieties on the pill, opening up opportunities for Ag+cation detection.",affiliation
"aDepartment of Chemistry, Zhejiang University, Hangzhou 310027 , China.",affiliation
"Details of experimental procedure and characterizationdata ( PDF)Accession CodesCCDC 1852721 and 1852722 contain the supplementarycrystallographic data for this paper. These data can be obtainedfree of charge via www.ccdc.cam.ac.uk/data_request/cif ,o rb yemailing data_request@ccdc.cam.ac.uk , or by contacting TheCambridge Crystallographic Data Centre, 12 Union Road,Cambridge CB2 1EZ, UK; fax: +44 1223 336033.",CCDC
"b) Crystal data2a (M = 1553.9559): hexagonal, space group IT (no. 176), a = 12.7481(8) ?, b = 12.7481(8) ?, c = 33.916(2) ?, ¦Á = 90¡ã, ¦Â = 90¡ã, ¦Ã = 120¡ã, V = 4773.3(7) ?3, Z = 1.99992, T = 163.5 K, ¦Ñ calc = 1.069 g/cm3, ¦Ì(MoK¦Á) = 0.71073 mm-1, A total of 2977 reflections were collected, The structure was solved by direct method and different Fourier syntheses. Using Olex2,5 the structure was solved with the ShelXT6 structure solution program using Intrinsic Phasing and refined with the ShelXL7 refinement package using Least Squares minimization. CCDC number: 1852721c) Solid-state structureFigure S50  Side view of the core structure of 2a obtained from single crystal X-ray diffraction experiments6.2. 2ba) MethodsSingle crystals of 2b, suitable for X-ray crystallography, were grown by slow vapor diffusion of isopropyl ether into solution of 2b (in CDCl 3) over the course of days. Data were collected at 170 51K on a Bruker D8 Venture Diffractometer equipped with a GaK¦Á I¦ÌS source and MX optic.",CCDC
"b) Crystal data2b (M =1788.4343): monoclinic, space group IT (no. 14), a = 13.4695(5) ?, b = 20.9306(7) ?, c = 39.4664(14) ?, ¦Á = 90¡ã, ¦Â = 92.379(2)¡ã, ¦Ã = 90¡ã, V = 11117.0(7) ?3, Z = 4, T = 170(2) K, ¦Ñ calc = 1.069 g/cm3, ¦Ì(GaK¦Á) = 1.34139 mm-1, A total of 21183 reflections were collected, The structure was solved by direct method and different Fourier syntheses. Using Olex2,5 the structure was solved with the ShelXT6 structure solution program using Intrinsic Phasing and refined with the ShelXL7 refinement package using Least Squares minimization. CCDC number: 1852722c) Solid-state structure  Figure S51  Side view of the core structure of 2b obtained from single crystal X-ray diffraction experiments527. References1.Denmark, S. E.; Cullen, L. R. J. Org. Chem. 2015, 80, 11818-11848.",CCDC
"di?erent side chains, which are methyl and butyl on 1aand1b,respectively. Ligand 1bbearing butyl side chains is signi ?cantlymore soluble in CDCl 3.W e ?rst combined 1a(0.27 mg, 1mM) and tris(2-aminoethyl)amine (TREN) (0.07 mg, 0.83mM) in CDCl3(0.6 mL). The TREN/ 1aratio is slightlyhigher than 2:3, to guarantee the full conversion of thealdehyde precursor, given that the error often occurs inweighing a small amount of substances. The mixture solutionwas kept at 25 ¡ãC for 12 h, and its1H NMR spectrum wasrecorded (see Figure 2 A). A set of relatively sharp resonanceswere observed in the1H NMR spectrum, indicating that a pill-shaped capsule 2awith relatively high symmetry was producedas the predominant product. The1H NMR yield of 2awascalculated to be 82%, by using ethyl acetate as an internalstandard in the NMR sample. The1H NMR spectrum ( Figure2A) of 2adi?ers from that of the precursor 1a. For example,the resonance of proton con the ?uorene moiety of 2aunderwent a remarkably up ?eld shift ( ¦Ä¡Ö6.2 ppm, ¦¤¦Ä¡Ö1.5ppm), indicating the occurrence of the CH ?¦Ðinteractionsbetween one of the protons cwith an adjacent ?uorene moiety.",comprehensive synthesis
"Supporting Information2Table of Content1. Experimental details...............................................................................32. Synthetic procedures and compound characterization ..........................43. Yield calculation of self-assembled .......................................................................324. 1H NMR spectroscopic titration of 2b with different metal ions .........375. Impact of metal cation coordination on fluorescence ..........................446. X-ray Crystallography...................................................................................................507. References...........................................................................................................................5231. Experimental detailsGeneral InformationAll reagents and solvents were purchased from commercial sources and used without further purification. Manipulations were performed under a normal laboratory atmosphere unless otherwise noted. The compounds S1,1 S22 and S33were prepared according to literature. Nuclear magnetic resonance (NMR) spectra were recorded at ambient temperature using Bruker AVANCE III 400/500 or Agilent DD2 600 spectrometers, with working frequencies of 400/500/600 and 100/125/150 MHz for 1H and 13C, respectively. Chemical shifts are reported in ppm relative to the residual internal non-deuterated solvent signals (CDCl 3: ¦Ä =7.26 ppm, CDCl 3/CD 3OD: ¦Ä = 3.33 ppm). High-resolution mass spectra (HRMS) were measured using a SHIMADZU liquid chromatograph mass spectrometry ion trap time of flight (LCMS-IT-TOF) instrument, or a MALDI-TOF mass spectrometer (Bruker Daltonics, Bremen, Germany). PL spectra were recorded on a RF-5301 fluorescence spectrophotometer (Shimadzu Corporation, Japan) at 298 K. X-ray crystallographic data were collected on a Bruker D8 Venture diffractometer. 42. Synthetic procedures and compound characterizationScheme S1. Synthesis of 1a1a: Compound S1 (200 mg) and compound S2 (184.6 mg) were dissolved in Et 3N (30 mL) under an atmosphere of dry nitrogen. Pd(PPh 3)4 (32 mg) and CuI (10.8 mg) were then added and the reaction mixture was stirred at 100 oC for 2d. After cooling to room temperature, the solvent was evaporated under reduced pressure, yielding crude product. The crude product was further purified by column chromatography (PE/DCM = 1:1, v/v) to give 1a as a light yellow solid (90 mg). 1a was fully characterized by 1H (Figure S1) and 13C NMR spectroscopy (Figure S2) and mass spectrometry (Figure S3), as well as 2D NMR spectroscopy (Figure S4,S5). 1H NMR (400 MHz, CDCl 3) ¦Ä 10.04 (s, 2H), 7.89 (d, J = 8.3 Hz, 4H), 7.74 (d, J = 7.9 Hz, 2H), 7.71 (d, J = 8.2 Hz, 4H), 7.65 (d, J = 1.3 Hz, 2H), 7.57 (dd, J = 7.9, 1.5 Hz, 2H), 1.54 (s, 6H). 13C NMR (100 MHz, CDCl 3) ¦Ä 191.4, 154.1, 139.2, 135.4, 132.1, 131.2, 129.6, 126.2, 121.6, 120.5, 94.2, 89.1, 47.0, 26.9. MALDI-TOF: m/z calcd for C 33H22O2: 451.169, Found: 451.169 (M + H)+.510                8                  6                  4               ¦Ä/ppmO OCHCl3 HODbadecfbcdfgga,eFigure S1 1H NMR spectrum (400 MHz, CDCl 3, 298 K) of 1a.",comprehensive synthesis
"Figure S4 1H-1H COSY spectrum (500 MHz, CDCl 3, 298K) of 1a. Key correlation peaks between protons a and b, as well as d and e are labeled.7Figure S5 Partial 1H-1H NOESY spectrum (500 MHz, CDCl 3, 298K) of 1a. A key correlation peak between protons f and b are labeled.8 Scheme S2. Synthesis of 1b1b: Compound S3 (200 mg) and compound S2 (149 mg) were dissolved in Et 3N (30 mL) under an atmosphere of dry nitrogen. Pd(PPh 3)4 (26 mg) and CuI (8.7 mg) were then added and the reaction mixture was stirred at 100 oC for 2d. After cooling to room temperature, the solvent was evaporated under reduced pressure, yielding the crude product. The crude product was further purified by column chromatography (PE/DCM = 1:1, v/v) to give 1b as a light yellow solid (100 mg). 1b was fully characterized by 1H (Figure S6) and 13C NMR spectroscopy (Figure S7) and mass spectrometry (Figure S8), as well as 2D NMR spectroscopy (Figure S9,S10). 1H NMR (400 MHz, CDCl 3) ¦Ä 10.04 (s, 2H), 7.90 (d, J = 8.3 Hz, 4H), 7.72 (dd, J = 8.1, 1.4 Hz, 6H), 7.59 ¨C 7.53 (m, 4H), 2.03 (d, J = 8.1 Hz, 4H), 1.11 (d, J = 7.4 Hz, 4H), 0.70 (d, J = 7.2 Hz, 6H), 0.60 (s, 4H).",comprehensive synthesis
"Figure S9 1H-1H COSY spectrum (500 MHz, CDCl 3, 298K) of 1b. Key correlation peaks between protons a and b, as well as d and e are labeled.11Figure S10 Partial 1H-1H NOESY spectrum (500 MHz, CDCl 3, 298K) of 1b. A key correlation peak between protons f and b are labeled.12The pill namely 2a was obtained by condensing 1a (1.6 mg, 6 mM) and tris(2-aminoethyl)amine (TREN) (0.42 mg, 5 mM) in CDCl 3 (0.6 mL). The solution was sealed in a NMR tube without stirring for 12h to let the system to reach the equilibrium. The formation of 2a was characterized by both NMR spectroscopy (Figure S11,S12,S13,S14), mass spectrometry (Figure S15) and single crystallography (see Figure 3A in the main text). Specifically, the 1H NMR spectrum (Figure S11) proved the presence of CH¡¤¡¤¡¤? interaction, i.e., see the discussion in the main text. The peak assignment was made based on two-dimensional NMR spectra, including COSY (Figure S13) and NOESY (Figure S14). 1H NMR diffusion-ordered spectroscopy (DOSY) experiments (Figure S16) demonstrate that 2a was produced as a relatively pure compound.",comprehensive synthesis
"1H NMR diffusion-ordered spectroscopy (DOSY) experiments (Figure S21) demonstrate that 3b has a smaller diffusion coefficient than that of 2b in CDCl 3, indicating that the former compound is composed of more building blocks than the latter one.23Pure tetrahedral cage 3b could be obtained by means of crystallization. Condensing 1b (1.28mg, 4mM) and tris(2-aminoethyl)amine (TREN) (0.291mg, 3.33 mM) in CDCl 3 (0.6 mL), at 0 oC, produced a mixture containing a pill 2b (20%) and a tetrahedron 3b (71%), determined by using ethyl acetate as an internal standard in the NMR sample. Slow evaporation of the solvent at 0 oC yielded a number of crystalline materials, which was re-dissolved in CDCl 3 and its 1H NMR spectrum was recorded, indicating that the crystalline materials correspond to pure 3b. The structure of 3b was supported by both 1H and 13C NMR spectroscopy (Figure S22, S23). The peak assignment was made based on two-dimensional NMR spectra, including COSY (Figure S24) and NOESY (Figure S25). 1H NMR diffusion-ordered spectroscopy (DOSY) experiments (Figure S26) demonstrate that 3b is a pure compound.24Figure S22 1H NMR spectrum (400 MHz, CDCl 3, 298 K) of 3b.25Figure S23 13C NMR spectrum (125 MHz, CDCl 3, 298 K) of 3b.26Figure S24 1H-1H COSY spectrum (500 MHz, CDCl 3, 298 K) of 3b. Key correlation peaks protons a and b, as well as c and d are labeled.27Figure S25 1H-1H NOESY spectrum (500 MHz, CDCl 3, 298 K) of 3b. Key correlation peaks protons f and b, as well as e and g are labeled.",comprehensive synthesis
