content,category
"4. ExperimentalThe19F and1H NMR spectra were recorded from solutions in CDCl 3on a Bruker AV300 spectrometer at 282.36 MHz and 300 MHz respec-tively,13C NMR spectra were recorded on a Bruker DRX-500 instrument(125.8 MHz). Chemical shifts are given in 汛 ppm from CCl 3F (19F) andTMS (1H,13C), J values in Hz; C 6F6(每162.9 ppm from CCl 3F), CHCl 3(7.24 ppm from TMS), CDCl 3(76.9 ppm from TMS) were used as in-ternal standards. IR spectra were taken on a Bruker Vector 22 IRspectrophotometer.The X-ray diffraction experiment for 4a*0.54(CCl 4),7*3C 6H6wascarried out on a Bruker KAPPA APEX II diffractometer with graphitemonochromated MoK汐 radiation at 296 and 200 K accordingly. Thestructures were solved by direct methods using the SHELXS-97 program[20]. Refinement was carried out using the full-matrix least-squarestechnique using SHELXL [20]. All non-hydrogen atoms were refinedanisotropically. Hydrogen atom positions were calculated geometricallyand refined using the riding model. Disordered CCl4with partially oc-cupied position 0.54 in 4aand disordered benzene molecules in 7wererefined with restrictions. Crystallographic data for the structures 4aand7have been deposited at the Cambridge Crystallographic Data Centreas supplementary publication no. CCDC 1898791, 1898792. Copy ofthe data can be obtained, free of charge, on application to CCDC, 12Union Road, Cambridge CB21EZ, UK (fax: +44 122 3336033 or e mail:deposit@ccdc.cam.ac.uk; internet: www.ccdc.cam.ac.uk).",CCDC
"4.1. Reaction of pentafluorobenzonitrile with resorcinol and orcinol1 Solution of 0.22 g (2 mmol) of resorcinol and 0.77 g (4 mmol) ofpentafluorobenzonitrile in 50 mL of acetonitrile was added dropwisein period of 3 h with stirring into solution of triethylamine (2.40 g,24 mmol) in 50 mL of acetonitrile, cooled to 0 ～C. The mixture wasstirred for 20 h at room temperature and the solvent was evapo-rated. Silica gel column chromatography (eluent CCl4/CHCl 33:1)gave 0.77 g (84%) of viscous material containing (NMR 19F,GC每MS) 85% and 9% of isomeric triphenyl ethers 1a,b, respectively,4% of pentafluorobenzonitrile and 2% of unidentified compounds.",comprehensive synthesis
"2 Solution of 0.59 g (3.1 mmol) of pentafluorobenzonitrile in 2 ml wasadded dropwisely with stirring into solution of orcinol monohydrate(0.28 g, 2 mmol) and triethylamine (1.20 g, 12 mmol) in 10 mL ofacetonitrile at 25 ～C. The mixture was stirred for 2 h and the solventwas evaporated. Silica gel column chromatography (eluent CCl4/CHCl 33:1) gave 0.56 g (77%) of viscous material containing (NMR19F, GC每MS) 95% and 4% of isomeric triphenyl ethers 2a,b.",comprehensive synthesis
"4.2. Synthesis of tetraoxacalixarenes 3a,b每6a,b.",comprehensive synthesis
"4.2.1.5,6,16,17,26,28-Hexafluoro-2,8,14,20-tetraoxapentacyclo[19.3.1.13,7.19,13.115,19]octa-cosa-1(25),3(28),4,6,9(27),10,12,15(26),16,18,21,23-dodecaene-4,18-dicarbonitrile 3aand 5,6,17,18,26,28-hexafluoro-2,8,14,20-tetraoxapentacyclo[19.3.1.13,7.19,13.115,19]octacosa-1(25),3(28),4,6,9(27),10,12,15(26),16,18,21,23-dodecaene-4,16-dicarbonitrile 3b1 Solution of 0.22 g (2 mmol) of resorcinol and 0.77 g (?1.7 mmol)of triphenyl ethers 1a,b (with 4% admixture of penta-fluorobenzonitrile) in 50 mL of acetonitrile was added dropwisein period of 4 h with stirring into boiling solution of triethyla-mine (2.40 g, 24 mmol) in 50 mL of acetonitrile. The mixturewas stirred under reflux for 23 h and the solvent was evaporated.",comprehensive synthesis
"Silica gel column chromatography (eluent CCl 4/CHCl 33:1) gave0.37 g of solid material containing (GC每MS, NMR 19F) 6% oftriphenyl ethers 1a, 84% and 5% of isomeric tetraoxacalixarenes3a,b, 2% of pentafluorobenzonitrile.",comprehensive synthesis
"2Solution of 0.22 g (2 mmol) of resorcinol and 0.77 g (4 mmol) of pen-tafluorobenzonitrile in 50 mL of acetonitrile was added dropwise inperiod of 2 h with stirring into solution of triethylamine (2.40 g,24 mmol) in 50 mL of acetonitrile, cooled to 0 ～C. The mixture wasstirred for 4 h at room temperature and 10 min under reflux then a so-lution of resorcinol (0.22 g, 2 mmol) in 50 mL of acetonitrile was addeddropwise with stirring for 2 h. The mixture was refluxed for 20 h and thesolvent was evaporated. Silica gel column chromatography (eluent CCl 4/CHCl 33:1) gave 0.60 g of solid material containing (GC每MS) 28% oftriphenyl ethers 1a(M+456) and 70% of isomeric tetraoxacalixarenes3a,b (65% and 5%, M+526), double-play crystallisation of which fromCCl4gave 0.33 g (31%) of pure tetraoxacalixarene 3a.",comprehensive synthesis
"4.2.2. 5,6,16,17,22,23,24,25,26,28-Decafluoro-2,8,14,20-tetraoxapentacyclo [19.3.1.13,7.19,13.115,19]octacosa-1(25),3(28),4,6,9(27),10,12,15(26),16,18,21,23-dodecaene-4,18-dicarbonitrile 4aand5,6,10,11,12,17,18,26,27,28-decafluoro-2,8,14,20-tetraoxapentacyclo[19.3.1.13,7.19,13.115,19]octacosa-1(25),3(28),4,6,9(27),10,12,15(26),16,18,21,23-dodecaene-4,16-dicarbonitrile 4bV.N. Kovtonyuk, et al. Journal of Fluorine Chemistry 222每223 (2019) 59每6764Solution of 0.22 g (2 mmol) of resorcinol and 0.77 g (4 mmol) ofpentafluorobenzonitrile in 60 mL of acetonitrile was added dropwise inperiod of 7 h with stirring into solution of triethylamine (1.20 g,12 mmol) in 20 mL of acetonitrile, cooled to 0 ～C. The mixture wasstirred for 1 h at room temperature and 1 h under reflux.",comprehensive synthesis
"Tetrafluororesorcinol (0.20 g, 1.1 mmol) was added and the mixturewas refluxed for 9 h, then another portion of tetrafluororesorcinol(0.20 g, 1.1 mmol) was added and the mixture was refluxed for 27 h.",comprehensive synthesis
"After evaporation of the solvent silica gel column chromatography(eluent CCl 4/CHCl 33:1) gave 0.70 g of viscous material containing(GC每MS, NMR19F) 93% and 4% of isomeric tetraoxacalixarenes 4a,band 2% of triphenyl ether 1a, double-play crystallisation of which fromCCl 4gave 0.50 g (42%) of pure tetraoxacalixarene 4a.",comprehensive synthesis
