content,category
"X-ray crystallography andtheoretical results indicate thatinthetetrahedron framework, intramolecular CH©{©{©{ pandhy-drogen bonding interactions occur totheortho protons withrespect totheformyl units.These intramolecular forces aredisturbed when oneoftheortho protons inthebenzaldehydeunits arereplaced with substitutional groups .Asaconse-quence ,thetrisbenzaldehydes with ortho substitution unitswould produce triangular prisms instead. Ineach tetrahedron,thefour propeller -shaped trisbenzaldehyde residues adoptthesame rotational conformation, namely either PorM,endowing thecages homochirality .Thecage self-assembled inwater isable totake advantage ofhydrophobic effect toencapsulate guests with complementary sizes,which actas[*]Y.Chen, G.Wu,B.Chen, T.Jiao, Y.Li,C.Ge,C.Zhang, L.Liang,Prof. X.Zeng, Prof. Q.Wang,Prof. H.LiDepartment ofChemist ry,Zhejiang Universi tyHangzhou 310027 (China)E-mail :11637033@z ju.edu.cnlihao2015@zju .edu.cnH.Qu,Prof. X.CaoState KeyLaboratory ofPhysical Chemistry ofSolid Surfaces, iChEMandCollege ofChemist ryandChemical Engineeri ngXiamen UniversityXiamen 361005 (China)Prof. H.LiZJU-Hangzh ouGlobal Scientific andTechnological Innovatio nCenterHangzhou 311215 (China)Supportin ginforma tion andtheORCID identifica tion number(s) fortheauthor(s) ofthisarticle canbefound under :https ://doi.org/ 10.1002/ani e.2021064 28.",affiliation
The goodness of fit on F2 was 1.110 . CCDC number: 2043559.,CCDC
"S113  Crystal data for 2b: C157H145N16O24Cl3, M = 2746.23 , monoclinic, space group P 1 c 1 (no. 7), a = 21.8262 (9) ?, b = 29.7086 (13) ?, c = 27.4407 (12) ?, Ï« = 90¡« , ÉÇ = 107.965 (3)¡« , ÎÛ = 90¡« , V = 16925.8 (13) ?3, Z = 4, T = 1 73 K, ÀÏ calc = 1.078  g/cm3, Ã×(MoK Ï«) = 1.34139  mm-1. A total of 1 77280  reflections were collected, of which 63414  were independent (R int = 0.07 02). Final R 1(I > 2¿¼(I)) = 0.1 156 and wR 2 = 0.3472 (all data). The goodness of fit on F2 was 1.1 51. CCDC number: 20 53043 .",CCDC
"Combining 1d,TREN ,KHCO3ina1:1:5ratio inD2O(0.6mL) inthepresence ofCHCl3(10mL),atetrahedral cage2d12/C0with K+counter -cations wasobserved tobeproduced asthepredominant product (Figure 3a),whose formation wassupported byboth1HNMR spectroscopy and mass spec-trometry (Figure 3b,c).Forexample ,theresonance ofoneoftheortho protons pointing inward undergoes remarkableupfield shift, onaccount ofthe occurrence ofCH©{©{©{ pinteractions ,anobservation inreminiscence ofthose of2aand2b.Inthemass spectrum, prominent peaks correspond-ingto[2d12/C0+aH++bK+]5/C0(a+b=7)and[2d12/C0+aH++bK+]4/C0(a+b=8)were clearly observed. Intheabsence ofCHCl3,self-assembly only afforded alibrary ofmixturecontaining both thetetrahedral cage 2d12/C0andother oligo-meric byproducts (Figure S140), indicating thatCHCl3playsanimportant roleoftemplate .",comprehensive synthesis
"Therelationship between CDsignal of2d12/C0andtheratio ofS-propylene oxide and2d12/C0wasshown inFigure S170. Theeevalues were calculated tobe10%based onanassumptionthat apureenantiomer of2d12/C0inwater provides theCDsignal with thesame intensity asthatofapureenantiomer of2binchloroform.1HNMRspectrum indicated thatthechiralguests within thecage cavity could bereplaced byaddition ofexcess amount ofchloroform (Figure S168). After guestexchange ,noremarkable CDsignal attenuation wasobservedfornolessthan seven days (Figure 5),indicating that thechirality of2d12/C0was rather stable inwater. Possibleexplanations include ,i)thecarboxylate units form hydrogenbonds with theprotons inthecentral phenyl units ofthe1d3/C0residues ,ii)awatermolecule bridges twoadjacent carboxyl-ateanions in1d3/C0residues .Suchhydrogen bonds raise theenergy barrier offlipping the phenyl units,preventingracemization of2d12/C0.Suchstrategy ofguest-induced chiralitywasalsoemployed byother groups .[20]ConclusionInsummary ,asetofstructurally similar tetrahedra wereself-assembled bycondensing atrisamino linker andatris-benzaldehyde precursor bearing substitutional units inthemeta positions with respect totheformyl groups .Theformation oftetrahedra isattributed tothetwoortho protonsthat areinvolved ineither CH©{©{©{ pinteractions orhydrogenbonds within thecage framework. Atleast one ofthesesupramolecular forces would bedisturbed, when thesubstitu-tional functional groups aremoved totheortho positions .Asaconsequence ,atriangular prism wasobtained instead ofatetrahedron. Ourfundamental understanding oftuning theself-assembly products byslightly modulating theconstitu-tions oftheprecursors ,isthusimproved. TheintramolecularCH©{©{©{ pinteractions endow thetetrahedral cages with homo-chirality .When water -soluble functional groups ,namelycarboxylate units,areintroduced onto thetrisformyl precur -sor,self-assembly ofatetrahedron wassuccessful inwater inthepresence ofhydrophobic guest templates with comple-mentary sizes.Whenthetemplate ischiral, thetetrahedralcage could beobtained inanenantioselective manner ,i.e.,eevalues upto10%w hen 5equiv (relative tothecage)S-propylene oxide wasused astheguest template .Duetomultivalence ,thecage israther kinetically inert upon eitherremoval oftheguests orevaporation ofthesolvent. Thecageisalso able toreserve itschirality inwater after thechiraltemplate wasreplaced with anachiral one.Tothebestofourknowledge ,thisreport isthefirst example ofusing iminecondensation inwater toself-assemble chiral cages containingonly achiral building blocks .Future research might includeself-assembly oflarger cages which could function asmolec-ularflasks andreaction vessels .Suchtrials areongoing inourlaboratory .Experimental Section2d12/C0:ToaD2O(0.6mL) solution containing 1d(6mg,0.011 mmol, 1equiv), TREN (1.61 mg,0.011mmol, 1equiv), KHCO3(5.51 mg,0.055mmol, 5equiv), 0.01mLofCHCl3wasadded. Themixture wasstirred atroom temperature for8htoobtain 2d12/C0asthemajor observa bleproduct without further purification.1HNMR(400 MHz, D2O)d=7.95(s,12H),7.71(s,12H),7.34(s,12H),6.69(d,J=7.9Hz,12H),5.92 (d,J=7.7Hz,12H),3.67 (d,J=11.3Hz,12H),3.24(t,J=12.4Hz,12H),3.03(t,J=7.0Hz,12H),2.84ppm (t,J=6.4Hz, 12H).13CNMR (100 MHz, D2O)d=179.40, 165.23,144.36, 143.44, 142.87, 136.69, 133.39, 132.27, 129.32, 125.51, 63.61,56.47 ppm. ESI-HRM S: m/z calcd for [2d12/C0+9H]3/C0C144H117N16O243/C0,818.2732 ;found 818.2711.",comprehensive synthesis
"1a: 4-bromo -3-methoxybenzaldehyde  (2.05 g, 7.59 mmol) and 1,3,5 -tris(4,4 ,5,5-tetramethyl -1,3,2 -dioxaborolan -2-yl)benzene  (0.87 g, 1. 9 mmol) were dissolved in a solution of THF ( 70 mL)  and water (30 mL) . The reaction mixture was degassed for 40 min before  dichlorobis(triphenylphosphine)palladium ( 0.27 g, 0.38 mmol) and potassiu m phosphate ( 8.06 g, 38 mmol)  were added . The reaction mixture was stirred at 70 ¡« C under N 2 for 12 h. After cooling to room temperature, the residue was poured into water and then extracted with  EA. The resulting organic extract was washed with brine (300 mL) for three times  and dried with anhydrous MgSO 4. After  evaporating the solvent, a white solid was obtained, which was purified by column  chromatography ( petroleum ether/ethyl acetate ( 5:1); silica gel, 200 -300 mesh ), yielding the pure 1a (91 mg, 10%). 1H NMR (600 MHz, CDCl 3) Ñ´ 10.03 (s, 3H), 7. 85 Ã¿ 7.68 (d, J = 2.1 Hz,  3H), 7.62 Ã¿ 7.50 (m, 9H), 3.93 (s, 9H).  13C NMR (15 0 MHz, CDCl 3) Ñ´ 191.74, 157.19, 137.04, 136.98, 136.66, 131.47, 130.14, 124.44, 109.69, 55.89.  ESI-HRMS: m/z calcd for [M+ Na]+ C30H24NaO6+, 503.146 5; found 503.1467.",comprehensive synthesis
"S2: A mixture of c ompound  S1 (4.13 g, 18 mmol), N-bromosuccinimide (NBS ) (9.61 g, 54 mmol), and azobisisobutyronitrile (AIBN ) (1.48 mg, 9.0 mmol) was dissolved in CCl 4 (50 mL). The reaction mixture was stirred at 8 6 ¡« C for 20 h. After cooling to room temperature, the solvent was removed under vacuum  and then the residue was poured into brine and extracted with ethyl acetate . The combined organic layers were  S4  combined and  dried with anhydrous MgSO 4 and evaporated to yield a yellow solid, containing  the product S2 in its crude form ( 2.56 g, 37%), which was then used for next step without further purification.",comprehensive synthesis
"S3: To a  THF (30 mL)  solution of S2 (2.56 g, 6.6 mmol),  a solution of AgNO 3 (3.37 g, 19.9 mmol) in deionized water  (18 mL) was added slowly at room temperature. The reaction mixture was then stirred at room temperature with  the protection from light for 36 h.  The reaction was quenched by adding an aqueous solution of sodium chloride. The r esulting reaction mixture was then extracted with CH 2Cl2. The organic layer was dried over anhydrous MgSO 4 and the solvent was removed under vacuum .",comprehensive synthesis
"Purification by column chromatography ( ethyl acetate /petroleum ether ( 1:10); silica gel, 200 -300 mesh) yielded a white solid product  S3 (1.39 g, 87 %). 1H NMR (600 MHz, DMSO -d6) Ñ´ 10.01 (s, 1H), 8.24 (d, J = 2.1 Hz, 1H), 7.99 (d, J = 8.2 Hz, 1H), 7.95 Ã¿ 7.92 (m, 3H), 3.89 (s, 3H). 13C NMR (150 MHz, DMSO -d6) Ñ´ 194.93, 168.48, 138.32, 138.22, 137.49, 136.14, 135.80, 134.69, 129.85, 55.99.  ESI-HRMS: m/z calcd for [M+Na]+ C9H7BrNaO 3+, 264.9476 ; found 264.9477.",comprehensive synthesis
"1b: 1,3,5 -tris(4,4 ,5,5-tetramethyl -1,3,2 -dioxaborolan -2-yl)benzene  (652 mg, 1. 43 mmol) and S3 (1.39 g, 5.72 mmol) were dissolved in DMF ( 50 mL).  The reaction mixture was degassed for 40 min before  Pd(PPh 3)4 (413 mg, 0.358 mmol) and K 2CO 3 (1.98 g, 14.3 mmol)  were added . The reaction mixture was stirred at 90 ¡« C under  the S5  protection of an atmosphere of  N2 for 12 h. After cooling to room temperature, the residue was poured into water  and then extracted with CH 2Cl2. The resulting organic extract was washed with brine ( 300 mL)  for three times , dried over anhydrous MgSO 4, and then concentrated to give the crude product. Purification by column chromatography (petroleum ether/ethyl acetate ( 4:1); silica gel, 200 -300 mesh) yielded a white solid product 1b (404 mg, 50%). 1H NMR (600 MHz, CDCl 3) Ñ´ 10.11 (s, 3H), 8.37 (d, J = 1.5 Hz, 3H), 8.07 (dd, J = 7.9, 1.7 Hz, 3H), 7.61 (d, J = 7.9 Hz, 3H), 7.32 (s, 3H), 3.77 (s, 9H). 13C NMR (150 MHz, CDCl 3) Ñ´ 193.45, 170.12, 149.80, 142.92, 138.14, 134.52, 134.48, 134.46, 134.12, 130.29, 55.10.  ESI-HRMS: m/z calcd for [M+Na]+ C33H24NaO 9+, 587.1313 ; found 587.1314.",comprehensive synthesis
