content,category
"The CEPCs were obtained through [3+6] imine condensationreactions between two commercial precursors, ETTBA and theaCollege of Life Science and Technology, National Engineering Research Center forNanomedicine, Huazhong University of Science and Technology, Wuhan, 430074,China. E-mail: chunzhang@hust.edu.cnbTechnology Institute, National Engineering Laboratory for Advanced Yarn andFabric Formation and Clean Production, Wuhan Textile University, Wuhan, Hubei,430200, ChinacCollege of Chemistry, Central China Normal University, Wuhan, 430079, China.",affiliation
"a. College  of Life Science and Technology, National Engineering Research Center for Nanomedicine, Huazhong University of Science and Technology, Wuhan, 430074, China.",affiliation
"b. Technology Institute, National Engineering Laboratory  for Advanced Yarn and Fabric Formation and Clean Production, Wuhan Textile University, Wuhan, Hubei  430200, China.",affiliation
"c. College  of Chemistry,  Central China Normal University, Wuhan 430079, China.",affiliation
"d. Technology R&D Center, Hubei Tobacco  (Group) Co., Ltd., Wuhan, 430070,  China.",affiliation
"E-mail: mengxianggao@ccnu.edu.cndTechnology R&D Center, Hubei Tobacco (Group) Co., Ltd, Wuhan, 430070, China.E-mail: zhangyh@hbtobacco.cn?Electronic supplementary information (ESI) available: Synthesis details, NMRdata, crystal data, fluorescence and UV data and FTIR. CCDC 2077306 and2077307. For ESI and crystallographic data in CIF or other electronic formatsee DOI: https://doi.org/10.1039/d2cc05283k?These authors contributed equally.Received 27th September 2022,Accepted 5th December 2022DOI: 10.1039/d2cc05283krsc.li/chemcommChemCommCOMMUNICATIONPublished on 06 December 2022. Downloaded by Zhejiang University on 2/9/2023 2:04:02 PM.",CCDC
"17Crystallographic data for 3P-1:Mr= 1286.48, cubic, space group P23,a= 24.8853(2) ?, b= 24.8853(2) ?, c= 24.8853(2) ?, a=9 0 1,b=9 0 1,g=9 0 1,V= 15 410.9(4) ?3,Z=6 , rcalcd = 0.832 g cm/C03,m=0.839 mm/C01, reflections collected 83 118, data/restraints/parameters10 373/10/439, GOF on F21.011, final R1= 0.0617, wR 2= 0.1790,Rindices (all data): R1= 0.0817, wR 2= 0.1997, largest di?. peak andhole: 0.40/0.45 e ?/C03, CCDC 2077306. ?Crystallographic data for3M-1 :Mr= 1286.48, cubic, space group P23,a= 24.96801(9) ?,b= 24.96801(9) ?, c= 24.96801(9) ?, a=9 0 1,b=9 0 1,g=9 0 1,V=15 565.10(17) ?3,Z=6 , rcalcd = 0.823 g cm/C03,m= 0.831 mm/C01,reflections collected 10 6403, data/restraints/parameters 10 506/295/438, GOF on F21.068, final R1= 0.0475, wR 2= 0.1561, Rindices(all data): R1= 0.0510, wR 2= 0.1608, largest di?. peak and hole: 0.20//C00.43 e ?/C03, CCDC 2077307 ?.",CCDC
"peak and hole:  0.40/-0.45 e/?-3, CCDC - 2077306.",CCDC
"Crystallographic data for 3M-1: Mr = 1286.48, Cubic, Space group P23, a = 24.96801(9) ?, b = 24.96801(9) ?, c = 24.96801(9) ?, 汐 = 90～, 汕 = 90～, 污 = 90～, V = 15565.10(17) ?3, Z = 6, 老calcd. = 0.823 g/cm3, 米 = 0.831 mm每1, reflections collected 106403,  data/restraints/parameters 10506/295/438, GOF  on F2 1.068, final R1 = 0.0475 , wR 2 = 0.1561, R indices  (all data): R1 = 0.0510, wR 2 = 0.1608, largest  diff. peak and hole: 0.20/-0.43 e/?-3, CCDC - 2077307 .11Figure S15. a) Top view  and b) side view of the  X-ray crystal structure of 3P -1. c) Top view  and d) side view of the  X-ray  crystal structure  of 3M-1. Hydrogen atoms and  solvent molecule  were  omitted for clarity.125.UV-vis, and Fluorescence spectraFigure S16. UV-vis spectra  of 3M-1 and 3P-1 (solvent:  CH 2Cl2, c = 1 ℅ 10?6 mol﹞L-1).",CCDC
"To a stirred solution of 4, 4＊, 4＊＊, 4＊＊＊-(ethene-1,1,2,2-tetrayl)-tetrabenzaldehyde  (ETTBA) (300 mg, 0.67 mmol, 1 eq.) and (R, R)- or (S, S)-cyclohexane-1,2-diamine (CHDA)  (153 mg, 1.34 mmol, 2 eq.) in 2chloroform (100 mL), 2米L TFA were added1. The reaction was stirred at RT for 3d. The mixture was concentrated in vacuo to ~2 mL, methanol  (~100 mL) was added with stirring and the resulting precipitate  was collected by filtration, affording yellow solid  (334.0 mg, 83% for the 3P- 1, 366.2 mg, 91% for the 3M- 1).",comprehensive synthesis
