content,category
"1  Supporting Information   Nitrogen -rich Porous Organic Cages with High Acetylene Storage and Separation Performance   Lijuan Feng,ab Yifei Xie,a Wenjing Wang,a Kongzhao Su *ac and Daqiang Yuan *ac   aState  Key Laboratory of Structural Chemistry, Fujian Institute of Research on the Structure of Matter, Chinese Academy of Sciences, Fuzhou, 350002, China  bCollege of Chemistry, Fuzhou University, Fuzhou 350116, China.",affiliation
"cUniversity of the Chinese Academy of Sciences, Beijing, 100049, China   E-mail: skz@fjirsm.ac.cn; ydq@fjirsm.ac.cn    ElectronicSupplementaryMaterial(ESI)forJournalofMaterialsChemistryA.",affiliation
"18¨C33Our group focuses on using concave-shapedcalix[4]resorcinarene (C4RA) as synthons in construction ofaState Key Laboratory of Structural Chemistry, Fujian Institute of Research on theStructure of Matter, Chinese Academy of Sciences, Fuzhou, 350002, China. E-mail:skz@ «Ýirsm.ac.cn; ydq@ «Ýirsm.ac.cnbCollege of Chemistry, Fuzhou University, Fuzhou, 350116, ChinacUniversity of the Chinese Academy of Sciences, Beijing, 100049, China?Electronic supplementary information (ESI) available. CCDC 2255900 and2255901. For ESI and crystallographic data in CIF or other electronic format seeDOI: https://doi.org/10.1039/d3ta04154aCite this: DOI: 10.1039/d3ta04154aReceived 14th July 2023Accepted 19th September 2023DOI: 10.1039/d3ta04154arsc.li/materials-aThis journal is ? The Royal Society of Chemistry 2023 J. Mater. Chem. AJournal ofMaterials Chemistry APAPEROpen Access Article. Published on 20 September 2023. Downloaded on 11/27/2023 4:09:07 AM.",CCDC
11  Table S1.  Crystallographic Data and Structure Refinement for CPOC -501 and CPOC -502  CPOC -107 CPOC -203 Formula  C116H128N32O16 C156H174N30O24 M / g mol-1 2226.50  2850.54  T / K  100 100 Crystal system  monoclinic  monoclinic  Space group  P-1 P-1 a / ? 16.7240(4)  18.4175 (3) b / ? 16.8793(4)  26.5954 (4) c / ? 33.1977(8)  26.6943 (4) ¦Á (¡ã ) 95.303(2)  60.796(2)  ¦Â (¡ã ) 102.508(2)  84.325(1)  ¦Ã (¡ã ) 102.390(2)  88.155(1)  V / ?3 8840.5(4)  11355.5 (4) Z 2 2 ¦Ì (mm-1) 0.473  0.469  Data measured  103179  131382  Ind. reflns  29600  44991  Parameters  1494  1915  GOF on F2 2.350  1.394  R1a [I ?¦Ò(I)]  0.1931  0.0830  wR 2b  0.5349  0.3103  CCDC number  2255900  2255901  aR1 = ¡Æ||F o| - |Fc||/¡Æ|F o|. bwR 2 = {¡Æ[w(F o2 - Fc2)2]/ ¡Æ[w( F o2)2]}1/2   12  Section S 4. Gas Adsorption and Separation Measurements   Fig. S10. BET-plots of  CPOC -107.,CCDC
"5  Section S2. Synthetic  Procedures and Characterizations  Synthesis of CPOC -107: C4RACHO (0.05 mmol, 41 mg) and  BATM (0.1 mmol, 19.7mg) were dissolved in  3 mL dimethyl sulfoxide. The mixture was sealed in a 10 mL glass vial, and put in an oven with a temperature of 100 ¡ã C for 72 hours  without stirring , during which red block crystals  were formed. After removing the glass vial from the oven and allowing it to cool to room temperature for about an hour  without stirring , red block crystals were then separated by filtration and washed three times with methanol.  The separated crystals  were  further  immersed and exchanged 6 times every 24 hours in methanol  before activating  at 100 ¡ãC under a high vacuum for 12 hours to afforded CPOC -107 with a yield of about 72%.  1H NMR (400 MHz, CDCl 3, 298 K): ¦Ä 13.15 (s, 1H), 10.30 (s, 1H), 8.36 ( s, 1H), 7.38 (s, 1H), 4.47 (t, 1H), 2.04 ( t, 2H),  1.59 (s, 2H), 1.46 ( m, 1H), 1.00 ( d, 6H)  p.p.m. HR-MS: [M -2H]2- calcd. for CPOC -107 (C116H128N32O16) is 968.233; found 968.162.",comprehensive synthesis
"Synthesis of CPOC -203: C4RACHO (0.05 mmol, 41 mg) and DTA (0.1 mmol, 9.9 mg) were dissolved in nitrobenzene/methanol 2:1 (3 mL) . The mixture was sealed in a 10 mL glass vial, and put in an oven with a temperature of 100 ¡ã C for 72 hours without stirring, during which red block crystals  were formed. After removing  the glass vial from the oven and allowing it to cool to room temperature for about an hour without stirring, red block crystals were then separated by filtration and washed three times with methanol.  The separated crystals  were further immersed and exchanged 6 times every 24 hours in methanol  before activating  at 100 ¡ãC under a high vacuum for 12 hours to afforded CPOC -203 with a yield of about 70%.  1H NMR (400 MHz, CDCl 3, 298 K): ¦Ä 13.15 (s, 0.5H), 10.30 (s, 1H), 8.37 ( s, 1H), 7.38 (s, 1H), 4.47 (t, 2H), 2.06 (t, 4H), 1.46 (m, 2H), 1.00 ( d, 6H)  p.p.m. HR-MS: [M -3H]3- calcd. for CPOC -203 (C156H174N30O24) is 968.240; found 968.367.",comprehensive synthesis
"3Moreover, C 2H2is usually produced fromfractionation and oil cracking, which always involve a smallamount of carbon dioxide (CO 2). Therefore, the discriminationof CO 2to a?ord high-purity C 2H2is critical to high-level safetyfor various industrial applications.4Traditional methods toseparate C 2H2/CO 2mixtures, such as solvent extraction andcryogenic distillations, not only su ?er from high energy-consuming and environment-unfriendly problems but alsopossess the risk of introducing secondary by-products. Conse-quently, it is of great importance and urgency to seek bettermaterials for safer storage of C2H2and high-e ?ciency and low-energy technologies to realize C 2H2/CO 2separation.In recent years, adsorption and separation technologiesbased on porous materials have shown promise in addressingC2H2storage and separation problems.5¨C7In this region, porousmetal ¨Corganic frameworks (MOFs) have rapidly developed.8,9For instances, FJI-H8 and SNNU-98 , reported by Hong and Zhaigroups, respectively, have realized gravimetric C 2H2uptakevalues more than 220 cm3g?1under ambient conditions.10,11Furthermore, SNNU-45 , a MOF prepared by the Zhai group, hasdemonstrated the separation of C 2H2/CO 2with breakthroughtime up to 80 min g?1.12In contrast, the development of porousorganic materials (POMs) for C 2H2storage and separation ismarkedly slower than that of MOFs. To the best of our knowl-edge, POMs' C 2H2uptake values are generally less than 100 m2g?1under ambient conditions, and their ability to separateC2H2/CO 2mixtures viaactual breakthrough experiments is alsounderexplored.13Therefore, it is crucial to increase their C 2H2adsorption capacity and explore their C 2H2puri¬ècation abilityto promote the development of POMs in this ¬èeld.",surface area
"View Article Online107has a cavity volume of about 744 ?3, the largest among thoseof all previously reported lantern-shaped CPOCs, with cavityvolumes ranging from 358 to 581 ?3.36The side length of therhombic windows is about 4.47 ?, which can be passed bya sphere with a diameter of about 4.47 ?. An examination of theCPOC-107 's solid-state packing suggested that cage moleculespack viaweak van der Waals interactions, and there is alsoa one-dimensional channel in window-to-window mode(Fig. 1e).The presence of 1D channels in CPOC-107 and CPOC-203prompts us to study their porosity. Thermal gravimetric analysismeasurements showed their stabilities up to about 280 ¡ãC(Fig. S7 ?). Before the gas sorption test, both cages are immersedand exchanged 6 times every 24 hours in MeOH before acti-vating at 100 ¡ãC under a high vacuum for 12 hours. Powder X-raydi?raction reveals that a «àer desolvation, no phase changeoccurs in both materials (Fig. S8 and S9 ?). N2gas sorptionexperiments con ¬èrmed their permanent porosity at 77 K(Fig. 2), and both the isotherms of CPOC-107 and CPOC-203exhibited typical type I adsorption behavior with sharpincreases at a pressure below 0.1 P/Po, which reveals theirmicroporous nature. The Brunauer ¨CEmmett ¨CTeller (BET)speci¬èc surface areas were 1202 m2g?1forCPOC-107 and 1132m2g?1forCPOC-203 , respectively (Fig. S10 and S11 ?). The non-local density functional theory (NLDFT) was used to calculatethe pore-size distribution (PSD), and both cages showedmicroporous cavities with ¡«1.08 nm for CPOC-107 and¡«0.98 nm for CPOC-203 (inset in Fig. 2), which are respectivelyrelated to the calculated largest pore diameter of 0.94 and 1.02nm using Zeo++ so «àware.",surface area
"ConclusionsIn summary, we presented two novel C4RA-based POCs withhigh nitrogen content (>14%), including [2 + 4] lantern-shapedCPOC-107 and [3 + 6] triangular prism-shaped CPOC-203 . Bothcages exhibit high surface areas (>1100 m2g?1), and high C 2H2uptake capacity (>110 cm3g?1) at 298 K and 1 atm. Notably, thenitrogen content of CPOC-107 is up to 20.1%, and thus its C 2H2uptake capacity under ambient conditions is up to 146 cm3g?1,which is the highest among those reported for POMs. Moreover,CPOC-107 can also e ?ciently separate C2H2/CO 2with a break-through time of 13 min g?1. This work suggests that nitrogen-rich POCs can be promising materials for safer C 2H2storage,as well as C 2H2puri¬ècation application. Further studies arefocusing on design and synthesis of functionalized POCs byintroducing speci ¬èc group sites for improving their gas storageand separation performances.",surface area
"Nitrogen-rich porous organic cages with highacetylene storage and separation performance ?Lijuan Feng,abYifei Xie,aWenjing Wang,aKongzhao Su *acand Daqiang Yuan *acSearching for porous materials that can safely store and e ?ciently separate acetylene (C 2H2), a commonlyused petrochemical feedstock with highly explosive properties, is a pressing and signi ?cant task. Nitrogen-rich porous materials have garnered substantial attention for their ability to interact strongly with acidicC2H2. Herein, we report two novel nitrogen-rich porous organic cages (POCs), namely CPOC-107 andCPOC-203 , constructed from the same bowl-shaped tetraformylcalix[4]resorcinarene but di ?erentnitrogen-rich imidazolium-based diamine synthons. X-ray crystallographic analysis reveals that CPOC-107 adopts a [2 + 4] lantern-shaped structure, whereas CPOC-203 takes on a [3 + 6] triangular prismshape. Moreover, the cages exhibit large cavity volumes of up to 787 ?3and high speci ?c surface areasof up to 1202 m2g?1. Owing to their high surface areas and high nitrogen content, both cages exhibitimpressive C 2H2adsorption capabilities. Speci ?cally, CPOC-107 achieves a remarkable C 2H2uptakevalue of up to 146 cm3g?1at 298 K and 1 atm, the highest among those reported for all porous organicmaterials to date. Moreover, experimental breakthrough tests have con ?rmed the e ?ective separation ofC2H2/CO 2mixtures using the CPOC-107 adsorbent.",this paper's author
