content,category
"CCDC 2150479 (H-cage), 2150480 (HF-cage), 2150481 (F-cage), 2150482 (F-cageact.), and 2150483 (F-cage ¡Á n C 3F8) contain the supplementary crystallographic data for this paper. These data can be obtained free of charge from The Cambridge Crystallographic Data Centre via www.ccdc.cam.ac.uk/data_request/cif.",CCDC
CDCC -number  2150479    Empirical formula  C124H112N6O6   Formula weight  1782.19   Temperature  110(2) K   Wavelength  1.54178 ?   Crystal system  trigonal   Space group  R3?c   Z 6   Unit cell dimensions  a = 18.7354(4) ?  ? = 90 deg.,CCDC
CDCC -number  2150480   Empirical formula  C124H82F30N6O6   Formula weight  2321.95   Temperature  200(2) K   Wavelength  1.54178 ?   Crystal system  trigonal   Space group  R3?c   Z 6   Unit cell dimensions  a = 19.0368(10) ?  ? = 90 deg.,CCDC
CDCC -number  2150481    Empirical formula  C124H58F54N6O6   Formula weight  2753.76   Temperature  100(2) K   Wavelength  1.54178 ?   Crystal system  trigonal   Space group  R3?c   Z 6   Unit cell dimensions  a = 19.0156(4) ?  ? = 90 deg.,CCDC
CDCC -number  2150482    Empirical formula  C124H58F54N6O6   Formula weight  2753.76   Temperature  200(2) K   Wavelength  1.54178 ?   Crystal system  trigonal   Space group  R3?c   Z 6   Unit cell dimensions  a = 19.2395(5) ?  ? = 90 deg.,CCDC
CDCC -number  2150483   Empirical formula  C124H58F54N6O6   Formula weight  2753.76   Temperature  200(2) K   Wavelength  1.54178 ?   Crystal system  trigonal   Space group  R3c   Z 6   Unit cell dimensions  a = 19.2281(3) ?  ? = 90 deg.,CCDC
"Parameter  H-cage  HF-cage  F-cage  F-cage act. F-cage ¡Á n C3F8 CDCC  2150479  2150480  2150481  2150482  2150483  Temperature [K]  110(2)  200(2)  100(2)  200(2)  200(2)  crystal system  trigonal  trigonal  trigonal  trigonal  trigonal  space group  R3?c R3?c R3?c R3?c R3?c Z 6 6 6 6 6 a [?] 18.7354(4)  19.0368(10)  19.0156(4)  19.2395(5)  19.2281(3)  b [?] 18.7354(4)  19.0368(10)  19.0156(4)  19.2395(5)  19.2281(3)  c [?] 59.385(3)  63.677(6)  64.026(2)  64.650(3)  64.5266(15)  ¦Á [¡ã] 90 90 90 90 90 ¦Â [¡ã] 90 90 90 90 90 ¦Ã [¡ã] 120 120 120 120 120 cell volume  [?3] 18052.3(12)  19985(3)  20049.6(11)  20724.5(13)  20660.6(8)  endo -population  61% 63% 68% 66% 66% exo-population  39% 37% 32% 33% 33%  Structural detail s will be discussed for F-cage  exclusively, because H-cage  and HF-cage  are isomorphous and discussions would be redundant.",CCDC
"4. Experimental SectionSynthesis of F-Cage: Four batches were run in parallel. To a solution of salicylaldehyde 2c (90.5? mg, 120? ¦Ìmol) in 10? mL THF abs, triamino triptycene 1 (24.0? mg, 80? ¦Ìmol) was added and stirred until a clear solution was formed. 8? mL anhydrous THF and 0.1 m TFA (36? ¦ÌL, 0.045 equiv. relative to 1) in THF abs was added and the mixture was Figure 6. Applicability investigations of F-cage. a) Breakthrough curve of a 10:90 c-C 4F8/N2 mixture with 50% helium as carrier gas (for experimental details see the Experimental Section). b) N 2 isotherms at 77 K (12 point in the typical BET-region) after stirring F-cage in water for 18 h (black), HCl aq (0.1?¡Á 10?3 m) for 24 h (red), or NaOH aq (1 ¡Á 10?3 m) for 24 h (blue). c) Recyclability test of F-cage demonstrated for seven adsorption and desorption cycle of c-C 4F8 at 298?K.",comprehensive synthesis
"Crystal Growth and Activation: The crystallization of F-cage is described here as a representative procedure. As-synthesized F-cage (1.20?g) was dissolved in dry THF (400?mL, c? = 3?mg mL?1) and filtered through a syringe filter (0.2? ¦Ìm pore). 10?mL of the filtered cage solution each was added to 40 individual snap-lid jars (25? mL, d? = 3? cm). All vials were capped, with caps with 12 pinched holes each and placed in two desiccators with the ground covered with methanol. After vapor diffusion of methanol into the THF cage solutions at room temperature for 21 days, the mother liquors for every vial were removed by a pipette technique and the residual crystals were washed with a methanol/THF mixture (Vmethanol /VTHF? = ?4/1) (3 ¡Á 2?mL) and methanol (2?mL), again by pipette technique. The crystals of the different batches were combined as suspensions, the supernatant solvents were removed and the residual dried at high vacuum (1.2 mbar) for 14 h at room temperature to give pre-activated F-cage (890? mg, 74% efficiency of the crystal growth/activation procedure). Further activation was achieved by drying at a kugelrohr oven at 50 ¡ãC under reduced pressure (3 ¡Á 10?2? mbar) for 14 h. Prior to gas adsorption measurements, the cage crystals were activated again at 40 ¡ãC for 3 h at the outgas station of the gas sorption analyzer and measured directly. The complete removal of enclathrated solvent molecules was verified by 1H NMR spectroscopic as well as TG analyses (see Section S11, Supporting Information) and the persistence of the crystallinity was monitored by optical microscopy along with SEM as well as PXRD and SCXRD (for detailed descriptions, see Section S12 and S13, Supporting Information).",comprehensive synthesis
"S5  2. Synthetic Procedures  2',5'-Dibutoxy -4,4''-dihydroxy -[1,1':4',1'' -terphenyl] -3,3''-dicarbaldehyde (2a)    In a screw -capped-vessel  salicylaldehyde S1 (3.44 g, 13.9 mmol) and dibromide  S2 (2.00 g, 5.75 mmol) were suspended in THF (40 mL) and an aqueous K 2CO 3 solution (1  M, 10 mL) under argon atmosphere.  5 mol -% tris(dibenzylideneacetone)dipalladium(0) (266 mg, 290 ¦Ìmol) and 10 mol -% tri-tert-butylphosphonium tetrafluoroborate (168 mg, 579 ¦Ìmol) were added to the mixture. The suspension was heated to 80 ¡ãC and stirred for 16 h. After cooling to room temperature, the suspension was poured on water (20 mL), extracted with CH 2Cl2 (3 ¡Á 40 mL) and the combined organic layer was dried over Na 2SO 4. After removal of solvent under reduced pressure, the obtained crude solid was purified by column chromatography (SiO 2, petroleum ether/ethyl acetate = 5:1, Rf  = 0.48) to give 2a as colorless solid  in 54% yield (1.36 g, 3.16  mmol).",comprehensive synthesis
