content,category
"[43] Deposi tion Numbe r(s) 2022632, 2022635, 2022636, 2022633,2022634 and 2022637 (for (/C0)-(P)-2,(++)-(M)-2,(/C6)-(P,M)-4(crystals from CDCl3),(/C6)-(P,M)-4(crystal sfrom DCM) and(++)-(P)-4,respectiv ely)contain (s)thesupplementar ycrystallo-graphic data forthispaper .These data areprovided free ofcharge bythejoint Cambridge Crystallogra phicData Centre andFachinform ationszent rum Karlsruhe Access Structure sservicewww .ccdc .cam.ac .uk/structur es.",CCDC
"Quantumchemical calculations  were perfor med by employing the Gaussian16 program  package.S4 The geometry optimizations and frequency calculations were performed using the semi-empirical PM6 method based on the Hartree -Fock formalism .S5 Dispersion corrections using the Grimme method and other cor rections were carried out using GoodVibes.S6 Single crystal X-ray diffraction  was accomplished on a Stoe Stadivari diffractometer with a copper source (竹(CuK汐) = 1.54178  ?) and a PILATUS detector . Data processing and absorption correction (SADABS)S7 were accomplished by standard methods. The structures were solved by direct methods and refined by full -matrix least -squares using SHELXL software.S8 All non -hydrogen atoms were refined using anisotropic thermal parameters; hydrogen atoms were treated usi ng appropriate riding models . The crystallographic information files ( CCDC 2022632 , (㊣)-2; CCDC 2022635, (每)-(P)-2; CCDC 2022636, (+)-(M)-2, CCDC 2022633, (㊣)-(P,M)-4 每 crystals from CDCl 3; CCDC 2022634, (㊣)-(P,M)-4 每 crystals from CH 2Cl2; CCDC 2022637, (+ )-(P)-4) have been deposited in the Cambridge Crystallographic Data Centre and can be downloaded free of charge via www.ccdc.cam.ac.uk/structures/ .",CCDC
CCDC -No. 2022632   Empirical formula  C35H36O6   Formula weight  552.64   Temperature  100(2) K   Wavelength  1.54178 ?   Crystal system  monoclinic   Space group  P21/c   Z 4   Unit cell dimensions  a = 14.6802(5) ?  汐 = 90 deg.,CCDC
CCDC -No. 2022635   Empirical formula  C41H50O6   Formula weight  638.81   Temperature  200(2) K   Wavelength  1.54178 ?   Crystal system  monoclinic   Space group  P21   Z 2   Unit cell dimensions  a = 10.9544(10) ?  汐 = 90 deg.,CCDC
CCDC -No. 2022636    Empirical formula  C35H36O6   Formula weight  552.64  S64   Temperature  200(2) K   Wavelength  1.54178 ?   Crystal system  monoclinic   Space group  P21   Z 2   Unit cell dimensions  a = 10.9658(5) ?  汐 = 90 deg.,CCDC
CCDC-No. 2022633    Empirical formula  C352H336N24O24   Formula weight  5286.43   Temperature  110(2) K   Wavelength  1.54178 ?   Crystal system  cubic   Space group  Ia3  Z 8   Unit cell dimensions  a = 57.9231(9) ?  汐 = 90 deg.,CCDC
S67     CCDC -No. 2022634    Empirical formula  C352H336N24O24   Formula weight  5286.43   Temperature  110(2) K   Wavelength  1.54178 ?   Crystal system  cubic   Space group  Ia3  Z 8   Unit cell dimensions  a = 57.7568(10) ?  汐 = 90 deg.,CCDC
CCDC -No. 2022637    Empirical formula  C352H336N24O24   Formula weight  5286.43   Temperature  200(2) K   Wavelength  1.54178 ?   Crystal system  triclinic   Space group  P1   Z 1   Unit cell dimensions  a = 27.0071(8) ?  汐 =107.969(2) deg.,CCDC
"2. Synthesis and characterization   S3   Tris(salicylaldehyde) (㊣)-2. A screw -capped reaction tube  was charged with triol (㊣) -1 (600 mg, 1.28  mmol, 1.0  equiv), hexamethylenetetramine (HMTA) (701  mg, 5.00  mmol, 3.9 equiv) and trifluoroacetic acid (TFA) (9.0  mL). Af ter purging with argon, the vial was sealed with a Teflon -lined cap and the reaction stirred at 100  ～C for 1 6 h using a preheated oil bath. The reaction mixture was allowed to cool to room temperature, poured onto a mixture of 2 M aqueous HCl (100  mL) and dichloromethane (100  mL) and stirred vigorously for 5  h to hydrolyze  the imium salt. The phases were separated, and the aqueous phase was extracted with dichloromethane (2℅100  mL). The combined organic phase was dried over Na 2SO 4 and the solvent was removed under reduced pressure. The crude product was purified by column chromatography (silica gel, ethyl acetate/petroleum ether 10:90, UV) to give tris(salicylaldehyde) (㊣) -2 (425 mg, 0.77  mmol, 60%) as a colorless solid. Recrystall ization from ethyl acetate/hexane followed by drying the crystals overnight a t 100  ～C on the Kugelrohr oven gave  pure tris(salicylaldehyde) (㊣) -2 (363 mg, 0.66  mmol, 51% ) as fine colorless needles (m.p. 280 -282 ～C). 1H NMR  (400 MHz, CDCl 3, 汛): 10.99 ppm (s , 3 H, OH), 9.85 (s, 3 H, CHO), 7.43 (s, 3 H, 8 -H), 6.90 (s, 3 H, 5 -H), 2.22 -2.01 (m, 6 H, -CH2-CH 2-CH 3), 1.62 (s, 3 H, 9-H), 1.26 -1.09 (m, 6 H, -CH 2-CH2-CH 3), 0.95 (t, 3J = 7.3 Hz, 9 H, -CH 2-CH 2-CH3). 13C NMR (100 MHz, CDCl 3, 汛): 196.0 ppm ( CHO), 161.8 (C-6), 157.9 (C -3), 139.2 (C -4), 129.0 (C -5), 121.0 (C -7), 111.6 (C -8), 72.9 (C -1), 67.0 (C -2), 41.0 ( -CH2-CH 2-CH 3), 20.4 ( -CH 2-CH2-CH 3), 15.4 (C -9), 15.2 ( -CH 2-CH 2-CH3). IR (ATR, 糸?): 2959  cm-1 (w), 2930  (w), 2870  (w), 2851  (w), 1651  (vs), 1626  (m), 1576  (m), 1477  (m), 1454  (w), 1445  (w), 1406  (w), 1366  (m), 1317  (s), 1271  (w), 1234  (m), 1223  (m), 1177  (s), 1157  (m), 1101  (w), 1084  (w), 1067  (w), 1043  (w), 1009  (w), 964  (w), 937  (w), 905  (w), 89 1 (w), 878  (w), 864  (w), 835  (w), 822  (w), 793  (m), 773 (m), 746  (m), 723  (s), 704  (m), 669  (m), 617  (w). HR-MS (ESI-, m/z): [M -H]- = C 35H35O6-, calcd.: 551.2439, found: 551.2450; [M+Cl]- = C 35H36ClO 6-, calcd.: 587.2206, found: 587.2218; [M+CF 3COO]- = C 37H36F3O8-, calcd.: 665.2368, found: 665.2380. Anal.  Calcd. for C35H36O6: C, 76.06; H,  6.57. Found: C,  75.86; H,  6.67.",comprehensive synthesis
"S4   Tris(salicylaldehyde) ( 每)-(P)-2. A screw -capped reaction tube was charged with triol ( 每)-(P)-1 (702 mg, 1.5 mmol, 1.0  equiv), hexamethylenetetramine (HMTA) ( 820 mg, 5.85 mmol, 3.9 equiv) and trifluoroacetic acid (TFA) ( 10.5 mL). After purging with argon, the tube was sealed with a Teflon -lined cap and the reaction stirred at 100  ～C for 1 6 h using a  preheated  oil bath. The reaction mixture was allowed to cool to room temperature, poured onto a mixture of 2 M aqueous HCl ( 120 mL) and dichloromethane ( 120 mL) and stirred vigorously for 5  h to hydrolyze  the iminium salt. The phases were separated, and the aqueous  phase was extracted with dichloromethane (2℅ 120 mL). The combined organic phase was dried over Na 2SO 4 and the solvent was removed under reduced pressure. The crude product was purified by column chromatography (silica gel, ethyl acetate/petroleum ether 10 :90, UV) to give tris(salicylaldehyde) ( 每)-(P)-2 (466 mg, 0. 83 mmol, 56%) as a colorless solid. Recrystallization from ethyl acetate/hexane followed by drying the crystals overnight at 100  ～C on the Kugelrohr oven gave  pure tris(salicylaldehyde) ( 每)-(P)-2 (336 mg, 0. 61 mmol, 41%) as fine colorless needles (m.p. 272 -274 ～C). [汐]57820 = - 126.0, [汐]54620 = - 151.6,  [汐]43620 = - 377.4.0 ( c 0.46, CH 2Cl2). 1H NMR  (400 MHz, CDCl 3, 汛): 10.98  ppm (s, 3 H, OH), 9.85 (s, 3 H, CHO), 7.43 (s, 3 H, 8 -H), 6.91 (s, 3 H, 5-H), 2.20 -2.07 (m, 6 H, -CH2-CH 2-CH 3), 1.62 (s, 3 H, 9 -H), 1.25 -1.15 (m, 6 H, -CH 2-CH2-CH 3), 0.95 (t, 3J = 7.3 Hz, 9 H, -CH 2-CH 2-CH3). 13C NMR (100 MHz, CDCl 3, 汛): 196.0  ppm ( CHO), 161.8 (C -6), 157.9 (C -3), 139.2 (C -4), 129.0 (C -5), 121.0 (C -7), 111.6 (C-8), 72.9 (C -1), 67.0 (C -2), 41.0 ( -CH2-CH 2-CH 3), 20.4 ( -CH 2-CH2-CH 3), 15.4 (C -9), 15.2 ( -CH 2-CH 2-CH3). IR (ATR, 糸?): 2960  cm-1  (w), 2930  (w), 2870  (w), 1648  (vs), 1625  (s), 1575  (m), 1478  (m), 1456  (w), 1367  (m), 1357  (m), 1317  (m), 1269  (w), 1234  (m), 1225  (m), 1177  (m), 1157  (m), 1120  (w), 1101  (w), 1085  (w), 1068  (w), 1044  (w), 1008  (w), 892  (w), 864 (w), 840  (w), 824  (w), 79 2 (m), 750  (w), 716  (s), 703  (m), 669  (w), 617  (w). HR-MS (ESI-, m/z): [M  - H]- = C 35H35O6-, calcd.: 551.2439, found: 551.2440; [M  + Cl]- = C 35H36ClO 6-, calcd.: 587.2206, found: 587.2208; [M  + CF3COO]- = C 37H36F3O8-, calcd.: 665.2368, found: 665.2369. Anal . Calcd. for C 35H36O6: C, 76.06; H,  6.57. Found: C,  75.77; H,  6.32.",comprehensive synthesis
