content,category
"Compared totherelatively large number andvariety ofinterlocked coordination cages,[16a]there areonly fewexamples ofpurely organic catenated cages. Thiscategory iscomprised almost exclusively ofachiral triply interlockeddimeric cagecatenanes formed byreversible reactions suchasimine condensation,[18]hydrazone formation,[19]1,3dipolarcycloaddition[20]oralkyne metathesis.[21]Theonlyexampleofaquadruply interlocked organic cagecatenane isagiantboronic ester cagecatenane synthesized bytheMastalerzgroup in2004,[22]andoutoftheprevious examples, there areonlytworeports dealing withchiral cagecatenanes.[18a,d]Avariety ofdriving forces hasbeen identified forthedifferent catenation reactions, including ¦Ð-¦Ð inter-actions,[18a¨Cc, 19,21]weak dispersion interactions[18d,22]andaswelltemplate[20]andhydrophobic effects.[19]Understandingthedriving force(s) behind thecatenation offers apossibilitytosteer thereaction towards theselective formation ofeither thesingle cageorthecatenane. Themost simpleforms ofcontrol are achieved bychanging theconcentration,[21]by removing one product bycrystallization,[18a,22]andbyinfluencing thereversibility ofthereaction through addition ofacatalyst.[18a]Inthecaseofaninterlocked hydrazone cageformed inwater bytakingadvantage ofthehydrophobic effect, theaddition ofanorganic solvent ledtoincreased formation ofthesingle cage,however theachieved selectivity wastoolowtoisolate thesingle cage.[19]Beer andco-workers managed toachieve ahighdegree ofcontrol overacatenation process through ananion template: achloride anion selectively afforded thesingle cage while asulfate dianion ledtotheselectiveformation ofthedimeric catenane.[20]Itisknown, thatthesolvent canhaveastrong influenceonthecatenation process. However, nosatisfactory controlovertheoutcome ofreactions forming interlocked cages hasbeen achieved bychanging thereaction solvent sofar.[18d]Here wepresent ourresults onsolvent-controlled quadruplecatenation ofgiant chiral [8112] imine cubes, driven byweak hydrogen bonding interactions.[*] Dr .P. Wagner ,Dr .F. Rominger ,Dr .J.H. Gross,Prof. Dr .M. MastalerzOrganisch-Chemisches Institut,Ruprecht-Karls-Universit?t HeidelbergIm Neuenheimer Feld 270, 69120 Heidelberg (Germany)E-mail: michael.mastalerz@oci.uni-heidelberg.de? 2023 The Authors. Angewandte Chemie International Editionpublished by Wiley-VCH GmbH. This isan open access article underthe terms of the Creative Commons Attribution Non-C ommercialLicense, which permits use, distribution and reproduction in anymedium, provided the original work isproperly cited and isnot usedfor commercial purposes.",affiliation
[24]Deposition Number 2221442 (for(M)-4) contains thesupple-mentary crystallographic dataforthispaper. These dataareprovided freeofcharge bythejoint Cambridge Crystallo-graphic Data Centre andFachinformationszentrum KarlsruheAccess Structures service.,CCDC
"IR spectra  were recorded on a Fourier transform spectrophotometer equipped with a Ge ATR crystal. The absorption bands ¦Í? are reported in cm-1 using the following abbreviations: vs = very strong, s = strong, m = medium, w = weak, vw = very weak. MS experiments  were carried out on a Fourier T ransform Ion Cyclotron Resonance mass spectrometer equipped with a 9.4  T superconducting magnet (Bruker ApexQe  hybrid 9.4 T FT -ICR) ( ESI), a Bruker Autoflex Speed MALDI -TOF mass spectrometer (MALDI -TOF, linear mode)  and a Bruker timsTOF Flex Ion Mobility -Quadrupole -Time -of-Flight mass spectrometer  (MALDI -Q-TOF) . For S2  measurements on the Bruker timsTOF , an external mass calibration for positive -ion mode was established based on phosphorus cluster ions generated by LDI from red phosphorus. Mass calibration of the instrument was  performed by automatic peak as signment to the reference list and application of the cubic enhanced algorithm of Bruker timsControl software (V 2.0) . All MALDI mass spectra were acquired using DCTB (trans -2-[3-(4-tertbutylphenyl) -2-methyl -2-propenylidene] malono nitrile) as a matrix . UV/VIS spectra  were recorded with a Jasco V -730 spectrometer and CD spectra  were recorded with a Jasco J -1500 CD spectrometer. Elemental analysis  was performed by the Microanalytical Laboratory of the University of Heidelberg using an Elementar Vario EL machine. Crystal structure analysis  was accomplishe d on a Stoe Stadivari diffractometer with a  gallium source ( ¦Ë(GaK ¦Á) = 1.34139  ?) and a PILATUS detector. Data processing and absorption correction (SADABS )S5 were accomplished by standard methods. The structure was  solved by direct  and Patterson  methods using XM/ SHELXD .S6 All non -hydrogen atoms were refined using anisotropic thermal parameters; hydrogen atoms were treated using appropriate riding models. The cr ystallographic information file (2221442 ) has been deposited in the Cambridge Crystallographic Data Centre and can be downloaded free of charge via www.ccdc.cam.ac.uk/structures/ .",CCDC
CCDC -No.    2221442  Empirical formula  C704H672N48O48   Formula weight  10572.86   Temperature  150(2) K   Wavelength  1.34139 ?   Crystal system  tetragonal   Space group  P4212   Z 2   Unit cell dimensions  a = 44.9231(4) ?  ¦Á = 90 deg.,CCDC
"S50  10. General procedure for the screening reactions and evaluation   Investigating  the catenane formation on small scale required the precise weighing of very small amounts of 1,4 -phenylenediamine (1.467  mg) to ensure good reproducibility. This problem was solved by using a stock solution of 1,4 -phenylenediamine according to the general  procedure detailed below. Unless mentioned otherwise,  a small excess of 1,4 -phenylenediamine (1.56  equiv vs. 1.50  equiv required for a stoichiometric ratio) was used  in all reactions . Details about the solvents used, etc. are described under the respectiv e screening experiments.",comprehensive synthesis
"General procedure:  A stock solution of 1,4 -phenylenediamine  2 in CHCl 3 (13.57  mM) was prepared by dissolving 1,4-phenylenediamine  2 (73.35  mg, 67.83  ¦Ìmol) in CHCl 3 (50 mL). The stock solution was  distributed into  reaction  vials (8 mL capacity) with 1 mL  of solution each , using an Eppendorf pipette . After removing the solvent under reduced pressure, the vials were purged with argon, capped and stored at -18 ¡ãC until further use to prevent oxidation of 1,4 -phenylenediamine  2 by atmospheric oxygen.",comprehensive synthesis
"To perform a reaction, the enantiopure salicylaldehyde (+)-(M)-1 or (¨C)-(P)-1 (4.8 mg, 8.69 ¦Ìmol, 1.0  equiv) was weighed using a sensitive analytical balance and added to a vial containing 1,4 -phenylenediamine  2 (1.47  mg, 13.57¦Ìmol,  1.56 equiv)  along with a cross -shaped stirring bar. After adding the solvent (see individual experiments for details) and a 0.1  M solution of trifluoroacetic acid (TFA) (11  ¦ÌL, 12  mol% based on the salicylaldehyde), the reaction vial was sealed with a Tef lon-lined cap  (no Ar -atmosphere) and stirred at 60  ¡ãC for the time indicated using an aluminum block (stirring speed: 1000  rpm; when DCM was used as a solvent, the temperature was lowered to 50  ¡ãC).",comprehensive synthesis
"After allowing the reaction to cool to r.t., the tip of a  spatula of solid NaHCO 3 was added , and the mixture was vigorously stirred for 10 min at r.t. leading to a color change from dark orange to yellow (neutralization of the TFA). The NaHCO 3 and any precipitate formed during the reaction were removed by filtra tion through a Pasteur pipette with a cotton plug. The solvent was removed from the filtrate using a rotary evaporator for low boiling solvents and a combination of high vacuum and a receiver chilled with liquid nitrogen  for high boiling solvents (T < 100  ¡ãC; to avoid thermal decomposition).S9 After removing the solvent under vacuum, pentane was added to the remaining yellow solid. After standing for 30  min at r.t., the pentane was separated from the solid by decantation , and the solid was dried under high vacuum. This S51  workup -step removes  any remaining traces of high boiling solvents, that would complicate the evaluation of the 1H NMR spectra.",comprehensive synthesis
"The solid was dissolved in DCM -D2 and the solution filtered through a Pasteur pi pette with a cotton plug to remove any undissolved material, and a 600 MHz 1H NMR of the solution was recorded. MALDI -TOF or MALDI -Q-TOF mass spectra of the reaction mixture were recorded after neutralization and filtration of the reaction mixture, or befo re the filtration step if a noticeable amount of precipitate had formed during the reaction.",comprehensive synthesis
"Figure S 57: 1H DOSY NM R spectrum (400 MHz, 295 K, CD 2Cl2, detail ) of the crude product mixture from the  reaction  between salicylaldehyde (+)-(M)-1 (4.4 mg, 7.96  ¦Ìmol, 1.0  equiv) , TFA  (12 mol%)  and an excess of 1,4 -phenylenediamine 2 (1.47  mg, 13.57¦Ìmol, 1.70  equiv)  heated at 60 ¡ãC in PhCl (1.0 mL)  for 24 h; rsolv (cage + catenane) = 1.61 nm, rsolv (imine oligomers) = 0.66 nm.",comprehensive synthesis
