content,category
"Mastalerz  Organisch- Chemisches Institut  Ruprecht -Karls -Universit?t Heidelberg  Im Neuenheimer Feld 270, 69120 Heidelberg (Germany)  E-mail: michael.mastalerz@oci. uni-heidelberg.de     2   Table of Contents   1. General Remarks  ............................................................................................... 3 2. Synthetic Procedures ........................................................................................ 4 3. NMR Spectra  ...................................................................................................... 8 4. DOSY NMR Spectroscopy  ............................................................................... 17 5. IR Spectroscopy  .............................................................................................. 19 6. Mass Spectrometry  .......................................................................................... 20 7. GPC Data  .......................................................................................................... 22 8. Single Crystal X -ray Diffraction (SCXRD)  ...................................................... 25 9. Computational Details  ..................................................................................... 31 10. References  .................................................................................................... 38        3  1. General Remarks  Commercially available reagents were obtained from Chempur, Fisher Scientific, abcr, Alfa Aesar, Sigma- Aldrich and have been used without further purification unless otherwise mentioned. 5,5',5'' -(ethane- 1,1,1 -triyl)tris(1H -pyrrole -2-carbaldehyde) 1,[S1] (2,4,6 -trimethylbenzene- 1,3,5- triyl)trimethanamine 2-Me,[S2] (2,4,6 -triethylbenzene-1,3,5- triyl)trimethanamine 2-Et[S2] and (2,4,6- tripropoxybenzene- 1,3,5 -triyl)trimethanamine 2-OPr[S3] were  synthesized according to procedures reported in literature. Melti ng points (not corrected) were measured with a B¨¹chi B -540 melting point analyser . NMR spectra were taken on Bruker Avance III 600 (600 MHz) and Bruker Avance III 700 (700 MHz) spectrometers. NMR spectra were internally referenced to residual solvent peaks  in CDCl3 (1H NMR: ¦Ä = 7.26 ppm, 13C NMR: 77.2 ppm). IR -Spectra were recorded on a Bruker Tensor 27 spectrometer on a ZnSe ATR crystal. MALDI -TOF experiments were carried out at a Bruker timsTOFfleX  spectrometer, both with DCTB ( trans -2-[3-(4-tert-butylphenyl) -2-methyl -2-propenylidene]malononitrile) as matrix. Crystal structure analysis was accomplished on a STOE Stadivari diffractometer with a copper source ( ¦Ë CuK¦Á = 1.54178 ?) and a PILATUS detector. Data processing and absorption correction (X -Area LANA 1.83.8.0)[S4] were accomplished by st andard methods.  Recycling gel permeation chromatography (rGPC) was carried out using a Shimadzu Prominence LC20 system with a  DGU- 20A3R degassing unit, a LC20AD pump unit, a CTO -20AC column oven, Ca BM-20A communication bus module, a SPD-M20A diode array detector,  an FRC-10A fraction collector  and an FCV -20AH2 valve unit  being equipped with a PSS SDV (20 ¡Á 50 mm) pre -column and SDV ( d ¡Á L = 20 ¡Á 300 mm) columns ( 3 ¡Á 100 ? for 3-Et cage ; 2 ¡Á 500 ?  and 2 ¡Á 1000 for cages  3-Me and 3-OPr).",affiliation
CDCC number  2211169   Empirical formula  C135H193Cl3N24O19   Formula weight  2562.47   Temperature  200(2) K   Wavelength  1.54178 ?   Crystal system  triclinic   Space group  P1   Z 2   Unit cell dimensions  a = 19.0029(4) ?  ¦Á =81.807(2) deg.,CCDC
CDCC- number  2211170   Empirical formula  C128H144N24   Formula weight  2018.66   Temperature  200(2) K   Wavelength  1.54178 ?   Crystal system  cubic   Space group  Pa3   Z 8   Unit cell dimensions  a = 31.4887(5) ?  ¦Á = 90 deg.,CCDC
CCDC- number  2211171   Empirical formula  C138H184N24O10   Formula weight  2339.08   Temperature  200(2) K   Wavelength  1.54178 ?   Crystal system  triclinic   Space group  P1   Z 2   Unit cell dimensions  a = 16.2365(10) ?  ¦Á =93.636(5) deg.,CCDC
CCDC- number  2211172   Empirical formula  C128H144N24   Formula weight  2018.66   Temperature  200(2) K   Wavelength  1.54178 ?   Crystal system  triclinic   Space group  P1  Z 2   Unit cell dimensions  a = 16.1464(11) ?  ¦Á =86.055(7) deg.,CCDC
CCDC- number  2211173   Empirical formula  C150H208N24O31   Formula weight  2843.39   Temperature  200(2) K   Wavelength  1.54178 ?   Crystal system  orthorhombic   Space group  Aba2   Z 4   Unit cell dimensions  a = 26.8141(6) ?  ¦Á = 90 deg.,CCDC
CCDC- number  2211174   Empirical formula  C104H84Br12N24   Formula weight  2628.87   Temperature  140(2) K   Wavelength  1.54178 ?   Crystal system  triclinic   Space group  P1  Z 2   Unit cell dimensions  a = 18.6306(16) ?  ¦Á =81.091(7) deg.,CCDC
"4  2. Synthetic Procedures  Synthesis of cage compound 3 -Me +H2NMeNH2MeMeNH21HNHNNHOHCOHCCHOMe2-Me3-MeMeNNMeMeNHNNHNNMeHNN HNNHNNHNMeNHNNHNNHNNHNNHHN MeMeMeMeMe MeMeMeMeMeCHCl3, TFA (3 mol-%)60 ¡ãC, 2 d13%1234 567891011 In a 25 mL screw -capped vessel 5,5',5'' -(ethane- 1,1,1- triyl)tris(1H -pyrrole -2-carbaldehyde) 1 (61.9 mg, 0.2 mmol) and (2,4,6- trimethylbenzene- 1,3,5-triyl)trimethanamine 2-Me (41.4 mg, 0.2 mmol) were suspended in chloroform  (20 mL).",comprehensive synthesis
"Trifluoroacetic acid  (0.1 M in CHCl 3, 60 ¦ÌL; 3 mol -%) was added to the mixture and heated to 60 ¡ãC for 2 days. After cooling to room temperature, the reaction mixture was filtered through a syringe filter (0.2 ¦Ìm pore) and concentrated by rotary evaporation. The resulting brown solid was immediately dissolved in THF , filtered through a syringe filter (0.2 ¦Ìm pore) twice and purified by recycling gel permeation chromatography (rGPC) (THF, 40¡ãC, 5 mL/min, see GPC Data section). The obtained GPC solution was concentrated, washed with n -pentane and dried in high vacuum to give 3-Me in 13 % yield (11.9 mg, 6.43 ¦Ìmol) as colorless solid. M.P.:  280 oC (decomp.). 1H NMR (600 MHz, CDCl 3) ¦Ä = 8.18 ppm (s, 12H, H -6), 6.31 (d, J = 3.9 Hz, 12H, H -4), 5.38 (d, J = 3.6 Hz, 12H, H -3), 4.66 (s, 24H, H -7), 2.37 (s, 36H, H -10), 1.88 (s, 12H, H -11). 13C NMR (151 MHz, CDCl 3) ¦Ä = 152.4 ppm (C -6), 140.9(C -1), 136.6(C -8), 133.8(C -9), 130.0(C -5), 114.7(C -4), 109.6(C -3), 59.8(C -7), 41.7(C -2), 26.6(C -11), 15.8(C -10). IR (neat , ATR): ? = 3602 cm-1 (w), 3272 (w), 2978 (w), 2869 (w), 1628 (s), 1561 (m), 1479 (m), 1380 (w), 1354 (w), 1270 (m), 1245 (m), 1204 (m), 1038 (m), 1004 (m), 969 (w), 780 (s), 697 (m), 647 (m), 602 (m). HR-MS (MALDI -TOF): [M+H] + m/z = 1850.0210 (calcd. for C 116H121N24+: 1850.0201).",comprehensive synthesis
"5  Synthesis of cage compound 3 -Et +H2NEtNH2EtEtNH21HNHNNHOHCOHCCHOMe2-Et3-EtEtEtNNMeMeNHNNHNNMeHNN HNNHNNHNMeNHNNHNNHNNHNNHHNEtEtEtEtEtEtEtEtCHCl3rt, 2d10%Et234567891011112 In a 25 mL screw -capped vessel 5,5',5'' -(ethane- 1,1,1- triyl)tris(1H -pyrrole -2-carbaldehyde) 1 (61.9 mg, 0.2 mmol) and (2,4,6- triethylbenzene- 1,3,5-triyl)trimethanamine 2-Et (49.8 mg, 0.2 mmol ) were suspended in chloroform (20 mL).",comprehensive synthesis
"The mixture was stirred at room temperature for 2 days and filtered through a syringe filter (0.2 ¦Ìm pore) and concentrated by rotary evaporation. The resulting brown solid was immediately dissolved in THF , filtered through a syringe filter (0.2 ¦Ìm pore) twice and purified by recycling gel permeation chromatography (rGPC) (THF, 40¡ãC, 5 mL/min, see GPC Data section). The obtained GPC solution was concentrated, washed with pentane and dried in high vacuum to give 3-Et in 10% yield (9.8 mg, 4.85 ¦Ìmol) as colorless solid. M.P.:  280 oC (decomp.). 1H NMR (600 MHz, CDCl 3) ¦Ä = 8.15 ppm (s, 12H, H -7), 6.33 (d, J = 3.6 Hz, 12H, H -4), 5.35 (d, J = 3.9 Hz, 12H, H -5), 4.63 (s, 24H, H -8), 2.74 (d, J = 7.4 Hz, 24H, H -11), 1.88 (s, 12H, H -1), 1.25 (t, J = 7.6 Hz, 36H, H -12).  13C NMR (151 MHz, CDCl 3) ¦Ä = 152.5 ppm (C -7), 143.0(C -10), 141.5(C -3), 133.2(C -9), 129.8(C -6), 115.4(C -4), 109.7(C -5), 58.5(C -8), 41.8(C -2), 26.0(C -1), 22.2(C -11), 15.7(C -12). IR (neat, ATR): ? = 3616 (w), 3440 (w), 3294 (w), 3114 (w), 2965 (w), 2871 (w), 2361 (w), 1628 (s), 1561 (m), 1480 (m), 1377 (w), 1354 (w), 1270 (m), 1234 (w), 1204 (m), 1075 (w), 1039 (m), 966 (w), 773 (s), 698 (m), 670 (m), 647 (m), 625 (m), 606 (m). HR- MS (MALDI -TOF): [M+H] + m/z = 2018.2058 (calcd. for C128H145N24+: 2018.2079).   6  Synthesis of cage compound 3 -OPr +H2NONH2OONH21HNHNNHOHCOHCCHOMe2-OPr3-OPrOPrPrONNMeMeNHNNHNNMeHNN HNNHNNHNMeNHNNHNNHNNHNNHHNOPrPrOOPrPrO OPrOOPrPrOPrOCHCl3rt, 2d18%OPr1234 5678910131112 In a 25 mL screw -capped vessel 5,5',5'' -(ethane- 1,1,1- triyl)tris(1H -pyrrole -2-carbaldehyde) 1 (61.9 mg, 0.2 mmol)  and (2,4,6- tripropoxybenzene- 1,3,5 -triyl)trimethanamine 2-OPr (67.9 mg, 0.2 mmol)  were suspended in 16 mL chloroform.",comprehensive synthesis
"The mixtures were stirred at room temperature for 2 days, filtered through syringe filters (0.2 ¦Ìm pore) and concentrated by rotary evaporation. The resulting brown solid was immediately dissolved in THF , filtered through a syringe filter (0.2 ¦Ìm pore) twice and purified by recycling gel permeation chromatography (rGPC) (THF, 40¡ãC, 5 mL/min, see GPC Data section). The obtained GPC solution was concentrated, added with pentane and put at room temperature overnight. The supernatant solvents were removed by a pipette technique and the residual was dried in high vacuum to give 3-OPr in 18 % yield (21.5 mg, 9.04 ¦Ìmol) as colorless solid. M.P.:  280 oC (decomp.). 1H NMR (700 MHz, CDCl 3) ¦Ä = 8.16 ppm (s, 12H, H -6), 6.29 (d, J  = 2.9 Hz, 12H, H -4), 5.39 (d, J = 2.9 Hz, 12H, H -3), 4.62 (s, 24H, H -7), 3.86 (t, J = 6.8 Hz, 24H, H -10), 1.96 (s, 12H, H -13), 1.79 ¨C 1.65 (m, 24H, H -11), 0.92 (t, J = 7.4 Hz, 36H, H -12). 13C NMR (176 MHz, CDCl 3) ¦Ä = 158.5 ppm (C -9), 152.8(C -6), 141.1(C -1), 129.8(C -5), 123.3(C -8), 115.0(C -4), 109.6(C -3), 77.0(C -10), 54.6(C -7), 41.6(C -2), 25.9(C -13), 23.5(C -11), 10.7(C -12). IR (neat, ATR): ? = 3602 cm-1 (w), 3272 (w), 2978 (w), 2869 (w), 1628 (s), 1561 (m), 1479 (m) , 1380 (w), 1354 (w), 1270 (m), 1245 (m), 1204 (m), 1038 (m), 1004 (m), 969 (w), 780 (s), 697 (m), 647 (m), 602 (m). HR-MS (MALDI -TOF): [M+H] + m/z = 2378.3341 (calcd. for C 140H169N24+: 2378.3346).",comprehensive synthesis
"7  Synthesis of cage compound 3 -Br +H2NBrNH2BrBrNH21HNHNNHOHCOHCCHOMe2-Br3-BrBrBrNNMeMeNHNNHNNMeHNN HNNHNNHNMeNHNNHNNHNNHNNHHNBrBrBrBr BrBrBrBrBrCHCl3, TFA(3 mol-%)60¡ãC, 2dBr In a 25 mL screw -capped vessel 5,5',5'' -(ethane- 1,1,1- triyl)tris(1H -pyrrole -2-carbaldehyde) 1 (30.9 mg, 0.1 mmol) and (2,4,6- tribromobenzene- 1,3,5 -triyl)trimethanamine 2-Br (40.1 mg, 0.1 mmol)  were suspended in 20 mL chlor oform.",comprehensive synthesis
"3 mol -% TFA (0.1 M in CHCl 3, 30 ¦ÌL) was added to the mixture and heated to 60 ¡ãC for 2 days. After cooling to room temperature, the reaction mixture was filtered through a syringe filter (0.2 ¦Ìm pore) and concentrated by rotary evaporation and washed with methanol to give 3- Br crude product (14 mg, 5.33 ¦Ìmol) as colorless solid. Note : 3-Br can¡¯t be purified further due to its poor  solubility.  1H NMR (700 MHz, CDCl 3) ¦Ä = 8.22 ppm (12H), 6.35 (12H), 5.43 (12H), 5.08 (24H), 1.92 (12H). HR-MS (MALDI -TOF): [M+H] + m/z = 2618.7490 (calcd. for C 104H85Br12N24+: 2618.7568).",comprehensive synthesis
"Key words: organic cage compounds, imines, pyrrols, dynamic covalentchemistry[4 + 4]-Imine Cage Compounds with Nitrogen-Rich Cavities andTetrahedral GeometryKe Tian¡ì,aXubin Wang¡ì, aMoritz P. SchuldtaSven M. ElbertaFrank RomingeraMichael Mastalerz*aaOrganisch-Chemisches Institut, Ruprecht-Karls-Universit?t Heidel-berg, Im Neuenheimer Feld 270, 69120 Heidelberg, Germany¡ìThese authors contributed equally to this work.",this paper's author
"4, 70469 S tme tuttgart, G eermany  1  [4+4] -Imine Cage Compounds with Nitrogen- Rich Cavities and Tetrahedral Geometry   Ke Tian,a, ¡ì Xubin Wang,a, ¡ì Moritz P. Schuldt,a Frank Rominger,a Sven M.",this paper's author
"Elberta and Michael Mastalerz* a   [a] M. Sc. K. Tian, Dr. X. Wang, Moritz P. Schuldt, Dr. F. Rominger, Dr. S. M. Elbert, Prof. Dr. M.",this paper's author
