content,category
"?Department of Chemistry, University of Cambridge, Lens ?eld Road, Cambridge, CB2 1EW, U.K.",affiliation
"∫Chemistry, University of Southampton, Southampton, SO17 1BJ, U.K.",affiliation
"95. Pracht, P.; Bohle, F.; Grimme, S. Automated Explorationof the Low-Energy Chemical Space with Fast QuantumChemical Methods. Phys. Chem. Chem. Phys. 2020 ,22,7169 每7192.RESEARCH ARTICLECitation: CCS Chem. 2024 , Just Published. DOI: 10.31635/ccschem.024.202303625Link to VoR: https://doi.org/10.31635/ccschem.024.20230362511	 ?S1	 ?Supplementary Information  In silico design of supramolecules from their precursors: odd-even effects in cage-forming reactions  Kim E. Jelfs, Edward G. B. Eden, Jamie L. Culshaw, Stephen Shakespeare, Edward O. Pyzer-Knapp, Hugh P. G. Thompson, John Bacsa, Graeme M. Day, Dave J. Adams, Andrew I. Cooper*  * To whom correspondence should be addressed. E-mail: aicooper@liv.ac.uk   This document includes:  1. Experimental details. 2. Computational details and validation. 3. Computational results. 4. References. Figures S1 to S10. Tables S1 to S4.               	 ?S2	 ?  Figure S1. The observed tetrahedral conformer of CC1, showing the two possible helical enantiomers. The R enantiomer of this conformer is shown in red, the S enantiomer in gray; nitrogens are shown in blue. Hydrogen atoms are omitted for clarity. The bottom row shows a single aryl face of each conformer.   1. Experimental details The synthesis and characterization for CC1 is described elsewhere.1   1.1. Synthesis of CC-propane. To a cooled (0 ～C) solution of propane-1,3-diamine (54.4 mg, 1.58 eq) and DMF (1 drop as internal NMR standard) in DCM (50 mL) was added by syringe pump a solution of benzene-1,3,5-tricarbaldehyde (75.2 mg, 1.0 eq) in DCM (40 mL) over 24 h. The resultant mixture was allowed to warm to room temperature and maintained for 72 h to afford a turbid solution. Completion of the reaction was confirmed by 1H NMR. Mass spectrometry (MS) and NMR data were obtained directly by in situ sampling of the reaction mixtures. All attempts at isolating the product resulted in significant amounts of insoluble materials being formed. Yields were therefore calculated by use of an internal standard (DMF), which was added to the solution of the aldehyde in DCM prior to addition of the amine. Integrals associated with the aldehyde (-CH=O, 10.22 ppm), before addition, and the imine  (-CH=N, 8.14 and 8.22 ppm for CC-propane and CC-butane respectively), at reaction completion, were normalized against the standard to determine the proportion of cage in solution once the reaction was complete. Insoluble material was assumed not to be product. The in situ NMR showed clean, single product with the expected [2+3] stoichiometry, with integration relative to DMF demonstrating a yield of 24 %. The remainder of the product was an insoluble polymer. m/z = 439.3 (M+H+); 1H NMR: (400 MHz, CDCl3) 汛 ppm 2.41 (quin, J = 5.0 Hz, 2 H) 3.89 (t, J = 5.0 Hz, 4 H) 7.79 (s, 3 H) 8.14 (s, 3 H).",comprehensive synthesis
" ?S3	 ?Attempts at purifying the material by filtration resulted in the material becoming insoluble on isolation. Concentrating the material and then slowly evaporating the solvent also resulted in insoluble material being formed.   We also attempted to adjust the solvent environment post-synthesis: To a colorless, cooled (0 ～C) solution of 1,3,5-triformylbenzene (450 mg) in dichloromethane (100 mL) was added, under nitrogen, a solution of 1,3-propanediamine (309 mg) in dichloromethane (130 mL) over 18 h to afford a colorless solution. The resultant mixture was maintained for 120 h. The reaction mixture was concentrated under reduced pressure (1/2 volume) and diluted with methanol, this procedure being repeated three times to afford a clear, colorless solution in which was suspended an off-white solid. This material was found to be insoluble in chloroform after isolation by filtration.  Finally, we attempted to isolate the material by slow crystallisation. Here, samples (prepared by taking the solutions of DMF-internal-standard experiments) were dissolved in DCM, filtered, and placed in 3 dram vials. These were placed into 10 dram vials, to which was subsequently added MeOH, EtOAc, CHCl3, IPA, Et2O, iPr2O, EtOH, acetone, THF, hexane, MeCN or Toluene: The table below shows the results of these attempts at isolation.  Solvent After 3 days Solubility in CDCl3 MeOH Film No EtOAc Ppt No CHCl3 Clear - IPA Film No Et2O Ppt No iPr2O Turbid - EtOH No No Acetone Clear - THF Clear - Hexane Film No MeCN Film No Toluene Clear -  Solids, where formed, were separated by filtration. None of these solids were found to dissolve in chloroform.   	 ?S4	 ?   Figure S2. Mass spectrometry data for [2+3] cage CC-propane.  1.2. Synthesis of CC-butane. To a cooled (0 ～C) solution of butane-1,4-diamine (64.9 mg, 1.58 eq) and DMF (1 drop) in DCM (50 mL) was added dropwise a solution of benzene-1,3,5-tricarbaldehyde (76.3 mg, 1.0 eq) in DCM (40 mL) over 12 h. The resultant mixture was allowed to warm to room temperature and maintained for 72 h to afford a turbid solution. Completion of the reaction was confirmed by 1H NMR. Again, MS and NMR data were obtained directly from reaction mixtures. The in situ NMR showed a clean, single product with the expected [2+3] stoichiometry, with integration relative to DMF demonstrating a yield of 27 % (using the imine peak at 8.23 ppm). The remainder of the product was insoluble. As for the CC-propane, all attempts at isolating the material resulted in insoluble material being collected. m/z = 961.6 (M+H+); 1H NMR: (400 MHz, CDCl3) 汛 ppm 1.60 (m, 12 H) 3.63 (t, J=6.67 Hz, 12 H) 8.01 (s, 6 H) 8.22 (s, 6 H).",comprehensive synthesis
" ?S5	 ?  Figure S3. Mass spectrometry data for CC-butane.  1.3. Synthesis of CC-pentane. To a cooled (0 ～C) solution of pentane-1,5-diamine (425 mg, 1.5 eq) in DCM (50 mL) was added dropwise a solution of benzene-1,3,5-tricarbaldehyde (450 mg, 1.0 eq) in DCM (40 mL) over 6 h. The resultant mixture was allowed to warm to room temperature and maintained for 120 h to afford a clear, light-yellow solution. Solvents were removed under reduced pressure to afford a pale yellow solid (875 mg, 100 %). Crystals were then grown by immediately dissolving the cage in dichloromethane, before layering with methanol in a glass vial, and leaving the solutions to slowly diffuse which induced the growth of crystals on the sides of the vial over several days. m/z = 523.5 (M+H+, 100%); 1H NMR: (400 MHz, CDCl3) 汛 ppm 0.88 (m, 1 H) 1.77 (tt, J = 8.2, 5.2 Hz, 2 H) 3.61 (t, J = 5.2 Hz, 2 H) 7.86 (s, 1 H) 8.09 (s, 1 H).   On attempting to re-dissolve the material from which the sample was taken for analysis, re-dissolution is not complete in chloroform. Hence, the material is stable in solution, but not upon isolation in the solid state.",comprehensive synthesis
"In silico Design of Supramolecules from Their Precursors: Odd ?EvenE?ects in Cage-Forming ReactionsKim E. Jelfs,?Edward G. B. Eden,?Jamie L. Culshaw,?Stephen Shakespeare,?Edward O. Pyzer-Knapp,?Hugh P. G. Thompson,?John Bacsa,?Graeme M. Day,?,∫Dave J. Adams,?and Andrew I. Cooper *,??Department of Chemistry and Centre for Materials Discovery, University of Liverpool, Liverpool, L69 7ZD, U.K.",this paper's author
"*SSupporting InformationABSTRACT: We synthesize a series of imine cagemolecules where increasing the chain length of thealkanediamine precursor results in an odd ?even alter-nation between [2 + 3] and [4 + 6] cage macrocycles. Acomputational procedure is developed to predict thethermodynamically preferred product and the lowestenergy conformer, hence rationalizing the observedalternation and the 3D cage structures, based onknowledge of the precursors alone.",topology
"Previously, we and others have synthesized a range of porousimine cages by the condensation reaction of trialdehydes anddiamines in n[2 + 3] reactions to form [2 + 3],24,25[4 + 6],8,17and [8 + 12]26cages. The variation in cage size is a typicalexample of ＆emergent behavior ＊, since the trends observed arenot simply intuitive. For instance, a small change in the diaminestructure from 1,2-cyclopentane diamine to 1,2-cyclohexanediamine directs the product from a highly porous [4 + 6] cage17to a nonporous and much larger [8 + 12] cage.26We have notyet observed any clear dependence on the choice of reactionsolvent, but Warmuth et al. demonstrated variation betweenthree di ?erent imine cage sizes that depend on solvent choiceas well as ligand geometry.",topology
"23Here, we synthesize a series of imine cages with increasingalkanediamine chain length (see reaction scheme, Figure 1),and examine the e ?ect on the cage size. We then usecomputational methods to rationalize the observed trend andshow that it is possible to predict the size and 3D structure ofthese cages accurately. Previously, the [4 + 6] cage, CC1, wasprepared via the condensation reaction of 1,3,5-triformylben-zene with 1,2-ethanediamine.",topology
"To examine the relative energies of the potential n[2 + 3]combinations and the associated conformers of these cages,models for each precursor combination were built in both a [2+ 3] and [4 + 6] ratio, assuming initially a similar geometry tothat observed in earlier cages synthesized by our group. TheOPLS all-atom force ?eld28was used, since this wasparametrized for organic systems with a focus on conformerenergetics, intermolecular energies, and thermodynamic prop-erties. OPLS was found to perform well at reproducingpreviously reported imine cage structures and energetics (seeSI, Section 2.2 and Figure S6 for validation and testing of thismethodology). Next, we used the MacroModel conformersearching tool to search for all the low-energy conformers ofeach structure, using the low-mode sampling method,29followed by re ?nement of the lowest energy conformationsusing dispersion-corrected DFT. The conformer generationand re ?nement were coupled with an automated procedure tocheck for conformations with an internal ＆pore ＊,d e?ned here asa spherical void with a radius of >2.5 ?.",topology
