content,category
"1State Key Laboratory of Structural Chemistry, Fujian Institute of Research on the Structure of Matter, ChineseAcademy of Sciences, Fuzhou, Fujian 350002,2College of Chemistry, Fuzhou University, Fuzhou, Fujian 350116,3University of the Chinese Academy of Sciences, Beijing 100049*Corresponding authors: skz@fjirsm.ac.cn ;ydq@fjirsm.ac.cnCite this: CCS Chem .2024 , 6, 149 每156DOI: 10.31635/ccschem.023.202302903The high-yield synthesis of ultrastable porous or-ganic cages (POCs) by facile methods is highly de-sirable but challenging. Inspired by highly stable sp2carbon-conjugated (C=C) covalent organic frame-works, we used rational design and synthesizedthe?rst family of sp2carbon-linked POCs (sp2c-POCs) with triangular prism shapes by a one-stepKnoevenagel reaction that is a high yield [2+3] con-densation reaction. The stability of sp2c-POC wasdemonstrated under strenuous conditions involvingfor example concentrated HCl or saturated NaOHsolution. sp2c-POC was used as a robust adsorbentfor ef ?cient separation of CO 2/CH 4or CO 2/N2mixtures. In view of their facile synthesis and uniqueproperties, we expect w idespread use of thesesp2C=C linkages in the development of POCmaterials.",affiliation
"1State Key Laboratory of Structural Chemistry, Fujian Institute of Research on the Structure of Matter, Chinese Academy of Sciences, Fuzhou, 350002, Fujian  2College of Chemistry, Fuzhou University, Fuzhou, 350116,  Fujian  3University of the Chinese Academy of Sciences , Beijing, 100 049 *Corresponding Authors: skz@fjirsm.ac.cn.; ydq@fjirsm.ac.cn     2  Table of Contents  Section S 1. General Materials and Measurements                                                                          3-4 Section S 2. Synthetic Procedures and Characterizations                                                              5-23 Section S 3. X-ray Data Collection s and Structure Determination s                                             24-26 Section S 4. Additional Figures                                                                                                    27-29 Section S 5. Gas Adsorption Measurements                                                                                 30-36 Section S 6. Reference                                                                                                                  37-38    3  Section S1. General Materials and Measurements  Reagent -grade commercially available reagents were  employed without further purification. The methyl substituted aromatic trialdehydes  (Me-C3CHO )S1 and 4-isobutylbenzaldehyde  (S5)S2 were according to a procedure reported in literature.  Fourier transform infrared (FT -IR) spectra were recorded in the range 4000?400 cm?1 with a Magna 750 FT -IR spectrometer using KBr pellets. 1H NMR spectra were obtained on a Burker AVANCE 400 (400 MHz) for spectrometer. T hermal gravimetric analysis (TGA) was carried out under a dynamic N 2 flow on a NETZSCH STA 449C thermal analyzer by heating samples from 30 to 900 ～ C. X -ray photoelectron spectroscopy (XPS) was measured on a Thermo ESCALAB 250 spectrometer.  The power X-ray diffraction (PXRD) patterns were collected by a Rigaku Mini 600 X -ray diffractometer using Cu K汐 radiation ( 竹 = 1.54 ?) .",affiliation
"2225777) as colorless block crystals. This is the ?rsttime that a base-catalyzed Knoevenagel condensationreaction has been used successfully for the synthesisof cage compounds. The SCXRD analysis revealed thatsp2c-POC1 crystallizes in a monoclinic system with spacegroup P-21c and has a distorted triangular prism structurewith two molecules of i-Bu-C3CHO acting as planes withheight (the distance between the centers of oppositearomatic rings) of 1.15 nm and three Me-BDN moleculesacting as the edges (Figure 1d). Interestingly, the linkageinsp2c-POC1 is the sp2C=C bond, and its backbonetherefore contains only carbon atoms. To the best of ourknowledge, POCs with pure carbon atom backbones areuncommon,31and most such POCs reported so far aresynthesized by kinetic bond formation and alkynemetathesis reactions, which are accompanied by pro-blems involving expensive catalysts and/or low productyields.25,55,56Further inspecting the structure of sp2c-POC1revealed that its backbone is comprised of all sp2carbons,which suggests that Knoevenagel reaction is an effectiveway to prepare fully sp2c羽-conjugated cages. Althoughseveral methods, such as Wittig reaction, Suzuki 每Miyauracross-couplings together with acid-mediated reductivearomatization, and reductive elimination of the platinumfrom the coordination cage, have been reported, but theyrequire low-yielding multistep synthesis under tough con-ditions.57每59The intrinsic void diameter and average diam-eter of the circular window of the cage reported by thepyWINDOW program are ‵5.6 and ‵4.8 ?, respectively.",CCDC
"Its volume, calculated by Voidoo is 222 ?3. The calculatedlargest pore diameter and pore limiting diameter is 5.6and 4.1 ?, respectively, by Zeo++ software with a probewith a radius of 1.82 ? in the solid-state structure. Theanalyses of the crystalline void of sp2c-POC1 by Mercurysoftware and placing a probe of N 2with kinetic radius of1.82 ? revealed that 22% of the unit cell volume is emptyspace large enough to hold gas molecules ( SupportingInformation Figure S24 ). Moreover, we also exploredwhether the reticular chemistry can be applied in con-struction of sp2c-POCs. Thus, the longer ditopic V-shapeddiacetonitriles linkers were used in reacting with i-Bu-C3CHO, which directly produced the corresponding larg-er [2+3] sp2c-POC2 (CCDC No. 2225780) with intrinsicvoid diameter, height, and cavity volume increased to1.2 nm, 1.7 nm, and 566 ?3, respectively (Figure 1e). Wealso obtained the amino-functionalized cage, namelysp2c-POC2-NH 2,(Supporting Information Figure S3 ,CCDC No. 2225781), which suggests it is possible tomodify the sp2c-POC ＊s environment for other applica-tions, such as construction of cage-based COFs.",CCDC
sp2c-M sp2c-POC1  sp2c-POC1a  sp2c-POC1b  formula  C56H41N3O4 C111H102N6 C90H60N6 C108H196N6 M / g mol-1 819.920  1519.98  1225.44  1477.90  T / K  293 150 100 100 Crystal system  triclinic  monoclinic  trigonal  trigonal  Space group  P-1 P21/c R-3 R-3 a / ? 13.3624(3)  18.3145(7)  17.3066(3)  18.0945(13)  b / ? 13.6489(3)  35.8224(12)  17.3066(3)  18.0945(13)  c / ? 13.9687(5)  17.3139(5)  44.9591(10)  46.528(4)  汐 (～) 103.787(2)  90 90 90 汕 (～) 109.667(3)  104.125(3)  90 90 污 (～) 102.025(2)  90 120 120 V / ?3 2210.9(1)  11015.7(7)  11662.0(5)  13193(2)  Z 2 4 6 6 米 (mm-1) 0.615  0.402  0.472  0.492  Data measured  19471  91780  11319  15137  Ind. reflns  8303  22277  4842  5754  Parameters  571 1069  291 460 GOF on F2 1.119  1.082  1.066  1.915  R1a [I ?考(I)]  0.0919  0.0703  0.0551  0.2050  wR 2b  0.3439  0.2112  0.1605  0.5605  CCDC number  2225776  2225777  2225778  2225779  aR1 = ﹉||F o| - |Fc||/﹉|F o|. bwR 2 = {﹉[w(F o2 - Fc2)2]/ ﹉[w( F o2)2]}1/2      26  Table S 4. Crystallographic Data and Structure Refinement for sp2c-POCs.,CCDC
"sp2c-POC2  sp2c-POC2 -NH 2 formula  C156H144N6 C144H135N9 M / g mol-1 2093.69  1979.51  T / K  100 150 Crystal system  trigonal  trigonal  Space group  R-3c R-3 a / ? 21.921(3)  19.3377(13)  b / ? 21.921(3)  19.3377(13)  c / ? 58.021(6)  60.489(3)  汐 (～) 90 90 汕 (～) 90 90 污 (～ ) 120 120 V / ?3 24146(7)  19589(3)  Z 6 6 米 (mm-1) 0.376  0.447  Data measured  24318  16418  Ind. reflns  5145  3978  Parameters  240 232 GOF on F2 1.239  1.839  R1a [I ?考(I)]  0.1873  0.1775  wR 2b  0.4367  0.5111  CCDC number  2225780  2225781  aR1 = ﹉||F o| - |Fc||/﹉|F o|. bwR 2 = {﹉[w(F o2 - Fc2)2]/ ﹉[w( F o2)2]}1/2    27  Section S 4. Additional Figures   Figure S2 4. Crystalline voids of sp2c-POC1  represented as contact surface (orange outer surface, green inner surface, created by Mercury with a probe radius of 1.82 ? and a grid spacing of 0.5 ?) showing isolated pores in solid state viewed from a direction.",CCDC
"??????=ln??+1??﹉ ????????+﹉ ???????? ????=0????=0       (Equation 1 ) ??????=???﹉ ???????? ????=0                                   (Equation 2 ) ??=??1??1℅????11+??1℅????1+??2??2℅????21+??2℅????2                    (Equation 3 ) ???????=????????????????                                               (Equation 4 ) The mixed CO 2/CH 4 (50:50, v/v) and CO 2/N2 (15:85, v/v) breakthrough separation experiments were measured on a home -built setup coupled with a Pfeiffer GSD320 mass spectrometer. Before measurements, sp2c-POC  powder samples were packed into a custom -made stainless -steel column (3.0 mm I.D.℅ 120 mm) with silica wool filling the void space and was activated through sample hea ting at 100 ～ C with a constant flow of He (10 mL min-1) at room temperature and pressure. He flow was then turned off and the CO 2/CH 4 (50:50, v/v) and CO 2/N2 (15:85, v/v) gas flow (2 mL min-1) was permitted to 4  pass through the column. By means of mass spectrometer, outlet effluent from the column was continuously monitored. The complete breakthrough of CO 2, CH 4 and N 2 were identified using downstream gas composition reaching that of the feed gas.  On the basis of the mass balance, the gas adsorption capa cities can be determined as follows:  ????=??????22.4℅??℅÷(1?????0)??0???? Where qi is the equilibrium adsorption capacity of gas i (mmol g-1), C i is the feed gas concentration, V is the volumetric feed flow rate (cm3 min-1), t is the adsorption time (min), F 0 and F are the inlet and outlet gas molar flow rates, respectively, and m is the mass of the adsorbent (g). The separation factor (汐) of the breakthrough experiment is determined as:  汐=???????????????? in which y i is the molar fraction of gas i (i=A, B) in  the gas mixture.   5  Section S2. Synthetic Procedures and Characterizations  Synthesis of Me -C3CHO:   1,3,5 -tris(4,4,5,5 -tetramethyl -1,3,2 -dioxaborolan -2-yl)benzene S1 (1 g, 2.2 mmol), 3 -bromo -4-methylbenzaldehyde S2 (2 g, 10.0 mmol) and Pd(PPh 3)4 (80 mg) were added to a mixture containing THF (50 mL) and an aqueous solution of K 2CO 3 (2 M˙ 15 mL). The mixture was vigorously stirred at 85 ～ C for 72 h. After the mixture w as cooled to room temperature, it was poured into deionized water (150 mL).",comprehensive synthesis
"The aqueous layer was extracted with dichloromethane three times. The combined organic solution was washed with water and dried over magnesium sulfate. After removing the solvent b y evaporation, the crude sample was purified by flash column chromatography (EA/PE (1:3); silica gel, 200 -300 mesh), yielding pure Me-C3CHO  (475 mg, 51%) as a white solid. 1H NMR (400 MHz, CDCl 3): 汛=10.03 (s, 3H), 7.86 (s, 3H), 7.79 (d, J=7.9 Hz, 3H), 7.50  (d, J=7.4 Hz, 3H), 7.34 (s, 3H). 2.46 (s, 9H). 13C NMR  (100 MHz, CDCl 3, 298 K): 汛 [ppm] 192.01, 143.07, 142.02, 140.92, 134.69, 131.38, 131.17, 129.01, 128.87, 21.3.",comprehensive synthesis
"Synthesis of EtO -C3CHO:   S1 (1 g, 2.2 mmol), 3 -Bromo -4-Ethoxybenzaldehyde  S3 (2.3 g, 10 .0 mmol) and Pd(PPh 3)4 (90 mg) were added to a mixture containing THF (50 mL) and an aqueous solution of K 2CO 3 (2 M; 15 mL). The mixture was vigorously stirred at 85 ～ C for 72 h. After the mixture was cooled to room temperature, it was poured into deionized water (150 mL). The aqueous layer was extracted with dichloromethane three times. The combined organic solut ion was washed with water and dried over magnesium sulfate. After removing the solvent by evaporation, the crude sample was purified by flash column chromatography (EA/PE (1:3); silica gel, 200 -300 mesh), yielding pure EtO-C3CHO  (551 mg, 48%) 1H NMR  (400 M Hz, CDCl 3): 6  汛=9.93 (s, 3H), 7.99 (s, 3H), 7.87 (d, J=10.02 Hz, 3H), 7.81 (s, 3H), 7.11 (d, J=8.52 Hz, 3H). 4.22 (m, 6H),1.52 (m, 9H). 13C NMR  (100 MHz, CDCl 3, 298 K): 汛 [ppm] 190.91, 161.03, 136.81, 132.53, 131.52, 131.04, 129.71, 112.03, 64.52, 14.73.",comprehensive synthesis
"Synthesis of iBu -C3CHO:   AlCl 3 (19.8 g, 133 mmol, 1.8 eq) was suspended in CH 2Cl2 (25 ml) and heated to 40～ C. 4 -isobutylbenzaldehyde S4 (12.3 mlㄛ73.8 mmol ㄛ1.0 eq) was added dropwise and the resulting mixture further refluxed for 30 min. Br 2 (4.2 ml, 82 mmol , 1.1 eq) was dissolved in CH 2Cl2 (25 ml) and added over 1 h through a dropping funnel. After refluxing for additional 30min, the reaction was cooled to ambient temperature and poured onto ice (200 ml). CH 2Cl2 (30 ml) was  added and the phases separated.",comprehensive synthesis
