content,category
"Keywords: cavitands ¡¤host¨Cguest systems ¡¤hydrazones ¡¤molecular containers ¡¤nanocapsules[a] Dr. Z. Lin, Dr. T. J. Emge, Dr. R. WarmuthDepartment of Chemistry and Chemical BiologyRutgers, The State University of New Jersey610 Taylor Road, Piscataway, NJ 08854 (USA)Fax : (+1)732-445-5213E-mail: warmuth@rutgers.eduSupporting information for this article is available on the WWWunder http://dx.doi.org/10.1002/chem.201100527.",affiliation
"Cavitand 1,[1]  cavitand 18 ,[2]  dihydrazides 5c , and 6b , trihydrazides 7b  and 7c , and compounds 14d , 15d  and 15e  were prepared according to literature procedures. 5c [3] : 1H NMR (CDCl 3, 300 MHz; 25 oC): ¦Ä H: 9.79 (s, 2H, CONH), 8.24 (s, 1H, H aryl ), 7.90 (d, J = 12.9 Hz, 2H, H aryl ), 7.50 (t, J = 12.9 Hz, 1H, H aryl ), 4.50 (s, 4H, NH 2). 6b [3] : 1H NMR (CDCl 3, 300 MHz; 25 oC): ¦Ä H: 9.86 (s, 2H, CONH), 7.85 (s, 4H, H aryl ), 4.53 (s, 4H, NH 2). 7b [4] : 1H NMR (CDCl 3, 300 MHz; 25 oC): ¦ÄH: 9.83 (s, 3H, CONH), 8.31 (s, 3H, H aryl ), 4.55 (s, 6H, NH 2). 7c [5] : 1H NMR (d 6CDMSO, 300 MHz; 25 oC): ¦Ä H: 8.95 (s, 3H, H NH ), 4.15 (s, 6H, H NH2 ), 3.14 (t, J = 8.82 Hz, 3H, H CH ), 1.44~1.60 (m, 6H, H CH2 ). 14d [6] : 1H NMR (CDCl 3, 300 MHz; 25 oC): ¦Ä H: 8.65 (d, J = 7.86 Hz, 6H), 7.36 (d , J = 7.65 Hz, 6H), 2.48 (s, 9H). 15d [7] : 1H NMR (d 6CDMSO, 400 MHz; 25 oC): ¦Ä H: 13.31 (sbr, HCOOH ), 8.85 (d, J = 8.28 Hz, 6H), 8.20 (d , J = 8.24 Hz, 6H). 15e [8] : 1H NMR (d 6CDMSO, 300 MHz; 25 oC): ¦Ä H: 13.07 (br, 3H, H COOH ), 8.07 (m, 15H).  Page S3   Cavitand  8. Pd(OAc) 2 (0.14 mmol, 0.0314 g) and PPh 3 (0.28 mmol, 0.0734 g) was stirred in THF:water (9:1; 5 mL) for 20 min. The solution was added to a mixture of potassium 4CformylphenylCtrifluoroborate (2.9 mmol, 0.615 g), 18 [2]  (0.7 mmol, 0.924 g) and K 2CO 3 (8.4 mmol, 1.16 g) in THF:water (9:1; 15 mL). The mixtur e was stirred and heated at 110 oC in a seal tube for 18 h. After cooling to room temperature, i t was diluted with water and extracted with CH 2Cl 2 (3 x 50 mL). The combined organic layers were wash ed with water (60 mL) and dried over Na 2SO 4. The solvent was removed under vacuum. Purificatio n by chromatography on silica gel (elution with CH 2Cl 2:ethyl acetate 96:4) yielded 8 as white solid (0.55 g, 63%). 1H NMR (CDCl 3, 400 MHz, 25 oC): ¦Ä H 9.98 (s, 4H, C HO), 7.84 (d, J = 10.0 Hz, 8H, C 6H2H2CHO), 7.39 (s, 4H, HCaryl cavitand), 7.21 (d, J = 9.8 Hz, 8H, C 6H2H2CHO), 5.21 (d, J = 8.4 Hz, 4H, OCH Houter O), 4.85 (t, J = 9.7 Hz, 4H, Hmethine ), 4.22 (d, J = 8.3 Hz, 4H, OCH Hinner O), 2.36 (br, 8H, CH2(CH 2)3CH 3), 1.54C1.32 (m, 24H, CH 2(C H2)3CH 3), 0.95 (t, J = 8.9 Hz, 12H, C H3). 13C NMR (CDCl 3, 100 MHz, 25 oC): ¦Ä C 191.64, 152.34, 140.41, 138.52, 135.17, 130.64, 12 9.23, 128.34, 120.64, 100.47, 37.11, 32.00, 30.29, 27.60,  22.66, 14.10. MALDICTOF MS: m/z 1255.56 [M+Na]+; calcd for C 80 H80 O12 Na +: 1255.55.",comprehensive synthesis
"Hemicarcerand 2c . ( Procedure A ). Solutions of cavitand 1 (0.05mmol, 46.5 mg) in CHCl 3 (1 mL) and of linker 5c  (0.10 mmol, 0.0194g) and TFA (0.40mmol, 30.8¦ÌL) in  DMF (1.8 mL) were mixed and stirred for 30 min and then left at room temperature without stirring for several days to give 2c  in form of XCray quality colorless, sticky crystal s. The crystals were filtered off and dried at high vacuum (59.1 mg, 88% yield). 1H NMR (CDCl 3, 500 MHz, 25 oC): ¦Ä H 11.59 (s, 8H, NH), 8.30 (s, 8H, Himine ), 7.95 (d, J = 7.8 Hz, 8H, HCaryl linker), 7.77 (t, J = 7.7 Hz, 4H, HCaryl linker), 7.56 (s, 4H, HCaryl linker), 7.07 (s, 8H, HCaryl cavitand), 4.89 (d, J = 7.4 Hz, 8H, OCH Houter O), 4.76 (t, J = 8.3 Hz, 8H, Hmethine ), 3.95 (d, J = 7.4 Hz, 8H, OCH Hinner O), 2.13 (m, 16H, C H2(CH 2)3CH 3), 1.40C1.23 (m, 48H, CH 2(C H2)3CH 3), 0.88 (t, 24H, C H3). 13 C NMR (CDCl 3, 125 MHz, 25 oC): ¦Ä C 171.7, 154.6, 151.8, 144.2, 139.1, 138.9, 134.3, 1 31.8, 129.5, 123.6, 122.2, 119.6, 99.5, 36.3, 31.7, 29.5, 27.3, 22.7, 14.0. MALDICTOF MS: m/z 2513.09 [M+Na]+; Calcd for C 144 H152 N16 O24 Na: 2513.11.",comprehensive synthesis
"Page S4  Hemicarcerand 9c . From 8 (0.02 mmol, 24.7 mg) and 5c  (0.04 mmol, 7.8 mg)  in CHCl 3 (0.6 mL)/DMSO (1.2 mL) according to procedure A. Colorle ss, sticky crystals (26.3 mg, 85% yield).",comprehensive synthesis
"Tetra-cavitand nanocapsule 3b . From 1 (0.018 mmol, 16.7 mg), 6b  (0.036 mmol, 7 mg) in CHCl 3 (0.3 mL)/DMSO (0.9 mL) according to procedure A. A fter stirring for 30 min, Et 2O was allowed to diffuse into the reaction mixture for se veral days, whereby 3b  crystallized in form of colorless needles (8 mg, 36% yield based on 1). 1H NMR ((CD 3)2SO, 300 MHz, 25 oC): ¦Ä H 11.97 (s, 8H, N H), 11.65 (s, 8H, N H), 8.52 (s, 8H, H imine ), 8.49 (s, 8H, Himine ), 7.99 (s, 32H, HCaryl linker), 7.69 (s, 16H, Ha), 5.85 (sb, 16H, OCH Houter O), 4.80 (sb, 16H, Hm), 4.51 (s, 4H, OCH Hinner O), 4.44 (2, 4H, OCH Hinner O), 4.35 (s, 4H, OCH Hinner O), 2.43 (sb, 32H, CH2(CH 2)3CH 3), 1.60C1.25 (m, 96H, CH 2(C H2)3CH 3), 0.90 (sb, 48H, C H3). ((CD 3)2SO/CDCl 3 (2:1), 125 MHz, 25 oC): ¦Ä C  162.1, 152.6, 142.3, 138.8, 135.8, 127.7, 123.2, 12 1.3, 99.8, 36.5, 31.5, 29.1, 27.4, 22.3, 13.9. MALDICTOF MS: m/z 5004.26 [M+Na]+; Calcd for C288 H304 N32 O48 Na: 5004.23.",comprehensive synthesis
"Tetra-cavitand nanocapsule 10b  and octahedral nanocapsule 19 . Solutions of 8 (0.015 mmol, 18.5 mg) in CDCl 3 (0.2 mL) and of 6b  (0.03 mmol, 5.9 mg) and TFA (0.12 mmol, 9.2 ¦ÌL) (CD 3)2SO (0.4 mL) was stirred 10 min and then left at roo m temperature. After two days, the reaction contained exclusively 10b  and 19 in a ratio 6:1 (based on 1H NMR integration). Both product were precipitated with methanol (18.1 mg, 7 8% yield based on 8). When the above solution was left at room temperature for 2 months,  whereby most of the CDCl 3 evaporated as judged by the reduction in the volume of the soluti on, 19  slowly crystallized as colorless needles  Page S5  (mg, 56% yield). 10b : 1H NMR ((CD 3)2SO/CDCl 3 (2:1), 500 MHz, 25 oC): ¦Ä H 12.05 (s, 8H, N H), 11.89 (s, 8H, N H), 8.52 (s, 8H, H imine ), 8.44 (s, 8H, Himine ), 8.10 (s, 16H, HCaryl linker), 8.03 (s, 16H, HCaryl linker), 7.86 (s, 16H, Ha), 7.77 (s, 8H, C 6H2H2CHN), 7.70 (s, 8H, C 6H2H2CHN), 7.28 (s, 8H, C 6H2H2CHN), 7.15 (s, 8H, C 6H2H2CHN), 5.35 (sb, 12H, OCH Houter O), 4.89 (sb, 4H, OCH Houter O), 4.74 (s, 16H, Hm), 4.58 (s, 4H, OCH Hinner O), 4.52 (2, 4H, OCH Hinner O), 3.92 (s, 4H, OCH Hinner O), 2.53 (sb, 32H, C H2(CH 2)3CH 3), 1.48 (sb, 32H, CH 2CH2(CH 2)2CH 3), 1.39 (sb, 64H, CH 2CH 2(C H2)2CH 3), 0.93 (br, 48H, C H3). MALDICTOF MS: m/z 6220.9 [M+Na]+; calcd for C 384 H368 N32 O48 Na +: 6220.73. 19 : 1H NMR ((CD 3)2SO/CDCl 3 (2:1), 500 MHz, 25 oC): ¦Ä H 11.97 (s, 24H, N H), 8.50 (s, 24H, H imine ), 8.06 (s, 24H, HCaryl linker), 7.86 (s, 48H, Ha), 7.73 (s, 48H, C 6H2H2CHN), 7.21 (s, 48H, C 6H2H2CHN), 5.34 (s, 24H, OCH Houter O), 4.74 (s, 24H, Hm), 4.44 (s, 24H, OCH Hinner O), 2.53 (sb, 48H, C H2(CH 2)3CH 3), 1.48 (m, 48H, CH 2CH2(CH 2)2CH 3), 1.39 (m, 96H, CH 2CH 2(C H2)2CH 3), 0.93 (br, 72H, C H3). 13 C NMR ((CD 3)2SO/CDCl 3 (2:1) 125 MHz; 25 oC): ¦Ä C 162.2, 151.7, 147.8, 138.2, 135.9, 135.2, 132.8, 13 0.4, 128.3, 127.5, 126.5, 121.7, 99.9, 37.0, 31.5, 29.6, 27.3, 22.2, 13.9. 1H NMR ((CD 3)2SO, 500 MHz, 25 oC): ¦Ä H 11.97 (s, 24H, N H), 8.49 (s, 24H, H imine ), 8.06 (s, 24H, HCaryl linker), 7.85 (s, 48H, Ha), 7.73 (d, 3J = 5.2 Hz, 48H, C 6H2H2CHN), 7.21 (d, 3J = 5.2 Hz, 48H, C 6H2H2CHN), 5.31 (s, 24H, OCH Houter O), 4.74 (s, 24H, Hm), 4.43 (s, 24H, OCH Hinner O), 2.53 (sb, 48H, C H2(CH 2)3CH 3), 1.47 (sb, 48H, CH 2CH2(CH 2)2CH 3), 1.39 (sb, 96H, CH 2CH 2(C H2)2CH 3), 0.92 (t, 3J = 6.8 Hz, 72H, C H3). MALDICTOF MS: m/z 9321.96 [M+Na]+; calcd for C 576 H552 N48 O72 Na +: 9322.11.",comprehensive synthesis
"Hexa-cavitand nanocapsule 4b . From 1 (0.032 mmol, 29.7 mg) 7b  (0.043 mmol, 10.8 mg) and TFA (0.256 mmol, 19.7 ¦ÌL) in CHCl 3 (1 mL)/DMSO (1 mL) according to procedure A.",comprehensive synthesis
"Colorless, blockCshaped crystals (16.5 mg, 44 % yie ld based on 1). 1H NMR ((CD 3)2SO, 500 MHz, 25 oC): ¦Ä H All the signals are broad. 11.36 (sb, 24H, N H), 8.93 (sb, 24H, Himine ), 8.60 (24H, HCaryl linker), 7.72 (24H, HCaryl cavitand), 6.07 (sb, 24H, OCH Houter O), 4.83 (sb, 24H, Hmethine ), 4.51 (sb, 24H, OCH Hinner O), 2.46 (sb, 48H, C H2(CH 2)3CH 3), 1.66C1.17 (m, 144H, CH 2(C H2)3CH 3), 0.90 (sb, 72H, C H3). MALDICTOF MS: m/z 7182.06 [M+Na]+; calcd for C408 H432 N48 O72 Na +: 7182.17  Hexa-cavitand nanocapsule 11c . According to procedure A from 8 (0.01 mmol, 12.3 mg) 7c  (0.02 mmol, 5.2 mg) and TFA (0.08 mmol, 6.2 ¦ÌL) in CHCl 3 (1.2 mL)/DMSO (2.4 mL).  Page S6  Colorless, sticky crystals (7.2 mg, 48 % yield base d on 8). 1H NMR ((CD 3)2SO, 500 MHz, 25 oC): ¦Ä H All the signals are broad. 11.40 (sb, 24H, N H), 8.18 (sb, 24H, Himine ), 7.85 (sb, 24H, HCaryl cavitand), 7.64 (sb, 48H, C 6H2H2CHN), 7.17 (sb, 48H, C 6H2H2CHN), 5.22 (sb, 24H, OCH Houter O), 4.72 (sb, 24H, Hmethine ), 4.36 (sb, 24H, OCH Hinner O), 2.54 (sb, 48H, CH2(CH 2)3CH 3), 2.54 (sb, 24H, C(O)C H), 1.85 (d, J = 10.6 Hz, 24H, C(O)CHCH H), 1.38 (m, 168H, C(O)CHC HH, CH 2(C H2)3CH 3), 0.90 (sb, 72H, C H3).  13 C NMR ((CD 3)2SO/CDCl 3 (2:1); 125 MHz; 80 oC): ¦Ä C  169.8, 151.5, 146.2, 137.9, 134.9, 132.6, 129.8, 128.1, 126.0, 121.3, 99.4, 41.9, 36.7, 30.9, 29.3, 26.8, 21.7, 13.2.",comprehensive synthesis
"MALDICTOF MS: m/z 9072.06 [M+K]+; calcd for C 552 H576 N48 O72 K+: 9072.27  Hexa-cavitand nanocapsule 11e . Solutions of 8 (0.009 mmol, 11.1 mg) in CDCl 3 (0.2 mL) and 7e  (0.015 mmol, 7.2 mg) and TFA (0.072 mmol, 5.4 ¦ÌL) in (CD 3)2SO (0.4 mL) was stirred 20 min and then left at room temperature overnight. Po lymerCbound 3Cbenzyloxybenzaldehyde was added and the mixture was heated at 80 oC for 3 days. The polymer was filtered off and the solvent removed under vacuum to give 11e  as a yellow solid (13 mg, 80% yield based on 8). 1H NMR ((CD 3)2SO, 500 MHz, 25 oC): ¦Ä H All the signals are broad. 11.97 (sb, 24H, N H), 8.48 (sb, 24H, Himine ), 8.07 (m, 120H, HCaryl linker), 7.88 (sb, 24H, HCaryl cavitand), 7.74 (sb, 48H, C6H2H2CHN), 7.22 (sb, 48H, C 6H2H2CHN), 5.29 (sb, 24H, OCH Houter O), 4.75 (sb, 24H, Hmethine ), 4.43 (sb, 24H, OCH Hinner O), 2.5 (sb, 48H, C H2(CH 2)3CH 3), 1.48 (sb, 48H, CH 2CH2(CH 2)2CH 3), 1.41 (sb, 96H, CH 2CH 2(C H2)2CH 3), 0.90 (sb, 72H, C H3).  13 C NMR ((CD 3)2SO/CDCl 3 (2:1) 125 MHz; 25 oC): ¦Ä C  162.95, 151.9, 147.5, 143.2, 141.1, 138.4, 135.3, 133.0, 132.6, 130.5, 128.5, 128.3, 127.2, 126.6, 12 5.6, 121.9, 99.9, 27.2, 31.6, 29.7, 27.4, 22.4, 14.0. MALDICTOF MS: m/z 10834.78 [M+Na]+; calcd for C 696 H624 N48 O72 Na +: 10834.68  Compound 7d : (Procedure C)  A mixture of 15d  (0.44g, 1.06 mmol) and 5 mL SOCl 2 was refluxed for 24h and cooled down to room temperature. The precipitate was collected by filtration and washed with Et 2O and dried in high vacuum. NH 2NH 2?H2O (3 mL ) was added slowly to the solid at 0 ¡æ and the reaction mixture was refluxed for 12h. The resulting mixture  was filtered and the solid was washed with MeOH. The solid was dried to give 0.48g of 7d (93% yield). 1H NMR (d 6CDMSO, 300 MHz; 25 oC): ¦Ä H (ppm): 10.06 (s, 3H, H NH ), 8.83 (d, J = 7.92 Hz, 6H), 8.09 (d , J = 7.77 Hz, 6H), 4.82 (br,  Page S7  6H, H NH2 ). 13 C NMR (d 6CDMSO, 125 MHz; 25 oC): ¦Ä C (ppm): 170.6, 165.0, 137.3, 128.7, 127.5.",comprehensive synthesis
"Compound 14e :  Potassium pyrosulfate (7.8g, 0.3mol) was heated in a crucible with a Bunsen burner until the solid completely melted and the molten material was  fuming. The dish was cooled to room temperature, and the solidified potassium pyrosulfa te was crushed and stored in a dessicator. 4¡¯CMethylacetophenone (3.35g, 0.025mol) in a 250 mL ro undCbottom flask (equipped with a 2 in.",comprehensive synthesis
