content,category
"As summarized in Table 1, when DIPEA was used as a base, thereaction in nitromethane, acetonitrile, acetone, and 1,4-dioxane atroom temperature produced either none or a low yield of product 3(entries 1 -4, Table 1). The use of THF as the reaction media gaveproduct 3in 21% yield (entry 5, Table 1). The reaction wasfacilitated in re ?uxing THF, and the chemical yield of 3wasimproved to 31% (entry 6, Table 1). Other bases such as Et3N,K2CO 3,o rC s 2CO 3instead of DIPEA in re ?uxing THF, however,had a detrimental e ?ect, forming product 3in a diminished yield(entries 7 -9, Table 1). It is interesting to note that the combinationof K 2CO 3as a base with acetone as solvent was bene ?cial for theScheme 1. Synthesis of Parent Molecular Prism 3Table 1. Reaction between Tri( p-hydroxyphenyl)benzene 2and Intermediate 4aentry basebsolvent timec(h) temp ( /C176C) 3d(%)1 DIPEA CH 3NO 2 2t96 rt 02 DIPEA CH 3CN 2 t72 rt 63 DIPEA acetone 2 t72 rt 154 DIPEA 1,4-dioxane 2 t120 rt 25 DIPEA THF 2 t72 rt 216 DIPEA THF 2 t40 re ?ux 317E t 3N THF 2 t72 re ?ux trace8K 2CO 3 THF 2 t34 re ?ux 189C s 2CO 3 THF 2 t32 re ?ux 1510 K 2CO 3 acetone 2 t39 rt 3611eDIPEA THF 5 t40 re ?ux 3512eK2CO 3 acetone 5 t40 rt 38a1(0.25 mmol) and 4(0.25 mmol) were mixed and reacted in solution(1 L).b3.6 equiv of base was used.cMixing time plus further reactiontime.dIsolated yield.e2.5 mmol of the starting material was used.",comprehensive synthesis
"¡¯EXPERIMENTAL SECTIONOne-Pot Synthesis of 3. To an ice-bath cooled solution of cyanuricchloride 2(0.17 g, 0.9 mmol) in THF (60 mL) was added dropwise amixture of 2,4,6-tri( p-hydroxyphenyl)benzene 1(0.21 g, 0.6 mmol) anddiisopropylethylamine (0.28 g, 0.38 mL, 2.16 mmol) in THF (40 mL)during 3 h. After addition, the temper ature was gradually increased to 30 /C176C,and stirring was continued for anoth er 3 days. The reaction mixture wasthen filtered, and solvent was removed through a rotary evaporator. Theresidue was chromatographed on a silica gel column (100 -200) with amixture of petroleum ether and acetone as the mobile phase (3:1) to givepure 3(0.041 g, 13%) as a white solid.",comprehensive synthesis
"Synthesis of Prism Molecule 3 from Reaction between 1and 4. Synthesis of 4.To an ice-bath cooled solution of cyanuricchloride 2(16.59 g, 90 mmol) in THF (150 mL) was added dropwise amixture of 2,4,6-tri( p-hydroxyphenyl)benzene 1(7.09 g, 20 mmol) anddiisopropylethylamine (10.08 g, 13.59 mL, 78 mmol) in THF (100 mL)during 2 h. The reaction mixture was stirred for another 4 h. Afterremoval of diisopropylethylamine hydrochloride salt through filtra-tion, the filtrate was concentrated and chromatographed on a silicagel column (100 -200) with a mixture of petroleum ether and dichloro-methane (4:1) as the mobile phase to give pure 4(13.41 g, 84%) as a whitesolid: mp 243 -244 /C176C;1H NMR (300 MHz, CDCl 3)¦Ä7.81 (s, 3H), 7.78(d,J= 8.7 Hz, 6H), 7.32 (d, J= 8.7 Hz, 6H);13C NMR (75 MHz, CDCl 3)¦Ä173.2, 171.1, 150.8, 141.4, 139.6, 128.8, 125.4, 121.5; IR (KBr) ¦Í1511,1425, 1298, 1198, 1012, 871 cm-1;M S( E I ) m/z795 (48), 797 (100), 799(80), 801 (36), 803 (9). Anal. Calcd for C 33H15Cl6N9O3: C, 49.65; H, 1.89;N, 15.79. Found: C, 49.74; H, 2.17; N, 15.77.Synthesis of Prism Molecule 3.To a stirred suspension of K 2CO 3(finely ground) (1.24 g, 9 mmol) in acetone (500 mL) at roomtemperature were added dropwise solutions of 2,4,6-tri( p-hydroxy-phenyl)benzene 1(0.89 g, 2.5 mmol) in acetone (250 mL) and inter-mediate 4(see the Supporting Information) (2 g, 2.5 mmol) in acetone(250 mL) at the same time and the same rate. After addition of the tworeactants, which took about 5 h, the resulting mixture was stirred at roomtemperature for another 40 h. The mixture was then filtered, and solventwas removed through a rotary evaporator. The residue was chromato-graphed on a silica gel column (100 -200) with a mixture of petroleumether and acetone (1:3) as the mobile phase to give pure 3(1 g, 38%): mp>300 /C176C;1H NMR (300 MHz, DMSO) ¦Ä7.86 (d, J= 8.6 Hz, 12H), 7.68(s, 6H), 7.31 (d, J= 8.6 Hz, 12H);13C NMR (75 MHz, DMSO) ¦Ä172.5,171.7, 150.7, 139.6, 137.2, 127.6, 122.9, 121.5; IR (KBr) ¦Í1553, 1443,1366, 1192, 950, 820 cm-1; MS [MALDI-TOF] m/z1042.4 [M tHt](76), 1044.4 (100), 1046.4 (32). Anal. Calcd for C 57H30Cl3N9O6:C ,65.62; H, 2.90; N, 12.08. Found: C, 65.20; H, 3.22; N, 11.89.",comprehensive synthesis
"General Procedure for the Functionalization of 3 throughIts Aromatic Nucleophilic Substitution Reaction with Amines5a-e.To a solution of 3(0.21 g, 0.2 mmol) in THF (20 mL) at roomtemperature were added K 2CO 3(finely ground) (0.1 g, 0.72 mmol) andamines 5a-e(1.2 mmol) with constant stirring. Stirring was continued for afurther 30 min. The mixture was then filtered, and solvent wasremoved through a rotary evaporator. The residue was chromatographedon a silica gel column (100 -200) with a mixture of solvents (see theSupporting Information) as the mobile phase to give pure products 6a-e.",comprehensive synthesis
"General Procedure for the Synthesis 8. To a solution 7a-d(see the Supporting Information) (9 mmol) in THF (30 mL) was addeddropwise a mixture of 2,4,6-tri( p-hydroxyphenyl)benzene 1(0.709 g,2 mmol) and diisopropylethylamine (1 g, 1.36 mL, 7.8 mmol) in THF(20 mL) during 1 h at room temperature. The reaction mixture wasstirred for another 6 h at 45 /C176C. After removal of diisopropylethylaminehydrochloride salt through filtration, the filtrate was concentrated andchromatographed on a silica gel column (100 -200) with a mixture ofsolvents (see Table S8, Supporting Information) as the mobile phase togive pure 8a-d.",comprehensive synthesis
"General Procedure for the Synthesis of FunctionalizedPrism Molecules 9. To a stirred suspension of K 2CO 3(finely ground)(0.62 g, 4.5 mmol) in acetone (250 mL) under reflux were added dropwisesolutions of 2,4,6-tri( p-hydroxyphenyl)benzene 1(0.45 g, 1.25 mmol)in acetone (125 mL) and intermediate 8a-d(1.25 mmol) in acetone(125 mL) at the same time and the same rate. After addition of tworeactants, which took about 2.5 h, th e resulting mixture was refluxedfor another 30 h. The mixture was then filtered and solvent wasremoved through a rotary evapora tor. The residue was chromato-g r a p h e do nas i l i c ag e lc o l u m n( 1 0 0 -200) with a mixture of solvents(see Table S8, Supporting Information) as the mobile phase to givepure product 9a-d.",comprehensive synthesis
"Synthesis of 12. To a solution of 7b(15 g, 67.5 mmol) in THF(150 mL) was added dropwise a mixture of 2,4,6-tri( p-aminophenyl)-triazine 1018(5.32 g, 15 mmol) and diisoprop ylethylamine (7.56 g, 9.67 mL,58.5 mmol) in THF (100 mL) during 2 h at 50 /C176C. The reactionmixture was stirred for another 5 h. After removal of diisopropylethy-lamine hydrochloride salt through filtration, the filtrate was concen-trated and chromatographed on a silica gel column (100 -200) with amixture of petroleum ether and THF (2:1) as the mobile phase to givepure 12(8.34 g, 61%) as a white solid: mp 198 -199 /C176C;1HN M R( 3 0 0MHz, THF) ¦Ä1 0 . 8 2( s ,1 H ) ,9 . 9 4( b r ,s ,2 H ) ,8 . 7 8( d , J= 8.4 Hz, 6H),7.97 (d, J= 8.4 Hz, 6H), 4.47 (t, 6H), 1.91 -1.76 (m, 6H), 1.65 -1.39(m, 6H), 1.01 (t, J=7 . 3H z ,9 H ) ;13C NMR (75 MHz, THF) ¦Ä172.2,171.5, 171.2, 166.4, 143.4, 132.1, 130.4, 120.3, 69.2, 31.7, 20.1, 14.2 IR(KBr) ¦Í3399, 2960, 1559, 1506, 1362, 811, cm-1;M S[ M A L D I - T O F ]m/z910.6 [M tHt] (68), 912.6 (100), 914.6 (34). Anal. Calcd forC42H42Cl3N15O33H2O: C, 54.29; H, 4.77; N, 22.61. Found: C, 54.61;H, 4.76; N, 22.50.",comprehensive synthesis
"Synthesis of 13. 2,4,6-Tri( p-hydroxyphenyl)benzene 1(0.35 g,1 mmol), intermediate 12(0.91 g, 1 mmol) and K 2CO 3(finely ground)(0.49 g, 3.6 mmol) were added in flask containing 400 mL of 1,4-dioxaneand reaction mixture was refluxed for 23 h. The mixture was then filtered,and solvent was removed through a rotary evaporator. The residue waschromatographed on a silica gel column (100 -200) with chloroformand methanol (100: 1) as the mobile phase to give pure 13(0.42 g, 36%)as a white solid: mp >300 /C176C;1H NMR (300 MHz, DMSO) ¦Ä10.23 (s,3H), 8.03 (d, J= 8.4 Hz, 6H), 7.83 (d, J= 8.5 Hz, 6H), 7.74 (s, 3H), 7.32(d,J= 8.4 Hz, 6H), 7.26 (d, J= 8.5 Hz, 6H), 4.39 (t, J= 6.5 Hz, 6H),1.86 -1.62 (m, 6H), 1.58 -1.34 (m, 6H), 0.97 (t, J= 7.3 Hz, 9H);13CNMR (75 MHz, DMSO) ¦Ä172.5, 171.8, 171.7, 166.6, 151.5, 141.2,140.0, 136.5, 132.3, 128.6, 127.5, 124.9, 122.8, 122.5, 66.9, 30.3, 18.6,13.7; IR (KBr) ¦Í3393, 2958, 1573, 1508, 1362, 1203, 814 cm-1;M S[MALDI-TOF] m/z1156.6 [M tHt] (100), 1157.6 (71), 1158.6 (12)1178.5 [M tNat]. Anal. Calcd for C 66H57N15O632H2O: C, 66.49; H,5.16; N, 17.62. Found: C, 66.46; H, 4.96; N, 17.67.",comprehensive synthesis
"Synthesis of 15. To a stirred suspension of K 2CO 3(finely ground)(1 g, 7.2 mmol) in 1,4-dioxane (300 mL) at 50 /C176C were added dropwisesolutions of 2,4,6-tri( p-hydroxyphenyl)benzene 1(0.71 g, 2 mmol)1812 dx.doi.org/10.1021/jo102483x | J. Org. Chem. 2011, 76, 1804¨C1813The Journal of Organic ChemistryARTICLEin 1,4-dioxane (250 mL) and intermediate 14(see the SupportingInformation) (1.93 g, 2 mmol) in 1,4-dioxane (250 mL) at the sametime and the same rate. After addition of the two reactants, whichtook about 3 h, the resulting mixture was stirred further for another23 h. The mixture was then filtered, and solvent was removed througha rotary evaporator. The residue was chromatographed on a silica gelcolumn (100 -200) with chloroform and methanol (100: 0.1) as themobile phase to give pure 15(0.99 g, 41%) as a white solid: mp>300 /C176C;1H NMR (300 MHz, CDCl 3)¦Ä8.53 (d, J= 8.4 Hz, 6H),7.46 (s, 3H), 7.38 (d, J= 8.5 Hz, 6H), 7.11 (d, J= 8.4 Hz, 6H), 6.92 (d,J= 8.5 Hz, 6H), 3.98 (t, J= 7.4 Hz, 6H), 1.72 -1.53 (m, 6H), 1.47 -1.30 (m, 6H), 0.93 (t, J= 7.3 Hz, 9H);13C NMR (75 MHz, CDCl 3)¦Ä172.0, 170.6, 170.5, 166.2, 151.5, 145.4, 140.6, 137.4, 134.9, 129.7,128.0, 127.0, 123.3, 122.3, 49.1, 29.9, 19.8, 13.7; IR (KBr) ¦Í2929,1566, 1508, 1383, 1196, 804 cm-1;M S[ M A L D I - T O F ] m/z1210.5[MtHt] (65), 1212.5 (100), 1214.5 (34). Anal. Calcd for C 66H55Cl3N15O3[MtH]t1210.3672, found 1210.3690 [M tH]t.",comprehensive synthesis
"General Procedure for the Functionalization of 15 throughIts Aromatic Nucleophilic Substitution. To a solution of 15(0.24 g,0.2 mmol) in THF (20 mL) at 45 /C176Cw e r ea d d e dK 2CO 3(finely ground)(0.1 g, 0.72 mmol) and amine 5dor5e(1.2 mmol) with constant stirring.",comprehensive synthesis
"Stirring was continued for a further 10 h. The mixture was then filtered, andsolvent was removed through a rota ry evaporator. The residue waschromatographed on a silica gel column (100 -200) with a mixture ofsolvents (see the Supporting Information) as the mobile phase to givepure product 16aor16b.",comprehensive synthesis
"General Procedure for the Synthesis of 17. To a mixture of12(1.82 g, 2 mmol) and K 2CO 3(finely ground) (1.66 g, 12 mmol) inacetone (100 mL) at 80 /C176C was added methyl iodide or allyl bromide(18 mmol) dropwise with constant stirring. The reaction mixture wasstirred for another 8 hand then filtered, and solvent was removed through arotary evaporator. The residue was ch romatographed on a silica gel column(100-200) with a mixture of petroleum ether and chloroform (see TableS8, Supporting Information) as the mobile phase to give pure 17.",comprehensive synthesis
" Synthet ic procedures and char acterization data:  Synthesis of 11 OCH3O CH3SiCl4Ethanol83%OCH3OCH3 H3COHBr92%OHOH HOCH3COOH1 1 was prepared according to a literature method1: SiCl 4 (50.97 g, 34.4 mL, 300 mmol) was added slowly by syringe to a stirred solution of p -methoxyacetophenone (15 g, 100 mmol) in dry ethanol (100 mL) at room temperature. The mixture was stirred for 6 hours and then further refluxed for 2 hours. The reaction mixture was then cooled to room temperature and poured into 200 mL water, extracted with CH 2Cl2 (150 mL x 3), Dried (MgSO4), filtered and concentrated on a rotary evaporator. Crystallization from ethanol gave 2,4,6 -tris(p-methoxyphenyl)benzene (11 g, 83%) as light yellow solid: mp 143 -144 oC; 1H NMR (300 MHz, CDCl 3) ¦Ä 7.65 (s, 3H), 7.62 (d, J = 8.7, 6H), 7.01 (d, J = 8.7, 6H), 3.87 (s, 9H);  13C NMR (75 MHz, CDCl 3) ¦Ä 159.3, 141.8, 133.8, 128.3, 123.8, 114.2, 55.3;  IR (KBr) ? 1604, 1510, 1246, 1179, 1032, 825 cm-1.",comprehensive synthesis
