content,category
"Heteracalixaromatics, or heteroatom-bridged calixaro-matics, are a new type of macrocyclic host molecule.[7]In[a] Beijing National Laboratory for Molecular Sciences, CAS KeyLaboratory of Molecular Recognition and Function, Instituteof Chemistry, Chinese Academy of Sciences,Beijing 100190, China[b] The Key Laboratory of Bioorganic Phosphorus Chemistry &Chemical Biology (Ministry of Education), Department ofChemistry, Tsinghua University,Beijing 100084, ChinaE-mail: wangmx@mail.tsinghua.edu.cnSupporting information for this article is available on theWWW under http://dx.doi.org/10.1002/ejoc.201402963.",affiliation
"Experimental SectionCompound 2: A mixture of benzene-1,3-diamine (3.24 g, 30 mmol)andp-toluenesulfonyl chloride (TsCl; 12.58 g, 66 mmol) in pyridine(25 mL) was heated with constant stirring at 120 ～C for 2 h. Afterthe mixture cooled to room temperature, hydrochloric acid (0.1 n)was added to precipitate the product. The solid product was col-lected by filtration, washed thoroughly with water, and dried. Fur-ther purification by silica gel column chromatography with a mix-ture of petroleum ether and acetone (4:1) as the mobile phase gavepure 2(12.12 g, 97%) as a white solid. M.p. 161每162 ～C (lit.",comprehensive synthesis
"General Procedure for the Synthesis of 3: To a solution of 2(11.24 g,27 mmol) in a mixture of acetone (200 mL) and water (100 mL)was added NaOH (4.32 g, 108 mmol) with constant stirring atroom temperature. The temperature of the resulting mixture wasgradually increased to 80 ～C, and alkyl bromide (162 mmol) wasthen added dropwise. After stirring at 80 ～C for another 10 h, thereaction mixture was cooled to room temperature and extractedwith ethyl acetate (3 /H11003150 mL). The combined organic layer wasdried with anhydrous MgSO4, filtered, and concentrated. The resi-due was purified by silica gel (100每200) column chromatographywith a mixture of petroleum ether and chloroform (7:1) as the mo-bile phase to afford pure 3as a white solid.",comprehensive synthesis
"10990690, 2014, 35, Downloaded from https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/ejoc.201402963 by Zhejiang University, Wiley Online Library on [22/01/2024]. See the Terms and Conditions (https://onlinelibrary.wiley.com/terms-and-conditions) on Wiley Online Library for rules of use; OA articles are governed by the applicable Creative Commons LicenseM. M. Naseer, D.-X. Wang, L. Zhao, M.-X. Wang FULL PAPERGeneral Procedure for the Synthesis of 4: A mixture of 3(20 mmol)in concentrated H 2SO4(15 mL) was heated to 80 ～C for 4 h. Aftercooling to room temperature, the reaction mixture was basifiedwith NaOH (0.1 n) and then extracted with ethyl acetate(5/H1100350 mL). The combined organic layer was dried with anhydrousMgSO4, filtered, and concentrated under vacuum to give the crudeproduct. Further purification by silica gel column chromatographywith a mixture of petroleum ether and acetone (2:1) as the mobilephase yielded pure 4as a light yellow solid.",comprehensive synthesis
"General Procedure for the Synthesis of 5: To an ice-bath-cooledsolution of cyanuric chloride (8.41 g, 45.6 mmol) in THF (100 mL)was added dropwise a mixture of 4(19 mmol) and diisopropylethyl-amine (DIPEA; 5.40 g, 6.91 mL, 41.8 mmol) in THF (75 mL) over2 h. The reaction mixture was stirred for another 5 h. After removalof the diisopropylethylamine hydrochloride salt by filtration, thefiltrate was concentrated and purified by silica gel columnchromatography with a mixture of petroleum ether and chloroform(5:1) as the mobile phase to give pure 5as a white solid.",comprehensive synthesis
"Giant Molecular Cage 7 from the One-pot Reaction of 5a with 6: Toa stirred suspension of Na 2CO 3(0.064 g, 0.6 mmol) and 5a(0.16 g,0.3 mmol) in acetone (25 mL) under reflux was added dropwise asolution of 6(0.071 g, 0.2 mmol) in acetone (25 mL) over 2 h. Theresulting mixture was heated to reflux for another 17 h. The mix-ture was then filtered, and the solvent was removed with a rotaryevaporator. The residue was purified by silica gel columnwww.eurjoc.org ? 2014 Wiley-VCH Verlag GmbH & Co. KGaA, Weinheim Eur. J. Org. Chem. 2014, 7895每7905 7902chromatography with a mixture of petroleum ether and acetone(3:1) as the mobile phase to give pure product 7(0.038 g, 19%) asa white solid. M.p. 242每243 ～C. IR (KBr): 糸?= 1563, 1501, 1380,1296, 1200 cm每1.1H NMR (300 MHz, C 2D2Cl4):汛= 7.75每7.41 (m,21 H), 7.21 (d, J= 8.1 Hz, 12 H), 7.12 (m, 9 H), 3.81 (br s, 12 H),1.50 (br s, 12 H), 1.13 (br s, 12 H), 0.75 (br s, 18 H) ppm.13CNMR (75 MHz, C 2D2Cl4):汛= 171.4, 170.3, 166.3, 151.7, 142.3,141.1, 137.8, 129.7, 127.2, 124.2, 121.7, 50.54, 29.23, 19.4, 13.0ppm. MS [MALDI-TOF]: m/z(%) = 2057.9 (4) [M + Na]+, 2059.9(72), 2061.9 (100), 2063.9 (51), 2065.9 (3). C 108H96Cl6N24O6﹞H2O:calcd. C 63.07, H 4.80, N 16.34; found C 63.02, H 4.81,N 16.08. HRMS: calcd. for C108H96Cl6N24O6Na2057.5968; found2057.5959.",comprehensive synthesis
"Intermediate 8 from the Reaction of 5a with 6: To a stirred suspen-sion of finely ground K 2CO 3(1.24 g, 9 mmol) and 5a(5.16 g,10 mmol) in CH 3CN (500 mL) under reflux was added dropwise asolution of 6(0.71 g, 2 mmol) in CH 3CN (250 mL) over 5 h. Thereaction mixture was heated to reflux for another 9 h. The mixturewas then filtered, and the solvent was removed with a rotary evapo-rator. The residue was purified by silica gel column chromatog-raphy (100每200) with a mixture of petroleum ether and dichloro-methane (3:1) as the mobile phase to give pure 8(1.83 g, 51%) asa white solid. M.p. 126每127 ～C. IR (KBr): 糸?= 1553, 1377, 1234,842 cm每1.1H NMR (300 MHz, C 2D2Cl4):汛= 7.79 (s, 3 H), 7.73(d,J= 8.5 Hz, 6 H), 7.51 (t, J= 8.0 Hz, 3 H), 7.34 (d, J= 8.5 Hz,6 H), 7.28每7.07 (m, 9 H), 4.10每3.90 (m, 12 H), 1.76每1.59 (m, 12 H),1.49每1.27 (m, 12 H), 1.04每0.84 (m, 18 H) ppm.",comprehensive synthesis
"Giant Molecular Cage 7 from the Reaction of 8 with 6: To a stirredsuspension of finely ground K 2CO 3(0.62 g, 4.5 mmol) and inter-mediate 8(1.79 g, 1 mmol) in acetone (175 mL) under reflux wasadded dropwise a solution of 6(0.35 g, 1 mmol) in acetone(250 mL) over 2 h, and the resulting mixture was heated to refluxedfor another 8 h. The mixture was then filtered, and solvent wasremoved with a rotary evaporator. The residue was purified by sil-ica gel column chromatograph with a mixture of petroleum etherand acetone (3:1) as the mobile phase to give pure product 7(1.10 g, 54%) as a white solid.",comprehensive synthesis
"Giant Molecular Cage 11 from the One-pot Reaction of 5b with 10:To a stirred solution of DIPEA (0.077 g, 0.1 mL, 0.6 mmol) and 10990690, 2014, 35, Downloaded from https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/ejoc.201402963 by Zhejiang University, Wiley Online Library on [22/01/2024]. See the Terms and Conditions (https://onlinelibrary.wiley.com/terms-and-conditions) on Wiley Online Library for rules of use; OA articles are governed by the applicable Creative Commons LicenseMultiple Exterior Surface Functionalization of Giant Molecular Cages5b(0.17 g, 0.3 mmol) in CH 3CN (33 mL) under reflux was addeda solution of 10(0.071 g, 0.2 mmol) in THF (17 mL). The resultingmixture was heated to reflux for 74 h. The mixture was then fil-tered, and the solvent was removed with a rotary evaporator. Theresidue was purified by silica gel column chromatography with amixture of methanol and chloroform (1:100) as the mobile phaseto give pure product 11(0.033 g, 15%) as a white solid. M.p. 253每254 ～C. IR (KBr): 糸?= 3415, 1572, 1477, 1365, 1242, 1181 cm每1.1HNMR (300 MHz, CDCl 3):汛= 8.36 (d, J= 7.4 Hz, 12 H), 7.75 (t,J= 7.9 Hz, 3 H), 7.44 (d, J= 8.0 Hz, 12 H), 7.33每6.90 (m, 15 H),4.07 (br s, 12 H), 1.77 (br s, 12 H), 1.36每1.29 (m, 36 H), 0.96每0.88(m, 18 H) ppm.",comprehensive synthesis
"Compound 12: To a stirred solution of 10(0.071 g, 0.2 mmol) and5b(0.57 g, 1 mmol) in CH 3CN (75 mL) under reflux was addeddropwise DIPEA (0.17 g, 0.23 mL, 1.3 mmol). The resulting mix-ture was heated to reflux for another 20 h. The mixture was thenfiltered, and the solvent was removed with a rotary evaporator. Theresidue was purified by silica gel column chromatography with amixture of petroleum ether and acetone (4:1) as the mobile phaseto give pure product 12(0.15 g, 37%) as a white solid. M.p. 114每115 ～C. IR (KBr): 糸?= 3415, 1551, 1478, 1365, 1236 cm每1.1H NMR(300 MHz, C 2D2Cl4):汛= 8.65 (d, J= 8.2 Hz, 6 H), 7.69每7.60 (m,8 H), 7.37 (d, J= 7.7 Hz, 3 H), 7.31每7.22 (m, 7 H), 4.14每4.05 (m,12 H), 1.99每1.61 (m, 12 H), 1.65每1.12 (m, 36 H), 1.07每0.39 (m, 18H) ppm.",comprehensive synthesis
"Giant Molecular Cage 13: To a stirred suspension of finely groundK2CO 3(0.31 g, 2.25 mmol) and intermediate 12(0.98 g, 0.5 mmol)in acetone (875 mL) under reflux was added dropwise a solution of6(0.18 g, 0.5 mmol) in acetone (125 mL) over 2 h, and the resultingmixture was heated to reflux for another 8 h. The mixture was thenfiltered, and the solvent was removed with a rotary evaporator. Theresidue was purified by silica gel column chromatography with amixture of methanol and chloroform (1:200) as the mobile phaseto give pure product 13(0.46 g, 42%) as a white solid. M.p.",comprehensive synthesis
"General Procedure for the Synthesis of 15: To a solution of 7(0.41 g,0.2 mmol) in THF (50 mL) at 45 ～C was added finely groundK2CO 3(0.3 g, 2.16 mmol) and amine 14a每14c(2.4 mmol) with con-stant stirring. The reaction mixture was kept stirring for 20 h. AfterEur. J. Org. Chem. 2014, 7895每7905 ? 2014 Wiley-VCH Verlag GmbH & Co. KGaA, Weinheim www.eurjoc.org 7903cooling to room temperature, the mixture was filtered, and the sol-vent was removed. The residue was purified by silica gel columnchromatography with an appropriate mobile phase to give pureproduct 15a每15cas white solid.",comprehensive synthesis
"Compound 16: To a suspension of finely ground K 2CO 3(0.17 g,1.2 mmol) and 11(0.22 g, 0.1 mmol) in acetone (100 mL) wasadded allyl bromide (0.22 g, 0.16 mL, 1.8 mmol) under reflux withconstant stirring. The mixture was heated to reflux for another24 h. After cooling to room temperature, the mixture was filtered,and the solvent was removed with a rotary evaporator. The residuewas purified by silica gel column chromatography with a mixtureof petroleum ether and acetone (5:1) as the mobile phase to givepure product 16(0.225 g, 92%) as a white solid. M.p. 197每198 ～C.",comprehensive synthesis
"Compound 17 from the Reaction of 13 with Allyl Bromide: To asuspension of finely ground K2CO 3(0.83 g, 0.6 mmol) and 13(0.22 g, 0.1 mmol) in acetone (100 mL) under reflux was added allylbromide (0.11 g, 0.8 mL, 0.9 mmol) with constant stirring. The re-action mixture was heated to reflux for another 18 h. After coolingto room temperature, the mixture was filtered, and the solvent wasremoved. The residue was purified by silica gel column chromato-graph with a mixture of petroleum ether and acetone (5:1) as themobile phase to give pure product 17(0.193 g, 83%) as a whitesolid. M.p. 190每191 ～C. IR (KBr): 糸?= 2929, 1557, 1498, 1375,1200 cm每1.1H NMR (300 MHz, CD 2Cl2):汛= 8.63 (d, J= 5.3 Hz,6 H), 7.58每7.44 (m, 18 H), 7.33每6.93 (m, 15 H), 6.29每5.73 (m, 3H), 5.42每5.07 (m, 6 H), 4.68 (d, J= 4.8 Hz, 6 H), 3.88每3.72 (m, 12H), 1.76每1.02 (m, 48 H), 0.85每0.72 (m, 18 H) ppm.",comprehensive synthesis
"Intermediate 18: To a suspension of finely ground K 2CO 3(0.83 g,0.6 mmol) and 12(0.20 g, 0.1 mmol) in acetone (100 mL) underreflux was added allyl bromide (0.11 g, 0.8 mL, 0.9 mmol) withconstant stirring. The resulting mixture was heated to reflux foranother 18 h. After cooling to room temperature, the mixture wasfiltered, and solvent was removed under vacuum. The residue waspurified by silica gel column chromatography with a mixture ofpetroleum ether and acetone (6:1) as the mobile phase to give purecompound 18(0.187 g, 90%) as a white solid. M.p. 79每80 ～C. IR(KBr): 糸?= 2929, 1551, 1498, 1235, 1177 cm每1.1H NMR (300 MHz,CDCl 3):汛= 8.77 (d, J= 7.0 Hz, 6 H), 7.54每7.45 (m, 9 H), 7.27 (d,J= 7.6 Hz, 3 H), 7.15每13 (m, 6 H), 6.04每5.96 (m, 3 H), 5.21 (d, J= 13.0 Hz, 6 H), 4.63 (s, 6 H), 4.04每3.95 (m, 12 H), 1.70每1.69 (m,12 H), 1.36每1.32 (m, 36 H), 1.04每0.78 (m, 18 H) ppm.",comprehensive synthesis
"Compound 17 from the Reaction of 18 with 6: To a suspension offinely ground K 2CO 3(0.063 g, 0.45 mmol) and intermediate 18(0.21 g, 0.1 mmol) in acetone (175 mL) under reflux was addeddropwise a solution of 6(0.035 g, 0.1 mmol) in acetone (25 mL)over 2 h. The resulting mixture was heated to reflux for another8 h. The mixture was then filtered, and solvent was removed witha rotary evaporator. The residue was purified by silica gel columnchromatography with a mixture of petroleum ether and acetone(5:1) as the mobile phase to give pure product 17(0.13 g, 55%).",comprehensive synthesis
"Scheme S1 Synthesis of 4             T a b l e  S - 1  One Pot Synthesis of Cage 11 e n t r y    s o l v e n t     b a s e   T i m e  T e m p       1 1  ( % )      1 THF K 2CO 3 60 h reflux No Reaction 2 1,4-dioxane K 2CO 3 78 h reflux 1 3 Acetone K 2CO 3 50 h reflux 2 4 CH 3CN K 2CO 3 48 h reflux 4 5 CH 3CN Cs 2CO 3 42 h reflux 5 6 CH 3CN Na 2CO 3 55 h reflux 1 7 CH 3CN DIPEA 70 h reflux 12 8 CH 3CN Et 3N 66 h reflux 1 9a DMF DIPEA 12 h 50oC 2 10a DMSO DIPEA 12 h 50oC 0.5 11 CH 3CN/THF(2:1) DIPEA 74 h reflux 15 12b CH 3CN/THF(2:1) DIPEA 67 h reflux 6 10 (0.2mmol), 5b (0.3mmol) and base (0.6mmol) were mixed in 50 mL of Solvent, a5mL of solvent was taken. b0.8 mmol of base was used.",comprehensive synthesis
"FULL PAPERDOI: 10.1002/ejoc.201402963Construction and Multiple Exterior Surface Functionalization of GiantMolecular CagesMuhammad Moazzam Naseer,[a]De-Xian Wang,[a]Liang Zhao,[b]and Mei-Xiang Wang*[b]Keywords: Heteracalixaromatics / Cage compounds / Macrocycles / Nucleophilic substitution / Fragment-coupling ap-proachBy a one-pot reaction strategy and a stepwise fragment-cou-pling approach, three types of giant cage molecules with atriangular prism shape and an approximate cavity volume of930 ?3were synthesized. Through efficient aromatic nucleo-philic substitution reactions of chlorotriazine with function-alized amines or aliphatic substitution reactions of the link-ing imino moieties with allyl bromide, the giant cages weresuccessfully functionalized on the surface with multiple hy-droxy, 2-pyridyl, or allyl groups. As evidenced by variable-IntroductionGiant cage molecules of varied topologies are useful hostmolecules for the selective recognition of large-volumeguest species of different shapes.",this paper's author
"10990690, 2014, 35, Downloaded from https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/ejoc.201402963 by Zhejiang University, Wiley Online Library on [22/01/2024]. See the Terms and Conditions (https://onlinelibrary.wiley.com/terms-and-conditions) on Wiley Online Library for rules of use; OA articles are governed by the applicable Creative Commons LicenseM. M. Naseer, D.-X. Wang, L. Zhao, M.-X. Wang FULL PAPERCompound 9was generated by the macrocyclic condensa-tion reaction between the 1,3-(4-hydroxyphenyl)benzenemoiety of 6and the linear trimer 5a.",this paper's author
"Eur. J. Org. Chem.  2014  ﹞ ? WILEY -VCH Verlag GmbH & Co. KGaA, 69451 Weinheim, 2014 ﹞ ISSN 1 099每0690   SUPPORTING INFORMATION    DOI:  10.1002/ejoc.201 402963 Title:  Construction and Multiple Exterior Surface Functionalization of Giant Molecular Cages  Author(s):  Muhammad  Moazzam Naseer,  De-Xian Wang,  Liang Zhao,  Mei-Xiang Wang*",this paper's author
"1 Supporting Information   Construction and Multiple Exterior Surface Functionalization of Giant Molecular Cages Muhammad Moazzam Naseer,? De-Xian Wang,? Liang Zhao,? Mei-Xiang Wang*,? ?The Key Laboratory of Bioorganic Phosphorus Chemistry & Chemical Biology (Ministry of Education), Department of Chemistry, Tsinghua University, Beijing 100084, China, and ?Beijing National Laboratory for Molecular Sciences, CAS Key Laboratory of Molecular Recognition and Function, Institute of Chemistry, Chinese Academy of Sciences, Beijing 100190, China wangmx@mail.tsinghua.edu.cn ,   Table of Contents  1 .  G e n e r a l  i n f o r m a t i o n                                                                S 2  2. Copies of 1H and 13C NMR Spectra                                                    S3 3 .  C o p i e s  o f  M A L D I - T O F  m a s s  s p e c t r a                                                  S 7 7              2 1. General information Chemical shifts are reported in ppm versus tetramethylsilane with either tetramethylsilane or the residual solvent resonance used as an internal standard. Melting points are uncorrected. Solvents were dried according to standard procedures prior to use. All other major chemicals were obtained from commercial sources and used without further purification.",this paper's author
