content,category
"[19] CCDC 1858590, 1858591, 1858592, 1858593, 1858594, 1858595,1858596, 1858597, 1858598 (13,13,11,5a,8a,9,8b,17,8c)contain thesupplementar ycrystallograph icdata forthispaper .",CCDC
"Elemental analysis was performed by the Microanalytical Laboratory of the University of Heidelberg using an Elementar Vario EL machine. Crystal structure analysis was accomplished on a STOE Stadivari diffractometer with a copper source (Cu K汐 = 1.54178  ?) or a Bruker APEX II Quazar diffractometer with a molybdenum source (Mo K汐 = 0.71073  ?). All crystallographic information files (1858590  (13), 1858591  (13), 1858592  (11), 1858593  (5a), 1858594  (8a), 1858595  (9), 1858596  (8b), 1858597  (17) and 1858598  (8c)) have been deposited in the Cambridge Crystallographic Data Centre and can be downloaded free of charge via www.ccdc.camac.uk/data_request/cif .",CCDC
CCDC -number  : 1858593  Table S 2: Crystal data and structure refinement for  5a.,CCDC
CCDC -number  : 1858594  Table S3: Crystal data and structure refinement for  8a.,CCDC
CCDC -number  : 1858596  Table S 4: Crystal data and structure refinement for 8b.,CCDC
CCDC -number  : 1858598  Table S 5: Crystal data and structure refinement for 8c.,CCDC
CCDC -number  : 1858595  Table S 6:Crystal data and structure refinement for  9.,CCDC
CCDC -number  : 1858592  Table S 7: Crystal data and structure refinement for 11.,CCDC
CCDC -number  : 1858590  Table S 8: Crystal data and structure refinement for 13.,CCDC
CCDC -number  : 1858591  Table S 9: Crystal data and structure refinement for 13.,CCDC
CCDC -number  : 1858597  Table S 10: Crystal data and structure refinement for 17.,CCDC
"S4 Synthesis of [2+3] Imine Cage C ompound 5a   To a solution of i sophthalaldehyde 4a (969 mg, 7.23  mmol) in methanol ( 267 mL), a solution  of triamine 3 (1.20  g, 4.82  mmol ) in methanol (266  mL) was added dropwise within 1 hour and stirred 2 days at room temperature. T he precipit ate was collected by filtration,  washed with methanol (50  mL) and dried in vacuum  (7 mbar, 40 ～C) to give cage 5a as a colo urless solid (1.59  g, 83%, Lit.: 90%). Single -crystals could be obtained by slow evaporation of chloroform.",comprehensive synthesis
"Mp > 300～C, 1H NMR  (300 MHz, CDCl 3): ?? (ppm) = 8.14 (d, J = 7.8 Hz, 6H,  Ar＊-4/6-H), 7.78 (s, 6H, C H=N), 7.50 (t, J = 7.80 Hz, 3H, Ar＊-5-H), 7.03 (s, 3H, Ar＊-2-H), 5.09 (s, 12H, Ar-CH2), 2.30 (q, J = 7.5 Hz, Ar-CH2CH 3), 1.23 (t, J = 7.3 Hz, Ar-CH 2CH3). The analytical  data are in accordance with those from literature.[S3] Synthesis of [2+3] Imine Cage Compound 5b  To a solution of pyridin -2,6-dicarbaldehyde 4b (1.70  g, 12.6  mmol) in methanol (450  mL) a solution of triamine 3 (2.03  g, 8.39  mmol) in methanol (450  mL) was added dropwise within 1 hour and the reaction mixture was stirred 12 hours  at room temperature . The precipit ate was collected by filtration, washed with methanol (100  mL) and dried at room temperature overnight to give cage 5b as colo urless solid (2.39  g, 75%). Mp = 281～C (dec.). 1H NMR  (300 MHz, CDCl 3): ?? (ppm) = 8.15 (d, J = 8.6 Hz, 6H, H3, Py-H-3/5), 7.94 (s, 6H, C H=N), 7.76 (t, J = 7.8  Hz, 3H,  Py-H-4), 5.14 (s, 12H, Ar-CH2), 2.30 (q, J = 8.1 Hz, 12H , Ar-CH2CH 3), 1.25 (t, J = 8.1 Hz, 12H, Ar-CH 2CH3). The analytical data are  in accordance with those from literature.[S4]  S5 Synthesis of [2+3] Imine Cage Compound 5c  To a solution of 5 -(tert-Butyl) -2-methoxyisophthalaldehyde 4c (708 mg, 2.89  mmol) in methanol (200  mL) a solution of triamine 3 (481 mg, 1.93  mmol) in methanol (200  mL) was added dropwise withi n 2 hours and the reaction mixture stirred for 12 hours at room temperature. The solvent was removed under r educed pressure (10  mbar, 50～C) . To the remaining yellow residue n-pentane (50  mL) was added and the solid was  removed by filtration .",comprehensive synthesis
"After removal of the solvent under reduced pressure (6  mbar, 50～C)  compound 5c was obtained as a colorless  solid (397  mg, 39%). Mp = 294～C (dec.). 1H NMR  (500 MHz, CDCl 3): ?? (ppm) = 8.17 (s, 6H, HC=N), 8.05 (s, 6H, Ar＊-3/5-H), 5.11 (s, 12H, Ar-CH2), 3.0 3 (s, 9H, OC H3), 2.36 (q, J=7.5 Hz, 12 H, Ar-CH2CH 3), 1.36 (s, 27H, tButyl), 1.26 (t, J=7.6 Hz, 18H, Ar-CH 2CH3).",comprehensive synthesis
"13C NMR  (150 MHz, CDCl 3) 汛 (ppm) = 158.7  (Ar＊C-1), 154.9 ( HC=N), 147. 4 (Ar＊C-4), 144.5  (ArC-1/3/5 ), 132.1  (Ar＊C-2/6), 128 .9 (ArC-2/4/6 ), 126.4 (Ar＊C-3/5), 64.4  (OCH3), 55. 2 (Ar-CH2), 35.0 ( C(CH 3)3), 31. 4 (C(CH3)3), 23.8 ( Ar-CH2CH 3), 16.0 (Ar-CH 2CH3). FT-IR (ATR): ??? (cm-1) = 2962 (m), 2872 (m), 1678 (w), 1638 (m), 1476 (m), 1463 (m), 1428 (m), 1394 (m), 1364 (m), 1312 (m), 1246 (m), 1214 (m), 1104 (m), 1044 (w), 1004  (m), 977 (m), 937 (w), 895 (m), 813 (m), 753 (s), 665 (m), 643 (m), 594 (m), 555 (m), 519 (m), 508 (m). HRMS -MALDI -TOF  MS (DCTB) : m/z [M+H]+ calcd. for C69H91N6O3, 1051.7147; found, 1051.5563  (忖m/z = 150 ppm).",comprehensive synthesis
"S6 Synthesis of Amine  Cage C ompound 6a   To a cooled (0～C) solution of i mine cage 5a (3.50  g, 4.42  mmol)  in methanol (500  mL) sodium borohydride  (10.1  g, 226  mmol) was added in portions  and the reaction was allowed to reach room temperature.  After stirring the reaction mixture 12 hours at room temperature the solvent was removed und er reduced pressure (7  mbar, 50 ～C). A saturated solution of sodium hydro gencarbonate (500  mL) was added  and extracted with dichloromethane  (3 ℅ 100 mL).",comprehensive synthesis
"The combin ed organic layer was dried over magnesium sulfate and solvent removed in vacuum (10 mbar, 50～C) to give amine cage 6a as a yellow solid  (3.34 g, 93%). Mp = 141每142～C. 1H NMR  (300 MHz, CDCl 3): ?? (ppm) = 7.33 (s, 3H, Ar＊ -2-H), 7.21 (m, 3H,  Ar＊-5-H), 7.07 (d, J = 7.6 Hz, 6H, Ar＊-4/6-H) 3.96 (s, 12H, Ar-CH2), 3.83 (s, 12H, Ar-CH2NH), 2.77 (q, J = 7.6 Hz, 12H, Ar-CH2CH 3), 1.25 (t, J = 7.5 Hz, 12H, Ar-CH 2CH3). The analytical  data are  in accordance with those from literature.[S3] Synthesis of Amine Cage  Compound 6b   To a suspension of imine cage 5b (460 mg, 580  米mol) in methanol (80  mL) sodium borohydride (1.30  g, 78.0  mmol) w as added in portions. T he reaction mixture  was stirred  for one hour at room temperature and then  reflux ed for 72  hours.  After 24 and 48 hours addition of sodium borohydride (1.30  g, 78.0  mmol) was repeated. After cooling  the reaction mixture  to room temperature the solvent was removed in vacuum (8 mbar, 50～C). Water was added  (100 mL) and the a queous suspension  was extracted with chloroform  (3 ℅ 30 mL). The combined organic layers were washed with water (30  mL) and the solvent  removed in vacuum S7 (2 mbar, 4 0～C)  to give a mine cage 6b as colorless  solid (455  mg, 9 9%). Mp > 300～C. 1H NMR  (300 MHz, CDCl 3): ?? (ppm) = 7.51 (t, J = 7.8  Hz, 3H,  Py-4-H), 7.04 (d, J = 7.9  Hz 6H,  Py-3/5-H), 3.92 (s, 11H, Py -CH2), 3.80 (s, 11H, Ar-CH2), 2.77 (q, J = 7.5 Hz, 12H, Ar-CH2CH 3), 1.10 (t, J = 7.4 Hz, 12H, Ar-CH 2CH3). FT-IR (ATR): ??? (cm-1) = 3514 (w), 2962 (w), 2875 (w), 1644 (m), 1585 (w), 1571 (w), 1484 (w), 1453 (m), 1380 (w), 1346 (w), 1311 (w), 1277 (w), 1234 (w), 1219 (w), 1150 (w), 1077 (w), 1043 (w), 976 (m), 920 (w), 849 (w), 817 (w), 770 (w), 733 (w), 701 (w), 654 (w), 643 (w). The analytical  data are  in accordance with those from literature.[S4] Synthesis of Amine Cage C ompound 6c   To a solution of imine cage 5c (397 mg, 0.38 mmol) in methanol (40  mL sodium borohydride) was added in portions  (2 ℅ 830 mg). After stirring the reaction mixture for 12 hours at room temperature , solvent was evaporated under re duced pressure (10  mbar, 50～C), w ater was added  (40 mL) and the aqueous suspension  was extracted with dichloromethane (3 ℅ 20 mL). The organic layers were combined, dried over magnesium sulfate and solvent was removed under reduced pressure (6  mbar, 50～C ) to give a mine cage  6c as colorless  solid (424  mg, 99%).  Mp = 162 每163～C.  1H NMR  (500 MHz, CDCl 3): ?? (ppm) = 7. 23 (s, 6H, Ar＊-3/4-H), 3.79 (s, 12H, Ar-CH2), 3.70 (s, 12H, Ar＊-CH2), 3.24 (s, 9H, O CH3), 2.74  (q, J = 7.5 Hz, 12H, Ar-CH2CH 3), 1.31 (s, 27H, tButyl), 1.08 (t, J = 7.53 Hz, 18H, Ar-CH 2CH3). 13C NMR  (150 MHz, CDCl 3) 汛 (ppm) = 155.0 (Ar＊ C-1), 147.1 (Ar＊ C-4), 142.6 (Ar C-1/3/5 ), 133.5 ( Ar＊C-2/6), 132.4  (ArC-2/4/6), 127.2  (Ar＊C-3/5), 60.8  (OCH3), 49.9 ( Ar＊-CH2), 46.9 ( Ar-CH2), 34.5 ( C(CH 3)3), 31.6 (C(CH3)3), 22.6 (Ar-CH2CH 3), 16.9  (Ar-CH 2CH3). FT-IR (ATR): ??? (cm-1) = 2958 (s), 2869 (s), 2827 (s), 1632 (w), 1566 (w), 1482 (s), 1451 (s), 1393 (w), 1362 (m), 1299 (m), 1249 (m), 1206 (2), 1175 (m), 1118 (m), 1102 (m), 1077 (m), 1006 (s), 927 (w), 879 (m), 813 (m), 767 (m), 734 (m), 704 (m), 655 (m). HRMS -ESI (pos) : m/z [M+H]+ calcd. for C69H103N6O3, 1063.8086; found, 1063.8097  (忖m/z = 1 ppm); m/z [M+2H]2+ calcd. for C69H104N6O3, 532.4085; found, 532.4083  (忖m/z = 0.4 ppm). Elemental Analysis . calcd.  for C69H102N6O3?CH 2Cl2: C 73.20, H 9.13, N 7.32, found: C 73.20, H 9.48, N 7.10.  S8 Synthesis of Nitrosamine Cage C ompound 7a   Amine  cage 6a (200 mg, 0.25 mmol) was suspended in isoamylnitrite ( 4.00 mL, 29.7  mmol) and stirred at 50 ～C for  12 hours. After cooling the reaction mixture to room temperature , the precipitate  was collected by filtration, washe d with methanol (20  mL) and dried in vacuum (8 mbar, 60～C)  to give cage 7a as pale yellow solid (164  mg, 68%). Mp = 290～C (dec.). 1H NMR  (300 MHz, CDCl 3): ?? (ppm) = 7.43 -6.20 (m, 12 H, Ar＊-1/3/4/5 -H) 5.62 -3.60 (m, 24H, CH2N(NO)C H2) 2.96 -1.61 (m, 12 H, Ar-CH2CH 3), 1.29 -0.70 (m, 18 H, Ar-CH 2CH3). FT-IR (ATR): ??? (cm-1) = 2956 (m), 2934 (m), 2876 (m), 1693 (m), 1610 (m), 1593 (m), 1566 (m), 1492 (m), 1443 (m), 1376 (m), 1331 (m), 1278 (m), 11 78 (m), 1134 (m), 1087 (m), 1068 (m), 1038 (m), 963 (m), 942 (m), 901 (m), 855 (m), 779 (m), 747 (m), 726 (m), 698 m), 662 (m), 629 (w), 587 (w), 561 (w), 530 (w). HRMS -ESI (pos) : m/z [M-NO+H]+ calcd. for C54H68N11O5, 950.5399; found, 950.5410 (忖m/z = 1 ppm); m/z [M+Na]+ calcd. for C54H66N12NaO 6, 1001.512 0; found, 1001.513 8 (忖m/z = 2 ppm). Elemental Anal ysis calcd.  for C54H66N12O6: C 66.24, H 6.79, N 17.17, found: C 66.03, H 6.67, N 17.07.  A 13C NMR spectrum was recorded but signals cannot be assigned  due to the large number of isomers . The spectrum is shown in Figure S7.",comprehensive synthesis
