content,category
"The parent cage for this study, RCC3 ,i sderived from the shape-persistent imine pre-cursor, CC3 , which crystallized from mostorganic solvents to form a microporous solidRESEARCHLiuet al.,Science 366, 613 每620 (2019) 1 November 2019 1o f81Materials Innovation Factory and Department of Chemistry,University of Liverpool, 51 Oxford Street, Liverpool, L7 3NY,UK.2Max Planck Institute for Intelligent Systems,Heisenbergstr. 3, 70569 Stuttgart, Germany.3Laboratory ofComputational Science and Modeling, Institute of Materials,谷cole Polytechnique F谷d谷rale de Lausanne, 1015 Lausanne,Switzerland.4Department of Chemistry, Xi ＊an JiaoTong-Liverpool University, 111 Ren ＊ai Road, Suzhou Dushu LakeHigher Education Town, Jiangsu Province, 215123, China.",affiliation
"5Leverhulme Research Centre for Functional MaterialsDesign, Materials Innovation Factory and Department ofChemistry, University of Liverpool, 51 Oxford Street,Liverpool, L7 3NY, UK.",affiliation
L.Z. performed TDS experiments. L.Z. and M.H. interpreted theTDS data. All authors contributed to the writing of the paper.Competing interests: The authors declare no competing interests.Data and materials availability: The crystallographic datareported in this paper are listed in the supplementary materialsand archived at the Cambridge Crystallographic Data Centre underreference numbers CCDC 1910113 to 1910120. All other dataneeded to evaluate the conclusions in the paper are present in thepaper or the supplementary materials.,CCDC
"1AT-5FT-RCC3?(H2O)[a] 1AT-5FT-RCC3[b] 1AT-5FT-RCC3?(H2O) Wavelength [?]  Cu-K汐 Cu-K汐 0.7749  Collection Temperature  100 K  400 K  100 K  Formula  C80H112N12, H2O C80H112N12 C80H112N12, H2O Mr 1259.83  1241.81  1259.83  Crystal Size (mm)  0.27 x 0.26 x 0.16  0.27 x 0.26 x 0.16  0.09 x 0.09 x 0.05  Crystal System  Cubic  Cubic  Cubic  Space Group  F4132 F4132 F4132 a [?] 25.327(2)  25.490 (2) 25.3176(9)  V [?3] 16246(5)  16536(4)  16228(2)  Z 8 8 8 Dcalcd [g cm-3] 1.030  0.996  1.031  米 [mm-1] 0.475  0.451  0.074  F(000)  5488  5408  5488  2牟 range [～]  6.04 每 148.53  6.00 每 117.60  4.96 每 75.82  Reflections collected  15335  14582  47651  Independent reflections, Rint 1395, 0.0279  1002, 0.0249  2853, 0.0414  Obs. Data [ I > 2考] 1343  926 2628  Data /  restraints /  parameters  1395 / 9 / 83  1002 / 9 / 78  2853 / 7 / 87  Final R1 values ( I > 2考(I)) 0.0484  0.0369  0.0489  Final R1 values (all data)  0.0494  0.0393  0.0540  Final wR( F2) values (all data)  0.1349  0.1154  0.1440  Goodness -of-fit on F2 1.110  1.127  1.020  Largest difference peak and hole [ e.A-3] 0.504 / -0.156  0.187 / -0.067  0.383 / -0.189  CCDC  1910114  1910116  1910119  [a] Recorded after reacting a single of 1AT -RCC3  with gaseous formaldehyde. After the reaction, the single crystal was evacuated under dynamic vacuum to remove residual formaldehyde from the crystal pores. The crystal was stored in air prior to the data collection being recorded. [b] Recorded after heating the single crystal from 100 K to 400 K at 50 K/hr, followed by equilibration at 400 K.",CCDC
"5FT-RCC3?(H2O) 1ET-5FT-RCC3?(H2O) Wavelength [?]  0.7749  0.7749  Collection Temperature  100 K  100 K  Formula  C77H108N12, 4.63(H 2O) C79H110N12, H2O Mr 1285.21  1245.80  Crystal Size (mm)  0.05 x 0.03 x 0.02  0.06 x 0.05 x 0.01  Crystal System  Cubic  Cubic  Space Group  F4132 F4132 a [?] 25.2610(8)  25.2521(13)  V [?3] 16120(2)  16102(2)  Z 8 8 Dcalcd [g cm-3] 1.059  1.028  米 [mm-1] 0.079  0.073  F(000)  5603  5424  2牟 range [～]  4.97 每 50.97  4.97 每 57.92  Reflections collected  29858  26818  Independent reflections, Rint 982, 0.0744  1393, 0.0513  Obs. Data [ I > 2考] 843 1209  Data /  restraints /  parameters  982 / 0 / 83  1393 / 7 / 86  Final R1 values ( I > 2考(I)) 0.0580  0.0471  Final R1 values (all data)  0.0692  0.0564  Final wR( F2) values (all data)  0.1605  0.1340  Goodness -of-fit on F2 1.147  1.056  Largest difference peak and hole [ e.A-3] 0.300 / -0.153  0.389 / -0.174  CCDC  1910120  1910117     27  Table S 7. Single crystal refinement details for the crystal structures, 1PT -5FT-RCC3 ?(H 2O), 6ET-RCC3 , and C ocryst1 ( CC3 -S, 6ET -RCC3 -R).",CCDC
"1PT-5FT-RCC3?(H2O) 6ET-RCC3  (CC3-S, 6ET-RCC3 -R)  Wavelength [?]  0.7749  Mo-K汐 0.6889  Collection Temperature  100 K  100 K  100 K  Formula  C80H112N12, H2O C84H120N12 C84H120N12, C72H84N12 Mr 1259.83  1297.91  2415.42  Crystal Size (mm)  0.04 x 0.03 x 0.01  0.09 x 0.08 x 0.03  0.07 x 0.06 x 0.05  Crystal System  Cubic  Cubic  Cubic  Space Group  F4132 F4132 F4132 a [?] 25.2201(9)  25.216(4)  24.7202  V [?3] 16041.3(17)  16034(8)  15106.2(15)  Z 8 8 4 Dcalcd [g cm-3] 1.043  1.075  1.062  米 [mm-1] 0.074  0.064  0.060  F(000)  5488  5664  5232  2牟 range [～]  4.98 每 50.96  2.80 每 52.70  4.52 每 51.70  Reflections collected  29631  11436  53093  Independent reflections, Rint 976, 0.0571  1383, 0.0777  1355, 0.0555  Obs. Data [ I > 2考] 855 1155  820 Data /  restraints /  parameters  976 / 7 / 86  1383 / 9 / 79  1355 / 115 / 141  Final R1 values ( I > 2考(I)) 0.0474  0.0578  0.1181  Final R1 values (all data)  0.0571  0.0680  0.1423  Final wR( F2) values (all data)  0.1263  0.1609  0.3281  Goodness -of-fit on F2 1.122  1.062  2.255  Largest difference peak and hole [ e.A-3] 0.391 / -0.164  0.226 / -0.226  0.349 / -0.345  CCDC  1910115  1910113  1910118     28    Fig. S16. Post gas sorption PXRD data for the cage series, shown above the simulated PXRD patterns derived from the single crystal structures of each cage. No significant structural change occurs during gas adsorption.",CCDC
"Cocryst1 ㄗCC3 -S/6ET-RCC3 -R Co-crystalㄘ formation . CC3 -S was dissolved in DCM (5 mg/mL) and added to an equivalent dichloromethane solution of 6ET -RCC3 -R at equal molar concentration ( 5.75 mg/mL). The solutions were mixed by direct addition at room temperature, with stirring. No precipitation was observed on mi xing, but the solution became cloudy after approximately 10 minutes. The co- crystal , Cocryst1, was collected by filtration ( Whatman? membrane filter PTFE, pore size 0.2 米m). Crystals suitable for single -crystal X -ray diffraction were cultured by vapour diffusion of acetone into the CHCl 3 solution of equal molar concentration CC3 -S and 6ET -RCC3 -R.",comprehensive synthesis
"52  2.14 Synthesis details of the isostructural cages   Synthesis of 1AT -5FT-RCC3.  1AT -RCC3  (200 mg, 0.17 mmol) solid was ground into fine powder and transferred into a 12 mL open glass vial. The open cage -containing vial was then placed into a larger 50 mL glass vessel that contained solid paraformaldehyde (200 mg). The glass vessel was sealed, and then heated at 60 ～C in oil bath to generate a gaseous formaldehyde atmosphere. [ CAUTION:  formaldehyde is a class ｉ human carcinogen and it should only be handled in contained environment by trained personnel with suitable personal protective equipment ]. The reaction was left sealed at 60 ～C for 12  hours, before the reaction was cooled to room temperature. The solid in the vial was retrieved and dried under dynamic vacuum  at 40 ～C to remove the surface adsorbed formaldehyde. 1AT -5FT-RCC3 (crude yield = 205 mg, 97.5 %) was obtained as a crystalline white solid. 1H NMR (CDCl 3, 400 MHz) 汛 7.20每6.95 (m, 12H, -ArH), 4.14每3.86 (m, 12H, - ArCH 2), 3.45每3.00 (m, 12H, - ArCH 2 and  10 H, -NCH 2N-), 2.20每2.40 (m, 12H, CH on cyclohexane), 2.15每1.75 (m, 24H, CH 2 on cyclohexane), 1.40每1.00 (m, 24H, CH 2 on cyclohexane), 0.85每0.40 (m, 6H, CH 3) ppm; 13C NMR  (CDCl 3, 100 MHz): 汛 140.1, 123.6, 78.4, 68.8, 57.8, 57.3, 30.9, 29.4, 24.4 ppm. IR (KBr  pellet, 糸) 2925 (s), 2857 (s), 2795 (w), 1669 (w), 1605 (m), 1446 (s), 1349 (w), 1335 (s), 1313 (w), 1291 (m), 1216 (w), 1185 (m), 1121 (m), 1065 (w), 1039 (w), 1005 (m), 953 (w), 907 (m), 859 (m), 834 (m), 736 (w), 685 (m), cm-1.  MS (ES+) 1241.9 ([M+H]+). Accurate mass calculated for [C 80H113N12]+: 1241.921.",comprehensive synthesis
"54  Synthesis of 5FT -RCC3.  1AT -5FT-RCC3  (100 mg, 0.081 mmol) was dissolved in a 20 mL mixture of CHCl 3:MeOH (1:1, v :v). One drop of water was added and the mixture was stirred vigorously at room temperature for 12 hours. 5FT-RCC3  (91 mg, 94.0 %), was isolated as a white solid after removing the solvent under reduced pressure followed by drying under dynamic vacuum at 60 ～C . 1H NMR (CDCl 3, 400 MHz) 汛 7.55每6.75 (m, 12H, - ArH), 4.16每2.95 (m, 24H, -ArCH 2 and 10 H, -NCH 2N-), 2.50每0.85 (m, 12H, CH on cyclohexane and 48H, CH 2 on cyclohexane ). 13C NMR  (CDCl 3, 100 MHz): 汛 140.1, 123.6, 78.4, 68.8, 57.3, 29.4, 24.4 ppm.",comprehensive synthesis
"56  Synthesis of  1ET-5FT-RCC3 . Ethanal (acetaldehyde 15.7 mg, 0.36 mmol ) was dissolved in 10 mL CHCl 3 / MeOH (50: 50, v : v) mixture and stirred at 0  ～C. 5FT-RCC3  (128 mg, 0.11 mmol) in 20 mL CHCl 3 / MeOH (50: 50, v : v) was added to the above solution at 0 ～C. A white precipitate gradually appeared after this reaction mixture was stirred at room temperature. 1ET -5FT-RCC3 (126 mg, 96.3 %)  was isolated as a white solid after the removal of the reaction solvents under vacuum. 1H NMR (CDCl 3, 400 MHz ) 汛 7.50 - 6.99 ( m, 12H, - ArH), 4.05 每 3.95 (m, 12H, - ArCH 2 ), 3.54 每3.16 (m, 12H, - ArCH 2 ; 10 H, - NCH 2N- and 1H, - N2CHCH 3-), 2.10每2.40 (m, 12H, CH on cyclohexane), 2.15每1.75 (m, 24H, CH 2 on cyclohexane), 1.40每1.10 (m, 24H, CH 2 on cyclohexane), 0.86 (m, 3H, CH 3) ppm; 13C NMR  (CDCl 3, 100 MHz): 汛 140.0, 123.6, 78.2, 68.7, 57.3, 30.9ㄛ29.4, 24.4 ppm. IR (KBr pellet, 糸) 2925 (s), 2857 (s), 2798 (w), 1606 (m), 1436 (s), 1349 (w), 1336 (s), 1313 (w), 1293 (m), 1218 (w), 1190 (m), 1122 (m),  1094 (w), 1066 (w), 1039 (w), 1006 (m) , 953 (w), 908 (m), 859 (m), 836 (m), 753 (w), 685 (m)  cm-1. MS (ES+) 1227.9 ([M+H]+). Accurate mass calculated for [C 79H111N12]+ : 1227.905. Found: 1227.837.",comprehensive synthesis
