content,category
"Rutgers, The State University of New Jersey, Department of Chemistry and Chemical Biology, Piscataway, NJ 08854, USAarticle infoArticle history:Received 24 November 2008Received in revised form 8 June 2009Accepted 15 June 2009Available online 18 June 2009Dedicated to the memory of DmitryM. RudkevichKeywords:Host每guest chemistryDynamic covalent chemistryNanocapsuleCavitandMolecular recognitionMolecular containerabstractThe syntheses of two water-soluble octahedral polyammonium nanocapsules 5eand5fare described.",affiliation
"4.4. Syntheses4.4.1. TBDPS-protected tetrabromocavitand 6bTetrabromocavitand 6e24(1.0 g, 0.876 mmol) was dissolved in20 ml DMF under argon. Imidazole (0.954 g, 14.0 mmol) was addedinto the solution. After 10 min, tert-butyl diphenylsilyl chloride(2.69 ml, 10.5 mmol) was added and stirring continued at roomtemperature for 24 h. Then, DMF was removed under reducedpressure. The residue was dissolved in 50 ml CH 2Cl2and washedwith 30 ml water three times. It was dried over MgSO 4and con-centrated. The brownish residue was dried under high vacuum atroom temperature overnight. The crude was puri?ed by ?ash col-umn chromatography (SiO 2,C H 2Cl2/hexane 1:1) to yield 6basa white foam (1.30 g, 71%).1H NMR (CDCl 3,2 5/C14C, 400 MHz), dH:7.61 (m, 16H), 7.36 (m, 8H), 7.33 (m, 16H), 6.96 (s, 4H), 5.98 (d,J?7.5 Hz, 4H), 4.84 (t, J?8.0 Hz, 4H), 4.40 (d, J?7.5 Hz, 4H), 3.62 (t,J?6.2 Hz, 8H), 2.14 (m, 8H), 1.61 (m, 8H), 1.37 (m, 8H), 1.01 (s, 36H).",comprehensive synthesis
"4.4.2. TBDPS-protected tetraformyl cavitand 3bTBDPS-protected tetrabromocavitand 6b(700 mg, 0.334 mmol)was dried under high vacuum at 110/C14C overnight. Then, it wasdissolved in 18 ml dry THF and cooled down to /C078/C14C while pro-tected under argon. n-BuLi (2.5 M hexane solution, 1.6 ml,4.0 mmol) was syringed into the ?ask. The solution was stirred at/C078/C14C. After 20 min, it was warmed up to 0/C14C for 30 min andrecooled to /C078/C14C. Dry DMF (1.55 ml, 20.0 mmol) was added bysyringe. After stirring at /C078/C14C for 10 min, the solution was warmedup to room temperature and stirred for 1 h. 0.5 ml 5 wt % NH 4Cl aqwas added and stirring continued for 5 min. Then 20 ml water wasadded into the ?ask. The mixture was extracted with EtOAc(1/C240 ml and 2 /C220 ml). The organic layers were combined, washedwith 20 ml saturated NaHCO 3aq, 20 ml brine, dried over MgSO 4andconcentrated. The yellow residue was dried under high vacuum. Thecrude product was puri?ed by silica gel column chromatography(CH 2Cl2/EtOAc 95:5) to give TBDPS-protected tetraformyl cavitand3bas a white powder (208 mg, 33%).1H NMR (CDCl 3,2 5/C14C,400 MHz), dH: 10.26 (s, 4H), 7.61 (m, 16H), 7.36 (m, 8H), 7.33 (m,16H), 7.22 (s, 4H), 5.91 (d, J?7.4 Hz, 4H), 4.90 (t, J?8.2 Hz, 4H), 4.47(d,J?7.5 Hz, 4H), 3.63 (t, J?6.3 Hz, 8H), 2.18 (m, 8H), 1.64 (m, 8H),1.41 (m, 8H), 1.00 (s, 36H).13C NMR (CDCl 3,2 5/C14C, 100 MHz), dC:189.8, 154.7, 139.0, 135.5, 133.8, 129.6, 127.6, 124.7, 124.4, 100.1, 63.6,35.5, 32.2, 29.0, 26.9, 23.8, 19.2. MS (MALDI-TOF): m/z(MtNat,100%), calcd for C 116Si4H128O16: 1911.818; found: 1911.823.",comprehensive synthesis
"4.4.3. MOM-protected tetrabromocavitand 6c24Tetrabromocavitand 6e24(1.0 g, 0.876 mmol) was dried over-night at high vacuum at 110/C14C. It was dissolved in 20 ml DMF underargon. Diisopropylethyl amine (2.32 ml, 14.0 mmol) was added intothe solution. After 10 min, chloromethyl methyl ether (0.8 ml,10.5 mmol) was added and stirring continued at room temperaturefor 5.5 h. Then, DMF was removed under reduced pressure. Theresidue was dissolved in 50 ml EtOAc and washed twice with 50 ml0.2 M HCl aq. The aqueous layer was further extracted with 30 mlEtOAc. The organic layers were combined, washed with 20 mlsaturated NaHCO 3aq, 30 ml brine, dried with MgSO 4and concen-trated. After drying the product under high vacuum at room tem-perature overnight, 6cwas obtained as slightly yellowish foam(1.03 g, 89%).",comprehensive synthesis
"4.4.4. MOM-protected tetraformyl cavitand 3cTetrabromocavitand 6c(0.5 g, 0.38 mmol) was dried under highvacuum at 110/C14C overnight. Then, it was dissolved in 20 ml dry THFand cooled down to /C078/C14C while protected under argon. n-BuLi(2.5 M hexane solution, 1.22 ml, 3.04 mmol) was syringed into the?ask. The solution was stirred at /C078/C14C. After 20 min, it waswarmed up to 0/C14C for 30 min and recooled to /C078/C14C. Dry DMF(1.18 ml, 15.2 mmol, dried over 3 ? molecular sieves for 24 h) wasadded by syringe. After stirring at /C078/C14C for 10 min, the solutionwas warmed up to room temperature and stirred for one additionalhour. 10 ml 5 wt % NH4Cl aq was added and stirring continued for10 min. The mixture was extracted with EtOAc (1 /C240 ml and2/C220 ml). The organic layers were combined, washed with 30 mlsaturated NaHCO 3aq, 30 ml brine, dried over MgSO 4and concen-trated. The yellow residue was dried under high vacuum. The crudeproduct was puri?ed by silica gel column chromatography (Et 2O/CH2Cl2/Et3N 8:1:0.036 gradient to Et 2O/CH 2Cl2/Et3N 3:2:0.036) togive 3cas a white powder (0.225 g, 53%).1H NMR (CDCl 3,2 5/C14C,300 MHz), dH: 10.25 (s, 4H), 7.29 (s, 4H), 5.90 (d, J?7.6 Hz, 4H), 4.94(t,J?8.1 Hz, 4H), 4.62 (s, 8H), 4.47 (d, J?7.6 Hz, 4H), 3.56 (t, J?6.4 Hz,8H), 3.36 (s, 12H), 2.29 (m, 8H), 1.75 (m, 8H), 1.48 (m, 8H).13C NMR(CDCl 3,2 5/C14C, 125.7 MHz), dC: 189.8, 154.7, 139.0, 124.6, 124.5, 100.1,96.5, 67.5, 55.2, 35.8, 29.6, 29.3, 24.4. MS (MALDI-TOF): m/z(MtNat, 100%), calcd for C 60H72O20: 1135.4515; found: 1135.4581.",comprehensive synthesis
"4.4.5. 4-Hydroxybutyl-footed nanocapsule 5eHexamer 5ewas prepared according to a procedure developedfor hexamer 5a.14a,bTetraformyl cavitand 3c(569 mg, 0.511 mmol),ethylenediamine 4(63.4 mg, 1.05 mmol) and TFA (6.1 ml,0.0821 mmol) were dissolved in 47 ml chloroform (passed througha pad of K 2CO3). The slightly yellow solution was stirred at roomtemperature under argon for 41 h. To the stirred solution, NaBH 4(4.04 g, 107 mmol) was added. After 3 min, 0.4 ml dry methanol(dried over 3 ? molecular sieves for 24 h) was added. After 5 min,additional 4.3 ml dry methanol was added and the mixture wasstirred at room temperature overnight. The solvents were removedunder reduced pressure. The white residue was sonicated with30 ml water for 10 min and the mixture was ?ltered. The whiteresidue was transferred into a 250 ml round bottom ?ask andstirred with 170 ml methanol. Then, 17 ml concentrated HCl wasadded drop wise into the ?ask. Stirring was continued at roomtemperature under argon for 3 days (white precipitates graduallyformed after 1 day). The mixture was ?ltered and the white residuewas washed three times with 1 ml cold methanol. The residue wasdried under high vacuum overnight to give 5e$24HCl as a slightlyX. Liu et al. / Tetrahedron 65 (2009) 7303每7310 7308yellowish powder (409 mg, 70% yield based on 3c).1H NMR(0.2 wt % DCl/D 2O, 25/C14C, 500 MHz), dH: 7.72 (s, 24H), 6.22 (s, 24H),4.37 (s, 24H), 4.24 (s, 48H), 3.70 (s, 48H), 3.64 (t, J?6.0 Hz, 48H),2.49 (s, 48H), 1.70 (m, 48H), 1.44 (s, 48H).13C NMR (0.2 wt % DCl/D2O, 25/C14C, 125 MHz), dC: 153.4, 138.8, 123.9, 117.9, 100.4, 61.9, 42.8,41.5, 37.0, 31.2, 28.8, 23.6. MS (MALDI-TOF) for C 336H432N24O72:m/z(MtNat), calcd 5978.08; found: 5978.32.",comprehensive synthesis
"4.4.7. Nanocapsule 5f$24HCl4.4.7.1. BOC protection of 5eto form 7e.Triethylamine (303 ml,2.17 mmol) was added into the suspension of 5e24HCl (206.6 mg,0.0302 mmol) in 35 ml methanol. The mixture was stirred for20 min. (BOC) 2O (317 mg, 1.45 mmol) was added and the mixturewas heated to re?ux. The mixture was kept re?uxing under argonfor 3 days while additional 6 portions of (BOC)2O(w300 mg each,1.38 mmol) was added during the reaction. Then the solvent wasremoved under reduced pressure. The white foam-like residue wassonicated with 10 ml Et2O and ?ltered. The residue was washedwith additional 1 ml Et 2O three times and 1 ml H 2O three times. Itwas redissolved in methanol. The solvent was evaporated and theoff-white residue was dried under high vacuum for 30 min to give7e(241.3 mg, 95%). MALDI-TOF MS for C 456H624N24O120, calcd8384.91 (M tNat), found 8384.17.",comprehensive synthesis
"4.4.7.2. TEMPO oxidation of 7eto form 7f.To the suspension of 7e(201.3 mg, 0.0241 mmol) in 10 ml acetone, 2.5 ml 5% NaHCO 3aqand 10 mg KBr was added. The mixture was cooled to 0/C14C. TEMPO(150 mg, 0.96 mmol) was added. Then 5 ml w5% NaClO aq wasadded into the mixture drop wise over 10 min. The mixturewas stirred at 0/C14C under argon for 1 h. A deep yellow mixture wasobtained. Then additional 5 ml w5% NaClO aq was added andcontinued stirring for another hour. The white mixture wasquenched with 25 ml H 2O. Then 1 M H 2SO4aq was added to adjustpHw2. The white precipitate was ?ltered and washed with enoughwater until neutral. The residue was redissolved in methanol andthe solvent was evaporated. The slightly yellow residue was driedunder high vacuum (235.8 mg). The crude product was then sub-jected to hydrolysis to break possible ester bonds formed in theoxidation process. It was dissolved in 20 ml 1 M NaOH aq. Theyellow solution was heated to re?ux and stirred for 2 h. Then it wascooled down and acidi?ed with 1.2 ml conc. HCl to pH w7 and thenwith 1 M H 2SO4aq to pH w3. The white precipitate was ?ltered andwashed with enough water until neutral. The residue was redis-solved in methanol and the solvent was evaporated. The remainingoff-white solid 7fwas dried under high vacuum (197.7 mg, 94%)and used without further puri?cation for the next step.",comprehensive synthesis
"4.4.7.3. Deprotection of 7f.A solution of crude 7f(197 mg,0.0226 mmol) in 20 ml TFA was stirred at room temperature for 1 h.",comprehensive synthesis
"TFA was removed under reduced pressure. The yellow residue wasdried under high vacuum to give crude 5f$24TFA (251.7 mg). Crude5f$24TFA (230 mg) was dissolved in methanol (4 mL). Dilutedaqueous HCl (2 N, 0.2 mL) was added and the solvent evaporated atreduced pressure. This procedure was repeated (four times) untilno19F signal could be detected in the19F NMR spectrum of a solu-tion of the residual solid in D 2O. Finally the product was dried athigh vacuum to give 5f$24HCl as pale yellow solid (136 mg,91% yield).1H NMR (500 MHz, NaOD/D 2O, 25/C14C),dH(ppm): 7.43(s, 24H, H aryl), 6.04 (d, J?5.8 Hz, 24H, H outer), 4.71 (t, J?8.0 Hz, 24H,Hmethine ), 4.21 (d, J?5.2 Hz, 24H, H inner), 3.51 (s, 48H, 每ArC H2NH每),2.69 (s, 48H, 每NHCH 2CH2NH每), 2.36 (m, 48H), 2.28 (t, J?7.5 Hz, 24H,每CH 2CO2/C0Nat), 1.58 (m, 48H).13C NMR (D 2O, pH 9.7, 25/C14C,125 MHz), dC: 183.5, 153.4, 138.5, 123.4, 121.7, 100.2, 46.3, 41.7, 37.4,36.9, 29.0, 24.2, 12.0. ESI-MS (NH 3H2O/MeOH) for C 336H384N24O96,calcd 1572.7 (M /C04H)4/C0, 1258.0 (M /C05H)5/C0; found, 1572.8, 1258.7.",comprehensive synthesis
