content,category
"Scheme 1 Covalent synthesis of a [2+3] propeller-shaped organiccage molecule, CC6.Department of Chemistry and Centre for Materials Discovery,University of Liverpool, Crown Street, Liverpool, L69 7ZD, UK.",affiliation
"Department of Chemistry, University of Liverpool, Liverpool L69 7ZD, UK    Table of contents    1. Experimental   Synthesis of 1, 3, 5 -tri-(4-formylphenyl) benzene  (including MS, elemental analysis , and melting point)   Synthesis of [2+3] propeller cage ( CC6 ) (including MS)  2. Characterization and Analysis   X-ray crystallography   1H and 13CNMR (CDCl 3) spectra for 1,3,5 -tri-(4-formylphenyl) benzene   1H and 13CNMR (CDCl 3) spectra for [2+3] propeller cage   Powder X -ray diffraction patterns for CC6   Le Bail fitting of the desolvated CC6   Thermogravimetric (TGA) data for CC6   FTIR spectroscopy for 1,3,5 -tri-(4-formylphenyl) benzene   FTIR spectroscopy for CC6   Pore size distribution for CC6   Summary of CO 2 uptake, N 2 uptake , and ideal selectivity (CO 2/N2)    Electronic Supplementary Material (ESI) for Chemical CommunicationsThis journal is ? The Royal Society of Chemistry 20112  Experimental   Materials. 1,3,5 -Tri-(4-formylphenyl) benzene was prepared by standard literature procedures (see below). All other chemicals were purchased from Sigma -Aldrich and used as received.",affiliation
E-mail: aicooper@liverpool.ac.ukwElectronic supplementary information (ESI) available: Full experi-mental and synthetic details. CCDC 821249. For ESI and crystallo-graphic data in CIF or other electronic format see DOI: 10.1039/c1cc12460aChemCommDynamic Article Linkswww.rsc.org/chemcomm COMMUNICATIONPublished on 10 June 2011. Downloaded by Zhejiang University on 8/31/2022 3:54:36 AM.,CCDC
"We thank EPSRC (EP/H000925/1, EP/G061785/1) and theDutch Polymer Institute for funding. A.I.C. is a Royal SocietyWolfson Merit Award holder. A.T. is a Royal SocietyUniversity Research Fellow.Notes and referenceszCrystal data for CC6 ((C138H132N12), 6(CH 3OH)): C 144H156N12O6,M= 2150.81, colourless prism, 0.50 /C20.20 /C20.05 mm3,orthorhombic, space group Pca21,a= 26.055(4), b= 15.571(2),c= 14.686(2) A ?,V= 5958.3(14) A ?3,Z=2 , Dc= 1.199 g cm/C03,F000= 2304, Bruker APEX di?ractometer, Mo-K aradiation,l= 0.71073 A ?,T= 100(2)K, 2 ymax= 51.5 1, 19 523 re?ectionscollected, 10 077 unique ( Rint= 0.0423). Final GooF = 0.949,R1= 0.0556, wR2 = 0.1160, Rindices based on 6755 re?ections withI42s(I) (re?nement on F2), 780 parameters. Absorption correctionapplied, m= 0.073 mm/C01. CCDC 821249. The disordered solventwas treated using PLATON/SQUEEZE24and the details are includedin the CIF.",CCDC
"Synthesis procedure : An oven -dried 150 mL, two -necked round -bottom Ra dley flask equipped with a magnetic stir bar was flushed with N 2 gas and cooled to room temperature  under a N 2 flow. Tribromobenz ene (1 g, 3.18 mmol), 4 -formylphenylboronic acid (1.72 g, 11.5 mmol), Pd(OAc) 2 (3 m g, 0.013 mmol) , and PPh 3 (6 mg, 0.026 mmol) were added. After degassing  this mixture three times , 1-propanol (20 mL) was added under N 2. The solution was left stirring at 50 ～C until all of the solids dissolved. Once the clear solution turned to pale yellow ( ca. 15 min), a solution o f Na 2CO 3 (2M, 6 mL) and water (5 mL) were added under N 2. The result ing mixture was then heated to reflux for 2 h under N 2. The nitrogen sources were removed after reflux and another portion of water (20 mL) was added. The reaction mixture was left under s tirring, open to the air for 5 h at room temperature. The mixture was then extracted with chloroform (30 mL) and the organic layers were washed with a 2% solution of NaHCO 3 (25 mL). A spoonful of activated charcoal was added into the organic solution and t he mixture was stirred for 30 min at room temperature . The suspension was filtered through celite under reduced pressure. Evaporation of the solvent gave the crude Electronic Supplementary Material (ESI) for Chemical CommunicationsThis journal is ? The Royal Society of Chemistry 20113  product. The pure product was obtain ed after column chromatography with 70 % yield , or recry stallized from  THF with 65 % yield.",comprehensive synthesis
"1H NMR (CDCl 3, 400MHz) 汛 10.11 (s, 3H, -CHO), 8.04 -7.87 (m, 15H, -ArH) ppm.13C NMR (CDCl 3) 汛 191.76, 146.29, 141.60, 135.76, 130.44, 127.98, 126.48ppm.IR (KBr pellet, 糸)3050 (w), 2811 (w), 2724 (w), 2351 (w), 1689 (s), 1600 (s), 1561 (s), 1392 (m), 1209 (s), 1167 (s), 857 (m), 815(m), 790 (s), 648 (w), 601 (w), 561(w) cm-1.Accurate mass calculated for C 27H18O3: 390.13. Found: 391 [M+H] +. Elemental analysis as C 27H18O3 (Calculated: C 83.06, H 4.65. Found: C 83.14, H 4.67 ). Melting point 230 每 232 ～C (literature value 231 每 232 oC).1  [2+3] propeller cage (CC6)  synthesis:  Methanol (20 mL) was added to 1,3,5 -tri-(4-formylphenyl) benzene (50 mg, 0.128mmol) in a sample vial at room temperature. A solution of 1,5 -pentanediamine (20 mg, 0.192 mmol) in MeOH (20 mL) was added slowly. The reaction was left covered for 3 -4 days without stirring. The products were observed to crystallize from solution after a week. The crystals were separated carefully from the sample vial using a spatula and washed with MeOH and air dried to give the solvated of [2+3] cage.",comprehensive synthesis
The crystals suitable for X -ray crystallography were removed directly from the sample vial.,comprehensive synthesis
"To desolvate [2+3] cage, a sample was heated to 100  ?C under dynamic vacu um for 12 hour s.",comprehensive synthesis
The yield after desolvation was  45 %.,comprehensive synthesis
"22Recently,Zhang et al. synthesized an organic cage molecule whichshowed high ideal CO 2/N2adsorption selectivity at 20 1Cand 1 bar.21Selectivities were good (CO 2/N2= 73) but theabsolute amounts of gas adsorbed were low. Zhang et al. alsoreported a series of related cage compounds which exhibitedideal CO 2/N2selectivity in the range from 36 to 138 at 20 1Cand 1 bar.18Mastalerz et al. described a salicylbisimine cagewith a Brunauer-Emmett-Teller (BET) surface area of 1377 m2g/C01: this material showed a preference for CO 2over CH 4.15Likewise, the molecular crystal tris( o-phenylenedioxy)cyclo-phosphazene (TPP) adsorbed large amounts of CO 2and CH 4compared to N 2and H 2.20Cucurbit[6]uril was also shown toselectively adsorb CO 2over CO.19We recently demonstratedthat gas selectivities could be modulated in a single materialviapolymorph switching of an imine-based cage, CC1. Thiscage can be switched into any one of three polymorphic formswhich are, respectively, non-porous to both N2and H 2(CC1a), selectively porous to H 2only ( CC1b), and non-selectively porous to both N 2and H 2(CC1g).14Here, we describe the synthesis of a new propeller-shapedorganic cage, CC6. This molecule is synthesized by a one-step[2+3] cycloimination reaction of 1,3,5-tri(4-formylphenyl)benzene ( 1) with 1,5-pentanediamine ( 2) in methanol(Scheme 1). The product was isolated directly as a crystallinematerial after 1 week at room temperature.",surface area
