content,category
"Sustainable Technology Research Center, Shanghai Ad vanced Research Institute, Chinese Academy of Science, Shanghai 201210, China  Shanghai Engineering Research Center of Molecular T herapeutics and New Drug Development, East China Normal University, Shanghai  200062, China  Shanghai Key Laboratory of Green Chemistry and Chem ical Processes, and Department of Chemistry, East China Normal Universi ty, Shanghai 200062, China  Medicinal Chemistry, ChemBridge Research Laboratori es Inc., San Diego, CA 92127, USA         Correspondence Address Prof. Dr. Ke Wen Sustainable Technology Research Center, Shanghai Ad vanced Research Institute, Chinese Academy of Science No. 99 Haike Road, Zhangjiang HiETech Park, Pudong,   Shanghai, 201210 P. R. China EEmail: wenk@sari.ac.cn         S2Supplementary Material General experimental, synthesis and crystallographi c data for ligand L and complexes 1-11                                                            S3-11  The 1H NMR of L S12 The 13 C NMR of L                                                  S13 Figure S1:  1H NMR spectrum of complex 1 in CD 3NO 2                     S14  Figure S2: ESIEMS spectrum of complex 1 in CH 3CN solution               S15 Figure S3: Graphic representation of [ Ag 2(L 3)2] and [( Ag )3 (L 3)3] cage units and Molecular packing of 1 in the solid state   S16  Figure S4: Graphic representation of the 2D network structure obtained under DMF atmosphere                                                        S17  Figure S5: 1H NMR spectrum of complex 2 in CD 3NO 2                     S18 Figure S6: ESIEMS spectrum of complex 2 in CH 3CN solution               S19  Figure S7: Coordination environments of Ag centers and threeEdimensional network structure of complex 2 in the solid state                                  S20  Figure S8: Coordination environment of Ag  center and the overall layered structure of complex 3 in the solid state                                         S21  Figure S9: ESI mass spectrum of Cu complexes 4, 5 and 6 in CH 3CN solution   S22 Figure S10: Coordination environments of Cu  centers in complex 4, and the staggered layered arrangement of 4 with an ABAB... sequence in the solid state  S23 Figure S11:  Coordination environment of Cu  center in complex 5            S24  Figure S12: Coordination environments of Cu  centers in complex 6, and the staggered layered arrangement of 6 with an ABAB... sequence in the solid state  S25 Figure S13: Coordination environments of Cu  centers in complex 7, and the staggered layered arrangement of 7 with an ABAB... sequence in the solid state  S26 Figure S14: 1H NMR spectrum of complex 8 in CD 3NO 2                    S27 Figure S15: The antiEparallel arrangement of the polymeric chai ns of complexes 8 and their interactions with guest molecules of benz ene in the solid state         S28 Figure S16: The 2D polymeric network structure of complex 9                 S29 Figure S17: The molecular arrangement complex 10  and intermolecular hydrogen iodine bonds                                                       S30  Figure S18: The 2D polymeric network structure of complex 11              S31     S3General:  Unless otherwise noted, starting materials were obt ained from commercial suppliers and used without further purification. El emental analysis were performed on an Elementar Vario EL instrument. Infrared spectra were collected on a Fourier Transform IR spectrometer (using KBr pellets). 1H and 13 C NMR spectra were recorded at 500 (500 MHz) or 400 (400 MHz) spectrom eters with TMS as the reference. Mass spectra (ESI analysis) were recorde d on a micrOTOFEQ spectrometer (LC/MS). Single crystal XEray diffraction data were  collected on a SMART APEX 2 XEray diffractometer equipped with a normal focus M oEtarget XEray tube (¦Ë = 0.71073 ?). Data reduction included absorption corrections by the multiEscan method. The structures were solved by direct methods and refine d by fullEmatrix leastEsquares using SHELXSE97. All nonEhydrogen atoms were refine d anisotropically. Hydrogen atoms were added at their geometrically ideal posit ions and refined isotropically.",affiliation
"Synthesis of bicyclo-oxacalix[2]benzene[3]pyrazine L A mixture of benzeneE1,3,5Etriol (5.0 g, 39.7 mmol)  and 2,6Edichloropyrazine (8.9 g, 59.5 mmol) in DMSO (200 ml) was stirred and heat ed to 85¡ãC. Cs 2CO 3 (19.4 g, 59.5 mmol) was added in portions within 3.5 h. Afte r the addition, the mixture was kept at this temperature for 30 min. The resultant solution was poured into 600 mL ice water, extracted by EtOAc (4 x 50 mL) and washed wi th brine. The organic extracts were dried with anhydrous Na 2SO 4. After removal of the solvent, the residue was purified by column chromatography (petroleum ether/  EtOAc, 4/1) to afford L as white powder (1.4g, 14.9%). 1H NMR (DMSOE d6, 500 MHz, ppm): ¦Ä 8.26 (s, 6H, PyEH), 6.82 (s, 6H, ArEH). 13 C NMR (DMSOE d6, 125 MHz, ppm): ¦Ä 158.1, 153.7, 126.0, 115.9. HRMS (ESI): m/z calcd [M + H +]  for C 24 H13 N6O6+: 481.0891; Found 481.0896.",comprehensive synthesis
"Synthesis of silver-containing supramolecular compl ex 1    To a 5 mL vial L (2.2 mg, 0.0046 mmol) dissolved in benzene (1 ml) was  added first, a blank solution of 3 ml benzene and acetonitrile ( 1:1) was then layered on top of the L solution, and finally, AgBF 4 (6.0 mg, 0.031mmol) dissolved in acetonitrile (1 ml) was layered on top of the blank solution. XEray qu ality single crystals of silverEcontaining complex 1 were obtained by slow evapora tion of the above solution in air and under DMF atmosphere at room temperature.",comprehensive synthesis
"Synthesis of silver-containing supramolecular compl ex {[Ag 4(L) 4.(NO 3)4](Ph) 2}n 2    To a 5 mL vial L (2.1 mg, 0.0044 mmol) dissolved in benzene (1 ml) was added first, a blank solution of 3 ml benzene and acetonitrile (1 :1) was then layered on top of the L solution, and finally, AgNO 3 (4.0 mg, 0.024mmol) dissolved in acetonitrile (1 ml) was layered on top of the blank solution. XEray qu ality single crystals of silverEcontaining complex 2 were obtained by slow evaporation of the above solution in air at room temperature (1.8 mg, 60.6 %). IR (KBr): 3 448.8, 3086.9, 2361.9, 1666.2, 1543.4, 1445.8, 1416.0, 1385.7, 1305.7, 125 2.7, 1189.1, 1153.4, 1114.8, 1050.1, 992.1, 872.8, 857.2, 737.0, 695.0, 663.4, 6 35.9, 557.1, 488.3. Anal. Calcd for C108 H60 N28 O36 Ag 4: C, 47.00; H, 2.18; N, 14.22. Found: C, 46.11; H, 2.1 0; N, 13.70.",comprehensive synthesis
"Synthesis of silver-containing supramolecular compl ex [(AgL .NO 3).DMF] n 3    To a 5 mL vial L (2.0 mg, 0.0042 mmol) dissolved in THF (1 ml) was added  first, a blank solution of 3 ml THF and acetonitrile (1:1) was then layered on top of the L solution, and finally, AgNO 3 (7.5 mg, 0.044 mmol) dissolved in acetonitrile (1 ml) was layered on top of the blank solution. XEray q uality single crystals of silverEcontaining complex 3 were obtained by slow evaporation of the above solution under DMF atmosphere at room temperature (1.9 mg, 62.5 %). IR (KBr): 3435.1, 3084.4, 1590.3, 1546.7, 1472.7, 1447.5, 1414.0, 138 4.3, 1308.1, 1254.2, 1186.7, 1154.3, 1113.6, 1007.8, 991.5, 874.0, 847.2, 663.5,  494.0. Anal. Calcd for C27 H19 N8O10 Ag: C, 44.79; H, 2.63; N, 15.48. Found: C, 44.28; H, 2 .66; N, 15.27.",comprehensive synthesis
"Synthesis of copper-containing complex {[Cu 2(L) 2.(NO 3)4.ACN](Ph) 4}n 4 and {[CuL .(NO 3)2](Ph) 2}n 5    To a 5 mL vial L (2.5 mg, 0.0052 mmol) dissolved in benzene (1 ml) was added first, a blank solution of 3 ml benzene and acetonitrile ( 1:1) was then layered on top of the L solution, and finally, Cu(NO 3)2 (7.5 mg, 0.0400 mmol) dissolved in acetonitrile (1 ml) was layered on top of the blank solu tion. Single crystals of copperEcontaining supramolecular complex 4 (green, major) and 5 (yellow, minor) were obtained by slow evaporation of the above solution i n air at room temperature  S7(2.0 mg in total). IR (KBr) for complex 4 and 5: 3443.5, 3435.2, 3101.0, 2361.6, 1596.2, 1593.2, 1546.9, 1545.4, 1506.9, 1503.0, 147 3.4, 1457.7, 1448.0, 1447.8, 1436.7, 1416.9, 1384.0, 1329.4, 1304.7, 1252.7, 119 6.1, 1193.5, 1150.3, 1113.9, 1059.5, 992.5, 873.0, 619.1, 664.3, 570.2, 482.1. W e were unable to separate complexes 4 (green) and 5 (yellow), thus, elemental analysis was not carried ou t.",comprehensive synthesis
"Synthesis of copper-containing supramolecular compl ex {[CuL .(NO 3)2](THF) 2}n 6     To a 5 mL vial L (2.7 mg, 0.0056 mmol) dissolved in THF (1 ml) was adde d first, a blank solution of 3 ml THF and acetonitrile (1:1) was then layered on top of the L solution, and finally, Cu(NO 3)2 (39 mg, 0.2079 mmol) dissolved in acetonitrile (1 ml) was layered on top of the blank solution. XEray qua lity single crystals of  S8complex 6 were obtained by slow evaporation of the above solutio n in air at room temperature (2.4 mg, 52.2 %). IR (KBr): 3091.6, 2426. 4, 1595.9, 1546.7, 1507.0, 1473.0, 1447.8, 1415.0, 1383.7, 1314.0, 1253.6, 119 5.3, 1150.2, 1114.3, 1058.1, 1004.3, 992.4, 873.2, 727.9, 663.6, 637.0, 572.8, 5 33.6, 481.4. Anal. Calcd for C32 H28 N8O14 Cu: C, 47.28; H, 3.45; N, 13.79. Found: C, 45.45; H, 3 .34; N, 13.56.",comprehensive synthesis
"Synthesis of copper-containing supramolecular compl ex {[(CuL .Cl 2)](THF) 2}n 7    To a 5 mL vial L (2.7 mg, 0.0057 mmol) dissolved in THF (1 ml) was adde d first, a blank solution of 3 ml THF and acetonitrile (1:1) was then layered on top of the L solution, and finally, CuCl 2.2H 2O (33.5 mg, 0.1965 mmol) dissolved in acetonitrile (1 ml) was layered on top of the blank solu tion. XEray quality single crystals of complex 7 were obtained by slow evaporation of the above solution in air at room temperature (2.0 mg, 46.2 %). IR (KBr): 3434.5 , 3096.4, 1593.9, 1546.8, 1507.1, 1473.1, 1457.3, 1446.3, 1414.6, 1385.4, 136 2.8, 1327.2, 1306.4, 1253.5, 1193.2, 1151.3, 1113.7, 1057.3, 1004.9, 992.2, 873. 1, 850.8, 663.6, 528.5, 480.3. Anal.",comprehensive synthesis
"Synthesis of zinc-containing supramolecular complex  {[ZnL .(NO 3)2](Ph) 2}n 8    To a 5 mL vial L (2.0 mg, 0.0042 mmol) dissolved in benzene (1 ml) was added first, a blank solution of 3 ml benzene and acetonitrile ( 1:1) was then layered on top of the L solution, and finally, Zn(NO 3)2.6H 2O (15 mg, 0.0504 mmol) dissolved in acetonitrile (1 ml) was layered on top of the blank solu tion. XEray quality single crystals of complex 8 were obtained by slow evaporation of the above solution in  air at room temperature (2.4 mg, 66.6 %). IR (KBr): 3451.2 , 3087.7, 1586.7, 1545.7, 1503.56, 1447.7, 1418.3, 1384.1, 1331.9, 1304.2, 12 54.6, 1197.4, 1153.7, 1114.8, 1049.2, 1007.2, 992.5, 875.5, 855.3, 735.7, 685.6, 664.9, 636.5, 569.3, 516.7, 483.9.",comprehensive synthesis
"Synthesis of zinc-containing supramolecular complex  {[ZnL .(NO 3)2](THF) 2}n 9    To a 5 mL vial L (2.5 mg, 0.0052 mmol) dissolved in THF (1 ml) was adde d first, a blank solution of 3 ml THF and acetonitrile (1:1) was then layered on top of the L solution, and finally, Zn(NO 3)2.6H 2O (10 mg, 0.0336 mmol) dissolved in  S10 acetonitrile (1 ml) was layered on top of the blank solu tion. XEray quality single crystals of complex 9 were obtained by slow evaporation of the above solution in  air at room temperature (3.0 mg, 70.9 %). IR (KBr): 3485.5 , 3095.4, 2973.2, 1658.2, 1640.9, 1596.5, 1546.8, 1499.8, 1473.3, 1447.2, 142 1.7, 1300.2, 1253.3, 1220.1, 1187.7, 1152.3, 1113.5, 1061.5, 988.2, 867.8, 811.7 , 735.3, 689.6, 663.9, 635.1, 570.4, 522.9, 511.2, 483.9. Anal. Calcd for C 32 H28 N8O14 Zn:  C, 47.18; H, 3.44; N, 13.76.",comprehensive synthesis
