content,category
"These kind of host 每guest recognition features of CBPQT4+and its homologous cyclophanes can be used to ful 祈ll varioustasks, including the construction of molecular switches10andmachines11in the form of rotaxanes12and catenanes,13waterpuri祈cation viathe extraction of aromatic compounds into thehost,14and the stabilization of unusual guest conformations.15There are still several limitations, however, in the design prin-ciples of these cyclophanes.aDepartment of Chemistry, Zhejiang University, Hangzhou 310027, P. R. China.",affiliation
"E-mail: lihao2015@zju.edu.cnbDepartment of Chemistry, Northwestern University, 2145 Sheridan Road, Evanston,Illinois 60208, USA. E-mail: stoddart@northwestern.educSchool of Science, Westlake University, 18 Shilongshan Road, Hangzhou 310024, P. R.",affiliation
"ChinadInstitute for Molecular Design and Synthesis, Tianjin University, Tianjin 300072, P. R.",affiliation
"5 School of Chemistry, University of New South Wales, Sydney, NSW 2052, Australia.",affiliation
"ChinaeSchool of Chemistry, University of New South Wales, Sydney, NSW 2052, Australia?Electronic supplementary information (ESI) available. CCDC 1858887 每1858890and 1858892. For ESI and crystallographic data in CIF or other electronicformat see DOI: 10.1039/c9sc00591aCite this: Chem. Sci. ,2 0 1 9 , 10, 5114All publication charges for this articlehave been paid for by the Royal Societyof ChemistryReceived 1st February 2019Accepted 11th April 2019DOI: 10.1039/c9sc00591arsc.li/chemical-science5114 |Chem. Sci. ,2 0 1 9 , 10,5 1 1 4 每5123 This journal is ? The Royal Society of Chemistry 2019ChemicalScienceEDGE ARTICLEOpen Access Article. Published on 23 April 2019. Downloaded on 1/12/2024 2:52:54 PM.",CCDC
"1.2) Crystal  dataC39H30N6?(C 2F3O2)3, M = 921.75, monoclinic,  space group P21/m  (no. 11), a = 13.6264(5) ?,  b = 30.4112(12) ?, c = 14.0126(5) ?, 汕 = 100.631(2)～, V = 5707.1(4) ?3, Z = 4, T = 100 K,  米(CuK汐) = 0.800 mm-1, Dcalc =  1.073 g/mm3, 30865 reflections measured (5.812 ≒ 2成 ≒ 127.63), 9551 unique (Rint = 0.0274, Rsigma = 0.0266) which  were used in all calculations.  The final R 1 was 0.1063  (I > 2考(I))  and wR 2 was 0.3680 (all data).  CCDC  number:  1858887Distance restraints were  imposed  on the disordered anions as well as restraints  on similar amplitudes separated by less than 1.7 ?. The solvent  masking procedure  as implemented  in Olex2 was used to remove the electronic  contribution  of solvent molecules from the refinement. As the exact solvent content is not known, only the atoms used in the refinement  model are reported in the formula here. Total solvent accessible volume / cell = 1871.5 ?3 [32.7%] Total electron count / cell  = 388.9.S261.3) Solid-state (super) structuresFigure S37. Thermal ellipsoids (50% probability) plot  of AzaEx2Cage? 6CF 3CO 2.",CCDC
"2.2) Crystal  dataC78H60N12?(PF 6)6?(C 2H3N)4, M = 2199.41, triclinic, space group P (no.2), a = 13.9020(14) ?, b = 19.595(2)  ?, c = 25.262(2)  ?, 汐 = 83.509(8)～,  汕 = 84.344(8)～,  污 = 85.297(8)～, V = 6786.9(12)  ?3, Z = 2, T = 100 K,  米(CuK汐) = 1.525 mm-1, Dcalc = 1.076 g/mm3, 13490 reflections  measured (3.534 ≒ 2成 ≒ 101.668), 13490 unique (Rint = ?, Rsigma = 0.1522)  which were  used in all calculations. The final R1 was 0.2253 (I > 2考(I)) and wR 2 was 0.5309  (all data). CCDC  number: 1858888The enhanced rigid-bond restraint (SHELX keyword RIGU) was applied globally, as well as restraints on similar  amplitudes separated  by less than 1.7 ?. An ISOR restraint  was S28imposed on N6 so that it would make it more isotropic. The crystal under  investigation was found to be non-merohedrally twinned. The orientation matrices for the two components  were identified using  the program Cell_Now, and the data were  processed using both orientation matrices with SAINT, the exact twin matrix identified by the integration  program was found to be (?1.00035 0.00350 ?0.00026 / ?0.19461 1.00018 ?0.16596 / 0.00008 ?0.00192 ?0.99983). The second domain is rotated from first domain  by 180o about the real lattice b axis. The absorption correction was carried out using TWINABS V2008/4 to create an hklf5 file which was used in all refinements; the structure was solved using direct methods with only the non-overlapping reflections of component 1. The twin fraction  refined to a value of 0.310(4). Diffuse, disordered solvent molecules could not be adequately modeled.",CCDC
"4.2) Crystal  dataC78H60N12﹞(C 26H40O10)0.5﹞(PF 6)6﹞(C 2H3N)4, M = 2455.70, triclinic, space group P (no. 2), a = 13.6331(5) ?,  b = 20.6544(8) ?, c = 24.9241(10)  ?, 汐 = 72.715(3)～, 汕 = 85.475(3)～,  污 = 81.308(2)～, V = 6620.0(5) ?3, Z = 2, T = 170 K, 米(GaK汐)  = 1.060 mm-1, Dcalc = 1.232 g/mm3, 81234 reflections measured (6.46 ≒ 2成 ≒ 109.932), 25036 unique (Rint = 0.0681, Rsigma = 0.0728) which were  used in all calculations. The final R1 was 0.1278 (I > 2考(I)) and wR 2 was 0.4100 (all data). CCDC  number: 1858890Distance restraints were imposed  on the guest molecule. The enhanced  rigid-bond restraint (SHELX keyword  RIGU) was applied on O4, O5, C85 and C84. The contributions to the scattering factors  due to disordered  solvent molecules were  removed by use of the utility SQUEEZE  in PLATON.",CCDC
"5.2) Crystal  dataC78H60N12﹞(C 17H10O)3﹞(C 26H40O10)0.5﹞(PF 6)6﹞(C2H3N)1﹞(H 2O)1, M = 3041.30, triclinic, spacegroup P (no. 2), a = 13.9039(5) ?, b = 22.9522(9) ?, c = 23.8176(9) ?,  汐 = 82.666(2)～, 汕 = 84.915(2)～, 污 = 85.037(2)～, V = 7487.2(5) ?3, Z = 2, T = 170 K,  米(GaK汐) = 1.019 mm-1, Dcalc =  1.349 g/mm3, 81897 reflections measured  (5.568  ≒ 2成 ≒ 93.606), 20061 unique (Rint = 0.0646, Rsigma = 0.0653)  which  were used in all calculations. The final R1 was 0.1575 (I > S342考(I)) and wR 2 was 0.4621 (all data). CCDC  number: 1858892Distance restraints were imposed on the PCA guest molecule. The enhanced  rigid-bond restraint (SHELX keyword RIGU)  was applied on the PCA  and BH4EN. The guest  molecules were restrained esd that their Uij components approximate  to isotropic. The solvent masking  procedure as implemented  in Olex2 was used to remove  the electronic  contribution of solvent molecules from the  refinement.",CCDC
"Chemical shifts are reported in ppm relative to the signals  corresponding  to the residual non-deuterated solvents (CDCl 3: 汛 = 7.26 ppm, CD 3CN: 汛 =1.94  ppm, D2O: 汛 = 4.79 ppm). High-resolution mass  spectra  were recorded on an Agilent 6210 Time-of-Flight (TOF)  LC-MS, using an ESI source, coupled  with Agilent 1100 HPLC stack, using direct infusion (0.6 mL min?1 Measurements at X-band (9.5 GHz)  were performed with a Bruker Elexsys E580, equipped with a variable  Q dielectric resonator (ER-4118X-MD5-W1). Cyclic  voltammetry experiments were performed on a Gamry  multipurpose  instrument  interfaced  to a PC, using a glassy carbon  working electrode (0.071 cm2, Cypress system). The electrode surface  was polished routinely  with an alumina/water  slurry on a felt surface immediately before use. The counter electrode was a Pt coil and the reference  electrode  was an AgCl coated  Ag wire. The concentrations of the samples were  0.5 mM in 100 mM electrolyte solutions of tetrabutylammonium hexafluorophosphate (TBAPF 6) in DMF. S42. Synthetic  ProceduresScheme S1.  Synthesis of TBTP ?3PF 6TBTP?3PF 6: A suspension of TBT  (1.05  g, 1.8 mmol) in MeCN  (20 mL) was added  in five aliquots slowly  over 6 h into a refluxing solution of 4,4'-bipyridine (6.03, 38 mmol)  in a mixed anhydrous  solvent containing  DMF (50 mL) and MeCN (50 mL) at 90 ～C. The reaction mixture was further stirred  for another 72 h at 90 ～C. After  cooling  to room  temperature, the yellow  precipitate was collected by filtration  and washed  with Me 2CO and CH 2Cl2. The precipitate was dissolved in H2O (250 mL) followed by the addition of NH 4PF6 (~2 g), resulting  in precipitation of pure TBTP?3PF 6 (1.90 g, 85%) as a light red solid that was collected by filtration. 1H NMR (600 MHz, CD 3CN): 汛 = 8.90 (d, J = 6.9 Hz, 6H), 8.87?8.85 (m, 12H), 8.36 (d, J = 6.9 Hz, 6H), 7.81 (d, J1 = 6.2 Hz, 6H), 7.70 (d, J1 = 8.3 Hz, 6H), 5.88  (s, 6H). 13C NMR (125 MHz, CD 3CN): 汛  = 172.1, 155.7, 152.0, 146.1, 142.2, 138.5, 138.1, 130.8, 130.6, 127.3, 122.9, 64.6. HRMS (ESI): m/z calcd for C54H42F12N9P2 [M 每 PF6]+ 1106.2847, found 1106.2831; calcd  for C54H42F6N9P [M 每 2PF 6]2+ 480.6597, found 480.6609.S5Scheme S2.  Synthesis of AzaEx2Cage?6PF 6AzaEx2Cage? 6PF 6: TBT (176.5  mg, 0.30 mmol) and TBTP?3PF 6 (375.5 mg, 0.30 mmol) were stirred in anhydrous  MeCN (150 mL) at 60 ～C under a N2 atmosphere  until all solids had been completely  dissolved. TBAI (15.0 mg, 0.04 mmol) was added to the above solution.",comprehensive synthesis
