content,category
"Diffraction grade single crystals of the inclusion complexes¡ªincluding anthracene ? 36+, phenanthrene ? 36+, pyrene ? 36+, perylene ? 36+, triphenylene ? 36+, and the ¡°empty¡± cage 36+ (the counteranions are PF 6?)¡ªwere obtained by vapor diffusion of isopropyl ether into the corresponding MeCN solutions of the com-plexes or cages, which provided (Fig.?2) unambiguous evidence for the complex formation. The distance between each of the guests and the TPZ3+ platforms are around 3.3 ?, confirming the occurrence of Department of Chemistry, Zhejiang University, Hangzhou 310027, China.",affiliation
"b) Crystal  parameters  [C54H51N21¡¤(PF6) 6]2¡¤(MeCN) 14, Yellow  block  (0.38 ¡Á0.32¡Á0.23mm), Triclinic , space  group  P-1, a = 15.0766 (8) ?, b = 15.9632 (9) ?, c = 22.1002 (11) ?, ¦Á = 103.026 (5)¡ã, ¦Â = 96.637 (4)¡ã, ¦Ã = 108.618 (5)¡ã, V = 4808.5 (5) ?3, Z = 1, T = 173 K, ¦Ñcalc = 1.490 g/cm3, ¦Ì(GaK¦Á)  = 0.237 mm-1. A total of 17488  reflections  were  collected,  of which  8957  were unique.  Final  R1 (I > 2¦Ò(I))  = 0.1431, wR 2 = 0.4260 (all data)  and Rint = 0.0666 . The structure  was solved  by direct  method  and different  Fourier  syntheses.  Using  Olex2,S4 the structure  was solved  with the ShelXTS5 structure  solution  program  using  Intrinsic  Phasing  and refined  with the ShelXLS6 refinement  package  using  Least  Squares  minimization.  CCDC  number : 1884506 .",CCDC
"b) Crystal  parameters  C14H10?[C54H51N21¡¤(PF6) 6]¡¤(MeCN) 2, Black  block  (0.12¡Á0.08¡Á0.05mm), Triclinic , space  group  P-1, a = 16.8364 (17) ?, b = 17.6878 (17) ?, c = 19.2464 (19) ?, ¦Á = 112.280 (6)¡ã, ¦Â = 108.944 (6)¡ã, ¦Ã = 95.017 (7)¡ã, V = 4869.1 (9) ?3, Z = 2, T = 173 K, ¦Ñcalc = 1.449 g/cm3, ¦Ì(GaK¦Á)  = 1.369  mm-1. A total of 54753  reflections  were  collected,  of which  18622  were unique.  Final  R1 (I > 2¦Ò(I))  = 0.1636, wR 2 = 0.4814 (all data)  and Rint = 0.0820 . The structure  was solved  by direct  method  and different  Fourier  syntheses.  Using  Olex2,S4 the structure  was solved  with the ShelXTS5 structure  solution  program  using  Intrinsic  Phasing  and refined  with the ShelXLS6 refinement  package  using  Least  Squares  minimization.  CCDC  number : 188450 7.",CCDC
"b) Crystal  parameters  C14H10?[C54H51N21¡¤(PF6) 6]¡¤(MeCN) , Red block  (0.3¡Á0.25¡Á0.18mm), Monoclinic , space  group  C2/c , a = 23.1315 (5) ?, b = 26.3589 (6) ?, c = 34.1052 (7) ?, ¦Á = 90¡ã, ¦Â = 107.443 (10)¡ã, ¦Ã = 90¡ã, V = 19838.4 (8) ?3, Z = 8, T = 173 K, ¦Ñcalc = 1.397 g/cm3, ¦Ì(GaK¦Á)  = 1.335 mm-1. A total of 108860  reflections  were  collected,  of which  18873 were unique.  Final  R1 (I > 2¦Ò(I))  = 0.1684, wR 2 = 0.3563  (all data)  and Rint = 0.1102 . The structure  was solved  by direct  method  and different  Fourier  syntheses.  Using  Olex2,S4 the structure  was solved  with the ShelXTS5 structure  solution  program  using  Intrinsic  Phasing  and refined  with the ShelXLS6 refinement  package  using  Least  Squares  minimization.  CCDC  number : 18845 10.",CCDC
"b) Crystal  parameters  C16H10?[C54H51N21¡¤(PF6) 6], Red block  (0.08¡Á0.05¡Á0.03mm), Monoclinic , space  group  C2/c , a = 23.1092 (10) ?, b = 26.6210 (12) ?, c = 33.9847 (15) ?, ¦Á = 90¡ã, ¦Â = 107.071 (2)¡ã, ¦Ã = 90¡ã, V = 19985.9 (15) ?3, Z = 8, T = 173 K, ¦Ñcalc = 1.373 g/cm3, ¦Ì(GaK¦Á)  = 2.048  mm-1. A total of 72217  reflections  were  collected,  of which  19007  were unique.  Final  R1 (I > 2¦Ò(I))  = 0.1749, wR 2 = 0.4788  (all data)  and Rint = 0.1053 . The structure  was solved  by direct  method  and different  Fourier  syntheses.  Using  Olex2,S4 the structure  was solved  with the ShelXTS5 structure  solution  program  using  Intrinsic  Phasing  and refined  with the ShelXLS6 refinement  package  using  Least  Squares  minimization.  CCDC  number : 18845 09.",CCDC
"b) Crystal  parameters  C18H12?[C54H51N21¡¤(PF6) 6]2¡¤(MeCN) 7, Red block  (0.25 ¡Á0.2¡Á0.15mm),  Monoclinic , space  group  P21/c, a = 22.9926 (8) ?, b = 26.7924 (9) ?, c = 34.0046 (12) ?, ¦Á = 90¡ã, ¦Â = 106.189 (2)¡ã, ¦Ã = 90¡ã, V = 20117.1 (12) ?3, Z = 4, T = 173 K, ¦Ñcalc = 1.463 g/cm3, ¦Ì(GaK¦Á)  = 1.344  mm-1. A total of 38248  reflections  were  collected,  of which  8971  were unique.  Final  R1 (I > 2¦Ò(I))  = 0.1090, wR 2 = 0.2808  (all data)  and Rint = 0.1083 . The structure  was solved  by direct  method  and different  Fourier  syntheses.  Using  Olex2,S4 the structure  was solved  with the ShelXTS5 structure  solution  program  using  Intrinsic  Phasing  and refined  with the ShelXLS6 refinement  package  using  Least  Squares  minimization.  CCDC  number : 18845 11.",CCDC
"b) Crystal  parameters  C20H12?[C54H51N21¡¤(PF6) 6]¡¤(MeCN) 6, Green  block  (0.15 ¡Á0.08¡Á0.05mm),  Triclinic , space  group  P-1, a = 16.4336 (15) ?, b = 17.2592 (18) ?, c = 21.478 (2) ?, ¦Á = 75.481 (7)¡ã, ¦Â = 71.518 (6)¡ã, ¦Ã = 80.219(7) ¡ã, V = 5565 .9(10) ?3, Z = 2, T = 170 K, ¦Ñcalc = 1.41 g/cm3, ¦Ì(GaK¦Á)  = 1.243  mm-1. A total of 21117  reflections  were  collected,  of which  2400  were unique.  Final  R1 (I > 2¦Ò(I))  = 0.1239, wR 2 = 0.4043  (all data)  and Rint = 0.1445 . The structure  was solved  by direct  method  and different  Fourier  syntheses.  Using  Olex2,S4 the structure  was solved  with the ShelXTS5 structure  solution  program  using  Intrinsic  Phasing  and refined  with the ShelXLS6 refinement  package  using  Least  Squares  minimization.  CCDC  number : 18845 08.",CCDC
"Guest protection within cage cavityWithin the cavity of 36+, the guests are isolated from the bulk envi -ronment, which prevents them from reacting with other substrates in the bulk solutions (Fig.?3A). For example, combining an electron-  deficient alkyne 4 (69 mg) and anthracene (0.43 mg) in MeCN (0.6?ml) led to the formation of a Diels-Alder adduct 5, after heating the solution at 80¡ãC for 74 hours. The pseudo¨Cfirst-order rate constant kobs was determined to be 0.024?s?1 (Fig.?3B, black plot) by using 1H NMR spectroscopy. As a comparison, after encapsulating within the cavity of the cage 36+, the rate of Diels-Alder reaction was signifi -cantly decreased. kobs was measured to be 0.0029?s?1 (Fig.?3B, red plot), nearly one order of magnitude smaller than that in the absence of the host. Addition of a competitive guest, namely, pyrene, into the solution of anthracene ? 36+?6PF 6? could release anthracene into the bulk solution and turn on the Diels-Alder reaction. In this condi -tion, kobs was measured to be 0.014?s?1 (Fig.?3B, blue plot).",comprehensive synthesis
"Synthesis  of compound  13+¡¤3PF 6?: 2,4,6 -tri(pyridin -4-yl)-1,3,5 -triazine  (325.0  mg, 1.04 mmol)  and but-3-yn-1-yl 4-methylbenzenesulfonate  (3.5g, 15.6mmol)  were  combined  in DMF  (28 mL).",comprehensive synthesis
"The mixture  was stirred  at 100 ¡ãC 7d. The reaction  mixture  was then cooled  to room  temperature  and the solvent  was removed  under  vacuum . The crude  sample  was purified  by flash  column  chromatography  (H2O/methanol/nitromethane  (12:7:1); silica  gel, 200-300 mesh) , followed  by counteranion  exchange , yielding  the pure 13+¡¤3PF 6? (950mg, 92%) as a brown  solid. 1H NMR  (400 MHz,  CD 3CN): ¦Ä = 9.32 (d, J = 4.0 Hz, 6H), 9.09 (d, J = 4.0 Hz, 6H), 4.84 (t, J = 6.0 Hz, 6H), 3.04 (t, J = 6.0 Hz, 6H), 2.49 (s, 3H). 13C NMR  (100 MHz,  CD 3CN): ¦Ä = 168.9,  149.3,  146.0,  126.9,  77.6,  73.6,  59.8,  20.3.  HRMS -ESI for 13+¡¤3PF 6?, Calcd  for C32H27F6N6P: m/z = 308.0969  [M ¨C 2PF 6]2+; Found:  308.0950  [M ¨C 2PF 6]2+      Scheme  S2. Synthesis  of 23+?3PF 6¨C.",comprehensive synthesis
