content,category
"2 Department of Chemical Sciences, Bernal Institute, University of Limerick, Limerick V94T9PX, Republic of Ireland.",affiliation
"3 Center of Environmental Science and New Energy Technology, Tsinghua -Berkeley Shenzhen Institute, Tsinghua University, Shenzhen, 518055, China.",affiliation
"4 State Key Laboratory of Medicinal Chemical biology, Nankai University, Tianjin 300071, C hina.",affiliation
"5 College of Pharmacy, Nankai University, Tianjin, 300071, China.",affiliation
"6 Shenzhen Geim Graphene Center and Low -Dimensional Materials and Devices Laboratory, Tsinghua -Berkeley Shenzhen Institute (TBSI), Tsinghua University, Shenzhen 518055, China .",affiliation
"7 School  of Materials Science and Engineering, Nankai University,  Tianjin, 300071, China.",affiliation
"8 Key Laboratory of Advanced Energy Materials Chemistry (MOE), Nankai University, Tianjin 300071, China  Dedicated to the 100th anniversary of Nankai University        S2  General: All reagents were purchased from commercial sources and used without  further treatments. 1H NMR  spectra was recorded on  Bruker  AV400 instruments at 400 MHz.",affiliation
"Dynamic gas breakthrough measurement experiments  In typical breakthrough experiments, ~ 0.56 g of pre -activated NKPOC -1-¦Á was placed in quartz tubing (8 mm diameter) to form fixed bed. First, the adsorbent bed was purged under a 30 cm3 min-1 flow of He gas at 60 ?C for 60 min prior to breakthrough experiment. Upon cooling to room temperature, the gas flow was switched to the  desired gas mixtures at a particular flow rate (the respective flow rates are mentioned in the main manuscript). Herein, binary (2:1 C 3H4/C3H6 and C 3H4/C3H8) and ternary (2:1:1 C 3H4/C3H6/C3H8) C3-hydrocarbon mixtures were performed for breakthrough experi ments at 25 ?C and 1 bar. The outlet composition was continuously monitored by a gas chromatography (Shimadzu GC2030 with a FID detector)  until complete breakthrough was achieved. After each breakthrough experiment, the packed column bed was regenerated at 120 oC with constant He flow (30 cm3 min-1) for ~120 min to ensure complete sample regeneration.  The total gas flow rate s of C3H4/C3H6, C3H4/C3H8 and C 3H4/C3H6/C3H8 are 0 .95, 1.1 and 1.0 mL/min, respectively .  S3  Single crystal X -ray crystallography  Single crystals of NKPOC -1-¦Á (0.2 mm¡Á0.2 mm¡Á0.05 mm)  and NKPOC -1-¦Â (0.2 mm¡Á0.2 mm¡Á0.05 mm) were collected at 120 K on an Oxford SuperNova diffractometer equipped with graphite monochromated Mo -Ka radiation (¦Ë = 0.71073 ?).  The structures were solved by the direct method and refined by the full -matrix least -squares method on F2 with anisotropic thermal parameters for all non -hydrogen atoms.  We used the ¡®squeeze¡¯ of PLATON  to remove the disordered solvent molecules of NKPOC -1-¦Â, the SQUEEZE command was not performed for NKPOC -1-¦Á. Crystallographic data and structure refinement data are shown in Table S 3. The crystal data files of  NKPOC -1-¦Á and NKPOC -1-¦Â were deposited into the Cambridge Crystallographic Data Centre (CCDC) and assigned numbers  1904744 and 1904745, r espectively.",CCDC
"NKPOC -1-¦Á NKPOC -1-¦Â Empirical formula  C60H44N8O13 C62H46Cl4N8O12 CCDC number  1904744  1904745  Space group  P21/c P21/c Crystal system  monoclinic  monoclinic  a (?) 18.6187 (15) 20.7759(7)  b (?) 15.7648(10)  15.7504(6)  c (?) 17.9841(11)  18.2205(6)  ¦Á (deg)  90 90 ¦Â (deg)  103.318(7)  97.372(3)  ¦Ã (deg)  90 90 V (?)3 5136.7(6)  5913.0(4)  Z 4 4 Completeness  99.7%  99.6%  Dcalc (g/ cm3) 1.403  1.389  ¦Ì / mm-1 0.101  0.271  Final R indexes  R1 = 0.0908,  wR 2 = 0.2233  R1 = 0.0691,  wR 2 = 0.1879  GoF 1.039  1.058  References  (1) Abraham, M. J.; Murtola, T.; Schulz, R.; P¨¢ll, S.; Smith, J. C.; Hess, B.; Lindahl, E.",CCDC
"Experiment section  Synthesis an d Characterization  of NKPOC -1. N,N-bis(2 -aminoethyl)ethylenediamine (10  mmol) and [5,5' -biisobenzofuran] -1,1',3,3' -tetraone (15  mmol) were refluxed in acetic acid (120 mL) for 24  h under  Ar atmosphere. The solvent was removed under vacuum and the obtained residues were washed with dichl oromethane  to dissolve the organic cage molecules.",comprehensive synthesis
"Polymeric material was removed from the dichloromethane extract by filtration . The filtrate was concentrated  and purified by flash column chromatography over silica gel  (CH 2Cl2/CH 3CH 2CO 2CH 3, 5-15% CH 3CH 2CO 2CH 3) to afford pure  NKPOC -1 in 6% yield as white solid.  1H NMR (400 MHz, CDCl 3) ¦Ä 8.07 (d, J = 7.7 Hz, 6H), 7.47 (d, J = 7.7 Hz, 6H), 6.35 (s, 6H), 3.87 (d, J = 66.2 Hz, 18H), 1.94 (s, 6H) ppm.  13C NMR (101 MHz, CDCl 3): ¦Ä 167.77, 167.26, 144.16, 134.04,  132.67, 132.60, 123.53, 119.22, 52.47, 33.87 ppm. MS (m/z): calcd for [M+H]+=1067.3000 . found:1067.2991 .",comprehensive synthesis
