content,category
"CIF data for 36+﹞6Cl?(CIF)CIF data for Cl??36+﹞5PF 6?(CIF)CIF data for (Cl?)2?36+﹞4PF6?(CIF)CIF data for (Cl?﹞Br?)2?36+﹞4PF 6?(CIF)Synthetic procedures, NMR spectra, HRMS spectra, andX-ray crystallography details ( PDF)←AUTHOR INFORMATIONCorresponding AuthorHao Li ?Department of Chemistry, Zhejiang University,Hangzhou 310027, China; orcid.org/0000-0002-6959-3233 ; Email: lihao2015@zju.edu.cnAuthorsHongye Wang ?Department of Chemistry, ZhejiangUniversity, Hangzhou 310027, ChinaShuai Fang ?Department of Chemistry, Zhejiang University,Hangzhou 310027, ChinaGuangcheng Wu ?Department of Chemistry, ZhejiangUniversity, Hangzhou 310027, ChinaYe Lei ?Department of Chemistry, Zhejiang University,Hangzhou 310027, ChinaFigure 5. Side views of the solid-state structures of (a) Cl??36+﹞5PF6?, (b) Br??36+﹞5PF6?, (c) NO3??36+﹞5PF6?, (d, e) (Cl?﹞Cl?)?36+﹞4PF6?, and (f, g) (Cl?﹞Br?)?36+﹞4PF6?obtained fromseparate single crystal X-ray di ?raction analyses. Color codes: carbon,gray; nitrogen, blue; hydrogen, white; chlorine, green; bromine,brown. Disordered solvent molecules, PF6?counterions, andhydrogen atoms which are not involved in hydrogen bondinginteractions are omitted for clarity. Disorder occurs in the case ofCl??36+﹞5PF6?and Br??36+﹞5PF6?. In both cases, the anion guestsare observed to reside in both the primary and secondary binding siteswith relative occupancies of ca. 75% and 25%, respectively. In panels dand f, close contacts are observed between the anionic guests and thecorresponding proximal protons in the cage, including d1= 2.8 ?, d2=2.3 ?, d3= 2.3 ?, d4= 2.8 ?, d5= 3.5 ?, d6= 3.5 ?, d7= 3.0 ?, d8= 2.2?,d9= 2.3 ?, d10= 2.9 ?, d11= 3.4 ?, d12= 3.4 ?. The weakersecondary hydrogen bonds are labeled with red dashes.Journal of the American Chemical Society pubs.acs.org/JACS Articlehttps://dx.doi.org/10.1021/jacs.0c10253J. Am. Chem. Soc. 2020, 142, 20182 ?2019020188Qiong Chen ?Department of Chemistry, Zhejiang University,Hangzhou 310027, ChinaHongliang Wang ?Department of Chemistry, ZhejiangUniversity, Hangzhou 310027, China; orcid.org/0000-0001-9629-1743Yating Wu ?Department of Chemistry, Zhejiang University,Hangzhou 310027, ChinaChuhao Lin ?Department of Chemistry, Zhejiang University,Hangzhou 310027, ChinaXin Hong ?Department of Chemistry, Zhejiang University,Hangzhou 310027, ChinaSung Kuk Kim ?Department of Chemistry, Research Instituteof Natural Science, Gyeongsang National University, Jinju660-701, Korea;orcid.org/0000-0001-6995-1144Jonathan L. Sessler ?Department of Chemistry, TheUniversity of Texas at Austin, Austin, Texas 78712-1224,United States; orcid.org/0000-0002-9576-1325Complete contact information is available at:https://pubs.acs.org/10.1021/jacs.0c10253Author ContributionsAll authors have given approval to the ?nal version of themanuscript.",affiliation
"aDepartment of Chemistry, Zhejiang University, Hangzhou 310027, China; E-mail: lihao2015@zju.edu.cnbDepartment of Chemistry, The University of Texas at Austin, 105 E. 24th Street-A5300, Austin, TX 78712-1224 USAcDepartment of Chemistry, Research Institute of Natural Science, Gyeongsang National University, Jinju, 660-701, Korea.",affiliation
"b)  Crystal parameters   [C 51H58Cl6N12O5], Red block (0.08 ℅ 0.06 ℅ 0.05mm), monoclinic, space group C 1 2/c 1, a = 13.0476(9) ?, b = 18.8115(14) ?, c = 24.8223(18) ?, 汐 = 90～, 汕 = 92.579(3)～, 污 = 90～, V = 6086.3(8) ?3, Z = 4, T = 173 K, 老 calc = 1.235 g/cm3, 米(GaK汐) = 1.34139 mm-1. A total of 5713 reflections were collected, of which 5130 were unique. Final R 1(I > 2考(I)) = 0.1348 and wR 2 = 0.3022 (all data). The structure was solved by direct method and different Fourier syntheses. Using Olex2, the structure was solved with the ShelXT structure solution program using Intrinsic Phasing and refined with the ShelXL refinement package using Least Squares minimization. CCDC number: 2014359.",CCDC
"b)  Crystal parameters   [C 55H54ClF 30N14P5], yellow block (0.4 ℅ 0.29 ℅ 0.23 mm), monoclinic, space group P1 21/n 1, a = 15.633(14) ?, b = 26.74(2) ?, c = 16.948(14) ?, 汐 = 90～, 汕 = 103.15(4)～, 污 = 90～, V = 6899(10) ?3, Z = 4, T = 170 K, 老 calc = 1.609 g/cm3, 米(MoK汐) = 0.71073 mm-1. A total of 13891 reflections were collected, of which 8357 were unique. Final R 1(I > 2考(I)) = 0.0899 and wR 2 = 0.2783 (all data). The structure was solved by direct method and different Fourier syntheses. Using Olex2, the structure was solved with the ShelXT structure solution program using Intrinsic Phasing and refined with the ShelXL refinement package using Least Squares minimization. CCDC number: 2014341.",CCDC
"A total of 12910 reflections were collected, of which 9216 were unique. Final R 1(I > 2考(I)) = 0.1333 and wR 2 = 0.3085 (all data). The structure was solved by direct method and different Fourier syntheses. Using Olex2, the structure was solved with the ShelXT structure solution program using Intrinsic Phasing and refined with the ShelXL refinement package using Least Squares minimization. CCDC number: 2014360.",CCDC
"Final R 1(I > 2考(I)) = 0.1464 and wR 2 = 0.3751 (all data). The structure was solved by direct method and different Fourier syntheses. Using Olex2, the structure was solved with the ShelXT structure solution program using Intrinsic Phasing and refined with the ShelXL refinement package using Least Squares minimization. CCDC number: 2014362.",CCDC
"Final R 1(I > 2考(I)) = 0.1332 and wR 2 = 0.3402 (all data). The structure was solved by direct method and different Fourier syntheses. Using Olex2, the structure was solved with S44the ShelXT structure solution program using Intrinsic Phasing and refined with the ShelXL refinement package using Least Squares minimization. CCDC number: 2014363.",CCDC
"A total of 12886 reflections were collected, of which 9162 were unique. Final R 1(I > 2考(I)) = 0.1251 and wR 2 = 0.2933 (all data). The structure was solved by direct method and different Fourier syntheses. Using Olex2, the structure was solved with the ShelXT structure solution program using Intrinsic Phasing and refined with the ShelXL refinement package using Least Squares minimization. CCDC number: 2014364.",CCDC
"13+?3Br?: A solution of 3-hydrazinopyridine (1.00 g, 9.2 mmol) in 250 mL of acetone was heated to reflux for 1 h. 1,3,5-Tri(bromomethyl)benzene (328 mg, 0.92 mmol) was then added to the reaction mixture. The reaction was heated at reflux for another three days.",comprehensive synthesis
"The precipitate obtained in this way was collected via filtration and washed with hot acetone (3 ? 20 mL), yielding pure 13+?3Br? (680 mg, 92 %) as a yellow powder. 13??3Br? was characterized by recording its 1H NMR spectrum (Figure S1), 13C NMR spectrum (Figure S2), HSQC spectrum (Figure S3), HMBC spectrum (Figure S4), as well as by means of mass spectrometry (Figure S5). 1H NMR (400 MHz, DMSO-d 6): 汛 (ppm): 10.08 (s, 3H), 8.67(s, 3H), 8.47(d, J = 7.5 Hz, 3H), 8.10(d, J = 11 Hz, 3H), 7.89(dd, J = 11 Hz, J = 7.5 Hz, 3H), 7.60(s, 3H), 5.84(s, 6H) 1.990(d, J = 3.5 Hz, 18H). 13C NMR (100 MHz, DMSO-d 6)ㄩ汛 (ppm): 151.33, 146.06, 136.28, 133.50, 128.97, 128.10, 127.34, 126.72, 62.44, 24.92, 17.77. HRMS (ESI): m/z calculated for C 33H42N93+ [M]3+ 188.1182, found 188.1169; calculated for C 33H41N92+ [M-H]2+ 281.6737, found 281.6740; calculated for C33H42BrN 92+ [M+Br]2+ 321.6368, found 321.6375.S3NNNNBrBr Br3Br90%CH3CN/80oCO OOOScheme S2. Synthesis of 23??3Br?.",comprehensive synthesis
