content,category
"Herein,wereportfacilesynthesis oftwopureorganictetrahedral cages(TC-RandTC-S)usingabuildingblockthathassixactivealdehyde moieties,viadynamiciminecondensa-tion(Figure1andSchemeS1)withCA-RandCA-Sdiamines,respectively. Whileanalogous metallocage[17b]hasbeenre-portedbyusemploying ahexadentate pyrimidine ligand,the[a]P.Bhandari, Dr.P.Howlader, Prof.P.S.MukherjeeDepartment ofInorganic andPhysical ChemistryIndian Institute ofScienceBangalore-560012, IndiaE-mail: psm@iisc.ac.in[b]Dr.B.MondalDepartment ofChemistry, GuruGhasidas Vishwavidyalaya,Bilaspur, Chhattisgarh, 495009, IndiaSupporting information forthisarticle isavailable ontheWWW underhttps://doi.org/10.1002/ejic.202100986www.eurjic.orgResearch Articledoi.org/10.1002/ejic.202100986Eur.J.Inorg. Chem.2022,e202100986 (1of8) ?2021Wiley-VCH GmbH_twoT ^IN Jtoz??kr. 5513515355553; 2564463 d[156263f 4presentcages(TC-RandTC-S)represent thefirstexamples oftetrahedral organiccagesobtainedemploying ahexa-aldehydebuildingunit.Formation ofsuchcomplexorganiccagesfromsixteenbuildingunits[4112assembly] inasingle-step reactionisnoteworthy. Boththecovalenttetrahedral cagescomprisewithmultiplemetalbindingdi-iminemoietiesandlarge3Dconfinedcavity.TheorganiccageTC-Rwasfurtheremployed asasupportmaterialforthepreparation ofultrafinePdNPs(~3.5nm).Moreover, thecomposite [Pd(0)@TC-R-A] demon-stratedtobeanefficientheterogeneous catalystforselectivehomocoupling reactionofarylandhetero-aryl halidesforseveralcyclesofuse.",affiliation
AcknowledgementsP.S.M.isgrateful toSERB-New Delhi (India) forfinancial support.,affiliation
"P.B.acknowledges theIISc,Bangalore fortheresearch fellowship.",affiliation
"Research Articledoi.org/10.1002/ejic.202100986Eur.J.Inorg. Chem.2022,e202100986 (3of8) ?2021Wiley-VCH GmbH_twoT ^IN Jtoz??kr. 5513515355553; 2564463 d[159263f 4 10990682c, 2022, 7, Downloaded from https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/ejic.202100986 by Zhejiang University, Wiley Online Library on [26/09/2023]. See the Terms and Conditions (https://onlinelibrary.wiley.com/terms-and-conditions) on Wiley Online Library for rules of use; OA articles are governed by the applicable Creative Commons Licensesolutionwasaddeddropwise tothesolutionofcageTC-R(20mg,0.0057mmol)inchloroform. Theresultingmixturewasallowedtoreactfor2hoursatroomtemperature leadingtocolourchangefromcolourless todeepyellow(FigureS22).Thisobservation issolelyduetothePd(II)@TC-R complexationwhichwasfurtherconfirmed byFT-IR,UV-VisandXPSanalysis(FiguresS22¨CS28). Next,excessamountofNaBH4(22mg,0.57mmol)withmethanol wasaddedintothisreactionmixturewhichwassufficient toreducebothPd(II)metalsandalltheiminebondsoftheorganiccageTC-R.Theresultantsolutionproduced blackprecipitate after1hstirring.ThecompositematerialPd(0)@TC-R-A (Cage-PdNPs hybrid)wascollectedandwashedwithmethanol anddriedovernight. Unfortunately, theresultedblacksolidwasinsolubleinmostofthesolventswhichrestricted ustocharacterize itbysolutionphaseNMRandESI-MSanalysis.However, thetransformation ofiminelinkagestoreducedaminebondswasexamined bymonitoring solid-stateFT-IRplotofPd(0)@TC-R-A whereiminepeak(CEN)oftheparentcageTC-Rat1642cm1completely disappeared (Fig-ureS26).Also,severalliteratures alreadyreported thattheadditionofmethanolic NaBH4intosimilarkindsofreactionmixturepreceded toreduceboththemetalionsaswellasiminelinkagesoforganiccage.[10c,11d,f]As-synthesized PdNPs(Pd(0)@TC-R-A) werecharacterizedbyseveralspectroscopic techniques suchasUV-Vis,SEM,TEM,FT-IR,XPSandICP-MSanalysis(FiguresS22¨CS28). 43wt%palladium loadingwasassessedbyinductive coupledplasmonmassspectrometry (ICP-MS)analysiswhichisquitehighbyusingwetchemicalapproach.[20a]Transmission electronmicro-scopy(TEM)imagesexhibited thehomogeneously dispersedPdNPs(Pd(0)@TC-R-A) withaverageparticlessizeof3.5?0.3nm(Figure5).Considering thetheoretical estimate forintrinsiccavitydiameter (~1.34nm)fromtheDFToptimizedstructure(TC-R),theobserved PdNPs(3.5?0.3nm)werelargerinsize(FigureS20).So,itcanbecertainlyassumed thatthenucleation ofthePdNPswascommenced ateachvertexsitesoftetrahedral cageTC-R.Subsequently, asthereduction proceedsfurther,thetinyPdNPswereanchored intheinter-cages spaceandwereprotected bythesurrounding aromatic walls(Fig-ureS21).Also,theenergydispersive X-ray(EDX)mappingimages(FigureS24)weresnapped duringSEMexperimentwhichdisplayed thepresence ofPdatomsalongwithcageelements(CandN).",comprehensive synthesis
"Experimental SectionSynthesis ofTC-RInaround-bottom flask,thealdehyde HA(32mg,0.0499mmol)wasdissolvedin100mLCHCl3.10mLmethanol solutionof(1R,2R)-diaminocyclohexane (CA-R;17.07mg,0.1497mmol)wasaddeddropwise withstirringtotheabovesolution.Theresultingmixturewasstirredatroomtemperature (298K)forthreedays.Then,solventwasconcentrated andn-pentane wasaddedtoobtainsolidproduct.Theyellowish-white product(TC-R)waswashedseveraltimeswithmethanol. IsolatedYield:~91.5%(40mg,0.0114mmol).",comprehensive synthesis
"Synthesis ofPd(0)@TC-R-A Catalyst20mg(0.0057mmol,1eqv)ofTC-Rwasdissolved chloroform(8mL).A6mLsolutionofPd(OAc)2(32mg,0.143mmol,25eqv)inchloroform wasalsoprepared andaddedslowlytothecagesolution.Themixturewasstirredfor2hatroomtemperature toresultayellowsolution. 10mLMeOHand22mgNaBH4(0.57mmol)wereaddedportionwisetotheabovesolution.Thereactionmixtureturnedblack.Afterfurther1hstirring,theblacksolidwascollected bycentrifugation. Subsequently, theresultingsolidwaswashedwithMeOHseveraltoisolatePd(0)@TC-R-A afterovernight dryinginvacuum.",comprehensive synthesis
"GeneralProcedure forHomocoupling Reaction ofHaloarenesTypicalmethodforthehomocoupling reaction of4-bromoani-soleusingPd(0)@TC-R-A: In25mLRBflask,37.4mg(0.2mmol)of4-bromoanisole, 45mg(0.4mmol)ofK-tert-butoxide, and4mg(8mol%)ofPd(0)@TC-R-A weretakenin2mLDMF-water mixture(3:1,v/v).Theresulting mixturewasdegassed underinertatmosphere andstirredfor18hat110¡ãC(oilbath).Aftercompletion ofreaction,solidcatalystwasremovedbyfiltration.Thecatalystwaswashedwithwater/EtOAc anddriedinvacuumfornextcycleofuse.Thenthefiltratewasextracted withEtOAc(20mL¡Á3).Organicpartwaswashedwithwateranddriedoveranhydrous Na2SO4followedbycomplete removalofsolvent.Theresultingcrudemasswasanalyzedby1HNMRtocalculateproductconversion. Moreover, thecrudeproductwasfurtherpurifiedbycolumnchromatography (silicagel-100mesh)toobtainisolatedyield.",comprehensive synthesis
"4,4¡¯-dimethoxy-1,1¡¯-biphenyl. (whitecrystalline solid),NMRyield99%,isolatedyield~94%(20.1mg);1HNMR(400MHz,CDCl3):¦Ä7.49(d,JE7.5Hz,4H,ArH),6.97(d,JE7.0Hz,4H,ArH),3.85(s,6H,OCH3).13C{1H}NMR(100MHz,CDCl3):¦Ä158.9(ArC),133.6(ArC),127.9(ArC),114.3(ArC),55.5(OCH3).The1Hand13C{1H}NMRdataofthiscompound matchedwithpreviousreport.[20b]4,4¡¯-dimethyl-1,1¡¯-biphenyl. (whiteamorphous solid),NMRyield99%,isolatedyield~88%(16.1mg);1HNMR(400MHz,CDCl3):¦Ä7.49(d,JE7.5Hz,4H,ArH),7.25(d,JE7.2Hz,4H,ArH),2.39(s,6H,CH3).13C{1H}NMR(100MHz,CDCl3):¦Ä138.4(ArC),136.8(ArC),129.6(ArC),126.9(ArC),21.2(CH3).The1Hand13C{1H}NMRdataofthiscompound matchedwithpreviousreport.[20c]1,1¡¯-biphenyl. (whitepowdersolid),NMRyield99%,isolatedyield~91%(14mg);1HNMR(400MHz,CDCl3):¦Ä7.63(d,JE7.6Hz,4H,ArH),7.47(t,4H,ArH),7.37(m,2H,ArH).13C{1H}NMR(100MHz,CDCl3):¦Ä141.4(ArC),128.9(ArC),127.4(ArC),127.3(ArC).The1Hand13C{1H}NMRdataofthiscompound matched withpreviousreport.[20b]Research Articledoi.org/10.1002/ejic.202100986Eur.J.Inorg. Chem.2022,e202100986 (6of8) ?2021Wiley-VCH GmbH_twoT ^IN Jtoz??kr. 5513515355553; 2564463 d[15<263f 4 10990682c, 2022, 7, Downloaded from https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/ejic.202100986 by Zhejiang University, Wiley Online Library on [26/09/2023]. See the Terms and Conditions (https://onlinelibrary.wiley.com/terms-and-conditions) on Wiley Online Library for rules of use; OA articles are governed by the applicable Creative Commons License[1,1¡¯-biphenyl]-4,4¡¯-dicarbonitrile. (brownish solid),NMRyield99%,isolatedyield~88%(18mg);1HNMR(400MHz,CDCl3):¦Ä7.79(d,JE7.7Hz,4H,ArH),7.70(d,JE7.6Hz,4H,ArH).13C{1H}NMR(100MHz,CDCl3):¦Ä143.7(CN),133.0(ArC),128.1(ArC),118.5(ArC),112.6(ArC).The1Hand13C{1H}NMRdataofthiscompoundmatchedwithpreviousreport.[20b]4,4¡¯-bipyridine. (whitecrystalline solid),NMRyield99%,isolatedyield~86%(13.5mg);1HNMR(400MHz,CDCl3):¦Ä8.75(d,JE8.7Hz,4H,ArH),7.55(d,JE7.5Hz,4H,ArH).13C{1H}NMR(100MHz,CDCl3):¦Ä150.8(ArC),145.7(ArC),121.6(ArC).The1Hand13C{1H}NMRdataofthiscompound matchedwithpreviousreport.[20c]5,5¡¯-bipyrimidine. (yellowamorphous solid),NMRyield99%,isolatedyield~82%(13mg);1HNMR(400MHz,CDCl3):¦Ä9.30(s,2H,ArH),8.98(s,4H,ArH).13C{1H}NMR(100MHz,CDCl3):¦Ä159.0(ArC),154.9(ArC),128.5(ArC).The1Hand13C{1H}NMRdataofthiscompound matchedwithpreviousreport.[20b]LargescalecatalysisusingsamemodelreactionUsingidenticalcatalyticmethodandreactionconditions, alarge-scalecatalysis hasbeencarriedout.187mg(1mmol)of4-bromoanisole, 225mg(2mmol)ofK-tert-butoxide, and20mg(8mol%Pdwithrespecttosubstrate) ofPd(0)@TC-R-A weretakeninDMF-water mixture.Theresultingmixturewasdegassed underinertatmosphere andstirredfor18hat110¡ãC(oilbath).Aftercompletation ofthereaction,crudeproductwasextracted andcheckedfortheproductconversion by1HNMRanalysis.Further-more,thecrudeproductwaspurifiedbysilicagelcolumnchromatography. NMRyield99%,isolatedyield~92%(98.4mg).",comprehensive synthesis
"Synthesis of Pd(0)@TC -R-A Catalyst : 20 mg (0.0057 mmol, 1 eqv) of TC-R was dissolved chloroform (8 mL). A  6 mL solution of Pd(OAc) 2 (32 mg, 0.143 mmol, 25 eqv) in chloroform was also prepared and added slowly to the cage solution. The mixture was stirred for 2 h at room temperature to result a yellow solution. 10 mL MeOH and 22 mg NaBH 4 (0.57 mmol) were added portion wise to the above  solution. The reaction mixture turned black. After further 1 h stirring,   S3  the black solid was collected by centrifugation . Subsequently, the resulting solid was washed with MeOH several to isolate Pd(0)@TC -R-A after overnight drying in vacuum.",comprehensive synthesis
"Theattachment ofPdNPswiththecagecompound wasfurtherjustifiedbyN2gassorptionexperiments at77K.Theestimated surfaceareaofthecageTC-RandthehybridmaterialPd(0)@TC-R-A werefoundtobe94.4m2/gand28.4m2/g,respectively (FigureS25).Hence,itcanbeassumedthatthelossofpermanent porosityofcageTC-Rduetotheoccupancy ofPdNPsintheinter-molecular space.Finally,theXPSanalysisofPd(0)@TC-R-A exhibited twopeaksat340.6eVand335.3eVwhicharesignatures ofthePd(0)oxidation state(Figure5d).",surface area
