content,category
"¡öASSOCIATED CONTENT*SSupporting InformationAdditional experimental, crystallographic, and computationaldetails, including video ?les displaying the rotation of 3-dimensional structures to aid visualization. This material isavailable free of charge via the Internet at http://pubs.acs.org.¡öAUTHOR INFORMATIONCorresponding Authort.hasell@liv.ac.uk; aicooper@liv.ac.ukPresent Address¡ÎKim E. Jelfs: Department of Chemistry, Imperial CollegeLondon, South Kensington, London, SW7 2AZ, UnitedKingdom.",affiliation
"Little,? Kim E. Jelfs,? Edward O. Pyzer -Knapp,? Hilary Shepherd,? Dave J. Adams,? Graeme M. Day,? Andrew I. Cooper*,?  ? Department of Chemistry and Center  for Materials Discovery, University of Liverpool, Crown St., Liverpool L69 7ZD, UK  ? Depart ment of Chemistry, University of Southampton, Highfield, Southampton, SO17 1BJ, UK  KEYWORDS Porous organic cages; covalent organic frameworks; metal -organic frameworks; crystalline; amorphous; microporous; polymorph.",affiliation
"Synthesis. CC1 and CC2 were synthesized as previouslydescribed24,48and recrystallized from a 2:1 mixture of dichloro-methane and 1,4-dioxane. CC2 is synthesized from the racemicpropane 1,2-diamine. CC13 : 2-Methyl-1,2-propanediamine (1.529 g,0.0173 mol) was dissolved in dichloromethane (450 mL) in a 2 Lround-bottomed ?ask cooled in an ice bath. 1,3,5-Triformylbenzene(1.875 g, 0.0116 mol) was dissolved in dichloromethane (575 mL) in apressure-equalized dropping funnel and added dropwise over 24 h tothe 2-dimethyl-1,2-propanediamine solution with stirring. The reactionmixture was allowed to stir for a further 72 h at room temperatureupon complete addition, and the reaction was monitored by1H NMR.",comprehensive synthesis
"The solution was ?ltered and concentrated to ¡«30 mL using a rotaryevaporator at 20 ¡ãC. The solids were then isolated by precipitation byaddition to excess petroleum ether to give the product as a whitepowder. The product was vacuum-dried overnight to yield CC13 ¦Áas awhite powder in 81% yield (2.257 g). CC13 ¦Âwas prepared bydissolving CC13 in dichloromethane in a small vial that was placed ina larger vial containing 1,4-dioxane to allow slow di ?usion.1H NMR(CDCl 3, 400 MHz) ¦Ä: 8.21?8.11(m, 1 H, ?CH¬­N), 8.01 ?7.88 (m,1H ,?ArH), 3.80 (s, 1 H, N ?CH2?C), 1.51 (s, 3 H, ?C(CH3)2).13CNMR (CDCl 3, 100 MHz) ¦Ä: 161.2 ?160.7, 155.5 ?155.0, 137.1 ?136.6,129.3, 72.4, 61.3, 25.9 ppm. Acc. Mass MS m/z= 961.6 for C60H72N12[M]+. CHN Calcd: C, 74.97; H, 7.55; N, 17.48. Found: C, 74.04; H,7.35; N, 17.55.",comprehensive synthesis
"24Other porous organic cages were also described recently,prepared both via imine condensation,25?28and by directcarbon ?carbon bond formation.29The rapid development ofthis?eld since 2009 is demonstrated by the increase in surfaceareas attained for organic cage molecules, with surfaces areas ashigh as 2071 m2g?1reported by Mastalerz et al.30The samegroup also prepared a hydrogen-bonded molecular solid with aremarkable surface area of more than 2800 m2g?1.18A distinguishing feature of porous organic molecules15is thatthey can be dissolved in common solvents, allowing processingoptions that are unavailable for insoluble frameworks. Solubilityallows porous organic cages to be combined in a modular way,creating binary31and also ternary porous cocrystals.32Cagemolecules can also be cast into composite membranes33andincorporated into macroporous supports.34Porous organiccages were also shown to act as perfect molecular sieves forcertain C9 aromatic hydrocarbons35and as components insensor devices.36,37The vertex functionality in cage molecules can dictate boththe crystal packing and the topology of the resulting porenetwork. For example, a cyclohexane functionalized imine cage,CC3-R, packs in a window-to-window arrangement to generatea 3-D diamondoid pore network.",surface area
"Both polymorphs show a type I nitrogen sorption isothermwith a sharp, low-pressure step, indicative of a microporoussolid (Figure 3). Desolvated CC2¦Âis also porous to othergases, such as CH4,C O2, and H2, to a similar level as observedforCC2¦Á(SI, Figures S1 ?S3); however, CC2¦Âexhibits asigni?cantly lower uptake of nitrogen than CC2¦Á, and aconcomitantly lower surface area (330 m2g?1compared with533 m2g?1).CC2¦Âalso exhibits a greater slope in theadsorption branch of the isotherm at higher relative pressuresand more pronounced hysteresis in the desorption isotherm.",surface area
"CC2¦Â:E?ect of Crystallization Conditions on Micro-porosity. The precise crystallization conditions that are usedto prepare the CC2¦Âmaterial can also substantially a ?ect theporosity. Samples of CC2¦Âshowed variable gas uptakesbetween batches. In principle, the desolvation method mighta?ect the degree of cracking (Figure 4) and, hence, the totalporosity, but this was ruled out in a parallel synthesis study (SIFigure S4), which showed that the method of desolvation hadno statistically signi ?cant e ?ect on porosity. By contrast, themethod used for crystal growth had a major in ?uence, as shownby comparing slow-crystallized samples of CC2¦Âwith materialsthat were precipitated more rapidly from solution by rotaryevaporation of solvent (Figure 6). The apparent BET surfacearea of the rotary evaporated sample (720 m2g?1) was morethan twice as high as the slowly crystallized sample (330 m2g?1). However, powder di ?raction analysis for these twosamples suggests, super ?cially, rather little di ?erence betweenthe two samples, although close inspection does show broaderpeaks in the PXRD data for the sample produced by rapidcrystallization.",surface area
"Nitrogen sorption isotherms for desolvated samples derivedfrom the CC1 ¡¤1,4-dioxane solvate show signi ?cant micro-porosity (Figure 9), whereas previous polymorphs CC1¦Á24andCC1¦Â61are nonporous to N 2. The apparent BET surface areaof 333 m2g?1is comparable with CC2¦Â. Hence, despitechanges in the crystal packing upon desolvation, a connectedpore structure is maintained. This would be expected from thesolvent-accessible surface for an in silico desolvated structure(Figure 10); that is, notallowing for any structural rearrange-ments. Again, the number of nitrogen molecules adsorbed percage at P/P0= 0.1 is 2.7, in fair agreement with the three N2molecules per cage that would correspond to an idealized andfully occupied structure. The desolvated CC1 material is alsoporous to hydrogen (SI, Figure S8).",surface area
"40The cause of these steps is not yetfully understood, but we believe they are due to a subtle phasetransition at low pressure, which will be addressed in futurework. The apparent BET surface area was 517 m2g?1, and thegas uptake was 9.2 mmol g?1atP/P0= 0.99, but only 1.1 mmolg?1in the micropore range at P/P0= 0.1. The crystal habit ofFigure 9. Nitrogen sorption isotherm (at 77 K and 1 bar) of adesolvated sample of CC1 ¡¤1,4-dioxane.",surface area
"Figure 12. Nitrogen isotherms (at 77 K and 1 bar) for CC13 ¦ÁandCC13 ¦Â(lower and higher crystallinity) polymorphs, apparent BETsurface area = 517, 946, and 1173 m2g?1respectively.Journal of the American Chemical Society Articledx.doi.org/10.1021/ja409594s |J. Am. Chem. Soc. 2014, 136, 1438 ?1448 1444CC13 ¦Áis hexagonal needles (Figure 13a). Again, 1,4-dioxanewas evaluated as a ¡°directomer ¡±for 3-D window-to-windowpacking. As for CC1 and CC2 , the dioxane-directedcrystallization induced window-to-window packing in theCC13 solvate. Powder X-ray di ?raction showed little structuralchange upon removal of 1,4-dioxane (SI Figure S9 ?11),yielding a desolvated polymorph, CC13 ¦Â(Figure 14a).",surface area
