content,category
"[4]In 2009, thegroup of Cooper demonstrated that [6+4] cages, synthesizedby 12-fold imine condensation of 1,3,5-triformylbenzeneand chiral diamines, could be freed from enclathrated solv-ate molecules in the crystalline state to give materials withspecific surface areas of 624 m2g每1, according to theBrunauer每Emmett每Teller model.[5]Since then, this new re-search area has been developing very quickly,[6]and besidesimine condensation reactions[7每9]other types of reversiblereactions, such as that of boronic acids and diols, have beenapplied to synthesize shape-persistent organic cages thatcan be used to create porous materials with mesopores andspecific surface areas of 3758 m2g每1.[10]Still, one of the most porous cages with a very high sur-face area of 2071 m2g每1is based on the [4+6] condensation[a] Organisch-Chemisches-Institut, Ruprecht-Karls-Universit?tHeidelberg,Im Neuenheimer Feld 273, 69120 Heidelberg, GermanyE-mail: Michael.Mastalerz@oci.uni-heidelberg.dehttp://www.uni-heidelberg.de/fakultaeten/chemgeo/oci/mastalerz/index.htmlSupporting information for this article is available on theWWW under http://dx.doi.org/10.1002/ejoc.201500228.",affiliation
"[38]Triaminotriptycene ( 9) was synthesized according tothe protocol of Zhang and Chen.[40]For thin-layer chromatography,Silica gel 60 F 254plates from Merck were used, which were exam-ined under UV-light irradiation (254 and 365 nm). Flash columnchromatography was performed on silica gel from Sigma每Aldrich(particle size: 0.04每0.063 mm) by using petroleum ether, ethyl acet-ate, and glacial acetic acid. Melting points (not corrected) weremeasured with a B邦chi Melting Point B-540 device. IR spectra wererecorded with a Bruker Lumos spectrometer by using a Ge ATRcrystal. NMR spectra were taken with a Bruker Avance III 600(1H NMR: 600 MHz,13C NMR: 151 MHz), Avance III 500(1H NMR: 500 MHz,13C NMR: 125 MHz), Avance III 400(1H NMR: 400 MHz,13C NMR: 100 MHz), Avance DRX 300 andAvance III 300 (1H NMR: 300 MHz,13C NMR: 75 MHz) spec-trometers at 298 K, unless otherwise mentioned. Chemical shifts(汛) are reported relative to trace amounts of CHCl3(汛H= 7.26 ppm,汛C= 77.0 ppm), DMSO ( 汛H= 2.50 ppm, 汛C= 39.5 ppm), or tetra-chloroethane ( 汛H= 5.96 ppm, 汛C= 73.8 ppm) in the correspondingdeuterated solvent. HRMS (ESI) as well as HRMS (MALDI) ex-periments were performed with a Fourier Transform Ion CyclotronResonance (FT-ICR) mass spectrometer Bruker ApexQe hybrid9.4 T FT-ICR equipped with a 9.4 T superconducting magnet and 10990690, 2015, 15, Downloaded from https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/ejoc.201500228 by Zhejiang University, Wiley Online Library on [24/07/2023]. See the Terms and Conditions (https://onlinelibrary.wiley.com/terms-and-conditions) on Wiley Online Library for rules of use; OA articles are governed by the applicable Creative Commons LicenseD. Reinhard, L. Sch?ttner, V . Brosius, F . Rominger, M. Mastalerz FULL PAPERinterfaced to an Apollo II MTP Dual ESI/MALDI source, whereasHRMS (EI+) spectra were recorded under usage of a JEOL JMS-700 Magnetic Sector Instrument. MALDI mass spectra were mea-sured in positive mode with DCTB as matrix. Elemental analysiswas performed by the Microanalytical Laboratory of the Universityof Heidelberg by using an Elementar Vario Micro Cube. Crystalstructure analysis was accomplished with a Bruker APEX-II Qua-zar diffractometer with a molybdenum source [ 竹(MoK汐=0.71073 ?].[41]CCDC-1049101 (for 4d) and -1049102 (for 6) contain the supple-mentary crystallographic data for this paper. These data can beobtained free of charge from The Cambridge CrystallographicData Centre via www.ccdc.cam.ac.uk/data_request/cif.",CCDC
"First, route A was investigated. It started with the syn-thesis of 4-bromosalicyldialdehyde ( 2), which was achievedin about 35% yield by twofold Duff formylation by usingHMTA (2.3 equiv.) and TFA (solvent) as the reactants at100 ～C for 24 h according to the method of Svenstrup et al.,as previously reported.",comprehensive synthesis
"[14]A more recent publication de-scribes a slightly different protocol, for which under harsherconditions (110 ～C, 48 h, 20 equiv. HMTA) 2can be iso-lated in 92% yield.",comprehensive synthesis
"dialdehyde 4j. Upon applying the standard conditions(4 equiv. HMTA, 100 ～C, 3 days), 5jwas diformylated in10% yield to give 4jin addition to 70 % of monoaldehyde7j(Table 2, entry 1). By using higher temperatures (4 equiv.",comprehensive synthesis
"HMTA, 125 ～C), the yield of desired twofold formylatedproduct 4jincreased to 27% (Table 2, entry 2); by doublingthe amount of HMTA to 8 equiv., the yield was slightlyraised to 35% (Table 2, entry 3). For 5i, we observed aneven larger effect upon using harsher conditions, and theEur. J. Org. Chem. 2015 , 3274每3285 ? 2015 Wiley-VCH Verlag GmbH & Co. KGaA, Weinheim www.eurjoc.org 3277yield of the diformylated product increased from 25 to 73%(Table 2, entries 4 and 5). Nitro compound 4kwas isolatedin 33 % yield beside 30% of monoaldehyde 7k. Even penta-fluorophenyl-substituted salicyldialdehyde 4lwas accessiblein 57% yield (Table 2, entry 7), which could not be realizedat all by route A.",comprehensive synthesis
"Scheme 4. Duff formylation of electron-poor substituted 4-hydroxybiphenyls as the second step of route B. For conditions andyields, see Table 2.",comprehensive synthesis
"If5gwithout an electron-donating or electron-with-drawing group was treated with a slight excess amount ofHMTA (2.1 equiv.) for 3 h at 100 ～C, monoformylatedproduct 7gdominated with a yield of 74 % besides 4% of4g. By using 6 equiv. of HMTA (Table 2, entry 9) 4gwasthen again isolated in 49% yield besides 13% yield of themonoaldehyde. ?kermark has previously reported that 4gcan be synthesized in 92 % yield by using 20 equiv. ofHMTA.",comprehensive synthesis
"4-Bromo-2,6-diformylphenol (2): 4-Bromophenol ( 1; 13.5 g,70.0 mmol) and HMTA (22.3 g, 160 mmol) were dissolved in an-hydrous TFA (100 mL), and the mixture was heated to 100 ～C for24 h under an argon atmosphere. After cooling to room tempera-ture, the brownish solution was poured into 4 mHCl and left tocrystallize overnight. The yellow crystalline solid was filtered off,dried in vacuo, and purified by flash column chromatography onsilica gel (light petroleum ether/CH2Cl2, 5:2) to give two fractions.",comprehensive synthesis
"First fraction ( Rf= 0.40): monoaldehyde (3.71 g, 25 %), white solid;m.p. 104 ～C.1H NMR (300 MHz, CDCl 3):汛= 10.93 (s, -O H), 9.85(s, -C HO), 7.68 (d,4J= 2.5 Hz, H-3), 7.61 (dd,3J= 8.9 Hz,4J=2.5 Hz, H-5), 6.91 ppm (d,3J= 8.9 Hz, H-6) ppm. Second fraction(Rf= 0.13): Dialdehyde 2(5.86 g, 35 %), pale yellow crystallinesolid; m.p. 139 ～C.1H NMR (500 MHz, CDCl 3):汛= 11.54 (s, 1H, -O H), 10.19 (s, 2 H, -C HO), 8.06 ppm (s, 2 H, 3,5-H). Theanalytical data are in accordance with those previously pub-lished.",comprehensive synthesis
