content,category
"Results and discussionTo access new building blocks that might form 1D pore channels, we?rst synthesized a series of tetraaldehyde cage precursors withdifferent linker lengths (Fig. 2a). Three chiral tubular covalentcages, TCC1 ,TCC2 and TCC3 , were then synthesized from theseprecursors in [3+6] cycloimination reactions with R,R-o rS,S-cyclo-hexanediamine (CHDA) (Fig. 1e (Supplementary Section 1.3 givesdetailed experimental methods and synthesis of aldehyde pre-cursors)). Unlike our previous family of tetrahedral cages19,21,22,these tubular cages comprise two approximately triangularwindows, one at each end of the ＆tube＊, and they can be thoughtof as linear ditopic tectons for the assembly of 1D nanotubes1Department of Chemistry and Materials Innovation Factory, University of Liverpool, Crown Street, Liverpool L69 7ZD, UK.2School of Chemistry, Universityof Southampton, High ?eld, Southampton SO17 1BJ, UK.3Department of Chemistry, Imperial College London, South Kensington, London SW7 2AZ, UK.",affiliation
"All the single-crystal structures were re ?ned by full-matrix least squares on | F|2by SHELXL (ref. 58). Supplementary crystallographic information ?les, whichinclude structure factors, have been deposited with the Cambridge CrystallographicData Centre (CCDC) as deposition numbers CCDC 1453923, TCC1 -R﹞10.75(MeOH)﹞12.64(H 2O); CCDC 1453927, TCC2 -R﹞9.50(MeOH)﹞6.25(H 2O); CCDC1453928, TCC2 -R﹞4.33 (N-methyl-2-pyrrolidone (NMP))﹞4.00(MeOH); CCDC1453929, TCC2 -R﹞1.76(NMP); CCDC 1453924, TCC1 ﹞5.00(Et 2O); CCDC 1453932,TCC2 ﹞5.50(CH 2Cl2)﹞5.50(IPA); CCDC 1453930, TCC2 ﹞3.00(CH 2Cl2)﹞3.50(C 3H6O);CCDC 1453931, TCC2 ﹞2.88(CH 2Cl2)﹞3.46(C 3H6O)﹞3.25(H 2O); CCDC 1453934,TCC2 ; CCDC 1453933, TCC2 ﹞0.44(H 2O); CCDC 1453936, 2( TCC3 )﹞5.75(Et2O)﹞13.00(H 2O); CCDC 1453939, TCC3 ﹞2.50(H 2O); CCDC 1453937, TCC3 ;CCDC 1453938, TCC3 ﹞13.00(N 2); CCDC 1453935, TCC2 -S﹞TCC3 -R﹞17.00(CH 2Cl2)﹞17.00(C 4H8O2); CCDC 1453926, TCC2 -R﹞2.00( CC3-S)﹞13.00(C4H8O2)﹞8.00(CH 2Cl2); CCDC 1453925, TCC2 -R﹞2.00( CC3-S); CCDC 1491074,TCC1 -R﹞2.00( CC3-S)﹞10.65(C 4H10O)﹞10.65(CH 2Cl2); CCDC 1491073, TCC1 -R﹞2.00( CC3-S). These data ?les can be obtained free of charge from http://www.",CCDC
Space group  T [K] a [?] b [?] c [?] 汕 [～] V [?3] CCDC#  Section  TCC1 -R?MeOH  solvate  I213 100 30.095(5)  = a = a - 27259(14)  1453923  2.1.2.1  TCC2 -R?MeOH  solvate  P3121 100 19.490(4)  = a 26.295(5)  - 8650(4)  1453927  2.1.2.2  TCC2 -R?NMP?MeOH  solvat e[a] P3121 100  19.5496(10)  = a 26.3286(14)  - 8714.3(10)  1453928  2.1.2.3  TCC2 -R?NMP?MeOH  solvate[a] P3121 300 19.6140(8)  = a 26.1798(12)  - 8722.3(8)  1453929  2.1.2.3  Racemic  TCC1 ?Et2O solvate  R3?c 100 24.469(3)  = a 28.928(3)  - 15000(4)  1453924  2.2.2.1  Racemic  TCC2 ?IPA solvate  P6/mcc  100 16.439(3)  = a 32.483(5)  - 7602(3)  1453932  2.2.2.2  Racemic  TCC2 ?acetone  solvate  C2/c 100 27.9160(11)  24.1259(9)  16.9613(7)  90.518(2)  11422.9(8)  1453930  2.2.2.3  Racemic  TCC2?acetone  solvate  Cc 150 28.157(4)  22.837(3)  18.131(2)  94.162(3)  11628(3)  1453931  2.2.2.4  Racemic TCC2 desolvate  R3? 350 22.729(5)  = a 31.814(7)  - 14233(7)  1453934  2.2.2.4  Racemic TCC2 desolvate  R3? 150 22.593(3)  = a 31.714(4)  - 14019(4)  1453933  2.2.2.4  Racemic TCC3?Et2O solvate  R3? 100 22.553(4)  = a 83.972(18)  - 36989(16)  1453936  2.2.2.5  Racemic TCC3 solvate  R3?c 300 22.347(5)  = a 42.123(10)  - 18217(9)  1453939  2.2.2.5  Racemic TCC3 desolvate  R3?c 350 22.26(4)  = a 42.35(8)  - 18168(78)  1453937  2.2.2.5  Racemic TCC3?N 2 R3?c 100 22.420(3)  = a 42.177(5)  - 18360(5)  1453938  2.2.2.5  TCC2 -S?TCC3 -R?dioxane solvate  P3 100 16.532(3)  = a 37.422(6)  - 8857(3)  1453935  2.3 TCC2 -R?2(CC3 -S)?dioxane solvate  P6322 100 17.1566(6)  = a 121.803(4)  - 31049(2)  1453926  2.4.2  TCC2 -R?2(CC3 -S) desolvate  P6322 293 17.316(6)  = a 121.63(5)  - 31584(25)  1453925  2.4.2  TCC1 -R?2(CC3 -S)?dioxane solvate  P6322 150 17.397(2)  = a 57.414(7)  - 15049(4)  1491074  2.5 TCC1 -R?2(CC3 -S) desolvate  P6322 400 17.496(4)  = a 58.072(13)  - 15395(8)  1491073  2.5 [a] Crystallized from NMP/MeOH solvent mixture only .,CCDC
"2.1.2 Single crystal X-ray d ata for homochiral materials   2.1.2.1 TCC1 -R?10.75(MeOH)?12.64(H 2O) (I213)  TCC1 -R?10.75(MeOH)?12.64(H 2O) was crystalliz ed from a CH 2Cl2 MeOH solvent mixture; CCDC # 1453923 . Formula: C 100.75H158.28N12O23.38; M = 1911.66 g?mol-1; cubic space group I213, colourless cube shaped crystal; a = 30.095(5) ?; V = 27259(14) ?3; 老 = 0.932 g?cm-3; 米 (synchrotron 竹 = 0.6889 ?) = 0.061 mm-3; F (000) = 8270; crystal size = 0.13 ℅ 0.06 ℅ 0.06 mm; T = 100(2) K; 69364 re flections measured (0.927 < ? < 22.223～), 6300 unique ( Rint = 0.0511), 5658 ( I > 2考(I)); R1 = 0.0889 for observed and R1 = 0.1000 for all reflections; wR 2 = 0.2495 for all reflections; max/min difference electron density 0.529 and -0.388 e??-3; data/restraints/parameters = 6300/8/427; GOF = 1.118. Flack parameter -0.6(5). During refinement a resolution limit of 0.91 ? was applied  (THETM01_ALERT_3_A  checkCIF alert) . The asymmetric unit for TCC1 -R?10.75(MeOH)?12.64(H 2O)10 comprises 1/3 of a TCC1 -R molecule centered around a threefold rotation axis; and a number of partially occupied MeOH and H 2O molecules that were poorly resolved in the large lattice voids . It is likely that all solvent molecules could not be resolved in the crystal structure (PLAT 420_ALERT_2_B checkCIF alert) . For the partially occupied MeOH molecules C -O bond distance restraints were used during refinement (DFIX in SHELX). All H -atoms were 9  refined in estimated positions resulting in unlikely intermolecular c lose contacts  (PLAT415_ALERT_2_A, and PLAT420_ALERT_2_B  checkCIF alerts) . Additional solvent was extremely disordered diffuse and tentatively modelled as disordered  H2O (PLAT430_ALERT_2_B  checkCIF alert ). H2O molecules were refined without riding H -atoms  however H -atoms for these molecules were included in the unit cell atom count (PLAT043_ALERT_1_B  checkCIF alert) . For a displacement ellipsoid plot, see Supplementary Figure 2. Attempts to desolvate a single crystal of TCC1 -R?10.75(MeOH)?12.64(H 2O) in sit u were unsuccessful.",CCDC
"2.1.2.2 Single crystal data for homochiral TCC2 -R?9.5(MeOH)?6.25(H 2O) (P3121) Single crystal data for TCC2 -R?9.5(MeOH)?6.25(H 2O) crystalliz ed from a CH 2Cl2 MeOH solvent mixture; CCDC # 1453927 . Formula: C 111H151N12O15.75; M = 1905.43 g?mol-1; trigonal space group P3121, colourless crystal; a = 19.490(4) ?, c = 26.295(5) ?; V = 8650(4) ?3; 老 = 1.097 g?cm-3; 米(synchrotron 竹 = 0.6889 ?) = 0.068 mm-3; F (000) = 3081; crystal size = 0.11 ℅ 0.09 ℅ 0.06 mm; T = 100(2) K; 45469 reflections measured (1.169 < ? < 22.502～), 8311 unique ( Rint = 0.0399), 7114 ( I > 2考(I)); R1 = 0.0787 for observed and R1 = 0.0897 for all reflections; wR 2 = 0.2329 for all reflections; max/min difference electron density = 0.586 and -0.470 e??-3; data/restraints/parameters = 8311/31/662; GOF = 1.037. Flack parameter 0.1(6). During refinement a resolution limit of 0.91 ? was  applied  (PLAT027_ALERT_3_A , and THETM01_ALERT_3_B  checkCIF alert) . The asymmetric unit for TCC2 -R?9.5(MeOH)?6.25(H 2O) comprises ? of a TCC2 -R molecule, and a number of partially occupied MeOH and H 2O molecules. For TCC2 -R one aromatic ring was disordered and modelled over two positions, this group was refined with a rigid -bond restraint (RIGU in SHELX). For the 10 partially occupied MeOH molecules, refined as part of the asymmetric unit, C -O bond distances were restraints were used during refinement (DFIX in SHELX).",CCDC
"2.1.2.3 TCC2 -R?4.33(NMP)?4(MeOH)  (P3121) TCC2 -R?4.33(NMP)?4(MeOH)  crystalliz ed from a NMP MeOH solvent mixture and mounted on a MiTeGen gripper without protective oil; CCDC # 1453928 . Formula: C127.67H157N16.33O8.33; M = 2053.69 g?mol-1; trigonal space group P3121, colourless crystal; a = 19.5496(10) ?, c = 26.3286(14) ?; V = 8714.3(10) ?3; 老 = 1.174 g?cm-3; 米(Mo-K汐) = 0.074 mm-3; F(000) = 3312; crystal size = 0.23 ℅ 0.21 ℅ 0.19 mm; T = 100(2) K; 9888 reflections measured (1.430 < ? < 24.707～), 9888 unique ( Rint = 0.0850), 7409 ( I > 2考(I)); R1 = 0.0619 for observed and R1 = 0.0780 for all reflections; wR 2 = 0.1840 for all reflections; max/min difference electron density = 0.254 and -0.223 e??-3; data/restraints/parameters = 9888/90/574; GOF = 1.007. Flack parameter 0.0(10). During refinem ent a resolution limit of 0.85 ? was applied ( PLAT027_ALERT_3_A  checkCIF alert). Voids in the crystal structure contained diffuse electron density that could not be accurately modelled, the SQUEEZE13 routine in PLATON14 was therefore used. SQUEEZE removed a total of 253 electrons from three ~ 790 ?3 voids. As a result,  3.33 NMP and 4 MeOH molecules were tentatively added to the refined formula sum  (CHEMW03_ALERT_2_A , PLAT043_ALERT_1_A , PLAT602_ALERT_2_A , and PLAT049_ALER T_1_B  checkCIF alerts). The NMP solvent molecule, located in the intrinsic cage cavity, was modelled over two positions. Atoms which shared equivalent coordinates (EXYZ in SHELX) were refined with constrained displacement parameters (EADP in SHELX), and th e NMP molecule was refined with a rigid -bond restraint (RIGU in SHELX). One aromatic ring of TCC2 -R was disordered and modelled over two positions; this group was refined with bond distance restraints (DFIX in SHELX), a planetary restraint (FLAT in SHELX),  and restrained displacement parameters 12  (ISOR in SHELX). For a displacement ellipsoid plot of the asymmetric unit, see Supplementary Figure 6.",CCDC
"TCC2 -R?1.76(NMP); CCDC # 1453929 . Formula: C 110.79H117.82N13.76O1.76; M = 1670.14 g?mol-1; trigonal space group P3121, colourless crystal; a = 19.6140(8) ?, c = 26.1798(12) ?; V = 8722.3(8) ?3; 老 = 0.954 g?cm-3; 米(Mo-K汐) = 0.058 mm-3; F (000) = 2679; crystal size = 0.23 ℅ 0.21 ℅ 0.19 mm; T = 300(2) K; 32662 reflections measured (1.199 < ? < 21.967～), 7121 unique ( Rint = 0.0455), 5480 ( I > 2考(I)); R1 = 0.0750 for observed and R1 = 0.1018 for all reflections; wR 2 = 0.2234 for all reflections; max/min difference electron density = 0.597 and -0.360 e??-3; data/restraints/parameters = 7121/488/580; GOF = 1.100. Flack parameter 2.7(9). During refinement , due to disorder, structure diffuse scatter beyond 0.95 ? was omitted  (THETM01_ALERT_3_A , PLAT027_ALERT_3_A , and PLAT340_ALERT_3_B  checkCIF ale rts), and a rigid -bond restraint was used (RIGU in SHELX). One aromatic ring of TCC2 -R was disordered over two equally occupied positions. For this group C -C bond distance restraints (DFIX in SHELX), a planarity restraint (FLAT in SHELX), and displacement parameter restraints (ISOR in SHELX) were used during refinement. One NMP solvent molecule was modelled over two positions, atoms that shared equivalent coordinates (EXYZ in SHELX) were refined with constrained displacement parameters (EADP in 13  SHELX). The occupancy of second NMP solvent molecule, refined as part of the asymmetric unit, was determined using a free variable. Additional solvent could not be resolved in the structure ( PLAT602_ALERT_2_A , and PLAT049_ALERT_1_B  checkCIF alerts ). For a displacement ellipsoid plot, see Supplementary Figure 7.",CCDC
"20  2.2 Racemic crystals,  TCC1 每TCC3   2.2.1 SEM images of racemic crystals     Supplementary Figure 14. SEM images of crystalline TCC1 -R/TCC1 -S isolated from DCM/MeOH    21   Supplementary Figure 15. SEM images of crystalline TCC 2-R/TCC 2-S isolated from DCM/acetone      Supplementary Figure 16. SEM images of crystalline TCC 3-R/TCC 3-S isolated from DCM/1,4 -dioxane  22  2.2.2 Single crystal X-ray data for racem ic materials   2.2.2.1 TCC1?5(Et 2O) Single crystal data for TCC1 ?5(Et 2O) crystalliz ed from a CH 2Cl2 Et2O solvent mixture containing an equal molar ratio of TCC1 -R and TCC1 -S; CCDC # 1453924 . Formula: C110H141N12O5; M = 1710.33 g?mol-1; trigonal centrosymmetric space group R3?c, colourless needle shaped crystal; a = 24.469(3) ?, c = 28.928(3) ?; V = 15000(4) ?3; 老 = 1.136 g?cm-3; 米(Mo-K汐) = 0.070 mm-3; F (000) = 5544; crystal size = 0.16 ℅ 0.10 ℅ 0.09 mm; T = 100(2) K; 28882 reflections measured (1.664 < ? < 21.962～), 2037 unique ( Rint = 0.0574), 1629 ( I > 2考(I)); R1 = 0.0919 for observed and R1 = 0.1058 for all reflections; wR 2 = 0.2443 for all reflections; max/min difference electron density 0.596 and -0.365 e??-3; data/restraints/parameters = 2037/16/182; GOF = 1.126. During refinement , due to disorder,  a resolution limit of 0.95 ? was applied  (THETM01_ALERT_3_A , and PLAT027_ALERT_3_A  checkCIF alerts) . The asymmetric unit for TCC1 ?5(Et 2O) comprises one third of a TCC1 molecule, and one half of a Et 2O molecule. For the Et 2O molecule a C -O bond distance restraint was used during refinement (DFIX in SHELX), and displacement parameters were restrained (SIMU and DELU in SHELX). Voids in the crystal structure contained dif fuse electron density that could not be accurately modelled, the SQUEEZE13 routine in PLATON14 was used during the final refinement cycles ( PLAT601_ALERT_2_A  checkCIF alert). As a result, two Et 2O molecules, per TCC1 , were added to the chemical sum formula  (CHEMW03_ALERT_2_B , and PLAT043_ALERT_1_B  checkCIF alert). For a displacement ellipsoid plot, see Supplementary Figure 17. Attempts to thermally desolvate a single crystal of TCC1 ?5(Et 2O) in situ  were unsuccessful.",CCDC
2.2.2.2 TCC2?5.5(CH 2Cl2)?5.5(IPA)  Single crystal data for TCC2 ?5.5(CH 2Cl2)?5.5(IPA)  crystalliz ed from a CH 2Cl2 IPA solvent mixture containing an equal molar ratio of TCC2 -R and TCC2 -S; CCDC # 1453932 .,CCDC
"2.2.2.3 TCC2?3(CH 2Cl2)?3.5(C 3H6O) TCC2 ?3(CH 2Cl2)?3.5(C 3H6O) crystalliz ed from a CH 2Cl2 acetone solvent mixture containing an equimolar ratio of TCC2 -R and TCC2 -S; CCDC # 1453930 . Formula: C115.5H129Cl6N12O3.5; M = 1954.00 g?mol-1; monoclinic space group C2/c, colourless crystal; a = 27.9160(11) ?, b = 24.1259(9) ?, c = 16.9613(7) ?; 汕 = 90.518(2)～; V = 11422.9(8) ?3; 老 = 1.136 g?cm-3; 米(synchrotron 竹 = 0.7749 ?) = 0.215 mm-3; F (000) = 4144; crystal size = 0.14 ℅ 0.11 ℅ 0.11 mm; T = 100(2) K; 53994 reflections measured (2.259 < ? < 28.967～), 11671 unique ( Rint = 0.0378), 8361 ( I > 2考(I)); R1 = 0.0782 for observed and R1 = 0.0959 for all reflections; wR 2 = 0.2321 for all reflecti ons; max/min difference electron density = 0.380 and -0.260 e??-3; data/restraints/parameters = 11671/221/655; GOF = 1.094. Three parts of the TCC2  structure were split and modelled over two positions. C -atoms with site occupancies ~ 0.1 were refined isotr opically. Disorder around cyclohexyl ring C23 > C28  could not be resolved  (PLAT230_ALERT_2_B  checkCIF alert for disordered C25 -C26) , this group was refined with a rigid -bond restraint (RIGU in SHELX). H-atoms were refined in estimate positions resulting in unlikely close intermolecular H?? H contacts (PLAT410_ALERT_2_A , and PLAT411_ALERT_2_B  checkCIF alert s). Single crystals of this phase were poorly ordered and weakly diffracting, as a result no CH 2Cl2, or C 3H6O molecules could resolved in the large pore network structure. The SQUEEZE13 routine in PLATON14 was therefore used during refinement of the final model, and as a result 3 CH 2Cl2, and 3.5 C 3H6O molecules were added to the refined formula sum  (CHEM W03_ALERT_2_A , PLAT043_ALERT_1_A , PLAT051_ALERT_1_A , 26  PLAT602_ALERT_2_A , PLAT049_ALERT_1_B  checkCIF alerts) . For a displacement ellipsoid plot, see Supplementary Figure 22.",CCDC
