content,category
[21] Deposition Number 2014787 contains the supplementary crys-tallographic data for this paper. These data are provided free ofcharge by the joint Cambridge Crystallographic Data Centre andFachinformationszentrum Karlsruhe Access Structures servicewww.ccdc.cam.ac.uk/structures.,CCDC
"S9   Table S1.  Crystal data and structure refinement for the cage  (Cambridge Crystallographic Data Center  deposition number:  2014787  Crystal  [4+8] cage  Empirical formula  C124H144N16O8 Formula weight/g mol每1 1986.54  T/K 223 Crystal system  Monoclinic  Space group  C2 a/? 26.707(2)  b/? 18.2394(15)   c/? 18.5532(15)  汐 90 汕 120.547(4)  污 90 V/?3 7783.3(11)  Z 2 老/g cm每3 0.848  米/mm每1 0.269  F(000)  2128.0  Radiation  GaK 汐 (竹 = 1.34139  ?) 2成 range for data collection/～  4.812 to 105.978  Index ranges  每31 ≒ h ≒ 31, 每21 ≒ k ≒ 21, 每22 ≒ l ≒ 22  Reflections collected  142381  Rint Independent reflections  13745 [ Rint = 0.0592, Rsigma = 0.0296]  Goodness -of-fit on F2 1.003  Final R indexes ( I > 2考 (I)) R1 = 0.0577, wR 2 = 0.1662  Final R indexes [all data]  R1 = 0.0778, wR 2 = 0.1850    S10   Figure S13. Analysis  of the cage geometry .",CCDC
"2. Synthesis of OMC3   Dichloromethane  (CH 2Cl2) (1 mL) was added to 5,5' -(propane -2,2-diyl)bis(2 - hydroxyisophthalaldehyde) ( iii, 17.0 mg, 0. 05 mmol) in a Schlenk tube  at room temperature. A solution of trans -(1R, 2R)-1,2-diaminocyclohexane (11.4 mg, 0. 10 mmol) in ethanol (EtOH)  (1 mL) was added. The resulting mixture was covered  and heated at 65 oC without stirring.  After 48 h , yellow transparent blocks  of crystals suitable for X -ray diffraction determination were formed . The solids were removed by filtration, washed with CH 2Cl2 and CH 3OH, and dried under vacuum to afford the pure cage product (17 mg , 68% ): FT-IR 糸 3410 ( m), 2928 (m), 2860 (m), 1629 (s), 1596 S3  (s), 1445 (s), 1390  (m), 1367(w), 1261(m), 1237(m), 1095 (w), 1140 (w), 1010 (w), 860 (w), 804 (w), 668 (m), 598 (w) cm每1; 1H NMR (600 MHz, CDCl 3) 汛 14.26 ( d, J = 41.8 Hz, 2H), 8.70 (s, 1H), 8.60 (s, 1H), 8.31 (s, 1H), 8.13 (s, 1H), 7.94 (s, 1H), 7.51 (d, J = 40.0 Hz, 2H), 6.98 (s, 1H), 3.41 (d, J = 40.8 Hz, 3H), 3.24 (s, 1H), 2.29 (s, 1H), 2.02 (dd, J = 36.9, 11.9 Hz, 2H), 1.95 每1.86 (m, 2H), 1.80 (s, 6H), 1.75 每1.68 (m, 2H), 1.65 (s, 3H), 1.51 (dd, J = 26.1, 13.7 Hz, 2H), 1.42 (s, 2H), 1.33 每1.20 (m, 2H)  ppm; 13C NMR ( 150 MHz, CDCl 3) 汛 165.09 , 159.56 , 159.10 , 155.76, 155.13, 118.61, 76.49, 75.06, 73.39, 42.29, 40.29 , 33.86, 33.03, 32.17, 29.36, 24.87, 24.62, 24.43, 24.30  ppm; MALDI -TOF MS m/z: 1987 for C 124H143N16O8 [M+H]+.",comprehensive synthesis
"The cage packs in a window-to-window arrangement alongthe [010] direction in an offset fashion (Figure 4a). Thedistance between the two layers along with the [010]direction, as defined by the distance between the top non-planar window and bottom nonplanar window of neighboringcages, is about 7.9 /C138. The Hirshfeld surface mapped with deprovides an immediate picture of the close intermolecularcontacts.[17]deis the distance from the surface to the nearestnucleus in another molecule. Figure 4b reveals a small bluetetragon near the center part on the upper surface, whichexhibits a porous packing arrangement along with [010]direction (Figure 4c; Supporting Information, Figures S29and S30). Brunauer每Emmett每Teller (BET) surface area ofOMC3 was estimated to be around 80 m2g/C01based on thenitrogen adsorption isotherm at 77 K.",surface area
Figure S1 2. N2 adsorption isotherms of cage at 77  K. The specific surface area is 80 m 2 g-1.,surface area
"Molecular CagesDesymmetrized Vertex Design toward a Molecular Cage with UnusualTopologyLei Zhang, Yinghua Jin, Guo-Hong Tao, Yu Gong, Yiming Hu, Ling He,* and Wei Zhang*",this paper's author
"(42) Blanco-Go ?mez, A.; Neira, I.; Barriada, J. L.; Melle-Franco, M.;Peinador, C.; Garc赤a, M. D. Thinking outside the ※Blue Box §: frommolecular to supramolecular pH-responsiveness. Chem. Sci. 2019 ,10,10680?10686.Journal of the American Chemical Society pubs.acs.org/JACS Articlehttps://dx.doi.org/10.1021/jacs.0c10253J. Am. Chem. Soc. 2020, 142, 20182 ?2019020190Supporting InformationDesymmetrized Vertex Design toward a Molecular Cage with UnusualTopologyLei Zhang, Yinghua Jin, Guo-Hong Tao, Yu Gong, Yiming Hu, Ling He,* and Wei Zhang*",this paper's author
"Conventionally, symmetric tritopic monomers such as1,3,5-triformylbenzene ( i) have been commonly used toconstruct cages. By using these highly symmetric buildingblocks as vertices along with liner ditopic linkers, classic cages(such as T-symmetric [4+6] cage, OMC1 ) with one type ofsymmetric windows (W1) can be achieved (Figure 1).[2c]When the symmetry of the vertex is reduced, cage moleculeswith lower symmetries and more than one type of windowscan be obtained. For example, a tetra-aldehyde ( ii) with D2hvertex and the diamine linker ( iv) can be assembled into a D3hsymmetric trigonal prismatic cage OMC2 with two types ofsymmetric windows (W1 and W2): triangular and rectangularwindows.",topology
"AngewandteChemi e CommunicationsHow to cite: Angew. Chem. Int. Ed. 2020 ,59, 20846每20851International Edition: doi.org/10.1002/anie.202007454German Edition: doi.org/10.1002/ange.20200745420846 /C23 2020 Wiley-VCH GmbH Angew. Chem. Int. Ed. 2020 ,59, 20846 每20851uously confirms the formation of a [4 +8] cage ( OMC3 )composed of four tetra-aldehyde moieties and eight aliphatic1,2-diamines.",topology
"The structure of the OMC3 was characterized by Fouriertransform infrared spectroscopy (FTIR), nuclear magneticresonance spectroscopy (NMR), and MALDI-TOF massspectrometry. FTIR analysis shows the conversion of alde-hyde and amine groups to imines (Supporting Information,Figure S2). The peaks at 1682 and 3342 cm/C01corresponding tothe stretching vibration of C =O and N /C0H are absent in the IRspectrum of the product. The new stretch peak at 1629 cm/C01appeared, confirming the formation of C =N bond. The NMRspectrum also indicates that the product does not containstarting amines and aldehydes (Supporting Information,Figures S3每S6). Although there are two types of chemicallyinequivalent imine protons, and aryl protons, the1H NMRspectrum obtained at 298 K shows four singlets at 7.94, 7.54,7.47 and 6.98 ppm in a 1:1:1:1 ratio for the aryl protons andfour singlets at 8.70, 8.60, 8.31 and 8.13 for the imine protons(Supporting Information, Figure S5). Such magnetic inequi-valence of the chemically equivalent protons suggests the highrigidity and low symmetry of the cage product. Althoughsome line broadening was observed in the1H NMR spectrumobtained at a lower temperature (273 K), the eight distinctsignals of the imine and aryl protons are still present at thesame peak positions, indicating minimal structural change andthe rigidity the cage molecule (Supporting Information,Figure S8). The nuclear Overhauser enhancement spectros-copy (NOESY) spectrum of the cage shows correlationsbetween spatially close protons, such as the hydroxyl protonsand imine protons, the imine protons and benzene ringprotons, and the imine protons and cyclohexane ring protons(Supporting Information, Figure S9). Owing to the rigidity ofthe cage, NOE effect was not observed between the arylprotons, which is consistent with the crystal structure.Diffusion-ordered spectroscopy (DOSY) revealed the diffu-sion coefficients of the cage is 4.38 /C60.35 /C148 10/C010m2s/C01,corresponding to the effective hydrodynamic radius Rof9.3/C60.7 /C138 based on the Stokes-Einstein equation (Support-ing Information, Figure S10). This is in line with the observedcage dimensions in the crystal structure (Figure 2). TheMALDI-TOF mass spectrometry analysis of the productshows the mass-to-charge ratio ( m/z) of 1987, matching withthe [[4+8]OMC3 +H]+(Supporting Information, Fig-ure S11).",topology
