content,category
[30] CCDC 2002767 ( 2) and 2002766 ( 3) contain the supplementarycrystallographic data for this paper. These data are provided freeof charge by The Cambridge Crystallographic Data Centre.,CCDC
CCDC  2002766   Empirical formula  C42H36N2O   Formula weight  584.73   Temperature  200(2) K   Wavelength  0.71073 ?    Crystal system  monoclinic   Space group  P21/n   Z 4   Unit cell dimensions  a = 16.0311(16) ?  ¦Á = 90 deg.,CCDC
CCDC  2002767   Empirical formula  C248H176N12O6   Formula weight  3420.00   Temperature  200(2) K   Wavelength  1.54178 ?   Crystal system  cubic   Space group  P43n   Z 8   Unit cell dimensions  a = 42.8035(5) ?  ¦Á = 90 deg.,CCDC
"Salicylimine S1 (155 mg, 0.40  mmol), scandium triflate (11 8 mg, 0.24 mmol ) and chloranil (198 mg, 0.80  mmol ) were suspended in phenylacetylene (1.3  mL, 30.0 eq.). The reaction mixture was stirred for 16  hours  at 100 ¡ãC . After cooling the reaction mixture down to room temperature , it was diluted with  CH 2Cl2 (50 mL ) and the organic phase washed with NaHCO 3 sat. solution (2x 5 0 mL), water (50 mL), and brine (50  mL) and dried over MgSO 4. Solvent was removed by rotary evaporation and t he crude product was purified via  column chromatography (PE/EE, 40/1 to 10 /1, v/v) to give as first fraction ( Rf = 0.21) 60 mg (31%) of quinoline  3 as an orange  solid . Mp. 175 ¡ãC.  1H NMR ( 300 MHz, CDCl 3) ¦Ä = 16.30 ppm (s, 1H, -OH), 10.69 (s, 1H, -CH=O), 8.19 (d, 2H, J = 2.5 Hz -H5¡ä), 8.01 (m , 1H, -H8), 7.95 (d, 2H, J = 2.5 Hz -H3¡ä), 7.91 (s , 1H, -H3), 7.65-7.55 (m, 7H, -H5,7,10 -12), 2.49 (s, 6H, -CH3), 1.38 (s, 9H, -C(CH3)3). 13C NMR ( 75 MHz, CDCl 3): ¦Ä = 190.8 ppm (C=O), 162. 6 (C-1¡ä), 155 .90 (C-2), 150. 3 (C-8a), 143. 4 (C-4), 141. 1 (C-4¡ä), 138.0  (C-5¡ä), 137. 6 (C-6), 133.1  (C-7), 130. 4 (C-3¡ä), 129.6 (C -10,11 ), 129.0 (C -12), 127.8  (C-9), 127.5 (C -8), 125.7 (C -4a), 124.9 (C -5), 124. 5 (C-2¡ä), 120. 0 (C-6¡ä), 117.6  (C-3), 34.5 ( C-(CH 3)3), 31.6 (C -(CH 3)3), 22.0 (C -6a). IR (neat, ATR): ??? = 2958.7 cm-1 (m), 1678.0 (vs), 1604.7 (m), 1589.3 (vs), 1552.6 (s), 1477.4 (s), 1 462.0 (m), 1394.5 (m), 1361.7 (m), 1274.9 (m), 1251.7 (s), 1222.8 (m), 1130.2 (w), 1085.9 (m), 947.0 (m), 923.9 (m), 887.2 (m), 864.1 (m), 817.8 (m), 798.5 (w), 771.5 (m) , 704.0 (vs), 624.9 (s).",comprehensive synthesis
"Imine cage 1 (100 mg, 0.0 5 mmol ), Sc(OTf) 3 (79.8 mg, 0.16  mmol) and c hloranil (132.9 mg, 0.54 mmol ) were placed in a screw -cap vial (3 mL). Phen ylacetylene (1.8  mL, 18.0 mmol, 36 0 eq.) was added and the reaction mixture was stirred for 20 hours at 100  ¡ãC. After collong down the reaction mixture t o room temperature, dichloromethane  (50 mL) was added and the organic phase washed with a sat. solution  of NaHCO 3 (2 x 5 0 mL) and brine (5 0 mL),  and dried over MgSO 4. After removal of solvents by rotary evaporation, t he dark red oil was immersed with MeOH (10  mL) and solvent removed again to remove traces of phenylacetylene by co -evaporation . The remaining brown solid was dissolved in dichloromethane  (2 mL) and precipitated by the addition of MeOH (25 mL). The solid was collected by filtration on a glas funnel  and washed  with MeOH (20 mL) and dried in air. Purification  by column S8  chromatogr aphy (first column DCM 100% -> DCM/MeOH 0.5% to 5%; second column DCM/MeOH 2 %). The collected fraction ( Rf (CH 2Cl2/MeOH = 100:4 ) = 0.23 ) was treated with MeOH (5 mL)  and dried overnight  at the Kugelrohr ov en (250 ¡ãC 1.0¡¤10-3 mbar)  to give 38 mg (22%) of quinoline cage 2 as a pale-orange solid . Mp. > 400 ¡ãC .  1H NMR (600 MHz, CDCl 3 + 0.1 mol% triethyl -d15-amine ): ¦Ä =14.70 ppm (s, 6H,  -OH), 8.62 (s, 12H, H8), 7.83  (s, 12H, -H5), 7.67 (s, 12H, H3¡ä), 7.66  (s, 12H, H3), 7.54 -7.60 (m, 60H, phenyl -H), 6.31 (s, 4H, -H9), 5.54 (s, 4H, -H10), 1.30 (s, 54H, -C(CH3)3). 13C NMR (150 MHz, CDCl 3 + 0.1 mol% triethyl -d15-amine ): ¦Ä = 158.1 ppm (C -1¡ä), 156,1 (C -2), 149.0 (C -4), 146.5 (C -8a), 144.7 (C -7), 141.3 (C-6), 141.1 (C -4¡ä), 138.8 ( phenyl -C), 129.8 ( phenyl -C), 129.1 (C -3¡ä), 128.8 ( phenyl -C), 128.5 (phenyl -C), 124.7  (C-2¡ä) 124.6 (C -8), 124.1 (C -4a), 120.9 (C -3), 119.9 (C -5), 53. 5 (C-9), 53.5 (C-10), 34.3 ( C-(CH 3)3), 31.6 (C -(CH3)3). IR (neat, ATR): ??? = 3372 cm-1 (w), 3058 (w), 3030 (w), 2958 (m), 2906 (w), 2886 (w), 1683 (w), 1587 (s), 1550 (s), 1483 (s), 1463 (s), 1444 (s), 1407 (m), 1363 (s), 1348 (m), 1271 (s), 1251 (s), 116 8 (m), 1128 (m), 1074 (w), 1028 (w), 1001 (w), 896 (m), 877 (s), 840 (w), 825 (m), 765 (s), 700 (s), 646 (w), 615 (m).  UV/Vis (DCM): ¦Ëmax (log¦Å) = 354 nm (5.42), 264 ( 5.80). HRMS MALDI  (DCBT) [M]+: calculated for C248H176N12O6, 3417.383, found 3417.380.  [M+H]+: calculated for C 248H177N12O6, 3418.39 0, found 3418.387.",comprehensive synthesis
"[2e,3]Among thosesystems there have been microporous organic cages reportedwith very high specific surface areas greater than1500 m2g/C01,[4]as well as even mesoporous cages with specificsurface areas of 3758 m2g/C01,[5]a value demonstrating thatlarge cavities can be constructed in a manner so that they willnot collapse upon evacuation.",surface area
"The as-synthesized material of 2has an amorphous butporous structure (see SEM images and PXRD in theSupporting Information). The pores were activated byimmersing the material in Et2O (2 /C148) and n-pentane (5 /C148)before thermal treatment at 250 8C and vacuum (10/C03mbar)overnight. By nitrogen sorption at 77 K a specific surface areaof 698 m2g/C01was measured (Figure 5). The isotherms are bestdescribed as a combination of type I (microporous) and typeII (macroporous or nonporous).[23]By QS-DFT[24]the mostintensive peak is found for a pore-width at 12.6 /C138 besides lessintensive broad peaks at 22.6 and 40 /C138. The first one is ingood agreement to the minimum inner diameter of the cagemodel (15 /C138). The uptake of other gases was investigated too.At 273 K and 1 bar, 2.72 mmolg/C01(12.0 wt%) CO2,1.15 mmolg/C01(1.85 wt%) CH4, and 5.17 mmolg/C01(1.0 wt%)H2were adsorbed.",surface area
"Figure S33. BET -plots (batch 1: black squares, batch 2: red circles) of the cage compound 2. The calculated surface area is 675 m2¡¤g-1 for batch 1 and 698 m2¡¤g-1 for batch 2.",surface area
"0.0 0.2 0.4 0.6 0.8 1.0020406080100120140160V(1-P/P0)relative pressure (P/P0)0.02 0.04 0.06 0.08 0.100.00.20.40.6batch 2:y = 4.979x +  0.01281R2 = 0.9999C = 326.869SABET = 698 m2.g-1batch 1:y = 5.149x +  0.01307R2 = 0.9998C = 394.948SABET = 675 m2.g-11/[W((P0/P)-1]relative pressure (P/P0)S27   Figure S34. QS-DFT (spherical/cylindrical pores, N 2 at 77 K on carbon) pore size distribution plots (batch 1: black squares, batch 2: red circles) of cage compound 2.",surface area
"Cage Compounds Hot PaperA Robust Porous Quinoline Cage: Transformation of a [4 +6]Salicylimine Cage by Povarov CyclizationPierre-Emmanuel Alexandre, Wen-Shan Zhang, Frank Rominger, Sven M. Elbert,Rasmus R. Schr?der, and Michael Mastalerz*",this paper's author
