content,category
"°ˆAUTHOR INFORMATIONCorresponding AuthorsLi Qiu ?Yunnan Key Laboratory for Micro/Nano Materials&Technology, National Center for International Research onPhotoelectric and Energy Materials, School of Materials andEnergy, Yunnan University, Kunming 650091, P. R. China;orcid.org/0000-0001-5838-0593 ; Email: qiuli@ynu.edu.cnWei Zhang ?Department of Chemistry, University ofColorado, Boulder, Colorado 80309, United States;orcid.org/0000-0002-5491-1155 ; Email: wei.zhang@colorado.eduAuthorsRao Tao ?Yunnan Key Laboratory for Micro/Nano Materials&Technology, National Center for International Research onPhotoelectric and Energy Materials, School of Materials andEnergy, Yunnan University, Kunming 650091, P. R. ChinaKun Kang ?Yunnan Key Laboratory for Micro/NanoMaterials &Technology, National Center for InternationalResearch on Photoelectric and Energy Materials, School ofMaterials and Energy, Yunnan University, Kunming 650091,P. R. ChinaXian Li ?Yunnan Key Laboratory for Micro/Nano Materials&Technology, National Center for International Research onPhotoelectric and Energy Materials, School of Materials andEnergy, Yunnan University, Kunming 650091, P. R. ChinaRuiyang Li ?Yunnan Key Laboratory for Micro/NanoMaterials &Technology, National Center for InternationalResearch on Photoelectric and Energy Materials, School ofMaterials and Energy, Yunnan University, Kunming 650091,P. R. ChinaRong Huang ?Advanced Analysis and Measurement Center ofYunnan University, Kunming 650091, P. R. ChinaYinghua Jin ?Department of Chemistry, University ofColorado, Boulder, Colorado 80309, United StatesComplete contact information is available at:https://pubs.acs.org/10.1021/acs.inorgchem.1c01723NotesThe authors declare no competing ?nancial interest.",affiliation
"Materials and methods,1H/13C/31P NMR, FT-IR, ESI-MS, MALDI-TOF MS, and1H 2D-DOSY NMR spectraand crystal structure data of Phos-cage .1H 2D-DOSYNMR spectrum and TEM images of PdNPs ?cagecomplexes ( PDF)Accession CodesCCDC 2089511 contains the supplementary crystallographicdata for this paper. These data can be obtained free of chargeviawww.ccdc.cam.ac.uk /data_request/cif ,o rb ye m a i l i n gdata_request@ccdc.cam.ac.uk , or by contacting The Cam-bridge Crystallographic Data Centre, 12 Union Road,Cambridge CB2 1EZ, UK; fax: + 44 1223 336033.",CCDC
"2. EXPERIMENTAL SECTION2.1. Synthesis of Phos-cage. To a round-bottom ?ask wereadded 4,4 °‰,4°Â-triformyltriphenylphosphine (TFTPP) 1(900 mg, 2.59mmol) and (1 S,2S)-(+)-1,2-cyclohexanediamine 2(445 mg, 3.89mmol) in CHCl3(52 mL) under nitrogen atmosphere. The mixturewas stirred at room temperature for 48 h. Then, MeOH (52 mL) andNaBH4(3.95 g, 103.9 mmol) were added into the reaction mixture.",comprehensive synthesis
"After stirring at the same temperature for 12 h, H2O (50 mL) wasadded, and the resulting mixture was extracted with CH2Cl2(50 mL,three times). The combined organic extracts were washed with water(100 mL) and brine (100 mL) successively and dried over anhydrousNa2SO4. The volatiles were removed under vacuum to give the crudeproduct. The residue was puri ?ed by ?ash column chromatographyusing CH2Cl2?MeOH as the eluent to a ?ord the product as a whitesolid (1.16 g, 97%):1H NMR (600 MHz, d6-DMSO) ¶ƒ7.26 (d, J=7.66 Hz, 12H), 7.16 (t, J= 7.79 Hz, 12H), 3.66 (d, J= 14.09 Hz, 6H),3,53 (d, J= 14.12 Hz, 6H), 2.39 (s, 6H), 2.20 (d, J= 8.76 Hz, 6H),2.01 (d, J= 11.91 Hz, 6H), 1.64 (d, J= 7.12 Hz, 6H), 1.15 (t, J= 9.57Hz, 6H);13C NMR (600 MHz, d6-DMSO) ¶ƒ143.15, 133.62, 133.48,128.40, 59.67, 48.94, 31.09, 25.17;31P NMR (600 MHz, d6-DMSO) ¶ƒ?10.3. MALDI-TOF MS: m/zfor C60H72N6P2,[ M+H ]+939.5374(calcd 939.5367).",comprehensive synthesis
"2.3. Preparation of PdNPs ?Cage Complexes. Phos-cage (200mg, 0. 213 mmol) and K2PdCl4(66 mg, 0.202 mmol) were added inMeOH, tetrahydrofuran (THF), or pyridine (Py) (136 mL). Themixture was stirred for 24 h at room temperature. A solution ofNaBH4in MeOH (2.7 M, 1.5 mL) was added dropwise. After stirringat the same temperature for 2 h, H 2O (50 mL) was added, and theresulting mixture was extracted with CH 2Cl2(70 mL, three times).",comprehensive synthesis
"The combined organic extract was washed with H2O (100 mL) threetimes, dried over anhydrous Na2SO4, and concentrated to yieldPdNPs as a muddy-brown powder (187 mg, 4.91 wt% Pd content),gray powder (183 mg, 3.15 wt% Pd content), and dark-brown powder(186 mg, 2.24 wt% Pd content), respectively, for PdNPs@cage ?MeOH, PdNPs ?cage?THF, and PdNPs ?cage?Py. The Pd contentwas determined by ICP analysis.2.4. General Procedure for the Reduction of p-NitrophenolCatalyzed by PdNPs ?Cage Complex. To a round-bottom ?askwere added an aqueous solution of p-nitrophenol (5 °¡10?3M, 5.0mL) and NaBH4(190 mg, 5.0 mmol). After stirring for °´5 min, asolution of PdNPs ?cage in EtOH was introduced, and the reactionprogress was monitored with the UV ?vis spectroscopy. The initialbright yellow mixture gradually turned to colorless as the reactionprogressed.",comprehensive synthesis
"2.5. General Procedure for the Suzuki ?Miyaura CouplingReaction Catalyzed by PdNPs ?Cage Complex. Aryl halide (0.50mmol), phenylboronic acid (0.55 mmol), K2CO3(0.75 mmol), andPdNPs ?cage (0.35 mol %) were added in toluene/H2O (1.5 mL, 9:1v/v) in a Schlenk tube. The reaction mixture was stirred for 2 h at 110°„C under nitrogen atmosphere. The crude product was extracted withethyl acetate and analyzed by1H NMR spectroscopy. After each run,the PdNPs ?cage was collected and washed with ethyl acetate andH2O several times and dried at 65 °„C under vacuum.",comprehensive synthesis
"Distinct color change from white gray to dark yellow wasobserved, indicating the successful formation of the Pd(II) ?cage?solvent complex. The Pd(II) ions were then reducedwith 20 equiv of NaBH 4(based on Pd), and the color turnedbrownish black immediately. The mixture was kept stirring for2h ,H2O was added into the obtained PdNPs ?cagecomplexes, and the mixture was extracted with CH 2Cl2.",comprehensive synthesis
"Again, the highest catalytic activity was observed for PdNPs@cage?MeOH, which contains small PdNPs encapsulated in thecavity. The catalytic activities of PdNPs ?cage complexes werefurther demonstrated with 0.35 mol % Pd loading for varioussubstrates, including aryl iodides (90 ?99% yield, entries 1 ?2),aryl bromides (90 ?99%, entries 3 ?4), and aryl chlorides (78 ?90%, entries 5 ?6). For all the substrates, PdNPs@cage ?MeOH consistently gave the highest yield, which was followedby PdNPs ?cage?THF and PdNPs ?cage?Py in a descendingorder. After being exposed to air for 1 and 7 days, all threePdNPs ?cage complexes achieved a conversion rate of >95%after reacting at 110 °„C for 2 h, demonstrating their excellentstabilities. In great contrast, the commercial Pd2(dba)3catalystcould give only 54% after being exposed to air for 12 h. Thestability of PdNPs ?cage complexes is likely due to thestabilization e ?ect of Phos-cage either as a coordinating ligandor a protective shell, which prevents the oxidation of metalactive centers.Recyclability is another key parameter for evaluatingcatalytic performance. The cycling stability was evaluated byperforming the coupling reaction between iodo-4-methylben-zene and phenylboronic acid multiple times. All three types ofPdNPs ?cage complexes exhibit high catalytic activity (>95%)even after ?ve consecutive runs ( Figure 5 b). However, therecycled Pd catalysts after the last run showed notably di ?erentdispersion. The PdNPs@cage ?MeOH still has the smallestdiameter of 0.89 °¿0.21 nm ( Figure S14a,b ), which is similarto the fresh PdNPs@cage ?MeOH, suggesting the excellentcon?nement and stabilization e ?ect of the cage. By contrast,Figure 5. (a) Comparison of catalytic activity of various Pd catalysts in reduction of p-nitrophenol. (b) The recyclability of PdNPs ?cage complexesin the Suzuki ?Miyaura coupling reaction.",comprehensive synthesis
"Table 1. Catalytic Activities of PdNPs ?Cage Complexes inthe Suzuki ?Miyaura Coupling Reaction between ArylHalide and Phenylboronic AcidaConditions: aryl halide (1.0 mmol), phenyl boronic acid (1.1 mmol),K2CO3(1.5 mmol), PdNPs ?cage complex (0.35 mol % Pd loading),toluene/H2O (2.5 mL/0.25 mL), 110 °„C.bThe yields were estimatedbased on the proton signal integration in the1H NMR spectra of thecrude reaction mixture.cTOF.dThe coupling reactions were catalyzedby the PdNPs ?cage complex exposed to air for 1 day.eThe couplingreactions were catalyzed by the PdNPs ?cage complex exposed to airfor 7 days.fThe coupling reaction was catalyzed by commercialPd2(dba) 3.gThe coupling reaction was catalyzed by Pd 2(dba) 3exposed to air for 12 h.hThe reaction time was 8 h.Inorganic Chemistry pubs.acs.org/IC Articlehttps://doi.org/10.1021/acs.inorgchem.1c01723Inorg. Chem. 2021, 60, 12517 ?1252512522the size of PdNPs ?cage?THF was signi ?cantly enlarged witha wider dispersion (3.31 °¿1.13 nm) ( Figure S14c ), indicatingthe possible aggregation of unstable PdNPs under the action ofheat and mechanical stirring. The PdNPs ?cage?Py distributedoutside the cage were still well-dispersed with a sizedistribution of 3.13 °¿0.89 nm and without signi ?cantaggregation ( Figure S14d ), demonstrating the good stabilitydue to the strong coordination e ?ect of the cage.",comprehensive synthesis
