content,category
"Regarding the chemical stability, the crystallinity of PAC 1is maintained in aqueous solvents,such as boiling water, high-concentrated acid and alkali; mixtures of solvents, such as 1 MH2SO4/MeOH/H 2O solution, are also tolerated. Investigations on the chiral sensing per-formance show that PAC 1enables enantioselective recognition of axially chiral biarylmolecules.https://doi.org/10.1038/s41467-022-31785-4 OPEN1Institute of Functional Materials, Department of Chemistry, Northeast Normal University, Changchun, Jilin, China.2Shanghai Synchrotron Radiation Facility(SSRF), Shanghai Advanced Research Institute, Chinese Academy of Sciences, Shanghai, China.3State Key Laboratory of Supramolecular Structure andMaterials, Institute of Theoretical Chemistry, College of Chemistry, Jilin University, Changchun, Jilin, China.4These authors contributed equally: Dong-Xu Cui,Yun Geng.?email: suncy009@nenu.edu.cn ;wangxl824@nenu.edu.cnNATURE COMMUNICATIONS |         (2022) 13:4011 | https://doi.org/10.1038/s41467-022-31785-4 | www.nature.com/naturecommunications 11234567890():,;Chiral self-sorting via covalent and non-covalent bonds isa natural phenomenon, which presents a dominantability in guiding biologic systems toward the formationof speci ?c products out of equally multiple possibilities1每4.T h estudy of external stimuli and intrinsic factors that affect chiralself-sorting in arti ?cial systems could not only provide com-prehension of recognition discipline in nature but open newopportunities for the preparation of homochiral materials andrelated applications for chiral sensing and asymmetrictransformation5. Controllable processes will be helpful toacquire a deeper understanding of the principles in chiral self-sorting. Compared with covalent and coordination bonds, thedif?culty in governing the direction of intermolecular interac-tions makes it very hard to realize controllable chiral self-sorting. It is well known that weak molecular interactions sig-ni?cantly affect the supramolecular-level assembly in organ-isms. Therefore, it is of great signi ?cance to understand thecontrollable chiral self-sorting at the supramolecular level.",affiliation
"Data availabilityThe crystallographic data generated in this study have been deposited in the database ofCambridge Crystallographic Data Centre ( https://ccdc.cam.ac.uk ) under accession code:CCDC number 2036617 for 1-R, 2036618 for 1-S, 2036619 for 1-R/S?5-iodo-m-xyleneand 2036620 for 1-R/S?mesitylene . The data generated in this study are provided in themanuscript, its Supplementary Information, or can be obtained from the authors uponrequest. The xyz coordinates for the simulated structures can be found as sourcedata. Source data are provided with this paper.",CCDC
"X每rayCrystallographyStudiesThecrystallographicdataof1-Rand1-SwereperformedontheShanghaiSynchrotronRadiationFacility,instrumentBL17B.ThedataframeswerecollectedusingtheprogramAPEX4andprocessedusingtheprogramSAINTroutineinAPEX4.OtherdatacollectionswereperformedonaBrukerD8-VenturediffractometerwithaTurboX-raySource(CuK汐radiation,竹=1.5418?)adoptingthedirectdriverotatinganodetechniqueandaCMOSdetectorat173K.ThedataframeswerecollectedusingtheprogramAPEX3andprocessedusingtheprogramSAINTroutineinAPEX3.Thestructuresweresolvedbydirectmethodsandrefinedbythefull1matrixleast-squaresonF2usingtheSHELXL-2014program.Thehydrogenatomsoftheorganicligandweregeneratedgeometrically(C-H=0.96?).TherestrainedDFIX,SIMU,SADI,RIGU,ISORinstructionswereusedtomakethestructuresmorereasonable.Thediffractionintensityof1-R/Sissoweakthatnodiffractionspotscanbecollectedwitharesolutionhigherthan1.2,regardlessofMoorCuradiationsourceused.CCDCnumberof2036617for1-R,2036618for1-S,2036619for1-R/S?5-iodo-m-xyleneand2036620for1-R/S?mesitylene.2SupplementaryFigure1.Explanationofcrystallographicalerts.Explanationofcrystallographicalertsof1-R/S?mesitylene(top)and1-R/S?5-iodo-m-xylene(bottom).3SyntheticprocedureunderdifferentsolventsAmixtureofS-BINAMandR-BINAM(1,1∩-Binaphthyl-2,2∩-diamine)(0.1mmol)and2,4,6-Triformylphloroglucinol(0.066mmol)wasdissolvedinaceticacid6M(0.6mL),CH3(CH2)3OH(1mL)andtoluene(5mL).Afterstirringfor10min,thissolutionwastransferredintoaParrTeflon每linedautoclaveandkeptat120～Cfor72h.",CCDC
"MethodsSynthesis of 1- Sand 1- R. A mixture of S-BINAM ([ S]-[每]-1,1 ∩-Binaphthyl-2,2 ∩-diamine) or R-BINAM ([ R]-[+]-1,1 ∩-Binaphthyl-2,2 ∩-diamine) (0.1 mmol) and2,4,6-Triformylphloroglucinol (0.066 mmol) was dissolved in CH 3(CH 2)3OH(1 mL), toluene (5 mL) and acetic acid 6 M (0.6 mL). After stirring for 10 min atroom temperature, this solution was transferred into a Parr Te ?on每lined autoclaveand kept at 120 ～C for 72 h. After cooling down to room temperature, red octa-hedral crystals were obtained. Yield: 42 % based on 2,4,6-Triformylphloroglucinol.Elemental analysis Calcd: C, 80.41; H, 4.12; N, 7.22. Found: C, 80.24; H, 4.30;N, 6.98.",comprehensive synthesis
"Synthesis of 1- R/S?mesitylene . A mixture of S-BINAM and R-BINAM (1,1 ∩-Binaphthyl-2,2 ∩-diamine) (0.1 mmol) and 2,4,6-Triformylphloroglucinol(0.066 mmol) was dissolved in acetic acid 6 M (0.6 mL), CH3(CH 2)3OH (1 mL) andmesitylene (5 mL). After stirring for 10 min, this solution was transferred into aParr Te ?on每lined autoclave and kept at 120 ～C for 72 h. After cooling down toroom temperature, red rod crystals were obtained and washed with CH 3OH. Yield:48 % based on 2,4,6-Triformylphloroglucinol. Elemental analysis Calcd: C, 82.05;H, 5.13; N, 5.98. Found: C, 81.84; H, 5.36; N, 5.77.",comprehensive synthesis
"The porous nature of PAC 1-Sand 1-Ris probed by N 2adsorption at 1.0 bar under 77 K. The adsorption isotherms aretype I, suggesting the presence of micropores in the structures,which is consistent with the experimental observations (Supple-mentary Fig. 11). They have similar total gas uptake of ~205 cm3/g, as well as a close apparent BET surface area of ~343 m2/g. Poresize distribution shows a narrow range with a pore-width of13.9 ? (Supplementary Figs. 11 and 12). From the PXRD patternsof1-Safter the N 2adsorption experiment, we can ?nd there areno obvious changes in the structure after activation and N 2adsorption (Supplementary Fig. 13).",surface area
"ARTICLEChiral self-sorting and guest recognition of porousaromatic cagesDong-Xu Cui1,4, Yun Geng1,4, Jun-Ning Kou1, Guo-Gang Shan1, Chun-Yi Sun1?, Kun-Hao Zhang2,Xin-Long Wang1?& Zhong-Min Su1,3The synthesis of ultra-stable chiral porous organic cages (POCs) and their controllable chiralself-sorting at the molecular and supramolecular level remains challening. Herein, we reportthe design and synthesis of a serial of axially chiral porous aromatic cages (PAC 1-Sand1-R)with high chemical stability. The theoretical and experimental studies on the chiral self-sorting reveal that the exclusive self-recognition on cage formation is an enthalpy-drivenprocess while the chiral narcissistic and self-sorting on supramolecular assembly of racemiccages can be precisely regulated by 羽每羽and C 每H＃羽interactions from different solvents.",this paper's author
"Author contributionsD.X.C. synthesized all the compounds and was in charge of structure and stabilitystudies, and sensor experiments. D.X.C. and X.L.W. were responsible for solving thecrystal structure from X-ray diffraction data. Y.G. performed all DFT calculations. J.N.K.NATURE COMMUNICATIONS | https://doi.org/10.1038/s41467-022-31785-4 ARTICLENATURE COMMUNICATIONS |         (2022) 13:4011 | https://doi.org/10.1038/s41467-022-31785-4 | www.nature.com/naturecommunications 7was responsible for characterization measurements including N 2adsorption. G.G.S. andZ.M.S. contributed to the general methodology, assisted with data interpretation andrevised the manuscript. C.Y.S. conceived the idea and designed the experiments. C.Y.S.and X.L.W. analyzed the results and co-drafted the manuscript. K.H.Z was responsiblefor the assistance in Single-crystal synchrotron X-ray diffraction measurements. Allauthors contributed to the analysis of the manuscript.",this paper's author
"AUGUST 26, 2021ENERGY & FUELSREAD Get More Suggestions >1SupportingInformationChiralSelf-sortingandGuestRecognitionofPorousAromaticCagesDong-XuCui,1,4YunGeng,1,4Jun-NingKou,1Guo-GangShan,1Chun-YiSun,1?Kun-HaoZhang,2Xin-LongWang1?&Zhong-MinSu1,31InstituteofFunctionalMaterialsChemistry,NortheastNormalUniversity,Changchun,Jilin,China.2ShanghaiSynchrotronRadiationFacility(SSRF),ShanghaiAdvancedResearchInstitute,ChineseAcademyofSciences,Shanghai,China.3StateKeyLaboratoryofSupramolecularStructureandMaterials,InstituteofTheoreticalChemistry,CollegeofChemistry,JilinUniversity,Changchun,Jilin,China.4Theseauthorscontributedequally:Dong-XuCui,YunGeng.?e-mail:suncy009@nenu.edu.cn;wangxl824@nenu.edu.cn.",this paper's author
"Researches on assembling racemic small molecules into cageshave been reported and selective chiral self-sorting has beenachieved in the covalent cage formation16每28. For example, Caoet al. demonstrated chiral self-sorting driven by the intramo-lecular interactions, which results in [4 +4] radical homochiralcages20. They also prepared the largest [4 +6] imine cagesformed by narcissistic chiral self-sorting27. Mastalerz and co-workers reported the chiral self-sorting of giant cubic [8 +12]salicylimine cages, and only the enantiopure and a meso cagewere obtained out of 23 possible cage isomers7.T h i si st h elargest number of components used so far in social or narcis-sistic self-sorting. They also presented the selective social self-sorting based on different solubility between homochiral andheterochiral salicylimine cages16. In spite of these, the exclusivehomochiral self-sorting in different solvent systems remains achallenge17每23.M o r es i g n i ?cantly, the supramolecular-levelchiral self-sorting remains underexplored.",topology
