content,category
"11¡¢¡öAUTHOR INFORMATIONCorresponding AuthorsHailong Wang ?Beijing Advanced Innovation Center forMaterials Genome Engineering, Beijing Key Laboratory forScience and Application of Functional Molecular andCrystalline Materials, Department of Chemistry andChemical Engineering, School of Chemistry and BiologicalEngineering, University of Science and Technology Beijing,Beijing 100083, China;orcid.org/0000-0002-0138-2966 ; Email: hlwang@ustb.edu.cnWei Zhang ?Department of Chemistry, University ofColorado, Boulder, Colorado 80309, United States;orcid.org/0000-0002-5491-1155 ; Email: wei.zhang@colorado.eduJianzhuang Jiang ?Beijing Advanced Innovation Center forMaterials Genome Engineering, Beijing Key Laboratory forScience and Application of Functional Molecular andCrystalline Materials, Department of Chemistry andChemical Engineering, School of Chemistry and BiologicalEngineering, University of Science and Technology Beijing,Beijing 100083, China;orcid.org/0000-0002-4263-9211 ; Email: jianzhuang@ustb.edu.cnAuthorsChao Liu ?Beijing Advanced Innovation Center for MaterialsGenome Engineering, Beijing Key Laboratory for Science andApplication of Functional Molecular and CrystallineMaterials, Department of Chemistry and ChemicalEngineering, School of Chemistry and Biological Engineering,University of Science and Technology Beijing, Beijing 100083,ChinaYucheng Jin ?Beijing Advanced Innovation Center forMaterials Genome Engineering, Beijing Key Laboratory forScience and Application of Functional Molecular andCrystalline Materials, Department of Chemistry andChemical Engineering, School of Chemistry and BiologicalEngineering, University of Science and Technology Beijing,Beijing 100083, ChinaZonghua Yu ?Beijing Advanced Innovation Center forMaterials Genome Engineering, Beijing Key Laboratory forScience and Application of Functional Molecular andCrystalline Materials, Department of Chemistry andChemical Engineering, School of Chemistry and BiologicalEngineering, University of Science and Technology Beijing,Beijing 100083, ChinaLei Gong ?Beijing Advanced Innovation Center for MaterialsGenome Engineering, Beijing Key Laboratory for Science andApplication of Functional Molecular and CrystallineMaterials, Department of Chemistry and ChemicalEngineering, School of Chemistry and Biological Engineering,University of Science and Technology Beijing, Beijing 100083,ChinaBaoqiu Yu ?Beijing Advanced Innovation Center forMaterials Genome Engineering, Beijing Key Laboratory forScience and Application of Functional Molecular andCrystalline Materials, Department of Chemistry andChemical Engineering, School of Chemistry and BiologicalEngineering, University of Science and Technology Beijing,Beijing 100083, ChinaComplete contact information is available at:https://pubs.acs.org/10.1021/jacs.2c03959NotesThe authors declare no competing ?nancial interest.",affiliation
"2¡¢? Beijing Advanced Innovation Center for Materials Genome Engineering, Beijing Key Laboratory for Science and Application of Functional Molecular and Crystalline Materials, Department of Chemistry and Chemical Engineering, School of Chemistry and Biological Engineering, University of Science and Technology Beijing, Beijing 100083, China ? Department of Chemistry, University of Colorado, Boulder, Colorado 80309, United StatesS2S1. Experimental Section.",affiliation
"10¡¢Experimental procedures and characterization data ofBPPOC and COFs and crystallographic data for BPPOC(CCDC number: 2143974) ( PDF)Accession CodesCCDC 2143974 contains the supplementary crystallographicdata for this paper. These data can be obtained free of chargeviawww.ccdc.cam.ac.uk/data_request/cif ,o rb ye m a i l i n gJournal of the American Chemical Society pubs.acs.org/JACS Articlehttps://doi.org/10.1021/jacs.2c03959J. Am. Chem. Soc. 2022, 144, 12390 ?1239912396data_request@ccdc.cam.ac.uk , or by contacting The Cam-bridge Crystallographic Data Centre, 12 Union Road,Cambridge CB2 1EZ, UK; fax: +44 1223 336033.",CCDC
"9¡¢Single crystal crystallography. Crystallographical data of BPPOC was collected on a diffractometer of SuperNova, Dual, Cu at home/near, AtlasS2 with Cu K¦Á radiation (¦Ë = 1.54184 ?) at 150.00 K. The structure was solved by the direct method (SHELXS-2014) and refined by full-matrix least-squares (SHELXL-2014) on F2.S1a,S1b Anisotropic thermal parameters were used for the non-hydrogen atoms and isotropic parameters for the hydrogen atoms. Hydrogen atoms were added geometrically and refined using a riding model. Crystallographic and refinement parameters for organic cages are compiled in Table S1. Because there are seriously disordered solvent molecules in the cage pores, ¡®SQUEEZE¡¯ command was employed. CCDC 2143974 for BPPOC contain the supplementary crystallographic data for this paper. These data can be obtained free of charge from the Cambridge Crystallographic Data Centre via www.ccdc.cam.ac.uk/data_request/cif.S5Iodine vapor uptake and recycling  experiments . Time-dependent  iodine  vapor  uptake  experiments  were  performed  using  the following  procedure:  The POCs  and COFs  samples  (10.0  mg) were  weighed  in a preweighed  glass  vessel  (5 mL) and then transferred  to a larger  sealed  glass  vial (50 mL) containing  800.0  mg iodine  at the bottom.  There  was not physical  contact  between  the iodine  and the samples.  Next,  the closed  container  was heated  at 75 ¡ãC in an oven.  After  iodine  vapor  adsorption,  the iodine-loaded  materials  were  cooled  to room  temperature  and weighed.  The iodine  uptake  capacities  were  calculated  using  the weight  gain:  C = (W a ? Wb)/W b g g?1, where  C is the iodine  uptake  capacity,  and Wa and Wb are the weight  of the materials  after  and before  iodine  vapor  adsorption,  respectively.  For adsorbent  recycling,  a portion  of iodine-equilibrium  powder  was heated  at 125 ¡ãC under  vacuum  for 4.0 h, affording  a regenerated  material  for cycling.",CCDC
11¡¢Compound BPPOCformula C114H108N18fw 1730.18crystal system Monoclinicspace group C2a /? 29.311(4)b /? 16.9217(15)c /? 29.224(4)¦Á /¡ã 90¦Â /¡ã 114.597(15)¦Ã /¡ã 90V /?313180(3)Z 4¦È range (deg) 4.006-74.369Fcalcd (g/cm3) 0.872¦Ì(mm-1) 0.408F(000) 3672R1 (I>2¦È)[a]0.1320Rw2 for all[b]0.3539GOF on F21.017CCDC No. 2143974[a] R1 = ¦²|F o-|Fc||/¦²|F o|; [b] wR 2 = [¦²w(F o2-Fc2)2/¦²w(F o2)2]1/2Table S2. Le Bail refinement parameters for COFs.,CCDC
"1¡¢¡öEXPERIMENTAL SECTIONGeneral Remarks. All reagents were commercially available andused directly. BTPOC, BTDDP, and 5-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)isophthalaldehyde were synthesized following apreviously published procedure.12Synthesis of 5,5 ¡ä-([2,2 ¡ä-Bipyridine]-5,5 ¡ä-diyl)-diisophthalaldehyde. A mixture of 5,5 ¡ä-dibromo-2,2 ¡ä-bipyridine(628.0 mg, 2.0 mmol), 5-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)isophthalaldehyde (1100.0 mg, 4.2 mmol), potassium carbonate(1000.0 mg, 7.2 mmol), tetrakis(tr iphenylphosphine)palladium(150.0 mg, 0.1 mmol), tetrahydrofuran (18.0 mL), and water (2.0mL) in a 50 mL ?ask was stirred at 95 ¡ãC under a nitrogenatmosphere. After 24 h, the reaction mixture was cooled to roomtemperature and ?ltered. The crude product was washed with eachwater (10.0 mL), tetrahydrofuran (10.0 mL), and methanol (10.0mL) and ?nally dried at room temperature, a ?ording BPDDP ( ca. 700mg) with a yield of 83%. BPDDP possesses the solubility of less than10.0 mg/cm3in DMSO- d6.1H NMR (400 MHz, DMSO- d6):¦Ä(ppm) 10.25 (s, 4H), 9.20 (s, 2H), 8.63 (d, 6H), 8.46 (d, 4H);13CNMR (100 MHz, DMSO- d6):¦Ä(ppm) 193.04, 148.30, 138.07,136.32, 134.24, 133.72, 129.57, 121.33.",comprehensive synthesis
"2¡¢Synthesis of BPPOC. To a suspension of BPDDP (210.2 mg, 0.5mmol) and TFA (5.0 ¦ÌL) in dichloromethane (450.0 mL), a solutionof chiral R,R-cyclohexanediamine (125.6 mg, 1.1 mmol) in dichloro-methane (50.0 mL) was added slowly and stirred at roomtemperature. After 48 h, the reaction mixture was ?ltered. The ?ltratewas then evaporated under reduced pressure. Recrystallization of thecrude product in dichloromethane and methanol led to theprecipitation of the target organic cage as a light yellow powder,which was dried at room temperature, giving BPPOC in the yield of81% (209 mg).",comprehensive synthesis
"4¡¢Synthesis of USTB-1, USTB-2, and USTB-3. A Pyrex tube (9.0¡Á6.0 mm, o.d. ¡Ái.d.) was ?lled with BPDDP (12.6 mg, 0.03 mmol),diamine (BZ for USTB-1 and BPDA for USTB-2, 0.06 mmol), o-DCB(0.9 mL), 1-butanol (0.1 mL), and 6 M aqueous acetic acid (0.1 mL).",comprehensive synthesis
"5¡¢After sonicating the tube for 15.0 min, followed by ?ash freezing in aliquid N2bath, the frozen tube was degassed and slowly warmed toroom temperature. After repeating such a process three times, thetube was sealed. The reaction was performed at 120 ¡ãC for 3 days,generating yellow precipitates. The solids were isolated by ?ltrationand successively washed with o-DCB and acetone three times. Theproducts were collected and dried at 100 ¡ãC under vacuum overnight,providing the yellow powder of USTB-1 (15.6 mg) and USTB-2 (15.9mg), respectively. FT-IR (KBr) for USTB-1: 1622, 1591, 1485, 1135,958, 835, 743 cm?1. FT-IR (KBr) for USTB-2: 1621, 1590, 1458,1141, 1017, 967, 835, 737 cm?1.",comprehensive synthesis
"6¡¢USTB-3 was prepared as a yellow powder (16.4 mg) using thesynthetic protocol for preparing USTB-1 with BTDDP (13.0 mg, 0.03mmol) instead of BPDDP as the starting material for 5 days ¡¯reaction.",comprehensive synthesis
"8¡¢Cage-to-COF Transformation. The solvothermal reaction ofBPPOC (17.3 mg, 0.01 mmol) with BZ/BPDA (0.06 mmol) wascarried out in the solvent mixture of o-DCB (0.9 mL), 1-butanol (0.1mL), and 6 M aqueous acetic acid (0.1 mL) for 3 days. The solidproducts were isolated through ?ltration, successively washing with o-DCB and acetone three times, and drying at 100 ¡ãC, giving yellowpowders of USTB-1c (17.8 mg) and USTB-2c (17.0 mg),respectively. FT-IR (KBr) for USTB-1c: 1622, 1597, 1487, 1146,967, 831, 739 cm?1. FT-IR (KBr) for USTB-2c: 1623, 1591, 1460,1148, 1019, 970, 836, 739 cm?1.",comprehensive synthesis
"9¡¢USTB-3c and USTB-4c were prepared by employing the sameprocedure used for preparing USTB-1c with BTPOC (17.6 mg, 0.01mmol) instead of BPPOC (17.3 mg, 0.01 mmol) as the startingmaterial in o-DCB (0.7 mL) and 1-butanol (0.3 mL), a ?ordingUSTB-3c (18.2 mg) and USTB-4c (17.9 mg) as yellow powders. FT-IR (KBr) for USTB-3c: 1621, 1589, 1485, 1140, 1001, 964, 831, 740cm?1. FT-IR (KBr) for USTB-4c: 1621, 1592, 1459, 1278, 1143, 969,832, 740 cm?1.¡öASSOCIATED CONTENT*s?Supporting InformationThe Supporting Information is available free of charge athttps://pubs.acs.org/doi/10.1021/jacs.2c03959 .",comprehensive synthesis
