content,category
"S1Supporting InformationCompetitive Aminal Formation during the Synthesis of a Highly Soluble, Isopropyl-Decorated Imine  Porous  Organic CageRachel J. Kearsey,a Andrew Tarzia,b Marc  A. Little,a Michael C. Brand,a Rob Clowes,a Kim E. Jelfs,b Andrew I. Cooper*a and Rebecca L. Greenaway*baDepartment of Chemistry  and Materials Innovation Factory, University of Liverpool, 51 Oxford  Street, Liverpool, L7 3NY, UK.",affiliation
"bDepartment of Chemistry, Molecular Sciences Research Hub, Imperial College London, 82 Wood  Lane, London, W12  0BZ, UK.",affiliation
"10,17In morerecent studies using high-throughput robotics to automate thesynthesis of scrambled POC mixtures,18it was found that mixturesof vicinal diamines did not always lead to the formation of astatistical distribution of cage species. In particular, one combi-nation involving 2-methylpropane -1,2-diamine (MPDA, used in thesynthesis of CC13 ,191 equiv.) and (3 R,4R)-2,5-dimethylhexane-3,4-diamine (DMHDA, 5 equiv.) led to t he isolation of a novel isopropyldecorated parent cage, CC21 , albeit in a low 5% yield (Fig. 1a).18When the direct synthesis of CC21 was then attempted using6 equivalents of DMHDA in CHCl 3,a n di nt h ea b s e n c eo fM P D A ,the parent cage was not isolated. In stead, an alternative tri-aminalside-product (1,3,5-tris(4,5-diisop ropyl-imidazolidin-2-yl)benzene,Fig. 1b) was formed and isolated in 33% yield. These preliminaryresults prompted us to carry out further investigations into theformation of CC21 . Here, we report the synthesis, characterisation,and investigation into the formation and properties of this newPOC, which proved to be both highly soluble and have unusualcrystal packing, likely due to the presence of the sterically bulkyisopropyl functionalities on the cage vertices.aDepartment of Chemistry and Materials Innovation Factory, University ofLiverpool, 51 Oxford Street, Liverpool, L7 3NY, UK.E-mail: aicooper@liverpool.ac.ukbDepartment of Chemistry, Molecular Sciences Research Hub, Imperial CollegeLondon, 82 Wood Lane, London, W12 0BZ, UK.E-mail: r.greenaway@imperial.ac.uk?Electronic supplementary information (ESI) available: Full computational,experimental and characterisation details. CCDC 2234276 and 2234277. For ESIand crystallographic data in CIF or other electronic format see DOI: https://doi.",CCDC
"C = grey, H = white, N = blue.  All the amine groups are symmetrically equivalent and have the same  absolute conformation in the crystal structure.  CCDC  submission code:  2234276.",CCDC
"Figure S22: Displacement ellipsoid plot of the asymmetric unit from the single crystal structure,  CC21 汐 from  CC21-S. Ellipsoids  displayed at 30% probability  level. C = grey,  H = white, N = blue. All the amine groups are symmetrically equivalent and have the same absolute  conformation in the crystal structure. CCDC entry  code: 2234277.S26Table S2. Single  crystal  X-ray refinement details  for CC21?9(CHCl 3)?10.5(CH 4O)?(H 2O) and CC21-汐.",CCDC
"CC21?9(CHCl 3)?10.5(CH 4O)?(H2O)CC21-汐[a]Crystallisation Solvent CHCl 3/MeOHSpace Group P21 P21Wavelength [?] Mo-K汐 Mo-K汐Collection Temperature 100 K 100 KFormula 2(C 84H120N12)?9(CHCl 3)? 10.5(CH 4O)?(H 2O)2(C84 H120 N12)Mr 4024.59Crystal Size (mm) 0.31 x 0.27 x 0.07 0.20 x 0.16 x 0.04Crystal System Monoclinic Monoclinica [?] 16.0941(13) 14.7314(3)b [?] 45.047(4) 41.6927(8)c [?] 16.4682(15) 15.9578(3)汐 [～]汕 [～] 105.336(2) 94.0143(19)污 [～]V [?3] 11514.2(17) 9777.1(3)Z 2 2Dcalcd [g cm-3] 1.161 0.882米 [mm-1] 0.373 0.052F(000) 4274 28322牟 range [～] 2.72 每 46.51 3.39 每 46.58Reflections collected 84088 86289Independent reflections, Rint 27498, 0.0589 27809, 0.1257Obs. Data [I > 2考] 18041 17782Data /restraints /parameters27498 / 154 / 2135 27809 / 1 / 1777Final R1 values (I > 2考(I)) 0.0999 0.0660Final R1 values (all data) 0.1259 0.1257Final wR(F2) values (all data) 0.2647 0.1399Goodness-of-fit on F21.500 1.005Largest difference peak and hole [e.A-3]0.421/-0.353 0.354 / -0.166CCDC 2234276 2234277[a] Recorded after desolvating  the crystal of CC21〞isolated by filtration from CH 2Cl2〞at 353 K and then running  gas sorption analysis at 77.3 K, crystals of CC21 -汐 were weakly diffracting at high angle.  Consequently, a resolution limit of 0.9 ? was applied  during  refinement. S27Figure S23: PXRD patterns for CC21: crystallised from CH 2Cl2 and air dried  (bottom, black); recorded after activation at 363 K under dynamic vacuum  and subjected to gas sorption  analysis (middle, red);  simulated pattern for CC21汐 from  the single crystal structure recorded at 100 K.",CCDC
"Single crystal X-ray Crystallography: SC-XRD data sets were measured  on a Rigaku MicroMax-007 HF rotating anode diffractometer (Mo-K汐  radiation, ??= 0.71073 ?, Kappa 4-circle goniometer, Rigaku Saturn724+ detector). Structures  were solved  with SHELXT1 and refined by full-matrix  least  squares on |F|2 by SHELXL,2 interfaced through  the programme OLEX2.3 Absolute configuration  was based on experimental synthetic procedures. Due to solvent disorder in the crystal structure, 2(CC21 )?9(CHCl 3)?10.5(CH 4O)?(H2O), the CHCl 3 and MeOH solvent  molecules were refined with bond distance restraints (DFIX and DANG  in SHELX) and rigid  bond restraints (RIGU in SHELX).S3Gas sorption analysis:  Surface areas  were  measured  by nitrogen  sorption at 77.3  K. Powder  samples were degassed on the analysis port under vacuum. Isotherm measurements were performed using  a Micromeritics 3flex surface characterization analyzer,  equipped with a Cold-Edge  technologies liquid helium cryostat chiller  unit for temperature  control.S42.Identification of Reaction Intermediates 每 1H NMR & HRMS  StudiesOOOTFB4eq.+DMHDA6eq.NEt 3CDCl 3,RTImine condensation productsH2NH2N.2HCl1,3,5-Triformylbenzene (0.033 g, 0.206 mmol, 4 eq.) was dissolved in CDCl 3 (3 mL), and (3R,4R)-2,5-dimethylhexane-3,4-diamine dihydrochloride (0.067  g, 0.308 mmol, 6 eq.) and triethylamine (0.14 mL, 1.02 mmol, 3.3 eq.) in CDCl 3 (3 mL),  was added.  The reaction was set to stir at room temperature and monitored using 1H NMR spectroscopy  and high-resolution mass spectroscopy (HRMS).",comprehensive synthesis
"[1+2]-2H2O[1+3]-3H2O[4+6]2+-12H2O[2+3]-5H2O[2+4]-6H2O[3+4]-8H2O[3+5]-9H2O[4+6]-12H2OWeek 1Week 2Week 3Week 4Week 6S6OOOTFB4eq.+DMHDA5eq.NH2NH2MPDA1eq.NEt 3CDCl 3,RT+H2NH2N.2HClImine condensation products1,3,5-Triformylbenzene (33 mg, 0.2055 mmol, 4 eq.) was dissolved  in CDCl 3 (3 mL), and 2-methylpropane-1,2-diamine (4.5 mg, 0.0514 mmol, 1 eq.) in CDCl 3 (1.5 mL), and (3R,4R)-2,5-dimethylhexane-3,4-diamine dihydrochloride (5.9 mg, 0.257 mmol, 5 eq.) in CDCl 3 (1.5 mL) with triethylamine (0.12 mL, 0.848 mmol, 3.3 eq.), were  added. The reaction  was set to stir at room temperature and monitored using 1H NMR spectroscopy and high-resolution mass spectroscopy (HRMS).",comprehensive synthesis
"[3+6]-9H2O[4+6]2+-12H2O[4+6]-12H2O[1+2]-2H2O[2+3]-5H2O[3+4]-8H2OI[3+5]-9H2O[1+3]-3H2O[2+4]-6H2OWeek 1Week 2Week 3Week 4Week 6S8OOOTFB4eq.+DMHDA5eq.1eq.NEt 3CDCl 3,RT+H2NH2N.2HClImine condensation productsH2N1,3,5-Triformylbenzene (37 mg, 0.226, 4 eq.) was dissolved in CDCl 3 (3 mL), and isobutylamine (4.1 mg, 0.0566 mmol,  1 eq.) in CDCl 3 (1.5 mL), and (3R,4R)-2,5-dimethylhexane-3,4-diamine dihydrochloride (61.5 mg, 0.283 mmol, 5 eq.) in CDCl 3 (0.13 mL, 0.934 mmol, 3.3 eq.) with triethylamine (0.02  mL, 0.17 mmol, 3.3 eq.),  were added. The reaction  was set to stir at room temperature and monitored using 1H NMR spectroscopy and high-resolution mass spectroscopy (HRMS).",comprehensive synthesis
"[M+H+Na]2+1 1 1 1 288.3910 288.1837 289.1915 145.09965 311.1735 167.08165 156.09072 1 2 2 414.6380 414.3357 415.3435 208.17565 437.3255 207.16785 219.16673 1 3 3 540.8850 540.4877 541.4955 271.25165 563.4775 270.24385 282.24274 2 1 2 432.5200 432.2048 433.2126 217.1102 455.1946 216.1024 228.10125 2 2 3 558.7670 558.3568 559.3646 280.1862 581.3466 279.1784 291.17726 2 2 4 540.7520 540.3462 541.3540 271.1809 563.3360 270.1731 282.17197 2 3 4 685.0140 684.5088 685.5166 343.2622 707.4986 342.2544 354.25328 2 3 5 666.9990 666.4982 667.5060 334.2569 689.4880 333.2491 345.24799 2 3 6 648.9840 648.4876 649.4954 325.2516 671.4774 324.2438 336.242610 2 4 5 811.2610 810.6608 811.6686 406.3382 833.6506 405.3304 417.329211 2 4 6 793.2460 792.6502 793.6580 397.3329 815.6400 396.3251 408.323912 2 5 6 937.5080 936.8128 937.8206 469.4142 959.8026 468.4064 480.405213 3 2 4 702.8960 702.3779 703.3857 352.19675 725.3677 351.18895 363.187814 3 3 5 829.1430 828.5299 829.5377 415.27275 851.5197 414.26495 426.263815 3 3 6 811.1280 810.5193 811.5271 406.26745 833.5091 405.25965 417.258516 3 4 6 955.3900 954.6819 955.6897 478.34875 977.6717 477.34095 489.339817 3 4 7 937.3750 936.6713 937.6791 469.34345 959.6611 468.33565 480.334518 3 4 8 919.3600 918.6607 919.6685 460.33815 941.6505 459.33035 471.329219 3 5 7 1081.6370 1080.8339 1081.8417 541.42475 1103.8237 540.41695 552.415820 3 5 8 1063.6220 1062.8233 1063.8311 532.41945 1085.8131 531.41165 543.410521 3 5 9 1045.6070 1044.8127 1045.8205 523.41415 1067.8025 522.40635 534.405222 3 6 8 1207.8840 1206.9859 1207.9937 604.50075 1229.9757 603.49295 615.491823 3 6 9 1189.8690 1188.9753 1189.9831 595.49545 1211.9651 594.48765 606.486524 3 7 9 1334.1310 1333.1379 1334.1457 667.57675 1356.1277 666.56895 678.567825 4 3 6 973.2720 972.5510 973.5588 487.2833 995.5408 486.2755 498.274326 4 4 7 1099.5190 1098.7030 1099.7108 550.3593 1121.6928 549.3515 561.350327 4 4 8 1081.5040 1080.6924 1081.7002 541.354 1103.6822 540.3462 552.34528 4 5 8 1225.7660 1224.8550 1225.8628 613.4353 1247.8448 612.4275 624.426329 4 5 9 1207.7510 1206.8444 1207.8522 604.43 1229.8342 603.4222 615.42130 4 5 10 1189.7360 1188.8338 1189.8416 595.4247 1211.8236 594.4169 606.415731 4 6 9 1352.0130 1351.0070 1352.0148 676.5113 1373.9968 675.5035 687.502332 4 6 10 1333.9980 1332.9964 1334.0042 667.506 1355.9862 666.4982 678.49733 4 6 11 1315.9830 1314.9858 1315.9936 658.5007 1337.9756 657.4929 669.491734 4 6 12 1297.9680 1296.9752 1297.9830 649.4954 1319.9650 648.4876 660.486435 4 7 10 1478.2600 1477.1590 1478.1668 739.5873 1500.1488 738.5795 750.578336 4 7 11 1460.2450 1459.1484 1460.1562 730.582 1482.1382 729.5742 741.57337 4 7 12 1442.2300 1441.1378 1442.1456 721.5767 1464.1276 720.5689 732.567738 4 8 11 1604.5070 1603.3110 1604.3188 802.6633 1626.3008 801.6555 813.654339 4 8 12 1586.4920 1585.3004 1586.3082 793.658 1608.2902 792.6502 804.64940 4 9 12 1730.7540 1729.4630 1730.4708 865.7393 1752.4528 864.7315 876.7303S11Figure S7: Potential structures  for the identified  intermediates in the HRMS spectra, showing  both imine and aminal configurations.S123.Control reactionsGeneral procedure:  Benzaldehyde (1 or 2 eq.) was dissolved in CDCl 3 (3 mL) and diamine  (1 eq.) in CDCl 3 (3 mL) was added. The reaction mixture was set to stir at room temperature for 72 hours, before being analysed by 1H NMR  spectroscopy  to determine  the composition.",comprehensive synthesis
