content,category
"[12a]However, the result-ing cage compounds were not investigated in terms ofporosity and no additional structural proof by single-crystalX-ray analysis could be provided. Cages of larger sizes, whichwere characterized in the solid state by X-ray diffraction ofsingle-crystals were synthesized by the Cooper group,[12b]theSeverin group,[12c]and Gawronski et al.[12d](see also theSupporting Information, Figure S27). Whereas the Coopercage had an outer diameter of 2.9 nm and inner diameter of1.5 nm, which is similar to a previously reported [4+6] cagecompound,[4c]the Gawronski cage was larger, especially whenthe inner cavity dimensions were taken into account (outerdiameter: 3.0 nm, inner diameter: 1.7 nm). By a combinationof metallasupramolecular chemistry and dynamic imine bondformation, Severin and co-workers prepared a cage with outerand inner diameters of 2.7 nm and 1.9 nm, respectively.Unfortunately, these larger cages failed to remain porousupon desolvation of the crystals: mainly nonporous com-pounds were observed, as has been verified by gas sorptionmeasurements.[*] Dr. G. Zhang, Prof. Dr. M. MastalerzOrganisch-Chemisches Institut, Ruprecht-Karls-Universit/C228tHeidelberg, Im Neuenheimer Feld 27069120 Heidelberg (Germany)E-mail: michael.mastalerz@oci.uni-heidelberg.deDr. O. Presly, Dr. F. WhiteAgilent Technologies, Yarnton (UK)Prof. Dr. I. M. OppelAnorganische Chemie, RWTH AachenLandoltweg 1, 52056 Aachen (Germany)[**] We would like to thank the German Research Council (DeutscheForschungsgemeinschaft, DFG) and the ¡°Fond der ChemischenIndustrie¡± (FCI) for generous financial support. G.Z. would like tothank the Alexander-von-Humboldt foundation for a postdoctoralfellowship. Conny Egger and Samuel Blessing (both Ulm University)are acknowledged for performing nitrogen sorption measurementsand collecting PXRD data. We are grateful to Benjamin Eberle(Heidelberg University) for TGA measurements.",affiliation
"Crystal structure of 3b: dark red prisms, 0.218 /C148 0.147 /C1480.042 mm3, triclinic, P/C221,a=27.7864(11), b=27.8540(17), c=29.3623(19) /C138, a=111.469(6), b=101.316(4), g=105.397(4) 8,V=19268.5(19) /C1383, Z=1,1calc=0.457 gcm/C03,qmax=36.378,l-(CuKa)=1.5418 /C138, T=90(2) K, 30055 measured reflections,18309 independent reflections ( Rint=0.0279), 8600 reflections[I>2s(I)], 549 parameter, R=0.1250, wR =0.3461 (for alldata). Data were collected on an Agilent Technologies Super-Nova A diffractometer using Cu radiation with an OxfordCryosystems Cryostream low-temperature device operating at100 K. Data were processed using the CrysAlisPro softwarepackage, solved with SUPERFLIP and refined using SHELXand the OLEX2 refinement programs. X-ray data have beendeposited at the Cambridge Crystallographic Data Centre(CCDC 948612 contains the supplementary crystallographicdata for this paper. These data can be obtained free of chargefrom The Cambridge Crystallographic Data Centre via www.",CCDC
"2,3,6,7 -Tetramethoxytriptycene ( S2):  A mixture of tetramethoxyanthracene S1 (0.89 g, 2.98 mmol) and 2 -carboxy -benzenediazonium chloride (1. 66 g, 8.99 mmol) in 1,2 -dichl oroethane ( 75 mL) and 1,2 -propylene oxide (3 mL) was reflux ed for 3 days.  After cooling the reaction mixture to room temperature, the solvent was removed under reduced pressure. The crude product  was suspended in acetone (60 mL) and filtered off to remove unreacted anthracene (0.21g). The acetone solution was concentrated by rotary evaporat ion and the crude product was purified by column  chromatography (silica gel, dichloromethane/petroleum ether 9:1) to give  a yellow viscous oil  which  was recrystalliz ed fr om ethanol ( 20 mL)  to give compound S2 as white solid ( 0.32 g, 28%). Mp. 250 oC. 1H NMR ( 400 MHz, CDCl 3) ¦Ä (ppm) = 7. 35 (dd, J = 5.26, 3.20 Hz, 2H, Ar -13,16 -H), 7.01 (s, 4H, Ar -1,4,5,8 -H), 6.97 (dd, J = 5.31, 3.14 Hz, 2H, Ar -14,15 -H), 5.27 (s, 2H, bridgehead -H), 3.84 (s, 12H, OC H3). 13C NMR (1 00 MHz, CDCl 3) ¦Ä (ppm) = 146.1  (br, Arbenzene -C-CH bridgehead ), 145. 8 (s, Ar -2,3,6,7 -C), 138.4  (s, ArOMe-C-CH bridgehead ), 124. 9 (s, Ar -14,15 -C), 123.0 (s, Ar-13,16 -C), 108. 4 (s, Ar -1,4,5,8 -C), 56.2  (s, O CH3), 53.4  (s, bridgehead -C). FT-IR (KBr) ? (cm-1) = 343 2 (br, m ),  S3 3064  (w), 29 98 (w), 2949 (m), 2829 (m), 1614 (m),1599 (w), 1488 (s), 1464 (s), 140 7 (m), 12 86 (s), 12 24 (s), 1190 (m), 1145 (m), 10 99 (s), 1082 (s), 1022, 986, 865 (w), 7 54 (w), 739 (m), 624 (w), 605 (m), 474  (w). MS (CI) m/z (relative intensity) = 343 [M -MeO] (5%), 360 [M -Me +1] (9%), 374 [M] (100%), 375 [M+ 1] (89%) , 376 [M+2] (19%). Elemental anal. calcd. for C 24H22O4: C 7 6.99 H 5.92, found: C 7 7.01 H 5.84.",comprehensive synthesis
"To a cooled (0oC) solution of triptycene S1 (0.20 g, 0.53 mmol) in dry dichlorometha ne (15 mL) boron tribromide (1M in dichloromethane , 3.8 mL, 3.8 mmol) was slowly added. After complete addition, the mixture was stirred at room temperature for 6 hours . Ice-water (20 g) was added and the aqueous  layer extracted with diethyl ether (3¡Á20 mL ). The combined organic layer was washed with water (3 ¡Á50 mL)  and dried over Na 2SO 4. After removing the solvent by rotary evaporation  the crude product was dissolved in ethyl acetate ( 3 mL) and precipitated by adding dichloromethane  (20 mL). The solid was filtered off and dried in air to give compound 1a as a gray to pale -white  solid (0. 17 g, quant. ).Mp. > 365 oC (dec.) . 1H NMR ( 400 MHz, DMSO) ¦Ä (ppm) = 8. 52 (s, 4H, Ar-OH), 7.2 7 (dd, J = 5.24, 3.22 Hz,  2H, Ar-13,16 -H), 6.90 (dd, J = 5.28, 3.16 Hz,  2H, Ar-14,15-H), 6.7 7 (s, 4H, Ar -1,4,5,8 -H), 5.11 (s, 2H, bridgehead -H). 13C NMR (1 00 MHz, DMSO) ¦Ä (ppm) = 14 7.0 (s, Arbenzene -C-CH bridgehead ), 141.1 (s, Ar -2,3,6,7 -C), 137.1 (s, ArOH-C-CH bridgehead ), 124.2 (s, Ar -14,15 -C), 122.7 (s, Ar-13,16 -C), 111.9 (s, Ar -1,4,5 ,8-C), 51.4 (s, bridgehead -C). FT-IR (KBr) ? (cm-1) = 3 391 (br, s), 16 20 (m),144 8 (m), 1456 (s), 1341 (m), 1297 (s), 1236 (m), 1182 (m), 114 5 (m), 1057 (m), 874 (m),  847 (w), 762 (w), 74 4 (m), 624 (m), 605 (m) . MS (CI) m/z (relative intensity) = 318 [M] (5 2%), 319  [M+1] (100%) . Elemental anal. calcd.",comprehensive synthesis
"To a cooled solution (0 oC) of trimethylsilylacetylene  (0.86 mL, 6.04 mmol) in dry THF ( 5 mL), n-butyllithium (1.60 M in hexane, 3.8 mL, 6.08 mmol) was slowly added and the reaction mixture stirred for one hour at 0  oC.",comprehensive synthesis
"The solution was quickly added to a solution of triptycene quinone  S3 (0.61 g, 1.51 mmol) in dry tetrahydrofuran (30 mL) and the dark brown suspension gradually became a clear pale yellow solution. The mixture was stirred at room temperature under arg on for three  hours. The reaction was quenched by adding water (2 mL) . Tin (II) chloride dihydrate ( 1.7 g, 7.53 mmol) was added to the mixture followed by adding acetic acid ( 6 mL). The mixture was stirred at room temperature for two hours and then diluted with dichloromethane (100 mL). The organic layer was washed with water (5¡Á100 mL) and dried over anhydrous Na 2SO 4. Solvent s were  removed by rotary evaporation and the crude product was purified by column chromatography ( silica gel, dichloromethane/light pe troleum 1 0:1) to give compound S4 as a white  solid (0. 65 g, 76%). Mp. 241-242 oC. 1H NMR (400 MHz, CDCl 3) ¦Ä (ppm) = 7. 01 (s, 2H, Ar -2,3-H), 7.0 1 (s, 4H, Ar -5,8,13,16 -H), 5.69 (s, 2H, bridgehead -H), 3.8 6 (s, 12H , OC H3), 0.38 (s, 18H, TMS ). 13C NMR (100 MHz, CDCl 3) ¦Ä (ppm) = 14 8.3 (s, ArC¡ÔC-C-CH bridgehead ), 14 6.1 (s, Ar -6,7,14,15 -C), 137. 8 (s, Ar OMe-C-CH bridgehe ad), 127. 6 (s, Ar -2,3-C), 117.9  (s, Ar-1,4-C), 108. 7 (s, Ar -5,8,13,16 -C), 102.7  (s, Ar -C¡Ô), 99.2 (s, ¡ÔCTMS ), 56.2 (s, O CH3), 51. 4 (s, bridgehead -C), 0.1 (t, J = 28.02 Hz, CTMS). FT-IR (KBr) ? (cm-1) = 3435 (m), 2956 (m) , 2901 (w), 2861 (w), 2830 (w), 2152 (m), 1613 (m), 1487 (s), 1382 (w), 1287 (s), 1250 (m), 1220 (m), 1193 (m), 1146 (m), 1090 (s), 1025 (m), 1000 (m), 857 (s), 760 (m), 701 (w), 654 (w), 639 (w), 629 (w), 566 (w), 532 (w), 420 (w). MS (EI): m/z (relative intensity) = 567 [M+1] (100%) . Elemen tal anal. calcd. for C 34H38O4Si2: C 72.04  H 6.76, found: C 72.09  H 6.72.",comprehensive synthesis
"Triptycene S4 (0.88 g, 1.55 mmol) was dissolved in a mixture of MeOH/THF (1:1, 60 mL). The sol ution was degassed with argon for 5 minutes and potassium carbonate (0.64 g, 4.63 mmol) was then added. The solution was stirred overnight  at room temperature . The mixture was dilute d with dichloromethane (100 mL)  and the organic layer was washed with wate r (3¡Á200 mL) and dried over anhydrous Na 2SO 4. Solvent was removed by rotary evaporation and the crude product was purified by column chromatography ( silica gel, dichloromethane) to give after drying compound S5 as a white  solid (0. 63 g, 96%). Mp. 209 oC (dec.) . 1H NMR (400 MHz, CDCl 3) ¦Ä (ppm) = 7.07 (s, 2H, Ar -2,3-H), 7.0 5 (s, 4H, Ar -5,8,13,16 -H), 5.77 (s, 2H, bridgehead -H), 3.8 6 (s, 12H , OC H3), 3.45 (s, 2H, ¡ÔCH). 13C NMR (100 MHz, CDCl 3) ¦Ä (ppm) = 14 8.8 (s, Ar C¡ÔC-C-CH bridgehead ), 14 6.1 (s, Ar -6,7,14,15 -C),  S5 137.6 (s, Ar OMe-C-CH bridgehead ), 128.1 (s, Ar -2,3-C), 117. 2 (s, Ar -1,4-C), 108. 6 (s, Ar -5,8,13,16 -C), 81.7 (s, Ar -C¡Ô), 81.2 (s, ¡ÔCH), 56.2 (s, O CH3), 51. 1 (s, bridgehead -C). FT-IR (KBr) ? (cm-1) = 3435 (br, s), 3285 (s), 2934 (m) , 2830 (m) , 2223  (m), 2100 (w), 1613 (m ), 1489 (s), 1465 (m), 1409 (w), 1287 (s), 1218 (m), 1194 (m), 1147 (m), 1089 (s), 1025 (w), 991 (w), 861 (w), 822 (w), 747 (w), 720 (w), 656 (w), 640 (w), 564 (m), 529 (w). MS(EI): m/z (relative intensity) = 361 [M -2MeO+1] (34%),  377 [M-MeO -Me+1] ( 13%), 392 [M-MeO+1] ( 14%), 409 [M-Me+1] (15%)  422 [M] (100%), 423 [M+1] (100%) . Elemental anal. calcd. for C 28H22O4: C 79.60  H 5.25, found: C 79.64  H 5.29.",comprehensive synthesis
"To as solution of t riptycene S5 (0.50 g, 1.18 mmol) in ethyl acetate ( 50 mL)  palladium on charcoal (5% Pd/C, 150 mg) was added. The flask was first charged with argon and the solution was vigorously stirred under  hydrogen atmosphere  at room temperature for 3 day s. Pd/C was fi ltered off and washed with ethyl acetate ( 200 mL). The solvent was removed by rotary evaporation and the crude product was purified by column chromatography ( silica gel, dichloromethane)  to give after drying compound S6 as white solid (0. 45 g, 88%). Mp. 196 oC. 1H NMR (400 MHz, CDCl 3) ¦Ä (ppm) = 7.0 2 (s, 4H, Ar -5,8,13,16 -H), 6.7 5 (s, 2H, Ar -2,3-H), 5.5 4 (s, 2H, bridgehead -H), 3.8 4 (s, 12H, OC H3), 2.8 6 (q, J = 7.58 Hz, 4H, ArC H2), 1.28 (t, J = 7.58 Hz, 6H , CH 2CH3). 13C NMR (100 MHz, CDCl 3) ¦Ä (ppm) = 145.9  (s, Ar -6,7,14,15 -C), 143.8  (s, Ar -C-CH bridgehead ), 138.7 (s, Ar OMe-C-CH bridgehead ), 13 5.2 (s, Ar-1,4-C), 124.9 (s, Ar -2,3-C), 108.4 (s, Ar -5,8,13,16 -C), 56.3  (s, O CH3), 49. 6 (s, bridgehead -C), 26.0 (s, Ar CH2), 16.1 (s, CH 2CH3). FT-IR (KBr) ? (cm-1) = 3435 (br, w), 2957 (m ), 2930 (m), 2870 (w), 2828 (w), 1610 (m), 1490 (s), 1462 (m), 1452 (m), 1439 (m), 1407 (m), 1285 (s), 1231 (m), 1216 (m), 1186 (m), 1155 (w), 1094 (s), 1025 (w), 989 (w), 859 (m), 826 (w), 747 (w), 720 (w), 641 (m), 576 (w). MS(EI) m/z (relative intensity ) = 430 [M] (100%) . Elemental anal. calcd. for C 28H30O4: C 78.11  H 7.02, found: C 78.42  H 6.70.",comprehensive synthesis
"To a cooled (0oC) solution of triptycene S6 (0.21 g, 0.49 mmol) in dry dichlor omethane (2 0 mL) boron tribromide (1 M in dichloromethane , 3.40 mL ) was slowly added. After complete addition, the mixture was stirred at room temperature overnight. Ice -water (20 g) was added and the aqueous  layer was extracted with ethyl acetate  (3¡Á50 mL). The combined organic layer was washed with water (3 ¡Á100 mL)  and dried over Na 2SO 4. After removing the solvent by rotary evaporation , compound 1b was obtained as pale-gray solid (0. 18 g, 98%). Mp. 268 oC (dec.) . 1H NMR (400 MHz, DMSO ) ¦Ä (ppm) = 8.51 (s, 4H, ArO H), 6.81 (s, 4H, Ar -1,4,5,8 -H), 6.66 (s, 2H, Ar -14,15 -H),  S6 5.34 (s, 2H, bridgehead -H), 2.7 4 (q, J = 7.47 Hz, 4H, ArC H2), 1.15 (t, J = 7.50 Hz, 6 H, CH 2CH3). 13C NMR (100 MHz, DMSO) ¦Ä (ppm) = 144.6 (s, Ar -C-CH bridgehead ), 141.2  (s, A r-C-OH), 137.3  (s, Ar OH-C-CH bridgehead ), 134.8 (s, Ar-13,16 -C), 124. 2 (s, Ar -14,15 -C), 111.9  (s, Ar -1,4,5,8 -C), 47. 7 (s, bridgehead -C), 25.4 (s, Ar CH2), 16.4 (s, CH 2CH3). FT-IR (KBr) ? (cm-1) = 3384 (br, s), 3037 (w), 2961 (m), 2928 (w), 2869 (w), 1617 (m) , 1489 (s), 1456 (s), 1403 (w), 1346 (m), 1295 (s), 1180 (m), 1141 (m), 1060 (m), 944 (w), 918 (w), 872 (m), 822 (w), 788 (w), 757 (m), 719 (m), 642 (m), 570 (m).  MS(CI) m/z (relative intensity)  = 242 [M -C6H2(Et) 2] (6%), 267 [M-C6H2(OH) 2](7%), 345 [M -Et] (7%), 374 [M] (34%), 375 [M+1] (100%) , 403 [M+ Et] (12%) . Elemental anal.",comprehensive synthesis
"1,3,5 -Benzene triboronic acid  (2):  The synthesis of 1,3,5 -benzenetriboronic acid was carried out by a modified method  of a published procedure .S4 To the solution of pinacol 1,3,5 -benzenetriboronic ester S7 (1.0 g, 2.19 mmol) in THF (24 mL) and water ( 6 mL) sodium periodate (4.22g, 19.71 mmol)  was added . The cloudy white suspension was stirred overnight at room temperature . Hydro chloric acid (2M, 0.5 mL) was added  and t he mixture stirred for another 24 hours. Methanol (100 mL) was added and the mixture was filtered to remove  salts. The filtrate was concent rated by  rotatory evaporat ion and hydrochloric acid  (1M, 30 mL) was added. The mixture was stirred at room temperature for 2 hours and the  resulting precipitate  was collected by filtration and dried in  vacuum to give triboronic acid 2 (0.44g, 95%) as white solid. Mp. > 300 oC (dec.) 1H NMR (400 MHz, CD 3OD, DCl in D 2O) ¦Ä (ppm) = 8. 17 (s, 3H). 13C NMR ( 100 MHz, CD 3OD/DCl, DCl in D 2O) ¦Ä (ppm) = 142.38  (s). Analytical data are in agreement with those published before.S4   Scheme S 4. Synthesis of model compound  M3b .",comprehensive synthesis
