content,category
"Department of Chemistry and Chemical Biology, Rutgers-The State Uni Versity of New Jersey, Piscataway,New Jersey 08854Received January 31, 2008; E-mail: warmuth@rutgers.eduSpherical molecules, whose shapes and symmetries parallel thoseof the regular or semiregular, convex polyhedra, also known asPlatonic and Archimedian solids, are attractive synthetic targets andhave the potential to encapsulate one or more guest molecules.",affiliation
"Department of Chemistry and Chemical Biology , Rutgers-The State University of New Jersey, Piscataway, NJ 08854, USA E-mail: warmuth@rutgers.edu     1. Experimental procedures  General : Reagents and chromatography solvents were purchased from Aldrich and used without further purifi cation except that chloroform was passed through K 2CO 3 prior to use. THF was dried and degased using a Solv Tech solvent purification system. 1H NMR spectra recorded in CDCl 3 and CD 2Cl2 were referenced to residual CHCl 3 and CHDCl 2 at 7.26 and 5.30 ppm. 13C NMR spectra recorded in CDCl 3 were referenced to 13CDCl 3 at 77.0 ppm. Mass spectra were reco rded on an Applied Biosystems Voyager DE-Pro mass spectrometer (MALDI-TOF). 2, 4,6-Trihydroxylacetophenone (THAP) was used as matrix. For compounds 6 and 9, Ag(O 2CCF 3) was added to the matrix. Gel permeation chromatography (GPC) was performed on a Thermo SpectraSYSTEM HPLC system equipped with dual wavelength  UV/Vis detector (280 nm), Eppendorf CH-30 column heater and two Jordi GPC columns (cross linked DVB; 103 ? pore size; MW cutoff ~ 25,000; 7.8mm ¡Á 30cm) with CH 2Cl2/1% NEt 3 as mobile phase at a flow of 1 mL/min. Approximate molecular weights of  analytes were determined from a semi logarithmic calibration plot (Ln(MW) agai nst retention time) using the following molecular weight standards : benzene (MW 78); cavitand 2 (MW 1075); a NMP hemicarceplex (MW 2348) [1],  and three polyaminonanocaps ules (MW 3941, 5912 and 7882) [2,3].",affiliation
"When ( P)-2(>99% ee) and 3awere mixed in a 8:12 ratio inCHCl 3containing 1 mol% TFA, homochiral nanocube ( all-P )-1aformed in ¡«90% yield together with ¡«10% of diastereomericheterochiral cubes containing ( M)-2(Figure S41). The latter cubesresult from partial inversion of ( P)-2during the reaction.",comprehensive synthesis
"S2   1.1. C3-Triiodo-trihexadecyloxycyclotribenzylene 9  C3-Triiodocyclotriphenolene 11 (0.99 g, 1.4 mmol) [4], pota ssium carbonate (3.5 g, 25.4 mmol), and 1-bromohexadecane (3.6 mL, 11.8 mm ol) were suspended in dry DMF (21 mL).  After stirred at 95 oC under argon for two days, the reaction mixture was poured into HCl (1 M, 30 mL), followed by extrac tion with dichlorometha ne (3 x 20 mL). The combined organic layers were washed with brine (20 mL) and sodium bicarbonate solution (25 mL). The solvent was removed under reduced pressure. The residual crude product was purified by column chromatogr aphy (silica gel, hexane/dichloromethane 4:1). Yield: 1.1 g (57.3%). 1H NMR (500 MHz, CDCl 3, 25 oC) ¦ÄH:  7.69 (s, 3H; aryl- H), 6.69 (s, 3H; aryl- H), 4.51 (d, 3H, 2J (Ha,He) = 13.6 Hz; Ha), 3.99 (m, 6H; OCH 2CH 2CH 2(CH 2)12CH 3), 3.48 (d, 3H,  2J (Ha,He) = 13.6 Hz; He), 1.80 (m, 6H; OCH 2CH 2CH 2(CH 2)12CH 3 ), 1.49 (m, 6H; OCH 2CH 2CH 2(CH 2)12CH 3), 1.43-1.00 (b, 72H; OCH 2CH 2CH 2(CH 2)12CH 3), 0.90 (t, 9H, OCH 2CH 2CH 2(CH 2)12CH 3). 13C NMR (125 MHz, CDCl 3, 25 oC) ¦ÄC: 156.9, 140.9, 140.6, 133. 0, 113.6, 85.1, 69.7, 36. 2, 32.2, 30.00, 29.98, 29.95, 29.91, 29.89, 29.65, 29.61, 29.27, 26.3, 23.0, 14.4. MALDI-TOF mass: m/z: 1475.40 ([M+Ag]+, 1475.47 (calcd.))  1.2.  C3-Triformyl-trihexadecyloxycyclotribenzylene rac-2   C3-Triiodo-trihexadecyloxycyclotribenzylene 9 (500 mg, 0.37 mmol) was dissolved in dry THF (16.5 mL) under Argon. The solution was cooled to -78 oC. n-BuLi (1.65 mL, 2.5 M in hexanes) was added via syri nge. After stirred at 78 oC for 10min, the solution was warmed to 0 oC, and stirred at that temperature for 1h. Dry DMF (1.65 mL, 21.3 mmol) was added via syringe, and the so lution was stirred at room temperature for 2 h. The reaction was quenched by adding saturated NH 4Cl(aq) (10 mL). THF was removed under reduced pressure. The resulting mixtur e was extracted three times with CH 2Cl2 (3 x 20 mL). The combined organic layers were wa shed with water (3 x 15 mL). The organic layer was concentrated to dryness under re duced pressure. The residual crude product was purified by column chromatography (sili ca gel, hexanes/EtOAc = 7:1).Yield: 345 mg S3  (0.32 mmol, 88%). 1H NMR (500 MHz, CDCl 3, 25 oC) ¦ÄH: 10.35 (s, 3H; C HO), 7.82 (s, 3H; aryl- H), 6.98 (s, 3H; aryl- H)  4.73 (d, 3H, 2J (Ha,He) = 14.2 Hz; Ha), 4.05 (m, 6H; OCH 2CH 2CH 2(CH 2)12CH 3), 3.76 (d, 3H,  2J (Ha,He) = 14.2 Hz; He), 1.79 (m, 6H; OCH 2CH 2CH 2(CH 2)12CH 3 ), 1.46 (b, 6H; OCH 2CH 2CH 2(CH 2)12CH 3), 1.37-1.22 (b, 72H; OCH 2CH 2CH 2(CH 2)12CH 3), 0.88 (t, 9H, OCH 2CH 2CH 2(CH 2)12CH 3). 13C NMR (125 MHz, CDCl 3, 25 oC) ¦ÄC: 189.5, 160.8, 148.2, 130. 4, 129.8, 124.2, 114. 2, 69.1, 37.0, 32.2, 29.99, 29.98, 29.96, 29. 95, 29.87, 29.84, 29. 65, 29.63, 29.3, 26.3,  23.6, 14.4. MALDI-TOF mass: m/z: 1098.57 ([M+Na]+, 1097.85 (calcd.)) Elemental analysis: found: 10.94 (%H), 80.04 (%C); calcd: 10.68 (%H), 80.39 (%C).",comprehensive synthesis
"1.3.  C3-Triformylcyclotrianisylene rac-6  n-BuLi (1.79 mL, 2.5 M in hexanes) was added to dry THF (23 mL) at -78 oC under Argon and the solution was stirred at this temperature for 10min. This solution was cannulated into a flask charged with C3-triiodocyclotrianisylene 12 [4] (425 mg, 0.58 mmol) at -78 oC. After stirring for 50 min at -78 oC, dry DMF (1.79 mL, 23.1 mmol) was added and the mixture was furthe r stirred 20 min at -78 oC and 1 h at room  temperature.",comprehensive synthesis
"The reaction was quenched by adding excess saturated NH 4Cl(aq). THF was removed under reduced pressure and the resulting mixt ure was filtered. Th e precipitate was washed with CH 2Cl2 (30 mL). The crude product was purified by column chromatography (silica gel, CH 2Cl2/EtOAc  20:1). Yield: 160  mg (0.32 mmol, 63%).1H NMR (500 MHz, CDCl 3, 25 oC) ¦ÄH: 10.33 (s, 3H; C HO), 7.85 (s, 3H; aryl- H), 7.00 (s, 3H; aryl-H)  4.78 (d, 3H, 2J (Ha,He) = 13.5 Hz; Ha), 3.91 (s, 9H; O CH 3), 3.80 (d, 3H,  2J (Ha,He) = 13.5 Hz; He). MALDI-TOF mass: m/z: 551.01 ([M+Ag]+, 551.06 (calcd.)).",comprehensive synthesis
"1.4.  Cryptophane ( P,P,R,R,R )-4  R = hexadecylORN N RORONNN ROROORNPP(P,P,R,R,R )-4HeHa S4  CTV rac- 2 (13.4 mg, 0.0125 mmol), (1 R,2R)-(?)-1,2-diaminocyclohexan e (2.8 mg, 0.025 mmol, 99% ee), trifluoroacetic acid (TFA) (1% in CHCl 3, 8.6 ¦ÌL), and a few beads of 4 ? molecular sieves were mixed in CHCl 3 (5.6 mL) in an air-tight vessel. The mixture was stirred at 80 oC overnight. After cooling to room temperature, potassium carbonate (15 mg) was added. This suspension was sonicat ed and subsequently filt ered. The filtrate was concentrated and excess hexanes were added.  The precipitate was isolated by filtration and dried under high vacuum. Yield: 12.9 mg (0.005 mmol, 92%). 1H NMR (500 MHz, CDCl 3, 25 oC) ¦ÄH: 8.37 (s, 6H; C HN), 7.72 (s, 6H; aryl- H), 6.83 (s, 6H; aryl- H)  4.54 (d, 6H, 2J (Ha,He) = 13.3 Hz; Ha), 4.05 (m, 12H; O CH 2CH 2CH 2(CH 2)12CH 3), 3.56 (d, 3H,  2J (Ha,He) = 13.3 Hz; He ), 3.01 (m, 6H; NC H), 1.83 (b, 18H,), 1.69 (b, 12H), 1.54-1.21 (b, 162H), 0.88 (t, 18H, OCH 2CH 2CH 2(CH 2)12CH 3). 13C NMR (125 MHz, CDCl 3, 25 oC) ¦ÄC: 157.3, 155.1, 143.4, 130. 4, 128.2, 123.9, 114.3, 75.6, 69.4, 36.4, 34.3, 32.2, 30.23, 30.11, 30.053, 30.047, 30.040, 30.033, 30. 027, 29.989, 29.978, 29.67, 29.37, 26.5, 25.6, 23.0, 14.4. MALDI-TOF mass: m/z: 2384.98 ([M+H]+, 2385.01 (calcd.)).",comprehensive synthesis
"1.5.  Cryptophane ( P,P,R,R,R )-10 R=C H 3ORN N RORONNN ROROORNPP(P,P,R,R,R )-10HeHa CTV rac-6 (7.2 mg, 0.016 mmol), (1 R,2R)-(?)-1,2-diaminocyclohexane (3.3 mg, 0.029 mmol, 99% ee), TFA (1% in CHCl 3, 11.1 ¦ÌL), and a few beads of 4 ? molecular sieves were mixed in CHCl 3 (7.2 mL) in an air-tight vessel.  The mixture was stirred at 80 oC overnight. After cooling to room temperat ure, potassium carbonat e (15 mg) was added.",comprehensive synthesis
"S5  1.6.  ( P)-C3-Triformyl-trihexadecyloxycyclotribenzylene ( P)-2 Cryptophane ( P,P,R,R,R )-4 (8.14 mg, 0.0034 mmol), TFA (852 ¦ÌL) were dissolved in THF (9 mL, saturated with water). The soluti on was stirred at room  temperature for 2h.",comprehensive synthesis
"A large amount of brine was added and the product was extracted with CHCl 3 (3 x 10 mL). The combined organic layers were washed with sodium bicarbonate solution (1 M, 10 mL) and brine. The solution was concen trated and excess hexanes were added to precipitate the product. The pr ecipitate was collected the pr oduct by filtration and dried at high vacuum. Yield:  6.6 mg (0.006mmol, 92%, >99% ee).",comprehensive synthesis
