content,category
"The primary synthetic challenge is to prepare permanentlyporous organic crystals assembled using non-covalent forces, whichare much weaker than the directional bonding in crystallinenetworks such as covalent organic frameworks4,17,18. We show thattetrahedral organic cages can be synthesized and subsequentlydesolvated to generate porous crystals that adsorb small gasmolecules, such as nitrogen, hydrogen, methane and carbondioxide. The crystal porosity in these materials is a consequence ofboth the molecular voids in the cages and the inefficient packing1Department of Chemistry and Centre for Materials Discovery, University of Liverpool, Crown Street, Liverpool L69 7ZD, UK,2Corporate Research &Development Division, Kaneka Corporation 5-1-1, Torikai-Nishi, Settsu, Osaka 566-0072, Japan,3I11 Beamline, Diamond Light Source Limited, HarwellScience and Innovation Campus, Chilton, Didcot OX11 0DE, UK,4School of Chemistry, University of St Andrews, North Haugh, St Andrews KY16 9ST, UK.",affiliation
"1 Department of Chemistry and Centre for Mate rials Discovery, University of Liverpool, Crown Street, Liverpool L69 7ZD, United Kingdom 2 Kaneka Corporation, Japan 3 I11 Beamline, Diamond Light Source Limited, Harwell Science and Innovation Campus, Chilton, Didcot, Oxfordshire OX11 0DE, UK.",affiliation
"4 School of Chemistry, University of St Andrews, North Haugh, St Andrews, Fife KY16 9ST, Scotland, United Kingdom  * To whom correspondence should be addressed: aicooper@liv.ac.uk SUPPLEMENTARY INFORMATION 2 nature materials  | www.nature.com/naturematerialsSUPPLEMENTARY INFORMATIONdoi: 10.1038/nmat2545? 2ExperimentalMaterials. 1,3,5-Triformylbenzene was prepared by standard literature procedures1 or purchased from Waterstone Technology, USA or Manchester  Organics, UK. All other chemicals were purchased from Sigma-Aldrich and used as received.",affiliation
"Crystallographic data have been submitted to the Cambridge Crystallographic Database with reference numbers CCDC 707056 ( 1, EtOAc solvate), CCDC 720848 ( 1, desolvated), CCDC 720849 ( 2, desolvated), CCDC 720851 ( 3, CHCl 3 solvate) and CCDC 720850 ( 3, desolvated, data collected at 400 K) and are av ailable free of charge at www.ccdc.cam.ac.uk/data_request/cif .",CCDC
"MethodsSynthesis. A representative synthesis (for cage 1) is as follows. Ethyl acetate (35 ml)was added to 1,3,5-triformylbenzene (50 mg, 0.31 mmol) in a beaker at roomtemperature. After 5 min, a solution of ethylene diamine (28 mg, 0.47 mmol) in ethylacetate (5 ml) was added. The resulting mixture was left covered for 60 h withoutstirring. A turbid solution was observed to form within 5 min after ethylene diamineNATURE MATERIALS jVOL 8jDECEMBER 2009jwww.nature.com/naturematerials 977ARTICLES NATURE MATERIALS DOI: 10.1038/NMAT2545addition to the partially dissolved trialdehyde. This was followed by precipitationof a solid after around 56 h and, finally, pale white needles of the solvate(C48H48N12)2:5(C 4H8O2) were observed to crystallize from solution after around60 h. Compound 1was obtained by desolvation of the solvate either by heating inair, a flow of dry nitrogen or under reduced pressure.1HNMR (CDCl 3;400 MHz)8:18 (s;12H;CH=N), 7:92 (s;12H;ArH), 4:12 (q;JD7:2 Hz;5H;2:5OCH 2),4:02 (brs;24H;NCH 2), 2:04 (s;7:5H;2:5COCH 3), 1:25 (t;JD7:2 Hz;7:5H;2:5CH 3)ppm:13CNMR (CDCl 3;100 MHz)171:1, 161.2, 136.4, 129.6,61.6, 60.4, 21.04, 14.2 ppm. IR (KBr pellet ;) 2,917 (s), 2,389 (s), 1,739 (s),1,648 (s), 1,598 (m), 1,433 (m), 1,335 (s), 1,238 (s), 1,155 (s), 1,108 (m) 1,048 (s),991 (m), 911 (m), 694 (m) cm1:ESI-MS (CH 3OH) m/z: 793TMCHUCforC48H48N12;815TMCNaUC.",comprehensive synthesis
"Synthesis of Cage 1 Ethyl acetate (35 mL) was added to 1,3,5-triformylbenzene (50 mg, 0.3 1 mmol) in a beaker at room temperature. After 5 minutes, a solution of ethlylene diamine (28 mg, 0.47 mmol) in EtOAc (5 mL) was added. The resulting mixture was left covere d for 60 h without stirring. A turbid solution was observed to form within 5 min after ethylene diamine addition to the partially dissolved trialdehyde.",comprehensive synthesis
"Synthesis of Cage 2 This was prepared in a similar manner to cage 1. Acetonitrile (15 mL) was added to 1, 3, 5-triformylbenzene (50 mg, 0.31 mmol) in a beaker at room temperature. After 5 minutes, a solution of 1,2-diaminopropane ( 34 mg, 0.47 mmol) in CH 3CN (5 mL) was added. The resulting mixture was left covered for 60 h without stirring. A turbid solution was observed to form within 5 minutes after 1,2-diaminopropane was added to the partially dissolved trialdehyde. This was followed by precipitation of a solid af ter around 5ÿ6 h and, finally, pale white needles of cage  2 were observed to crystallize from solu tion after around 60 h. As for 1, the product obtained was a mixture of needle crystals which adhered to the sides of the reaction flask (major compone nt) and a thin layer of amorphous material at the bottom of the flask (minor component). The crystals were separated nature materials  | www.nature.com/naturematerials 3SUPPLEMENTARY INFORMATIONdoi: 10.1038/nmat2545? 3carefully from the flask walls using a spatula wi thout disturbing the amorphous  layer, washed with acetonitrile and air dried to give the acetonitrile solvate of cage 2.",comprehensive synthesis
"Synthesis of Cage 3 1,3,5-Triformylbenzene (81 mg, 0.5 mmol) was dissolv ed in dichloromethane (3 mL) and added to a solution of (R,R)-1,2-diaminocyclohexane (85 mg, 0.75 mmol)  in dichloromethane (3 mL). After 2 days at room temperature, transparent prism-li ke crystals were formed. The solvent was decanted, and fresh dichloromethane (3 mL) added which was then quickly decanted. A further aliquot of dichloromethane (8 mL) was added and the solution stirred to re-dissolve the crystalline material, filtered through a 200 nm PTFE filter  (Millex-FG) and the solvent allowed to evaporate to afford a white, microcrystalline powder in low yield (25 mg, 18 %). Crystals suitable for X-ray crystallography were either remove d directly from the reaction flask after 2 days prior to the washing step described above or, alternatively, by carrying out the reaction in chloroform instead of dichloromethane and simply allowing the solvent to evaporate slowly over several days.",comprehensive synthesis
"Porous materials are important in a wide range of applications including molecular separations and catalysis. We demonstratethat covalently bonded organic cages can assemble into crystalline microporous materials. The porosity is prefabricatedand intrinsic to the molecular cage structure, as opposed to being formed by non-covalent self-assembly of non-poroussub-units. The three-dimensional connectivity between the cage windows is controlled by varying the chemical functionalitysuch that either non-porous or permanently porous assemblies can be produced. Surface areas and gas uptakes for the latterexceed comparable molecular solids. One of the cages can be converted by recrystallization to produce either porous ornon-porous polymorphs with apparent BrunauerÿEmmettÿTeller surface areas of 550 and 23 m2g1, respectively. These resultssuggest design principles for responsive porous organic solids and for the modular construction of extended materials fromprefabricated molecular pores.",surface area
"In contrast, 2shows a type I N 2sorption isotherm ( Fig.4a) andadsorbs a total of 7 :52 mmol g1N2at 77.3 K and a relative pressure(P=P0) of 0.998. The Langmuir surface area calculated for 2fromthe N 2isotherm was 600 m2g1and the BrunauerEmmettTellersurface area ( SABET) was 533 m2g1. Cage 3also shows a type I N 2sorption isotherm with a corresponding Langmuir surface area of730 m2g1(SABETD624 m2g1).",surface area
