content,category
"aDepartment of Chemistry and Biochemistry, bDepartment of Chemical and Biological Engineering, University of Colorado, Boulder, CO 80309, and cNational Renewable Energy Laboratory, Golden, CO 80401          SUPPORTING INFORMATION List of Contents 1. Materials and general s ynthetic methods   S2 2. Procedures for selected compounds    S2-S8 3. Gas adsorption analysis of compounds 1-4, 2＊, and 13-14    S9   4. Thermal gravimetric analyses of 1-4 and 14    S10 5. Powder X-ray diffraction analyses of 1-4 and 14      S11 6. DFT calculations on N2 adsorption and CO2 adsorption energies  S12-S13 7. 1H and 13C NMR Spectra for selected compounds     S14-S25 8. Complete Citations S26        S2??    1. Materials and general methods  Reagents and solvents were purchased from commercial suppliers and used without further purification, unless otherw ise indicated. Ether, tetrahydrofuran, toluene, CH2Cl2 and DMF are purified by MBRAUN solvent purifica tion systems. Reagent-grade CHCl 3 was purchased from Mallinckrodt Chemicals, and anhydrous CH 3CN was purchased from Sigma-Aldrich. 1,3,5-trihexyl-2,4,6-tris (4-aminophenyl)benzene 11, cage 2, and analog 13 were synthesized as previously reported.1 1,8-Diformylanthracene 4 was prepared from 1,8-dicyanoanthracene as reported in the literature. 2  All reactions, except those performed in aque ous solvent, were conduc ted under dry nitrogen in oven-dried glassware. Unless otherwise specif ied, solvents were evaporated using a rotary evaporator after workup.",affiliation
"Cage 1. To a solution of 1,3,5-trihexyl-2,4,6-tris(4-aminophe-nyl)benzene 11(362 mg, 0.60 mmol) and 1,8-bis(4-formylphe-nyl)naphthalene ( 5) (304 mg, 0.90 mmol) in chloroform (200 mL)was added Sc(OTf) 3(44 mg, 0.090 mmol) in CH 3CN (10 mL)dropwise. The yellow solution was stirred at room temperature for24 h. NaBH(OAc) 3(3.81 g, 18.0 mmol) was added, and the yellowsuspension was stirred at room temperature for 5 h. The mixture wasquenched by the addition of saturated NaHCO3(50 mL), and theorganic layer was separated. The aqueous layer was extracted withCHCl 3(3/C250 mL). The combined organics were dried over Na 2SO4and concentrated to give the crude product. Purification by flash columnchromatography (20% EtOAc in hexane as eluent) yielded the molecularcage 1(570 mg, 90%) as a light yellow solid:1H NMR (500 MHz,CDCl 3)汛7.97 (d, J= 8.2 Hz, 6H), 7.58 (t, J= 7.6 Hz, 6H), 7.44 (d, J=7.0 Hz, 6H), 7.14 (d, J= 8.1 Hz, 6H), 7.10 /C07.00 (m, 24H), 6.82 (d, J=8.2 Hz, 6H), 6.68 (dd, J= 8.1, 2.1 Hz, 6H), 6.52 (dd, J= 8.2, 2.1 Hz, 6H),4.23 (s, 12H), 3.61 (s, 6H), 2.23 /C01.99 (m, 12H), 1.24 /C01.16 (m, 12H),1.09/C01.02 (m, 12H), 0.92 /C00.83 (m, 24H), 0.77 (t, J= 7.3 Hz, 18H);13C NMR (101 MHz, CDCl 3)汛146.70, 142.71, 140.34, 139.77, 139.23,137.10, 135.67, 131.86, 131.60, 131.27, 130.71, 130.40, 129.63, 128.81,126.69, 125.43, 112.74, 112.31, 49.25, 32.05, 31.24, 31.16, 29.81, 22.64,14.48; MS (MALDI) calcd for C 156H162N6([Mt]) 2120.29, found2120.52.Low-Pressure Gas Adsorption Measurements. Ideal gasadsorption measurements were performed using a custom-built stainlesssteel gas sorption apparatus specifically designed for small (100 /C0200 mg) samples; containing a PX303-015A5V pressure transducer fromOmega Engineering Corporation, a 47 mm membrane holder cataloguenumber XX4404700 from Millipore Corporation, and Swagelok tubefittings and valves. The data was acquired by a ADAC DaqBoardPci5500MF from Abu Dhabi Airports Company and processed withLabview 7 Express from National Instruments. All samples were placedunder vacuum between tests to remove all adsorbed gases, and kept at20/C176C for both adsorption testing and off-gassing phases. CO2and N 2were used unaltered from Airgas, Inc. in single gas experiments for idealgas adsorption; no mixed gas studies were performed.",comprehensive synthesis
"2. Procedures ?1,8-bis(4-formylphenyl)naphthalene (5): The procedure reported by Feldman3 et. al was followed. In a Schlenk tube, 1,8-diiodonaphtha lene (1.43 g, 3.76 mmol), 4-formylphenylboronic acid (1.69 g, 11.3 mmol), Pd(PPh 3)4 (434 mg, 0.38 mmol) and Na 2CO 3 (1.19 g, 11.3 mmol) were added. The reaction apparatus was then evacuated and refilled with nitr ogen. Toluene (10 mL), EtOH (10 mL) and H 2O (5 mL) were added and the mixture was degassed three times before heating at 65 oC for 18 h. Water (50 mL) was added, and the mixture was extracted with ethyl acetate (3 x 50 mL). The organic extracts were washed with water (2 x 50 mL), and brine (50 ????????????????????????????????????????????????????????????1?Jin, Y.; Voss, B. A.; Noble, R. D.; Zhang, W. Angew. Chem. Int. Ed.  2010 , 49, 6348-6351.",comprehensive synthesis
"3?Feldman, K. S.; Campbell, R. F. J. Org. Chem.  1995 , 60, 1924-1925. S3??mL), dried over Na 2SO 4, and concentrated to give the cr ude product. Purification by flash column chromatography (gradien t elution, 8 % EtOAc in hexane ↙ 30 % EtOAc in hexane) yielded 1-iodo-8-(4-formylphenyl )naphthalene (480 mg, 52 % corr ected for recovered) and the recovered 1,8-diiodonaphthalene (450 mg, 69 % conversion).  The Suzuki coupling procedure described above was followed. 1-Iodo-8-(4-for mylphenyl)naphthalene (480 mg, 1.34 mmol) was converted to 1,8-bis(4-formylphenyl)naphthale ne (401 mg, 89 %) using 4-formylphenylboronic acid (402 mg, 2.68 mmol), Pd(PPh 3)4 (77 mg, 0.067 mmol), Na 2CO 3 (284 g, 2.69 mmol), Toluene (10 mL), THF (10 mL), and H 2O (5 mL). The physical data for compound 5: 1H NMR (500 MHz, CDCl 3) 汛 9.81 (s, 2H), 8.04 (dd, J = 8.3, 1.3 Hz, 2H), 7.63 (dd, J = 8.2, 7.0 Hz, 2H), 7.48 每 7.44 (m, 6H), 7.19 每 7.15 (m, 4H); 13C NMR (101 MHz, CDCl 3) 汛 191.79, 149.49, 138.77, 135.59, 134.21, 131.50, 130.60, 129.85, 129.02, 128.89, 125.72; HR -MS (ESI): Calcd for C24H16O2 [M+H+] 337.1223; Found, 337.1220.",comprehensive synthesis
"Cage 1 : To a solution of 1,3,5-trihexyl -2,4,6-tris(4-aminophenyl)benzene 11 (362 mg, 0.60 mmol) and 1,8-bis(4-form ylphenyl)naphthalene ( 5) (304 mg, 0.90 mmol) in chloroform (200 mL) was added Sc(OTf) 3 (44 mg, 0.090 mmol) in CH 3CN (10 mL) dropwise. The yellow solution was stirred at rt for 24 hr. NaBH(OAc) 3 (3.81 g, 18.0 mmol) was added, and the yellow suspension was stirred at rt for 5 hr. The mi xture was quenched by the addition of saturated NaHCO 3 (50 mL), and the organic layer was separa ted. The aqueous layer was extracted with CHCl 3 (3 x 50 mL). The combined organics were dried over Na 2SO 4 and concentrated to give crude product.  Purification by fl ash column chromatography (20 % EtOAc in hexane as eluent) yielded the molecular cage 1 (570 mg, 90 %) as a light yellow solid: 1H NMR (500 MHz, CDCl 3) 汛 7.97 (d, J = 8.2 Hz, 6H), 7.58 (t, J = 7.6 Hz, 6H), 7.44 (d, J = 7.0 Hz, 6H), 7.14 (d, J = 8.1 Hz, 6H), 7.10 每 7.00 (m, 24H), 6.82 (d, J = 8.2 Hz, 6H), 6.68 (dd, J = 8.1, 2.1 Hz, 6H), 6.52 (dd, J = 8.2, 2.1 Hz, 6H), 4.23 (s, 12H), 3.61 (s, 6H), 2.23 每 1.99 (m, 12H), 1.24 每 1.16 (m, 12H), 1.09 每 1.02 (m, 12H), 0.92 每 0.83 (m, 24H), 0.77 (t, J = 7.3 Hz, 18H); 13C NMR (101 MHz, CDCl 3) 汛 146.70, 142.71, 140.34, 139.77, 139.23, 137.10, 135.67, 131.86, 131.60, 131.27, 130.71, 130.40, 129.63, 128.81, 126.69, 125.43, 112.74, 112.31, 49.25, 32.05, 31.24, 31.16, 29.81, 22.64, 14.48; MS (MALDI) calc＊d for C 156H162N6  ([M+]) 2120.29, found 2120.52. S4?? Cage 3 :  The same imine metathesis and reducti on procedure described above were followed.",comprehensive synthesis
"1,3,5-Tris(4-aminophenyl)benzene (250 mg, 0.71 mmol), 1,8-diformylanthracene (250 mg, 1.07 mmol), Sc(OTf) 3 (52 mg, 0.11 mmol), CHCl 3 (237 mL), CH 3CN (12 mL) and NaBH(OAc) 3 (451 mg, 21.3 mmol) were used to prepare cage  3 (348 mg, 75 %). The physical data for compound 3: 1H NMR (500 MHz, CDCl 3) 汛 9.11 (s, 3H), 8.50 (s, 3H), 8.00 (d, J = 12.5 Hz, 6H), 7.51 (d, J = 6.5 Hz, 6H), 7.48 每 7.42 (m, 6H), 7.37 每 7.32 (m , 6H), 7.30 每 7.23 (m, 12H), 6.56 (d, 12H), 4.71 (s, 12H), 3.78 (br s, J = 17.1, 10.7 Hz, 6H); 13C NMR (101 MHz, CDCl 3) 汛 147.27, 141.71, 134.89, 132.16, 131.49, 130.59, 129.05, 128.07, 127.24, 125.41, 122.42, 112.80, 48.04; MS (MALDI) calc＊d for C96H72N6  ([M+]) 1309.64, found 1309.22.",comprehensive synthesis
"1,3-Dibromo-5-hexadecyloxy-benzene (6):  The procedure reported by Kandre et. al  was followed.4 A mixture of 3,5-dibromophenol (1.5 g,  5.95 mmol) and 1-bromohexadecane (1.91 g, 6.25 mmol), and NaOH (250 mg, 6.25 mmol) in EtOH ( 30 mL) was heated in a schlenk tube at 100 oC for  18 h. It was then allowed to cool to room temperature. Water (50 mL) was added and the product was extracted with di ethyl ether (3 x 70 mL). The co mbined organic extracts were dried over anhydrous Na 2SO 4, concentrated, and purified by fl ash column chromatography using hexane as the eluent to provide th e product as a colorl ess oil (2.50 g, 88 %):1H NMR (500 MHz, CDCl 3) 汛 7.23 (t, J = 1.6 Hz, 1H), 6.99 (d, J = 1.6 Hz, 2H), 3.91 (t, J = 6.5 Hz, 2H), 1.82 每 1.71 (m, 2H), 1.49 每 1.39 (m, 2H), 1.38 每 1.20 (m, 24H), 0.89 (t, J = 7.0 Hz, 3H); 13C NMR (101 MHz, CDCl 3) 汛 160.55, 126.33, 123.26, 117.12, 68.83, 32.16, 29.92, 29.80, 29.76, 29.60, 29.51, 29.20, 26.12, 22.93, 14.37.",comprehensive synthesis
"4?R.?Kandre, K. Feldman, E. Meijer, E. H. Han, P. Smith and A. D.  Schl邦ter,  Angew. Chem. Int. Ed.  2007, 46, 4956 每4959 S5?? 1-Hexadecyloxy-3,5-bis[2-(1,1,1-trimethy lsilyl)-1-ethynyl]benzene (7) : The general Sonogashira coupling procedure was followed.5 To a Schlenk tube were added Pd(PPh 3)2Cl2 (221 mg, 0.32 mmol), CuI (20 mg, 0.11 mmol), a solution of compound 6 (2.50 g, 5.25 mmol) in THF (20 mL), and piperidine ( 15 mL). The mixture was degasse d by evacuating and refilling with nitrogen three times. Trim ethylsilylacetylene (2.08 g, 26.3 mmol) was added and heated at 65 oC for 4 h. The mixture was cooled to room  temperature and filtered to remove the precipitates. The filtrate was concentrated and the residue was purified by flash column chromatography (gradient elution, hexane ↙ 2 % EtOAc in hexane) to yield compound 7 as a yellow solid (2.60 g, 97 %): 1H NMR (500 MHz, CDCl 3) 汛 7.18 (t, J = 1.3 Hz, 1H), 6.94 (d, J = 1.4 Hz, 2H), 3.92 (t, J = 6.5 Hz, 2H), 1.81 每 1.68 (m, 2H ), 1.49 每 1.38 (m, 2H), 1.33 每 1.24 (m, 24H), 0.89 (t, J = 7.0 Hz, 3H), 0.24 (s, 18H); 13C NMR (101 MHz, CDCl 3) 汛 158.78, 128.19, 124.33, 118.49, 104.33, 94.69, 68.41, 32.16, 29.93, 29.89, 29.82, 29.60, 29.56, 29.33, 26.18, 22.93, 14.37, 0.12; HR-MS (ESI): Calcd for C32H54OSi 2 [M+H+] 511.3786; Found, 511.3787.",comprehensive synthesis
"1-Hexadecyloxy-3,5-biethynylbenzene (8): To a solution of compound 7 (2.60 g, 5.09 mmol) in THF (40 mL) and MeOH (150 mL) was added  a solution of NaOH (2.03 g, 50.9 mmol) in H 2O (3 mL) dropwise. The solution was stirred at ro om temperature for 1 h, and the volatiles were removed in vacuo. Diethyl ether (150 mL) wa s added and the mixture was washed with H 2O (2 x 50 mL) and brine (50 mL),  dried over anhydrous Na 2SO 4, and concentrated. The residue was purified by flash column chromat ography (gradient elution, hexane ↙ 2 % EtOAc in hexane) to provide product 8 as a white solid (1.78 g, 96 %): 1H NMR (400 MHz, CDCl 3) 汛 7.21 (t, J = 1.3 Hz, 1H), 7.01 (d, J = 1.3 Hz, 2H), 3.93 (t, J = 6.5 Hz, 2H), 3.06 (s, 2H), 1.82 每 1.72 (m, 2H), 1.47 每 1.38 (m, 2H), 1.35 每 1.24 (m, 24H), 0.89 (t, J = 6.9 Hz, 3H); 13C NMR (101 MHz, CDCl 3) 汛 158.88, 128.23, 123.48, 119.04, 82.85, 77.75, 68.49, 32.16, 29.92, 29.89, 29.81, 29.78, 29.60, 29.55, 29.29, 26.17, 22.93, 14.37; HR-MS (ESI): Calcd for C 26H38O [M+H+] 367.2995; Found, 367.2981.",comprehensive synthesis
"1-Hexadecyloxy-3,5-bis(3-bromo-5-fo rmylphenylethynyl)benzene (9): The Sonogashira coupling procedure described above was followed. Coupling of 1-hexadecyloxy-3,5-????????????????????????????????????????????????????????????5?Sonogashira, K.; Tohda, Y,; Hagihara, N. Tetrahedron Lett.  1975 , 50, 4467 每 4470. S6??biethynylbenzene ( 8, 1.24 g, 3.38 mmol) and 3-bromo-5-i odo-benzaldehyde (2.42 g, 7.78 mmol) in THF (40 mL) using Pd(PPh 3)2Cl2 (142 mg, 0.20 mmol), CuI (13 mg, 0.07 mmol) and piperidine (720 mg, 8.45 mmol) provided the product 9 (2.05 g, 83 %) as a light yellow solid: 1H NMR (500 MHz, CDCl 3) 汛 9.97 (s, 2H), 8.03 每 7.98 (m, 2H),  7.98 每 7.94 (m, 2H), 7.94 每 7.90 (m, 2H), 7.31 (t, J = 1.3 Hz, 1H), 7.08 (d,  J = 1.3 Hz, 2H), 4.00 (t,  J = 6.5 Hz, 2H), 1.99 每 1.76 (m, 2H), 1.55 每 1.43 (m, 2H), 1.43 每 1.22 (m, 24H), 0.88 (t, J = 7.0 Hz, 3H).13C NMR (101 MHz, CDCl 3) 汛 190.17, 159.17, 139.75, 137.99, 132.06, 131.76, 127.49, 126.18, 123.75, 123.41, 118.76, 91.42, 87.08, 68.64, 32.15, 29.92, 29.83, 29.80, 29. 59, 29.31, 26.19, 22.92, 14.36; HR-MS (ESI): Calcd for C 40H44Br2O3[M+H+] 733.1714; Found, 733.1696.",comprehensive synthesis
