content,category
"The crystal packing for ( 1-S,3-R) is also shown in Fig. 2: the 1-Sand3-Rmodules alternate in the crystal lattice in a face-centred cubic1Department of Chemistry and Centre for Materials Discovery, University of Liverpool, Crown Street, Liverpool L69 7ZD, UK.2Department of Chemistry, University College London, 20 Gordon Street, LondonWC1H 0AJ, UK.3Department of Chemistry, University of Cambridge, Lensfield Road, Cambridge CB2 1EW, UK.",affiliation
"1 Department of Chemistry and Centre for Materials Discovery, University of Liverpool, Crown Street, Liverpool, L69 7ZD, United Kingdom.  E-mail: aicooper@liv.ac.uk 2 Department of Chemistry, University College London, 20 Gordon Street, London, WC1H 0AJ , United Kingdom, E-mail: f.schiffmann@ucl.ac.uk  3 Department of Chemistry, University of Cambridge, Lensfield Road, Cambridge, CB2 1EW, United Kingdom. E-mail: gmd27@cam.ac.uk  Experimental   Materials.  1,3,5 -Triformylbenzene was purchased from Manchester Organics, UK. All other chemicals were purchased from Sigma-Aldrich and used as received.",affiliation
"Crystallographic data have been submitted to the Cambridge Crystallographic Database with reference numbers CCDC 793895  (P23) CCDC 793896 (F23), CCDC 793897 (R3) (1-S, 3-R) cocrystal) CCDC 814042 ( F4132) (cage 5-R) and are available free of charge at http://www.ccdc.cam.ac.uk/data_request/cif   Gas Sorption Analysis. All samples were tested with gases of the following purities: carbon dioxide (SCF grade, BOC gases) and methane (ultrahigh purity, BOC gases). Surface areas and pore size distributions were measured by nitrogen adsorption and desorption at 77.3 K using a Micromeritics ASAP 2020 volumetric adsorption analyzer. Samples were degassed at offline at 100 ～C for 15 h under vacuum (10-5 bar) before analysis, followed by degassing on the analysis port under vacuum, also at 100 ～C. Methane and carbon dioxide isotherms were measured at 273 K; H 2 sorption isotherms were measured at 77 K.",CCDC
"(ii) Cage 3-R: An improved method was used for the synthesis of 3-R which gives higher yields than our previous procedure. Dichloromethane (100 ml) was layered slowly onto solid triformylbenzene (TFB, 5 g, 30.86 mmol) without stirring at room temperature.",comprehensive synthesis
"SUPPLEMENT AR Y INFORMA TIONdoi:10.1 038/n ature 10125WWW.NATURE.COM/NATURE | 1Trifluoroacetic acid (1 mL) was added directly to this solution as a catalyst for the imine bond formation. Finally, a solution of (R,R ) -1,2-diaminocyclohexane (5 g, 44.64 mmol) in dichloromethane (100 mL) was added to this, again without mixing. The reaction was covered and left to stand. The absence of stirring is important since it controls the dissolution rate of the TFB: similar results can be obtained by slow addition, for example with syringe pump, although the layering method is convenient, reproducible, and scalable to multigram quantities. Over 5 days, all of the solid triformylbenzene was used up and octahedral crystals of 3-R grew on the sides of the glass reaction vessel. The crystalline product was removed by filtration and washed with 95 % ethanol / 5 % dichloromethane. Yield 6.5 g, 83 %. 1H NMR (CDCl 3) 汛 8.15 (s, C H=N, 12H), 7.89 (s, ArH, 12H), 3.33 (m, C HN, 12H), 1.9 每 1.4 (m, CH 2, 48H) ppm. 13C NMR (CDCl 3) 汛 159.1, 136.7, 129.5, 74.7, 33.0, 24.4 ppm. IR (KBr pellet, 糸) 2929 (s), 2858 (s), 1649 (s), 1601 (w), 1448 (m), 1372 (w), 1342 (w), 1306 (w), 1157 (m), 1092 (m), 1041 (w), 990 (w), 937 (w), 885 (w), 863 (w), 691 (m), 671 (m), 520 (w), 458 (w), 439 (w) cm-1. MS (ES +) 1118 ([M+H] +). Accurate mass calculated for C 72H85N12: 1117.7020. Found: 1117.7065.",comprehensive synthesis
"(iii) Cage 4-S was prepared as follows:  (S,S)-1,2-cyclopentadiamine  dihydrochloride  (1038  mg, 6.0 mmol) and triethylamine  (0.85 mL, 6.0 mmol)  were dissolved in  methanol  (80 mL). The resulting solution was added drop -wise into a stirr ed solution of  1,3,5 -triformylbenzene  (648 mg, 4.0  mmol)  in DCM  (80 mL) . The result ing mixture left covered for a pproximately  7每10 days at 20 ～C. White , needle -like crystals of cage 4-S were filtered off after 7 days, washed with DCM/ methanol (5: 95 v/v) mixture , and dried in air. Yield 898 mg, 87 %.  1H NMR ( CDCl 3) 汛 8.20 (s, CH =N, 12H), 7.92 (s, ArH, 12H), 3.73  (m, C HN, 12H), 1.98 (m, CH 2, 36H) ppm.  13C NMR (CDC l3) 汛 160.1, 136.5, 129.6, 78.3 , 31.8, 21.1  ppm.",comprehensive synthesis
Scheme S2:  Synthesis of porous cage module 5-R.,comprehensive synthesis
"(iv) Cage 5-R was prepared as follows: an oven-dried round-bottom flask was cooled to room temperature under a dry nitrogen atmosphere. After tri(4-formylp henyl)amine (264 mg, 0.8 mmol) was charged into the flask, dichloromethane (100 mL) was added. The clear yellow-green solution that was formed was kept for the next step. To another oven-dried flask, also cooled to room temperature under N 2, was added (1R, 2R)-1,2-cyclopentanediamine dihydrocholoride (208 mg, 1.2 mmol), methanol (100 mL), and triethylamine (243 mg, 2.4 mmol). The clear, colorless solution was stirred at room temperature for 5 每10 min. This solution was then added very slowly to the first solution by pouring gently down the side of the flask to form two layers: a colorless layer on the top and a yellow-green layer at the bottom. A cloudy interface appeared between these two layers as the reaction progressed. The resulting suspension was then sealed and kept at room temperature for 7 days. A white solid which adhered to the walls of the flask was observed after 7 days, along with a clear yellow supernatant solution. The white solid was collected by filtration and washed with DCM (3 ℅ 5 mL) to afford pure cage 5 in 90% yield (305 mg). Single crystal data was obtained from a crystal grown in DCM/MeOH. 1H NMR (CDCl 3, 400 MHz,) 汛 (ppm): 7.99 (s, 1H), 7.61 (d, SUPPLEMENTARY INFORMATION RESEARCH doi:10.1 038/n ature 10125WWW.NATURE.COM/NATURE | 22H), 7.02 (d, 2H), 3.60 (broad m, 1H), 2.09-2.17 (broad m, 2H), 1.93-1.98 (broad m, 1H) .",comprehensive synthesis
"Subsequently, the ( 1-S, 3-R) cocrystal was prepared by dissolving equimolar quantities of cage 1 and cage 3 (4.45 x10-2 mmol) in CHCl 3 (14 mL) this solution was filtered and added to an  ethylacetate solution (70 mL) to form a clear solution. After 3 weeks, clear single crystals suitable for X-ray structure determination were obtained. Other racemic crystals and quasiracemic cocrystals, such as ( 3-R, 3-S) and ( 4-S, 3-R), were formed by mixing together solutions in solvents such as chloroform or dichloromethane. As illustrated in Fig. S26, this led to rapid precipitation of small crystals in this size range 100 nm 每 1  m which were not large enough for single crystal X-ray diffraction, but which could be analysed by powder X-ray diffraction and by gas sorption.",comprehensive synthesis
"Levels of porosity in such molecular organic solids are also modest:until recently12每15, Brunauer每Emmett每Teller specific surface areas,SABET, of less than 400 m2g21were typical24. Moreover, porousmolecular solids could not be described as modular because almostall examples are single-component crystals.",surface area
