content,category
"Department of Chemistry and Chemical Biology, Rutgers,The State University of New Jersey, Piscataway, NJ 08854, USA.E-mail: warmuth@rutgers.edu; Fax: +1 732 4455312;Tel: +1 732 4458432wElectronic supplementary information (ESI) available: Procedures,NMR spectra and MALDI TOF MS. See DOI: 10.1039/c1cc13381kChemCommDynamic Article Linkswww.rsc.org/chemcomm COMMUNICATIONPublished on 15 July 2011. Downloaded by Zhejiang University on 11/26/2023 2:11:31 PM.",affiliation
This research was supported by the National ScienceFoundation (Grant CHE-0957611).,affiliation
" ?Table	 ?1:	 ?TFA--©\catalyzed	 ?condensation	 ?products	 ?	 ?Electronic Supplementary Material (ESI) for Chemical CommunicationsThis journal is ? The Royal Society of Chemistry 2011	 ?Page	 ?S3	 ?1.2 Cavitand	 ?Ce	 ?Tetrabromocavitand	 ?1b[2]	 ?( 5 2 0 	 ?m g , 	 ?0 . 5 3 	 ?m m o l )	 ? was	 ? dried	 ? under	 ? vacuum	 ? overnight	 ? at	 ?100	 ?£¤	 ? and	 ? then	 ? dissolved	 ? in	 ? 20	 ? mL	 ? THF	 ? under	 ? argon.	 ? THF	 ? (10	 ? mL)	 ? was	 ? added	 ? to	 ?a	 ?second	 ?dried	 ?flask,	 ?which	 ?was	 ?charged	 ?with	 ?PrMgBr/THF	 ?solution	 ?(2.6	 ?mL,	 ?2	 ?mol/L)	 ?and	 ?anhydrous	 ?LiCl	 ?(216	 ?mg,	 ?5.10	 ?mmol).	 ?The	 ?suspension	 ?was	 ?stirred	 ?under	 ?argon	 ?untill	 ?all	 ?LiCl	 ?was	 ?dissolved.	 ?Then,	 ?the	 ?resulting	 ?solution	 ?was	 ?cannulated	 ?to	 ?the	 ?solution	 ?of	 ?1c	 ?at	 ?--©\78£¤.	 ?After	 ?the	 ?Br/MgBr	 ?exchange,	 ?which	 ?was	 ?monitored	 ?by	 ?1H	 ?NMR	 ?spectroscopy,	 ?was	 ?complete,	 ?anhydrous	 ?DMF	 ?(0.43	 ?mL,	 ?6.33	 ?mmol)	 ?was	 ?injected	 ?to	 ?the	 ?solution.	 ?After	 ?1	 ?hr,	 ?the	 ? reaction	 ? was	 ? quenched	 ? with	 ? aqueous	 ?HCl	 ? solution	 ? (10	 ? mL,	 ? 1M).	 ? The	 ? product	 ? was	 ?extracted	 ?with	 ?ethyl	 ?acetate	 ?(3¡Á30	 ?mL).	 ?The	 ?combined	 ?organic	 ?solution	 ?was	 ?washed	 ?with	 ?sat.	 ?NaCl	 ?solution,	 ?dried	 ?over	 ?anhydrous	 ?Na2SO4	 ?and	 ?concentrated	 ?under	 ?vacuum.	 ?The	 ?product	 ?was	 ?further	 ?purified	 ?by	 ?silica	 ?gel	 ?column	 ?chromatography	 ?with	 ?THF/CH2Cl2=2/98	 ?as	 ?the	 ?mobile	 ?phase.	 ?The	 ?white	 ?solid	 ?was	 ?obtained	 ?in	 ?25%	 ?yield.	 ?	 ?1H	 ?NMR	 ?(400	 ?MHz,	 ?CDCl3,	 ?25	 ?£¤):	 ?¦ÄH	 ?10.35	 ?(s,	 ?4H,	 ?--©\CHO),	 ?7.56	 ?(s,	 ?4H,	 ?Ha),	 ?5.35	 ?(t,	 ?J=8.1	 ?Hz,	 ?4H,	 ?Hm),	 ?4.51	 ?(m,	 ?8H,	 ?Ho),	 ?3.67	 ?(m,	 ?8H,	 ?Hi),	 ?2.10	 ?(m,	 ?8H,	 ?H1),	 ?1.42--©\1.18	 ?(m,	 ?24H,	 ?H2,	 ?H3	 ?and	 ?H4),	 ?0.88	 ?(t,	 ?J=7.1Hz,	 ?12H,	 ?H5).	 ?13C	 ?NMR	 ?(100	 ?MHz,	 ?CDCl3,	 ?25	 ?£¤):	 ?¦ÄC	 ?190.24,	 ?155.85,	 ?137.37,	 ?130.17,	 ?125.13,	 ?74.42,	 ?34.50,	 ?33.32,	 ?32.28,	 ?27.87,	 ?23.07,	 ?14.53.	 ?Ms	 ?(Maldi--©\tof)	 ?m/z:	 ?1007.4911	 ?(M+Na+,	 ?100%);	 ?Calcd	 ?for	 ?C60H72O12	 ?+Na+:	 ?1007.4916.	 ?	 ?1.3 Cavitand	 ?2b	 ?Tetrabromocavitand	 ?1b	 ?(530	 ?mg,	 ?0.54	 ?mmol)	 ?was	 ?dried	 ?overnight	 ?under	 ?vacuum	 ?at	 ?100	 ?£¤	 ?and	 ?then	 ?dissolved	 ?in	 ?30	 ?mL	 ?THF	 ?under	 ?argon.	 ?At	 ?--©\78£¤,	 ?BuLi/Hexane	 ?(1.6	 ?mL,	 ?2.5M)	 ?was	 ?injected	 ?into	 ?the	 ?above	 ?solution.	 ?After	 ?3	 ?hours,	 ?I2	 ?(1.3	 ?g,	 ?5.12	 ?mmol)	 ?was	 ?added	 ?to	 ?the	 ? solution.	 ?The	 ? reaction	 ? was	 ? quenched	 ? with	 ? water.	 ? The	 ? product	 ? was	 ? extracted	 ? with	 ?ethyl	 ? acetate	 ? (3¡Á30	 ? mL)	 ? and	 ? then	 ? the	 ? combined	 ? organic	 ? solution	 ? was	 ? washed	 ? with	 ?Na2S2O3	 ? solution	 ? (20	 ? mL,	 ? 10%),	 ? water	 ? and	 ? sat.	 ? NaCl	 ? solution,	 ? dried	 ? over	 ? anhydrous	 ?Na2SO4	 ? and	 ?concentrated	 ? in	 ? vacuum.	 ? The	 ? product	 ? was	 ? further	 ? purified	 ? by	 ? silica	 ?gel	 ?column	 ?chromatography	 ?with	 ?CH2Cl2/Hexane=1/1	 ?as	 ?mobile	 ?phase.	 ?The	 ?slightly	 ?yellow	 ?solid	 ?was	 ?obtained	 ?in	 ?81%	 ?yield.	 ?	",comprehensive synthesis
"Electronic Supplementary Material (ESI) for Chemical CommunicationsThis journal is ? The Royal Society of Chemistry 2011	 ?Page	 ?S4	 ?1H	 ?NMR	 ?(500	 ?MHz,	 ?CDCl3,	 ?25	 ?£¤):	 ?¦ÄH	 ?7.29	 ?(s,	 ?4H,	 ?Ha),	 ?5.27	 ?(t,	 ?J=8.2	 ?Hz,	 ?4H,	 ?Hm),	 ?4.46	 ?(m,	 ?8H,	 ?Ho),	 ?3.76	 ?(m,	 ?8H,	 ?Hi),	 ?2.04	 ?(m,	 ?8H,	 ?H1),	 ?1.38--©\1.15	 ?(m,	 ?24H,	 ?H2,	 ?H3	 ?and	 ?H4),	 ?0.86	 ?(t,	 ?J=7.2	 ?Hz,	 ?12H,	 ?H5).	 ?13C	 ?NMR	 ?(125	 ?MHz,	 ?CDCl3,	 ?25	 ?£¤):	 ?¦ÄC	 ?154.88,	 ?136.98,	 ?125.25,	 ?90.36,	 ?70.89,	 ?36.05,	 ?35.24,	 ?32.31,	 ?27.87,	 ?23.05,	 ?14.54.	 ?Ms	 ?(Maldi--©\tof)	 ?m/z:	 ?1399.1543	 ?(M+Na+,	 ?100%);	 ?Calcd	 ?for	 ?C56H68O8I4+Na+:	 ?1399.0984.	 ?	 ?1.4 Cavitand	 ?2c	 ?Cavitand	 ?1c[2]	 ?(1.03	 ?g,	 ?0.99	 ?mmol)	 ?was	 ?dried	 ?overnight	 ?under	 ?vacuum	 ?at	 ?100	 ?£¤	 ?and	 ?then	 ?dissolved	 ? in	 ? 40	 ? mL	 ? THF	 ? under	 ? argon.	 ? THF	 ? (10	 ? mL)	 ? was	 ? added	 ? to	 ? a	 ? second	 ? dried	 ? flask,	 ?which	 ?was	 ?charged	 ?with	 ?PrMgBr/THF	 ?solution	 ?(5	 ?mL,	 ?2	 ?mol/L)	 ?and	 ?anhydrous	 ?LiCl	 ?(420	 ?mg,	 ? 9.91	 ? mmol).	 ?The	 ? suspension	 ? was	 ? stirring	 ? under	 ? argon	 ?until	 ? all	 ? LiCl	 ? was	 ? dissolved.	 ?Then,	 ? the	 ? resulting	 ? solution	 ? was	 ? cannulated	 ? to	 ? the	 ? solution	 ? of	 ?1c	 ?at	 ?--©\78£¤.	 ?After	 ? the	 ?Br/MgBr	 ? exchange,	 ? which	 ? was	 ? monitored	 ? by	 ?1H	 ?NMR	 ? spectroscopy,	 ? was	 ? complete,	 ? I2	 ?(2.52	 ?g,	 ?9.92	 ?mmol)	 ?was	 ?added	 ?at	 ?the	 ?same	 ?temperature.	 ?The	 ?reaction	 ?was	 ?quenched	 ?with	 ? water.	 ?The	 ? product	 ? was	 ? extracted	 ? with	 ? ethyl	 ? acetate	 ? (3¡Á50	 ? mL).	 ? The	 ? combined	 ?organic	 ?solution	 ?was	 ?washed	 ?with	 ?Na2S2O3	 ?solution	 ?(50	 ?mL,	 ?10%),	 ?water	 ?and	 ?sat.	 ?NaCl	 ?solution,	 ? dried	 ? over	 ? anhydrous	 ? Na2SO4	 ? and	 ?concentrated	 ? in	 ? vacuum.	 ?The	 ? product	 ? was	 ?further	 ? purified	 ? by	 ? silica	 ? column	 ? with	 ? Hexane/EtOAc=1/4	 ?as	 ?the	 ? mobile	 ? phase.	 ? The	 ?slightly	 ?yellow	 ?product	 ?was	 ?obtained	 ?in	 ?70%.	 ? 	 ?	 ?	 ?1H	 ?NMR	 ?(400	 ?MHz,	 ?CDCl3,	 ?25	 ?£¤):	 ?¦ÄH	 ?7.04	 ?(s,	 ?4H,	 ?Ha),	 ?4.91	 ?(t,	 ?J=7.5	 ?Hz,	 ?4H,	 ?Hm),	 ?4.67	 ?(m,	 ?8H,	 ? Ho2),	 ? 3.94	 ? (m,	 ? 8H,	 ? Hi2),	 ? 2.32	 ? (m,	 ? 4H,	 ? Ho1),	 ? 2.08	 ? (m,	 ? 4H,	 ? Hi2),	 ? 1.93	 ? (m,	 ? 8H,	 ? H1),	 ?1.36--©\1.14	 ?(m,	 ?24H,	 ?H2,	 ?H3	 ?and	 ?H4),	 ?0.86	 ?(t,	 ?J=6.9	 ?Hz,	 ?12H,	 ?H5).	 ?13C	 ?NMR	 ?(100	 ?MHz,	 ?CDCl3,	 ?25	 ?£¤):	 ?¦ÄC	 ?157.18,	 ?134.89,	 ?125.78,	 ?90.23,	 ?70.29,	 ?36.46,	 ?36.22,	 ?34.45,	 ?29.85,	 ?27.74,	 ?23.03,	 ?14.59.	 ? Ms	 ? (Maldi--©\tof)	 ? m/z:	 ? 1455.1230	 ? (M+Na+,	 ? 100%);	 ? Calcd	 ? for	 ? C60H76O8I4	 ?+Na+:	 ?1455.1611.	 ?	 ?	 ?1.5 Cavitand	 ?Cb	 ?A	 ? Schlenk	 ? flask	 ?was	 ?charged	 ? with	 ? cavitand	 ?2b	 ?(176.5	 ? mg,	 ? 177.4	 ? ¦Ìmol),	 ? potassium	 ?(4--©\formylphenyl)trifluoroborate	 ? (225.6	 ? mg,	 ? 1.06	 ? mmol),	 ? Pd(OAc)2	 ?( 1 7 . 3 	 ?m g , 	 ?7 1 	 ?¦Ì m o l ) , 	 ?PPh3	 ? (37.2	 ? mg,	 ? 142	 ? ¦Ìmol),	 ? and	 ? K2CO3	 ? (294	 ? mg,	 ? 2.13	 ? mmol)	 ? and	 ? was	 ?evacuated	 ? and	 ?refilled	 ? with	 ? argon	 ? 3	 ? times.	 ? After	 ? adding	 ? THF	 ?(10	 ? mL)	 ?and	 ? deionized	 ? water	 ?( 1 m L ),	 ? the	 ?flask	 ?was	 ?sealed	 ?and	 ?kept	 ?stirring	 ?at	 ?100	 ?£¤	 ?overnight.	 ?Then,	 ?the	 ?solution	 ?was	 ?acidified	 ?with	 ?aqueous	 ?HCl	 ?(3mL,	 ?1M)	 ?and	 ?extracted	 ?with	 ?EtOAc	 ?(3¡Á10	 ?mL).	 ?The	 ?combined	 ?organic	 ?layers	 ?were	 ? washed	 ? with	 ?sat.	 ? NaCl	 ? solution,	 ? dried	 ? over	 ? anhydrous	 ? Na2SO4	 ? and	 ?concentrated	 ?in	 ?vacuum.	 ?The	 ?pure	 ?product	 ?was	 ?obtained	 ?as	 ?a	 ?white	 ?solid	 ?in	 ?65.4%	 ?yield	 ?Electronic Supplementary Material (ESI) for Chemical CommunicationsThis journal is ? The Royal Society of Chemistry 2011	 ?Page	 ?S5	 ?by	 ?using	 ?silica	 ?gel	 ?column	 ?with	 ?EtOAc/CH2Cl2=5/95	 ?as	 ?the	 ?mobile	 ?phase.	 ?	",comprehensive synthesis
" ?1H	 ?NMR	 ?(300	 ?MHz,	 ?CDCl3,	 ?25	 ?£¤):	 ?¦ÄH	 ?10.03	 ?(s,	 ?4H,	 ?--©\CHO),	 ?7.89	 ?(d,	 ?J=8.0,	 ?8H,	 ?Ha1),	 ?7.63	 ?(s,	 ?4H,	 ?Ha3),	 ?7.34	 ?(d,	 ?J=8.0	 ?Hz,	 ?8H,	 ?Ha2),	 ?5.26	 ?(t,	 ?J=8.4,	 ?4H,	 ?Hm),	 ?3.84	 ?(m,	 ?8H,	 ?Ho),	 ?3.41	 ?(m,	 ?8H,	 ?Hi),	 ?2.23	 ?(m,	 ?8H,	 ?H1),	 ?1.47--©\1.18	 ?(m,	 ?24H,	 ?H2,	 ?H3	 ?and	 ?H4),	 ?0.91	 ?(t,	 ?J=6.8	 ?Hz,	 ?12H,	 ?H5).	 ?13C	 ? NMR	 ? (125	 ? MHz,	 ? CDCl3,	 ? 25	 ?£¤):	 ?¦ÄC	 ?1 9 2 . 1 8 , 	 ?1 5 1 . 8 8 , 	 ?1 4 2 . 3 8 , 	 ?1 3 6 . 8 3 , 	 ?136.02,	 ? 131.04,	 ?130.58,	 ?129.76,	 ?125.16,	 ?72.76,	 ?35.22,	 ?34.41,	 ?32.37,	 ?28.09,	 ?23.16,	 ?14.60.	 ?Ms	 ?(Maldi--©\tof)	 ?m/z:	 ?1311.6413	 ?(M+Na+,	 ?100%);	 ?Calcd	 ?for	 ?C84H88O12	 ?+Na+:	 ?1311.6167.	 ?	 ?1.6 Cavitand	 ?Cc	 ?	 ?A 	 ?Schlenk	 ? flask	 ? was	 ? charged	 ? with	 ? cavitand	 ?2c	 ?(103.15	 ?m g , 	 ?72	 ?¦Ì m o l),	 ? potassium	 ?(4--©\formylphenyl)trifluoroborate	 ? (92	 ?m g , 	 ?432.2	 ?¦Ì m o l ) , 	 ?P d ( O A c )2	 ?(3.5	 ?m g , 	 ?14.4	 ?¦Ì m o l ) , 	 ?PPh3	 ?(7.5	 ?m g , 	 ?28.8	 ? ¦Ìmol),	 ? and	 ? K2CO3	 ?(119.3	 ?m g , 	 ?864.4	 ? ¦Ìmol)	 ? and	 ? was	 ? evacuated	 ? and	 ?refilled	 ? with	 ? argon	 ? 3	 ? times.	 ? After	 ? adding	 ? THF	 ?( 1 0 	 ?m L )	 ? and	 ? deionized	 ? water	 ?( 1 m L ),	 ? the	 ?flask	 ?was	 ?sealed	 ?and	 ?kept	 ?stirring	 ?at	 ?100	 ?£¤	 ?overnight.	 ?Then,	 ?the	 ?solution	 ?was	 ?acidified	 ?with	 ?aqueous	 ?HCl	 ? (3	 ? mL,	 ? 1M)	 ? and	 ? extracted	 ? with	 ? EtOAc	 ? (3¡Á10	 ? mL).	 ? The	 ? combined	 ?organic	 ?layers	 ?were	 ?washed	 ?with	 ?sat.	 ?NaCl	 ?solution,	 ?dried	 ?over	 ?anhydrous	 ?Na2SO4	 ?and	 ?concentrated	 ?in	 ?vacuum.	 ?The	 ?pure	 ?product	 ?was	 ?then	 ?obtained	 ?as	 ?a	 ?white	 ?solid	 ?in	 ?71%	 ?yield	 ?by	 ?using	 ?silica	 ?column	 ?with	 ?EtOAc/CH2Cl2=1/35	 ?as	 ?the	 ?mobile	 ?phase.	 ?	",comprehensive synthesis
"Electronic Supplementary Material (ESI) for Chemical CommunicationsThis journal is ? The Royal Society of Chemistry 2011	 ?Page	 ?S6	 ?1.7 General	 ?procedure	 ?for	 ?synthesis	 ?of	 ?nanocapsules	 ?(Procedure	 ?A)	 ?Stock	 ?solutions	 ?of	 ?the	 ?tetraformylcavitand	 ?(10	 ?mg/mL),	 ?of	 ?the	 ?di--©\	 ?or	 ?triamine	 ?linker	 ?(10	 ?mg/mL)	 ?and	 ?of	 ?TFA	 ?(1%	 ?v/v)	 ?in	 ?CDCl3	 ?were	 ?prepared.	 ?Then,	 ?the	 ?solutions	 ?of	 ?cavitand	 ?and	 ?linker	 ?were	 ?mixed	 ?in	 ?stoichiometric	 ?ratio	 ?followed	 ?by	 ?the	 ?addition	 ?of	 ?catalytic	 ?amount	 ?TFA	 ?solution.	 ?Several	 ?molecular	 ?sieves	 ?were	 ?added	 ?to	 ?above	 ?solution.	 ?After	 ?1--©\2	 ?hours,	 ?the	 ?solution	 ?was	 ?diluted	 ?to	 ?0.5	 ?ml	 ?with	 ?CDCl3,	 ?if	 ?necessary,	 ?and	 ?transferred	 ?into	 ?a	 ?NMR	 ?tube.	 ? The	 ? reaction	 ? was	 ? monitored	 ? by	 ?1H	 ?NMR	 ? spectroscopy.	 ?After	 ? completion,	 ? the	 ?solvent	 ?was	 ?removed.	 ?	 ?	 ?1.7.1 Tetracavitand	 ?capsule	 ?Ca4Lb8	 ?From	 ?Ca[1]	 ?(3.58	 ?mg,	 ?2.91	 ?¦Ìmol),	 ?1,4--©\phenylenediamine	 ?(0.63	 ?mg,	 ?5.81	 ?¦Ìmol)	 ?and	 ?TFA	 ?(4	 ?¦ÌL,	 ?1%v/v	 ?in	 ?CDCl3)	 ?according	 ?to	 ?procedure	 ?A.	 ?Based	 ?on	 ?GPC,	 ?the	 ?purity	 ?is	 ?90%	 ?and	 ?the	 ?rest	 ?are	 ?hexacavitand--©\aggregates.	 ?	",comprehensive synthesis
"Electronic Supplementary Material (ESI) for Chemical CommunicationsThis journal is ? The Royal Society of Chemistry 2011This journal is cThe Royal Society of Chemistry 2011 Chem. Commun., 2011, 47, 9351¨C9353 9351Cite this: Chem. Commun ., 2011, 47, 9351¨C9353Rational design of a nanometre-sized covalent octahedron wJunling Sun and Ralf Warmuth*",this paper's author
"Received: February 17, 2011Published online: July 6, 2011Chem. Eur. J. 2011,17, 9395 ¨C 9405 /C23 2011 Wiley-VCH Verlag GmbH & Co. KGaA, Weinheim www.chemeurj.org 9405FULL PAPERCavitand-Based Polyacylhydrazone Nanocapsules 15213765, 2011, 34, Downloaded from https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/chem.201100527 by Zhejiang University, Wiley Online Library on [26/11/2023]. See the Terms and Conditions (https://onlinelibrary.wiley.com/terms-and-conditions) on Wiley Online Library for rules of use; OA articles are governed by the applicable Creative Commons License	 ?Page	 ?S1	 ?Supporting	 ?Information	 ?for	 ?	 ?Rational	 ?design	 ?of	 ?a	 ?nanometer--©\sized	 ?covalent	 ?octahedron	 ?Junling	 ?Sun	 ?and	 ?Ralf	 ?Warmuth*	 ?Department	 ?of	 ?Chemistry	 ?and	 ?Chemical	 ?Biology,	 ?Rutgers.	 ?The	 ?State	 ?University	 ?of	 ?New	 ?Jersey,	 ?Piscataway,	 ?NJ,	 ?08854,	 ?USA	 ?	 ?Email:	 ?warmuth@rutgers.edu	 ?	 ?Table	 ?of	 ?Content	 ?	 ?1.	 ?Experimental	 ?procedures	 ?for	 ?the	 ?synthesis	 ?of	 ?cavitands	 ?	 ?	 ? 	 ? and	 ?nanocapsules	 ?Page	 ?S2--©\S11	 ?	 ?2.	 ?1H	 ?NMR,	 ?13C	 ?NMR,	 ?MALDI	 ?TOF	 ?MS	 ?and	 ?GPC	 ?traces	 ?	 ?Page	 ?S12--©\S25	 ?          Electronic Supplementary Material (ESI) for Chemical CommunicationsThis journal is ? The Royal Society of Chemistry 2011	 ?Page	 ?S2	 ?1.	 ?Experimental	 ?Procedures	 ?1.1	 ?General:	 ?Reagents	 ?and	 ?chromatography	 ?solvents	 ?were	 ?purchased	 ?from	 ?Aldrich	 ?and	 ?used	 ? without	 ? further	 ? purification	 ? except	 ? that	 ? chloroform	 ? was	 ? passed	 ? through	 ? K2CO3	 ?prior	 ?to	 ?use.	 ?THF	 ?was	 ?dried	 ?over	 ?Na/benzophenone	 ?and	 ?distilled	 ?under	 ?argon.	 ?1H	 ?NMR	 ?spectra	 ? recorded	 ? in	 ? CDCl3	 ?were	 ? referenced	 ? to	 ? residual	 ? CHCl3	 ? at	 ?¦ÄH	 ? =	 ? 7.26.	 ?13C	 ? NMR	 ?spectra	 ? recorded	 ? in	 ? CDCl3	 ? were	 ? referenced	 ? to	 ?13CDCl3	 ? at	 ?¦ÄC	 ? =	 ?77.5	 ? ppm.	 ? Mass	 ? spectra	 ?were	 ? recorded	 ? on	 ? an	 ? Applied	 ? Biosystems	 ? Voyager	 ? DE--©\Pro	 ? mass	 ? spectrometer	 ?(MALDI--©\TOF).	 ? External	 ? standards	 ? were	 ? used	 ? for	 ? calibration	 ? and	 ?2,4,6--©\trihydroxylacetophenone	 ?(THAP)	 ?as	 ?matrix.	 ?Gel	 ?permeation	 ?chromatography	 ?(GPC)	 ?was	 ? performed	 ? on	 ? a	 ? Thermo	 ? SpectraSYSTEM	 ? HPLC	 ? system	 ? equipped	 ? with	 ? dual	 ?wavelength	 ?UV/Vis	 ?detector	 ?(280	 ?nm),	 ?Eppendorf	 ?CH--©\30	 ?column	 ?heater	 ?and	 ?two	 ?Jordi	 ?GPC	 ?columns	 ?(cross	 ?linked	 ?DVB;	 ?103	 ??	 ?pore	 ?size;	 ?MW	 ?cutoff	 ?~	 ?25,000;	 ?7.8mm	 ?¡Á	 ?30cm)	 ?with	 ? CH2Cl2/1%	 ? NEt3	 ? as	 ? mobile	 ? phase	 ? at	 ? a	 ? flow	 ? of	 ? 1	 ? mL/min.	 ? Approximate	 ? molecular	 ?weights	 ?of	 ?analytes	 ?were	 ?determined	 ?from	 ?a	 ?semilogarithmic	 ?calibration	 ?plot.	 ?	 ?	",this paper's author
"5a,c¨Cg,i,kRecently, we discovered the mu lti-component synthesis ofoctahedral [6+12] polyimine nanocapsule Cd6La12that formedin close to 80% yield upon reacting six cavitands Cdwith twelveethylene diamines La(Chart 1).5bUnfortunately, this approachcould not be extended to other 1, n-alkanediamine s, which yieldedoctaimine hemicarcerands, or to rigid linear aryldiamines Lx(x=a¨Cc), which quantitatively a?o rded tetrahedral [4+8]-polyimine capsules Cd4Lx8(x=a¨Cc).5d,6We rationalized theseobservations with the geometry of cavitand Cd, in which oppositearyl units form angles of 65.4 1, which is better suited for [4+8]-capsules Cy4Lx8than for octahedral [6+12]-capsules Cy6Lx12/C1Herein, we describe the development of a rational approachtowards the assembly of covalent Schi? base octahedrons basedon an optimized cavitand-vertex geometry. To be an idealoctahedron vertex, the vectors connecting aryl-C1 and C4 inopposite aryl units of the cavit and should be orthogonal to eachother (Fig. 1). This geometry can be achieved by increasing theO¨C(CH2)n¨CO spanner length, which ?attens out the cavitand.",topology
"In modelling studies, the angles are 85.4 1in the C4symmetricconformations of CbandCeand 93.7 1inCcandCf,w h i c ha r eclose to ideal (Fig. 2). Nevertheless, the condensation of Cewithtwo equivalents of ethylene-1,2-diamine ( La)g a v eac o m p l e xmixture composed of multiple capsules with 2¨C6 cavitands. Asimilar condensation reaction of Cfyielded not the expectedoctahedral capsule, but the tetrahedral [4+8]-assembly Cf4La8,5lChart 1 Hemicarcerands Cy2Lx4, polyimine capsules Cy2Lx4,Cy4Lx8,Cy6Lx12and Cy6T8, cavitand Cy, and di- ( Lx) and triamines T.",topology
