content,category
"Department of Chemistry and Centre for Materials Discovery, University of Liverpool, Crown Street, Liverpool L69 7ZD, U.K.",affiliation
"In this study, we exemplify such a strategy via two novel [4 +4] macrocyclic imine cages. We show that the use ofcomputation, and in particular automated conformer searches,gives much better structural insight than could be gained fromintuition and chemical knowledge alone.¡ûEXPERIMENTAL SECTIONConformer Searching. Atomistic calculations were performedusing the OPLS all-atom force ?eld,37which was originally para-metrized for organic systems with a focus on conformer energetics,intermolecular energies, and thermodynamic properties. Geometryoptimization was performed using the Polak-Ribiere ConjugateGradient (PRCG) method within MacroModel38and a convergencecriterion of a gradient norm less than 0.05 kJ mol?1??1. Conformersearches were performed using a low-mode39sampling approachwithin MacroModel which follows the low frequency eigenvectors ofthe molecule. We used 10000 search steps with maximum andminimum move distances of 3 and 6 ?. All structures within an energywindow of 50 kJ mol?1of the lowest energy structure were retained,excluding mirror images. We applied a ?nal re ?nement of thestructures and energies by optimizing the resulting molecularstructures with DFT-D3 calculations performed in CP2K40with thePBE functional,41TZVP-MOLOPT basis sets,42GTH-type pseudo-potential,43a plane wave grid cuto ?of 400 Ry, a cubic box of length 50?, and the Grimme-D3 dispersion correction.44This procedure wasapplied to any structure within 20 kJ mol?1of the lowest energyconformer, which we have previously determined to be the maximumerror in the relative energies for the OPLS force ?eld. We have usedthis DFT setup in the past to reliably reproduce the structure andenergetics of porous imine cages in both the solid state16and as singlemolecules and dimer pairs.26We have previously validated theconformer searching approach for other, known molecular iminecages, correctly reproducing molecular conformations as determinedby single crystal X-ray di ?raction structures.28Cage Synthesis. ForCC11 , a solution of a tripodal amine, tris(2-aminoethyl)amine (TREN) (89 mg, 0.61 mmol) in methanol (34 mL)was layered onto a solution of tris(4-formylphenyl)amine (200 mg,0.61 mmol) in DCM (34 mL), and the biphasic reaction mixture wasallowed to stand at ambient temperature without stirring (Scheme 2).",comprehensive synthesis
"After 11 days, the reaction mixture was sampled and analyzed by1HNMR (CDCl 3) (Figure S2 of the Supporting Information) andMALDI-TOF mass spectrometry (Figure S3 of the SupportingInformation), which showed CC11 to be the sole product. Althoughanalysis of the reaction mixture suggested complete conversion of thestarting materials to CC11 , we were unable to isolate the bulk materialas a dry solid, either by slow evaporation or by precipitation, due todecomposition of the material.1H NMR (CDCl3):Ñ´7.79 (12H, s,Nä©CH), 7.09 (24H, d, J= 8.5 Hz, Ar ?H), 6.95 (24H, d, J= 8.5 Hz,Ar?H), 3.80 (12H, d, J= 11.4 Hz), 3.38 (12H, t, J= 11.5 Hz), 3.07Scheme 1. Steps Required for de novo Computational Prediction, and Hence ¡ùin Silico Design ¡ì, of Physical Properties forOrganic Crystals, Starting Only with a Conceptual Molecular Structure (Left)Scheme 2. Synthesis of Cages CC11 and CC12Crystal Growth & Design Articledx.doi.org/10.1021/cg401171v |Cryst. Growth Des. 2013, 13, 4993 ?5000 4994(12H, t, J= 12.6 Hz), 2.44 (12H, dd, J= 12.9 and 3.6 Hz) ppm.13CNMR (CDCl3)Ñ´161.2, 148.9, 132.1, 129.3, 124.2, 59.5, 55.2 ppm. MS(MALDI-TOF) [M + H]+: 1687.9. [M + Cu]+: 1749.9.",comprehensive synthesis
"To produce single crystals of CC11 , a solution of TREN (8.9 mg,0.061 mmol) in methanol (3.5 mL) was carefully added to tris(4-formylphenyl)amine (20 mg, 0.061 mmol) so as not to disturb thesolid aldehyde. The suspension was allowed to stand, whereupon thealdehyde slowly dissolved until colorless crystals were observed to haveformed on a bed of undissolved aldehyde. With careful isolation, thesecrystals were found to be suitable for single crystal X-ray di ?raction.",comprehensive synthesis
"ForCC12 , a solution of TREN (15.9 mg, 0.109 mmol) in methanol(10.2 mL) was carefully layered onto a solution of tris-1-(1 ¡É-formyl-4,4 ¡É-biphenyl)amine (60 mg, 0.108 mmol) in DCM (15.3 mL), andthe biphasic reaction mixture was allowed to stand at ambienttemperature without stirring. After 13 days, an aliquot of the reactionmixture was taken, and the solvent was evaporated under vacuum atroom temperature. Analysis of the residue by1H and13C NMR(CDCl3) (Figure S6 of the Supporting Information) and MALDI-TOF mass spectrometry (Figure S7 of the Supporting Information)showed complete conversion of the starting materials to CC12 .1HNMR (CDCl3):Ñ´7.60 (s, 12 H, H ?Cä©N?), 7.37 (d, J= 8.9 Hz, 24H, Ar?H), 7.33 (d, J= 9.0 Hz, 24 H, Ar ?H), 7.09 (d, J= 8.4 Hz, 24H, Ar?H), 6.74 (d, J= 8.1 Hz, 24, Ar ?H), 3.81 (d, J= 9.2 Hz, 12 H),3.38 (t, J= 11.5, 12 H), 3.11 (t, J= 11.8, 12 H), 2.37 (d, J= 9.6 Hz, 12H) ppm.13C NMR (CDCl3)Ñ´162.0, 147.2, 142.5, 136.0, 135.3, 128.9,127.8, 127.3, 124.6, 59.6, 55.2 ppm. MS (MALDI-TOF) [M + H]+:2600.8.",comprehensive synthesis
"To produce single crystals of CC12 , a solution of TREN (5.2 mg,0.036 mmol) in methanol (3.4 mL) was carefully layered onto asolution of tris-1-(1 ¡É-formyl-4 ?4¡É-biphenyl)amine (20 mg, 0.036mmol) in DCM (3.4 mL) and the biphasic reaction mixture wasallowed to stand at ambient temperature without stirring. After 11days, crystals of CC12 were observed to have formed. Suitable singlecrystals could only be isolated by encapsulating them in polyethyleneglycol.",comprehensive synthesis
"(55) Chakrabarty, R.; Mukherjee, P. S.; Stang, P. J. Chem. Rev. 2011 ,111, 6810?6918.Crystal Growth & Design Articledx.doi.org/10.1021/cg401171v |Cryst. Growth Des. 2013, 13, 4993 ?5000 50001	 ?Shape Prediction for Supramolecular Organic Nanostructures: [4+4] Macrocyclic Tetrapods Michael E. Briggs, Kim E. Jelfs, Samantha Y. Chong, Catherine Lester, Marc Schmidtmann, Dave J. Adams and Andrew I. Cooper*. Department of Chemistry and Centre for Materials Discovery, University of Liverpool, Crown Street, Liverpool, L69 7ZD, UK. 	 ?Electronic Supplementary Information: Molecular simulations Determining void size A procedure was established using an automated PERL script to determine whether any of the many thousands of calculated molecular conformations contained an internal void. First, the centre of mass for the molecule was calculated, then the distance between each atom and this centre of mass was calculated. The shortest distance between an atom and the centre of mass was deemed to be the radius of the £¦void£ª that describes the largest sphere that can be accomodated in the centre of the void. The void volume was then calculated as the volume of a sphere based on this radius.  2	 ? Figure S1: Overlay of the four conformations of CC11 in the solvate crystal structure (red) compared to the lowest energy calculated conformation (blue).  Synthesis CC11 A solution of tris(2-aminoethyl)amine (TREN) (89 mg, 0.61 mmol) in methanol (34 ml) was layered onto a solution of tris(4-formylphenyl)amine (200 mg, 0.61 mmol) in DCM (34 ml), and the biphasic reaction mixture was allowed to stand at ambient temperature without stirring. After 11 days the reaction mixture was sampled and analysed by 1H NMR (CDCl3) (figure S2) and MALDI-TOF mass spectrometry (figure S3) which showed complete consumption of the starting materials and the formation of a new molecule. Additional 3	 ?analysis was carried out on a sample of material obtained by exchanging the reaction solvent with acetone and isolating the subsequent precipitate. However although the 1H and 13C NMRs (figure S4) showed clean product the sample was no-longer fully soluble suggesting that some decomposition of the sample had taken place. We were unable to isolate the bulk material as a dry solid, either by slow evaporation or by precipitation, due to decomposition of the material. 1H NMR (CDCl3): Ñ´ 7.79 (12H, s, N=CH), 7.09 (24H, d, J =8.5 Hz, Ar-H), 6.95 (24H, d, J =8.5 Hz, Ar-H), 3.80 (12H, d, J=11.4 Hz), 3.38 (12H, t, J=11.5 Hz), 3.07 (12H, t, J=12.6 Hz), 2.44 (12H, dd, J=12.9 and 3.6 Hz) ppm. 13C NMR (CDCl3) Ñ´ 161.2, 148.9, 132.1, 129.3, 124.2, 59.5, 55.2 ppm. MS (MALDI-TOF): 1687.9 ([M + H]+), 1749.9 ([M + Cu]+).",comprehensive synthesis
"Figure S2. 1H NMR (CDCl3) of C11 obtained by direct analysis of reaction mixture. DCM	 ?Methanol	 ?4	 ?  Figure S3. MALDI-TOF mass spectrum of C11 obtained by analysis of the reaction mixture.  MEB-1-143-21000110012001300140015001600170018001900200021002200m/z0100%chemfeb16  55 (1.534) Cn (Cen,1, 80.00, Ht); Sb (6,20.00 ); Sm (SG, 2x3.00); Cm (2:116)TOF LD+ 9.80e31687.91080.41052.41173.51749.91832.91894.9MEB-1-143-214501475150015251550157516001625165016751700172517501775180018251850187519001925195019752000m/z 0100%chemfeb16  55 (1.534) Cn (Cen,1, 80.00, Ht); Sb (6,20.00 ); Sm (SG, 2x3.00); Cm (2:116) TOF LD+ 9.80e31687.91501.71475.71595.81658.91614.81749.91723.91832.91894.95	 ?  Figure S4. 1H NMR (CDCl3) and 13C NMR (CDCl3) of acetone precipitate, C11.  Acetone	 ?Acetone	 ?6	 ?Single crystals of CC11 A solution of TREN (8.9 mg, 0.061 mmol) in methanol (3.5 ml) was carefully added to tris(4-formylphenyl)amine (20 mg, 0.061 mmol) so as not to disturb the solid aldehyde. The suspension was allowed to stand, whereupon the aldehyde slowly dissolved until colorless crystals were observed to have formed on a bed of undissolved aldehyde. With careful isolation, these crystals were found to be suitable for single crystal X-ray diffraction.  Synthesis of tris-1-(1'-formyl-4-4'-biphenyl)amine Tetrakis(triphenylphosphine)palladium(0) (0.45 g, 0.389 mmol) was charged to a degassed suspension of tris(4-iodophenyl)amine (4.61 g, 7.41 mmol), 4-formylbenzene boronic acid (5.0 g, 33.3 mmol) and potassium carbonate (6.14 g, 4.45 mmol) in toluene (141 ml), methanol (47 ml) and water (41 ml). The mixture was heated under reflux for 3 days then the suspension was cooled to ambient temperature and the solid was collected by filtration. The crude solid was dissolved in DCM and passed through a pad of silica gel eluting with DCM. The filtrate was evaporated to dryness on a rotary evaporator at 45 ¡«C then under vacuum for 3 days to afford tris-1-(1'-formyl-4-4'-biphenyl)amine as a yellow solid (1.51 g, 37 %). The 1H NMR (CDCl3) (figure S5) was consistent with that previously reported. 1H NMR (CDCl3, 400 MHz) Ñ´ 10.06 (3H, s, H-C=O), 7.96 (6H, d, J=8.4 Hz), 7.77 (6H, d, J=8.3 Hz), 7.61 (6H, d, J=8.7 Hz), 7.29 (6H, d, J=8.7 Hz) ppm. 7	 ? Figure S5. 1H NMR (CDCl3) of tris-1-(1'-formyl-4-4'-biphenyl)amine after silica pad filtration. CC12 A solution of TREN (15.9 mg, 0.109 mmol) in methanol (10.2 ml) was carefully layered onto a solution of tris-1-(1'-formyl-4-4'-biphenyl)amine (60 mg, 0.108 mmol) in DCM (15.3 ml) and the biphasic reaction mixture was allowed to stand at ambient temperature without stirring.  After 13 days, an aliquot of the reaction mixture was taken and the solvent was evaporated under vacuum at rt. Analysis of the residue by 1H and 13C NMR (CDCl3) (figure S6) and MALDI-TOF mass spectrometry (figure S7) showed conversion to the macrocyclic product. 1H NMR (CDCl3): Ñ´ 7.60 (s, 12 H, H-C=N-), 7.37 (d, J=8.9 Hz, 24 H, Ar-H), 7.33 (d, J=9.0 Hz, 24 H, Ar-H), 7.09 (d, J=8.4 Hz, 24 H, Ar-H), 6.74 (d, J=8.1 Hz, 24, Ar-H), 3.81 (d, J=9.2 Hz, 12 H), 3.38 (t, J=11.5, 12 H), 3.11 (t, J=11.8, 12 H), 2.37 (d, J=9.6 Hz, 12 H) ppm. 13C NMR (CDCl3) Ñ´ 162.0, 147.2, 142.5, 136.0, 135.3, 128.9, 127.8, 127.3, 124.6, 59.6, 55.2 ppm.  MS (MALDI-TOF): 2600.8 ([M + H]+).  8	 ?  Figure S6. 1H NMR (CDCl3) and 13C NMR (CDCl3) from analysis of crude CC12 solid.",comprehensive synthesis
"9	 ?   Figure S7. MALDI mass spectrum obtained by analysis for CC12.  CL Triamine + Trialdehyde800100012001400160018002000220024002600280030003200m/z0100%ChemApril1  194 (5.467) Cn (Cen,1, 80.00, Ht); Sb (6,20.00 ); Sm (SG, 2x3.00); Sm (SG, 2x3.00); Cm (2:213)TOF LD+ 1.12e42600.8853.51194.7965.61082.22508.62745.8CL Triamine + Trialdehyde240024252450247525002525255025752600262526502675270027252750277528002825285028752900m/z 0100%ChemApril1  194 (5.467) Cn (Cen,1, 80.00, Ht); Sb (6,20.00 ); Sm (SG, 2x3.00); Sm (SG, 2x3.00); Cm (2:213) TOF LD+ 1.12e42600.82508.62480.62573.82529.62622.72638.72663.72745.810	 ?Single crystals of CC12 A solution of TREN (5.2 mg, 0.036 mmol) in methanol (3.4 ml) was carefully layered onto a solution of tris-1-(1'-formyl-4-4'-biphenyl)amine (20 mg, 0.036 mmol) in DCM (3.4 ml) and the biphasic reaction mixture was allowed to stand at ambient temperature without stirring. After 11 days crystals of CC12 were observed to have formed. Suitable single crystals could only be isolated by encapsulating the crystals in polyethylene glycol.  Crystallography Single crystal X-ray data of CC11 and CC12 were measured on a Rigaku MicroMax-007 HF rotating anode diffractometer (Mo-KÏ« radiation, Öñ = 0.71073?, Kappa 4 circle goniometer, Rigaku Saturn724+ detector). Empirical absorption corrections using equivalent reflections were performed with the program SADABS;1 the structures were solved with the program SHELXD2 and refined with SHELXL2 using the OLEX2 GUI.3 Non H atoms of the tetrapodal molecules were refined anisotropically, H atoms were fixed to geometric positions using the riding model; non H atoms of the solvent molecules were largely refined isotropically, solvent H atoms were omitted.  Crystal data for CC11: C108H108N20 * 4.75CH3OH * 6H2O, formula C112.75H139N20O10.75, M = 1946.44 g©{mol-1, triclinic space group P-1, a = 18.6118(15), b = 34.059(3), c = 37.687(3) ?, Ï« = 67.605(2), ÉÇ = 87.377(2), ÎÛ = 75.497(2)¡«, V = 21351(3) ?3, Z = 8, ÀÏ = 1.211 g©{cm-3, Ã× = 0.080 mm-3, F (000) = 8332, crystal size = 0.13 x 0.11 x 0.02 mm3, ÓÐ = 100(2) K. 170920 reflections measured (1.10 < ³É < 21.97¡«), 52177 unique (Rint = 0.0736), 30279 observed (I > 2¿¼(I)), R1 = 0.0910 for the observed and R1 = 0.1543 for all reflections, max/min residual electron density = 1.055 and -0.518 e©{?-3, data / restraints / parameters = 52177 / 0 / 4901, GOF = 1.112. The solvent content has been refined as disordered methanol and water, and the numbers given in the formula can only be an approximate. The formula is given as refined though.  Crystal data for CC12: C180H156N20 * ~4C4H10O3, formula C196H196N20O12, M = 3023.73 g©{mol-1, monoclinic space group P2/n, a = 25.5517(15), b = 12.7178(7), c = 26.1062(15) ?, ÉÇ = 93.196(2), V = 8470.3(8) ?3, Z = 2, ÀÏ = 1.186 g©{cm-3, Ã× = 0.075 mm-3, F (000) = 3216, crystal size = 0.24 x 0.12 x 0.10 mm3, ÓÐ = 100(2) K. 110150 reflections measured (1.78 < ³É 11	 ?< 25.03¡«), 14946 unique (Rint = 0.0562), 10389 observed (I > 2¿¼(I)), R1 = 0.0860 for the observed and R1 = 0.1181 for all reflections, max/min residual electron density = 0.525 and -0.407 e©{?-3, data / restraints / parameters = 14946 / 0 / 1078, GOF = 1.144. Single crystals of CC12 are very unstable caused by rapid solvent loss once removed from the solution, and furthermore crack within seconds in protective oils commonly used in the preparation of single crystals. Eventually a polyethylene glycol containing oil was found to sufficiently protect the crystals from decomposition. We assume that polyethylene glycols (probably diethylene glycol) replace the original solvent content (dichloromethane, methanol) in the large 1-D solvent accessible channels, thus preventing a collapse of the 3-D structure and single crystals. When the single crystals are removed from the solvent and dried by keeping in air for a few seconds, such £¦desolvated CC12£ª remains polycrystalline, but no crystals suitable for single crystal X-ray diffraction could be obtained. Structure solution of the powder data shows a more compact packing and the loss of the solvent accessible channels. The solvent content, given as 4 diethylene glycol molecules, is an approximation based on the structure refinement. The solvent is heavily disordered, not all atoms were located, and we cannot rule out further contributions of other glycols or the original solvent mix. Despite this, we preferred to give a chemically unsound refinement model of the solvent in this case, rather than to utilize popular methods for removing the solvent contribution to the electron density from the measured data.    12	 ?Variable temperature PXRD of CC12  Variable temperature powder X-ray diffraction data (VT-PXRD) were collected with the multi analysing crystal (MAC) detector on the I11 beamline at Diamond Light Source (Öñ = 0.825556 ?) and using the Cyberstar hot air blower with a ramp rate of 5 K/min. The sample was held in a 1 mm diameter special glass capillary and spun to improve powder averaging. Cell parameters were extracted by Le Bail4 fitting the data collected at each temperature.",comprehensive synthesis
"7?10Recently, a number ofthree-dimensional organic cages have been synthesized, whichcan be either nonporous11?13or permanently porous.14?17Organic cage catenanes18have also been prepared using DCCroutes that can form up to 32 imine bonds in a singlereaction.19Some of these organic cages can exhibit surprisinglyhigh surface areas in the solid state,16,20in one case greater than2000 m2g?1,21thus rivaling porous extended frameworks. Thereversible nature of DCC reactions allows for error correctionand can a ?ord products in high yields and purities within a one-pot, gram-scale synthesis.22Molecular organic cages have beenexplored for gas storage and capture,15?17in molecularseparations,23,24and in sensing.25Also, unlike most nanoporousmaterials, porous molecular cages can be processed fromhomogeneous solutions into various formats.24,26,27However,despite this range of interesting physical properties, the targetedsynthesis of functional organic solids by dynamic self-assemblyis still highly challenging, particularly as the constituent organicmolecules become larger and more complex. This is becausethe computational prediction of the 3D structure, and hencefunction, for such materials requires ?ne precision in asequence of interrelated calculation steps (Scheme 1).",surface area
