content,category
"a Department of Chemistry, Adam Mickiewicz University, Umultowska 89B, 61 614 Pozna里, Poland,  e-mail: agnieszk@amu.edu.pl  or marcin.kwit@amu.edu.pl  b Wielkopolska Center for Advanced Technologies (WCAT), Umultowska 89C, 61 614 Pozna里, Poland  c Institute of Organic Chemistry Polish Academy of Sciences, Kasprzaka 44/52, 01 224, Warszawa, Poland  d NanoBioMedical Centre, Adam Mickiewicz University, Umultow ska 85, 61 -614 Pozna里, Poland    ElectronicSupplementaryMaterial(ESI)forOrganic&BiomolecularChemistry.",affiliation
"?Electronic supplementary information (ESI) available: Experimental pro-cedures, calculation details, copies of NMR, MS and IR spectra, Fig. SI_1 每SI_38,X-ray, PXRD and TGA data, full Gaussian citation, and tabulated total and rela-tive energies for calculated structures and Cartesian coordinates. CCDC1477553. For ESI and crystallographic data in CIF or other electronic format seeDOI: 10.1039/c6ob01429aaDepartment of Chemistry, Adam Mickiewicz University, Umultowska 89B, 61 614Pozna 里, Poland. E-mail: agnieszk@amu.edu.pl, marcin.kwit@amu.edu.plbWielkopolska Center for Advanced Technologies (WCAT), Umultowska 89C,61 614 Pozna 里, PolandcInstitute of Organic Chemistry Polish Academy of Sciences, Kasprzaka 44/52,01 224 Warszawa, PolanddNanoBioMedical Centre, Adam Mickiewicz University, Umultowska 85,61 614 Pozna 里, PolandThis journal is ? The Royal Society of Chemistry 2016 Org. Biomol. Chem. ,2 0 1 6 , 14, 7495 每7499 | 7495Published on 07 July 2016. Downloaded by Zhejiang University on 11/22/2022 5:16:08 AM.",CCDC
"ESI6  2-hydroxy -1,3,5 -triformylbenzene  (1) was prepared from phenol a nd urotropine (hexamethylenetatraamine, HMTA) according to the modified  procedu re:[1] Phenol ( 5.93 g, 63 mmol) and HMTA  (17.2 g, 123 mmol) were placed in a round -bottomed flask, and 60 mL of trifluoroacetic  acid was added. The resulting mixture was stirred at 130 ～C under argon atmosphere for about 16 h. Then t he reaction mixture was then heated to 150～C and stirred for 3 h.",comprehensive synthesis
"The mixture was cooled to 120  ～C, treated with 100 mL of 4M HCl, heated at 105 ～C fo r 30 min and cooled to room temperature overnight. The precipitated yellowish solid was filtered off, washe d with 10% HCl, water, methanol, dichloromethane and dried on air. Yield: 4.8 g (47%) The crude product was recrystallized from 70 mL of DMF. Yield of the recovered product : 3.36 g (33%).  The product gave all spectra identical wit h those previously published.[1]   IR (film)  糸max 3343, 3055, 3029, 2881, 2783, 2563, 2324, 2270, 1685, 1661, 1590, 1485, 1457, 1443, 1392, 1379, 1341, 1302, 1279, 1246, 1188,  1137, 1126, 1030, 971, 917, 821, 785, 752, 646, 599, 561, 533 cm-1; 1H NMR (300 MHz, DMSO) 汛 10.30 (s, 2H), 9.99 (s, 1H), 8.52 (s, 2H).",comprehensive synthesis
"Cage  5. To 2 -hydroxy -1,3,5 -triformylbenzene (0.356 g, 2 mmol) dissolved in 70  mL of DMSO, 1,2 -diaminoethane ( 2, 0.2 mL,  3 mmol) was added in one portion. The resulting mixture was stirred at room temperature for 2 weeks. The solvent was evaporated under vacuum and the orange solid product was obtained quantitatively (0.420 g). The crude product was further purified by one week solid -liquid extraction in Soxhlet apparatus using 300 mL of dry chloroform. After slow evaporation of the solvent, the microcrystalline product was obtained with 80% recovery.",comprehensive synthesis
"Cage  6. To trans -(1R,2R)-diaminocyclohexane ( 3, 0.171 g, 1.5 mmol) dissolved in 40 mL of chloroform and 30 mL of DMSO, finely pulverized 2-hydroxy -1,3,5 -triformylbenzene ( 1, 0.178 g, 1 mmol) was added in small  portion  during 30 minutes . The aldehyde  was dissolved slowly and the resulting mixture was stirred at room temperature for 2 weeks. The solvent was evaporated under vacuum and the orange solid product was obtained quantitatively (0.290 g). The analytically pure sample was obtained by slow diffu sion of diethyl ether to diluted chloroform solution of the crude product. The orange microcrystalline solid was obtained with 15% recovery.",comprehensive synthesis
"IR (film) 糸 max 3380, 2925, 2855, 1633, 1601, 1524, 1450, 1376, 1346, 1290, 1259, 1225, 1158, 1142, 1091, 1010, 947,  937, 866, 797, 766, 643cm-1; 1H NMR (300 MHz, CDCl 3) 汛 14.49 (d, J = 56.2 Hz, 3H), 14.03 (dd, J = 36.7, 19.6 Hz, 1H), 8.69 每 8.53 (m, 4H), 8.34 每 8.23 (m, 4H), 8.08 (dd, J = 9.5, 4.9 Hz, 4H), 7.89 (dt, J = 10.9, 9.9 Hz, 8H), 3.32 (d, J = 13.5 Hz, 12H), 1. 84 (s, 12H), 1.69 (s, 24H), 1.46 (s, 12H); 13C NMR (101 MHz, CDCl 3) 汛 13C NMR (101 MHz, CDCl 3) 汛 165.03 每 161.88 (m), 160.16 每 157.35 (m), 154.52 (ddd, J = 71.0, 41.9, 20.2 Hz), 132.67 每 129.86 (m), 127.59 每 124.79 (m), 124.39 每 122.37 (m), 119.71 每 118.23  (m), 75.92 每 71.98 (m), 34.54  每 31.73 (m), 25.57 每 23.30 (m); ESI -HR-MS calcd for C72H85N12O4 [M+H]+: 1181.6817 found 1181.6832  ESI7  Cage 7. To (1 R,2R)-diphenylethylenediamine ( 4, 0.318 g, 1.5 mmol) dissolved in 50 mL of chloroform and 20 mL of DMSO, finely pulverized 2-hydroxy -1,3,5 -triformylbenzene ( 1, 0.178 g, 1 mmol) was added in one portion. The aldehyde was dissolved slowly within 30 minutes and the resulting mixture was further stirred at room temperature for 2 weeks. During the course of the re action, the yellowish precipitate was formed. The microcrystalline phase was then filtered off, washed with chloroform and dichloromethane and dried under vacuum. Yield: 0.159 g (36%) The filtrate was evaporated under vacuum and the orange glassy solid pro duct was obtained with yield: 0.276g (63%).",comprehensive synthesis
"General procedure for synthesis of m odel compound s 8 and 9 : to a solution of amine (1.5 mmol, 3 eq) in 50 mL of chloroform, finely pulverized 2-hydroxy -1,3,5 -triformylbenzene ( 1, 0.089 g, 0.5 mmol , 1 eq ) was added in one portion . The aldehyde was dissolved slowly within 30 minutes and the resulting mixture was further stirred at room temperature  for 24 h. After evaporation of the solvent,  the yellow solidified oil was obtained quantitatively.",comprehensive synthesis
"ESI8  Synthes es of cage 7 under different reaction conditions   2-hydroxy -1,3,5 -triformylbenzen e (178 mg , 1 mmol)  and (1 R,2R)-diphenyleth ylene diamine  (318 mg, 1.5 mmol) were dissolved in approp riate mixture of solvents (total volume = 50 mL ). In each case, the resulting mixture was  stirred under argon atmosphere at room temperature for 14 days. The formed yellow precipitate was filtered off, dried and  then activated.  The content of solvent in ""raw"" and activated material was estimated on the basis on thermogravimetric (TGA)  analyses.",comprehensive synthesis
"The initial attempts to obtain a porous material with theuse of a DMSO 每chloroform mixture, as the reaction solvent,were unsuccessful. The estimated values of SABETwere below10 m2g?1when the percentage content of chloroform rangedfrom 25 to 75%. Contrasting results were obtained for thesecond set. Even small amounts of water (2.5% v/v) signifi-cantly a ?ected the measured SA BETvalues. The highest SA BETvalue (578 m2g?1) was obtained when the water content wasup to 10% of the total solvent volume. This corresponds tomore than 20% of the weight loss upon heating the ※raw§material.",surface area
