content,category
"42每47However, such synthetic methods lackselectivity, high yields, and e ?ciency and thus limit the wideapplications of these rigid cage molecules. Herein, we report thecovalent assembly of aryleneethynylene COPs through one-stepalkyne metathesis starting from readily accessible precursors.We studied the relationship of the COP structures and theaDepartment of Chemistry and Biochemistry, University of Colorado, Boulder,Colorado, 80309, USA. E-mail: yinghua.jin@colorado.edu; wei.zhang@colorado.edubNational Renewable Energy Laboratory, Golden, Colorado 80401, USA?Electronic supplementary information (ESI) available: Materials and the generalmethods, synthetic procedures, computational method, and characterization dataof selected compounds. See DOI: 10.1039/c5sc04977f?These authors contributed equally to this work.Cite this: Chem. Sci. ,2 0 1 6 , 7,3 3 7 0Received 27th December 2015Accepted 12th February 2016DOI: 10.1039/c5sc04977fwww.rsc.org/chemicalscience3370 |Chem. Sci. ,2 0 1 6 , 7, 3370 每3376 This journal is ? The Royal Society of Chemistry 2016ChemicalScienceEDGE ARTICLEOpen Access Article. Published on 12 February 2016. Downloaded on 11/23/2023 1:04:07 PM.",affiliation
"Synthetic proceduresBrBr BrPd(PPh3)4,Na2CO3toluene,EtOH,H2O,85oC,59%3NBC16H33OOOPPT=O4NRPPTNPPTNPPTRRR=C16H33Synthesis of 4: To a Schlenk tube were added 3 (290 mg, 0.36 mmol),  1,3,5-tribromobenzene (27 mg, 0.087 mmol), Na2CO 3 (83 mg, 0.78 mmol) and Ph(PPh 3)4 (10 mg, 0.0086 mmol). Toluene  (10 mL), H2O (4 mL) and EtOH (4 mL) were then added and the mixture was heated at 85 oC for overnight. After the mixture  was cooled to room  temperature, it was washed with sat. NH 4Cl (50 mL). The aqueous layer was discarded.",comprehensive synthesis
"The organic layer was dried over Na2SO 4 and the solvent was removed under reduced S4pressure. The residue was purified by flash  column  chromatography (CH 2Cl2/hexane,  1/1每4/1, V/V) to give the product (115 mg, 59%): 1H NMR (500 MHz,  CDCl 3) 汛 8.56 (d, J = 1.5 Hz, 3H), 8.48 (d, J = 1.4 Hz, 3H), 8.07 (s, 3H), 7.98 (dd, J = 8.5, 1.6 Hz, 3H), 7.89 每 7.84 (m, 6H), 7.84 每 7.80 (m, 6H), 7.71 (dd, J = 8.4, 1.5 Hz, 3H), 7.70 每 7.64 (m, 12H), 7.63 每 7.59 (m, 9H), 7.56 (d, J = 8.6 Hz, 3H), 7.53 每 7.48 (m, 6H), 7.44 (d, J = 8.5 Hz, 3H), 4.36 (t, J = 7.0 Hz, 6H), 1.98 每 1.88 (m, 6H), 1.49 每 1.40 (m, 6H), 1.38-1.34 (m, 6H), 1.34  每 1.18 (m,  66H),  0.87 (t,  J = 7.0 Hz,  9H); 13C NMR (101 MHz,  CDCl 3) 汛 196.4, 144.6, 143.3, 140.9, 140.7, 139.1, 137.9, 136.5, 133.3, 132.6, 132.2, 131.0, 130.2, 129.7, 128.5, 127.4, 126.9, 126.2, 125.0, 124.6, 124.2, 123.3, 123.3, 119.5, 113.5, 109.6, 109.2, 92.6, 87.7, 43.7, 32.1, 29.9, 29.8, 29.8, 29.7, 29.6, 29.3, 27.6, 22.9, 14.4. MALDI-TOF  (m/z): [M+H]+ calcd. for C 153H159O3N3, 2087.24; found: 2088.36.",comprehensive synthesis
"NI IINBC16H33OOOPd(PPh3)4,Na2CO3,H2O,Tol,EtOH,90oCNNRPPTNRPPTNRPPT52%S-163PPT=OR=C16H33Synthesis of 6: To a Schlenk tube were added S-1 (47.6 mg, 0.0765 mmol),  3 (220 mg, 0.275 mmol), Pd(PPh 3)4 (8.8 mg, 0.0077 mmol),  and Na2CO 3 (182 mg, 1.72 mmol).",comprehensive synthesis
"Toluene (11.3 mL), water (1.3 mL),  and ethanol  (1.3 mL) were  added into the tube and the mixture was stirred  at 90 oC for 18 h. The organic solvents were removed and dichloromethane (30 mL) was added.  The solution was washed with water (15 mL) and S5brine (15 mL), and the organic layer was dried  under  Na2SO 4. The volatiles  were removed and the crude product  was purified  by flash  column  chromatography (CH 2Cl2/hexane, 1/3, V/V) to afford  product  as a green oil (90 mg, 52%):  1H NMR  (400 MHz, CDCl 3) 汛 8.39 (d, J = 1.5 Hz, 3H), 8.35 (d, J = 1.7 Hz, 3H), 7.92 每 7.87 (m, 6H), 7.86 每 7.81 (m, 6H), 7.77 (dd, J = 8.5, 1.7 Hz, 3H), 7.73 每 7.58 (m, 30H), 7.54 每 7.45 (m, 9H), 7.38 (t, J = 8.5 Hz, 9H), 4.30 (t, J = 7.3 Hz, 6H), 1.90 (p, J = 7.1 Hz, 6H), 1.26 (d, J = 2.5 Hz, 78H), 0.88 (t, J = 6.7 Hz, 9H). 13C NMR (101 MHz,  CDCl 3) 汛 196.35, 146.54, 144.48, 140.72, 140.21, 139.07, 137.81, 136.44, 132.52, 132.11, 130.90, 130.12, 129.55, 128.44, 128.10, 127.27, 126.86, 125.50, 124.69, 124.34, 124.05, 123.17, 123.11, 118.66, 113.22, 109.36, 109.06, 92.49,  87.56, 43.48, 32.06,  29.85, 29.83, 29.80, 29.76, 29.72, 29.66, 29.55, 29.51, 29.17, 27.45, 22.84, 14.29. MALDI-TOF (m/z): [M+H]+ calcd. for C165H168N4O3, 2254.32; found: 2255.92.",comprehensive synthesis
"NBC16H33OOONNH NHNBrBrBrBrNNHNHNNRPPTNRPPTNRPPTNRPPT76%Pd(PPh3)4,Na2CO3,toluene,H2O,EtOHS-237PPT=OR=C16H33Synthesis of 7: To a Schlenk tube were added  S-2 (53.4 mg, 0.0574 mmol), 3 (220 mg, 0.275 mmol), Pd(PPh 3)4 (8.6 mg, 0.0075 mmol),  and Na2CO 3 (182 mg, 1.72 mmol). S6Toluene (15 mL), water (1.7 mL),  and ethanol  (1.7 mL) were  added into the tube and the mixture was stirred at 90 oC for 18 h. The organic solvents  were removed and dichloromethane (40 mL) was added.  The solution was washed with water (20 mL) and brine (20 mL), and the organic layer was dried  under  Na2SO 4. The volatiles  were removed and the crude product  was purified  by flash  column  chromatography (MeOH/CH 2Cl2, 1/49, V/V) to afford product as a purple solid  (144 mg, 76%): 1H NMR (400 MHz, CDCl 3) 汛 9.05 (s, 8H), 8.67 (d, J = 1.6 Hz, 4H), 8.51 (d, J = 1.5 Hz, 4H), 8.35 (d, J = 7.9 Hz, 8H), 8.11 (d, J = 7.9 Hz, 8H), 8.07 (dd, J = 8.4, 1.7 Hz, 4H), 7.88 (d, J = 8.2 Hz, 8H), 7.85 每 7.81 (m, 8H), 7.74 每 7.57 (m, 36H), 7.54 每 7.41 (m, 12H), 4.37 (t, J = 7.1 Hz, 8H), 1.96 (p, J = 7.1 Hz, 8H), 1.26 (s, 104H),  0.86 (t, J = 6.7 Hz, 12H), -2.59 (s, 2H). 13C NMR  (101 MHz, CDCl 3) 汛 196.40, 144.51, 141.15, 140.84, 140.69, 140.62, 139.13, 137.82, 136.46, 135.43, 132.53, 132.14, 130.91, 130.13, 129.69, 128.44, 127.29, 126.88, 126.01, 125.59, 124.47, 124.05, 123.35, 123.28, 120.21, 119.41, 113.44, 109.63, 109.18, 92.45, 87.63, 43.58, 32.07, 29.86, 29.82, 29.79, 29.75, 29.70, 29.58, 29.52, 29.22, 27.50, 22.84, 14.29. MALDI-TOF  (m/z): [M+H]+ calcd.  for C240H234N8O4, 3292.84;  found: 3294.61.",comprehensive synthesis
"Alkyne metathesis using  catalyst  from  LN: The triphenolamine ligand LN and the molybdenum precursor  were  premixed  in dry carbon tetrachloride (1.5 mL per 20 mg of molybdenum precursor) and stirred  for 20 minutes to generate the catalyst in situ. Then the catalyst  solution  was added  to the monomer solution in CCl 4 and the mixture was stirred at 40 oC overnight. The reaction  was monitored  by GPC and NMR.  Upon the appearance of a sharp single peak  in GPC  trace  of the reaction mixture,  the reaction was S7taken out of the glovebox and the precipitates  were filtered by vacuum filtration. The filtrate was concentrated and the residue  was purified by flash  column chromatography.",comprehensive synthesis
Alkyne metathesis by using catalyst  from LSi: The triphenolsilane ligand  LSi and the molybdenum precursor  were  premixed  in dry carbon tetrachloride (1.5 mL per 20 mg of molybdenum precursor) and stirred  for 20 minutes to generate the catalyst in situ. Then the catalyst  solution  was added  to the monomer solution in CCl 4 and the mixture was stirred at  55 oC overnight. The workup procedure is similar to the  above one.,comprehensive synthesis
"PPT=O4Mo[NAr3(tBu)3],LNEtCCl4,40oCAr= LN=OHNO23NRNRNRNRNRNRNRNRNRNRNRNRR=C16H33NC16H33PPTNPPTNPPTC16H33C16H33COP-IVNSynthesis of COP-IV: The general  procedure  described  above  was followed. The monomer 4 (115 mg, 0.055 mmol), ligand  LN (15 mg, 0.030 mmol), the molybdenum precursor (20 mg, 0.030 mmol) and CCl 4 (6 mL) were used. Crude  mixture was purified by flash column chromatography (CH 2Cl2/hexane, 1/4, V/V) to provide the pure product as a yellow solid (56 mg, 79%): 1H NMR (500 MHz, CDCl 3) 汛 8.61 (s, 4H), 8.60 (s, 8H), 8.58(s, 4H),8.41(s, 8H), 8.29(s,  4H), 8.11(s, 8H), 8.08(d, J=10  Hz, 8H),  7.98 (d, J =10 Hz, 4H), 7.74 (d, J = 8.5 Hz, 8H), 7.66 (d, J = 8.2 Hz, 8H), 7.57 (d, J = 8.6 Hz, 4H), 7.49 (d, J = 8.7 Hz, 8H), 7.45 (d, J = 8.7 Hz, 4H), 7.28 (d, 4H), 4.40(s,  8H), 4.09(s,  16H),  1.98(m, 8H), 1.77(m, 16H), 1.27-1.15(m, 348H),  0.90-0.82(m, 87H); 13C NMR (101 S8MHz, CDCl 3) 汛 143.0, 142.4, 140.4, 140.3, 133.1, 131.9, 129.7, 128.7, 125.6, 125.2, 124.3, 124.0, 123.3, 123.2, 123.1, 122.8, 119.4, 118.5, 114.2, 114.0, 109.3, 109.1, 108.7, 89.2, 88.0, 43.4, 43.1, 31.9, 29.7, 29.6, 29.5, 29.6, 29.1, 29.0, 27.4, 27.3, 22.7, 14.1.",comprehensive synthesis
"Mo[NAr3(tBu)3],LSiEtCCl4,55oCAr= LSi=OH3SiMe6PPT=ONNC16H33NC16H33NC16H33N NC16H33NC16H33NC16H33COP-VIIN NC16H33NC16H33NC16H33PPTPPTPPTSynthesis of COP-VII: The general  procedure described above  was followed. The monomer 6 (43 mg, 0.019 mmol), ligand LSi (0.6 mg, 0.0015 mmol), the molybdenum  precursor (1.0 mg, 0.0015 mmol) and CCl 4 (0.5 mL) were used. Crude mixture was purified by column chromatography (CH 2Cl2/hexane, 1/2, V/V) to provide the pure product as a white solid (23 mg, 84 %): 1H NMR (400 MHz, CDCl 3) 汛 8.46 (d, J  = 1.6 Hz, 6H), 8.37 (s, 6H), 7.74 (d, J = 8.5 Hz, 6H), 7.68 (dd, J = 8.4, 1.6 Hz, 6H), 7.63 (d, J = 8.4 Hz, 12H),  7.45 (d, J = 8.6 Hz, 6H), 7.39 (t, J = 7.5 Hz, 18H),  4.32 (t, J = 6.9 Hz, 12H), 1.90 (dt, J = 14.2, 6.7 Hz, 12H), 1.24 (s, 168H), 0.90 每 0.82 (m, 18H).  13C NMR (101 MHz, CDCl 3) 汛 140.32, 140.22, 136.79, 132.77, 129.11, 128.42, 125.67, 125.47, 124.78, 124.04, 123.22, 118.86, 114.20,  109.22, 108.94, 89.13,  43.51, 32.07, 30.46, 29.85, 29.83, 29.80, 29.76, 29.73, 29.67,  29.56, 29.51, 29.21, 27.49, 22.84, 14.29. MALDI-TOF (m/z): [M+H]+ calcd. for  C210H258N8, 2893.05; found: 2895.13.S9N HNN NHNC16H33NC16H33NC16H33NC16H33NHNN NHNC16H33NC16H33NC16H33NC16H33S-3Mo[NAr3(tBu)3],LSiEtCCl4,55oCAr= LSi=OH3SiMeNNHNHNNRPPTNRPPTNRPPTNRPPT7PPT=OR=C16H33Attempted synthesis of S-3: The general procedure  described above  was followed. The monomer 7 (5.6 mg, 0.0017 mmol), ligand LSi (0.2 mg, 0.0005 mmol),  the molybdenum precursor (0.3 mg, 0.0005 mmol) and CCl 4 (0.5 mL) were used. Lots of precipitates were formed during the reaction. After  stirring overnight  (~16 h) at 55 oC, the reaction was cooled to rt. We did not observe any noticeable amount of compound 7 in the 1H NMR spectrum of the crude reaction mixture, indicating  all the starting  materials are consumed.",comprehensive synthesis
